sequence_id,order_id,order_type,item_id,item_quantity,order_arrival,assigned_station,assigned_pod,status,order_processed,order_finished
0,-100,1,792,1,0,picker-3,,1,,618.0
1,-99,1,1319,1,0,picker-5,,1,0.0,705.0
2,-99,1,139,10,0,picker-5,,1,0.0,57.0
3,-99,1,826,1,0,picker-5,,1,0.0,357.0
4,-99,1,267,2,0,picker-5,,1,0.0,482.0
5,-99,1,1159,4,0,picker-5,,1,0.0,468.0
6,-99,1,28,7,0,picker-5,,1,0.0,57.0
7,-98,1,1559,1,0,picker-2,,1,0.0,1843.0
8,-98,1,3566,1,0,picker-2,,1,0.0,1785.0
9,-98,1,205,12,0,picker-2,,1,0.0,203.0
10,-98,1,1529,1,0,picker-2,,1,0.0,1727.0
11,-98,1,2934,2,0,picker-2,,1,0.0,1359.0
12,-98,1,239,1,0,picker-2,,1,0.0,326.0
13,-98,1,8,8,0,picker-2,,1,0.0,203.0
14,-98,1,526,3,0,picker-2,,1,0.0,1242.0
15,-98,1,1149,2,0,picker-2,,1,0.0,1442.0
16,-98,1,25,12,0,picker-2,,1,0.0,455.0
17,-98,1,40,10,0,picker-2,,1,0.0,151.0
18,-97,1,446,3,0,picker-5,,1,,3351.0
19,-97,1,150,7,0,picker-5,,1,,3093.0
20,-97,1,481,1,0,picker-5,,1,,3590.0
21,-97,1,916,3,0,picker-5,,1,,3310.0
22,-97,1,2892,2,0,picker-5,,1,,3405.0
23,-97,1,3916,1,0,picker-5,,1,,3628.0
24,-96,1,2862,1,0,picker-1,,1,,3765.0
25,-96,1,47,11,0,picker-1,,1,,3188.0
26,-96,1,1067,4,0,picker-1,,1,,3302.0
27,-96,1,2292,2,0,picker-1,,1,,3465.0
28,-96,1,302,4,0,picker-1,,1,,3790.0
29,-96,1,312,1,0,picker-1,,1,,4614.0
30,-96,1,294,4,0,picker-1,,1,,3231.0
31,-96,1,793,2,0,picker-1,,1,,3482.0
32,-96,1,4,8,0,picker-1,,1,,3217.0
33,-96,1,305,2,0,picker-1,,1,,3426.0
34,-96,1,61,5,0,picker-1,,1,,3205.0
35,-96,1,1926,6,0,picker-1,,1,,3197.0
36,-95,1,2897,2,0,picker-4,,1,,11805.0
37,-95,1,515,8,0,picker-4,,1,,11567.0
38,-95,1,1061,3,0,picker-4,,1,,11919.0
39,-95,1,294,1,0,picker-4,,1,,12164.0
40,-95,1,513,6,0,picker-4,,1,,11638.0
41,-95,1,422,5,0,picker-4,,1,,11785.0
42,-95,1,1108,2,0,picker-4,,1,,11999.0
43,-95,1,1723,1,0,picker-4,,1,,11626.0
44,-95,1,1956,1,0,picker-4,,1,,12246.0
45,-94,1,1657,2,0,picker-5,,1,,15247.0
46,-93,1,834,2,0,picker-2,,1,,2107.0
47,-92,1,1,4,0,picker-5,,1,,210.0
48,-92,1,2107,1,0,picker-5,,1,,749.0
49,-92,1,82,9,0,picker-5,,1,,298.0
50,-91,1,2384,1,0,picker-5,,1,,1579.0
51,-91,1,236,1,0,picker-5,,1,,1515.0
52,-91,1,10,4,0,picker-5,,1,,1078.0
53,-91,1,341,1,0,picker-5,,1,,1480.0
54,-91,1,1390,1,0,picker-5,,1,,1401.0
55,-91,1,31,10,0,picker-5,,1,,1092.0
56,-91,1,1225,2,0,picker-5,,1,,1328.0
57,-90,1,866,1,0,picker-3,,1,,2331.0
58,-89,1,54,5,0,picker-1,,1,,2866.0
59,-89,1,46,12,0,picker-1,,1,,2854.0
60,-89,1,457,3,0,picker-1,,1,,2866.0
61,-89,1,3481,4,0,picker-1,,1,,2854.0
62,-89,1,392,1,0,picker-1,,1,,3224.0
63,-89,1,1053,2,0,picker-1,,1,,3508.0
64,-89,1,104,9,0,picker-1,,1,,2879.0
65,-89,1,97,8,0,picker-1,,1,,2891.0
66,-89,1,102,7,0,picker-1,,1,,2901.0
67,-89,1,943,1,0,picker-1,,1,,3155.0
68,-88,1,444,9,0,picker-2,,1,,3818.0
