sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
0,-100,1,66,10,0
1,-100,1,485,10,0
2,-100,1,3561,2,0
3,-100,1,43,12,0
4,-100,1,415,3,0
5,-100,1,465,3,0
6,-100,1,932,1,0
7,-100,1,57,12,0
8,-100,1,30,5,0
9,-100,1,75,7,0
10,-100,1,22,5,0
11,-99,1,492,4,0
12,-99,1,97,9,0
13,-99,1,38,4,0
14,-99,1,490,6,0
15,-98,1,46,12,0
16,-97,1,41,11,0
17,-97,1,110,10,0
18,-96,1,106,4,0
19,-95,1,15,9,0
20,-94,1,88,5,0
21,-93,1,48,3,0
22,-93,1,602,2,0
23,-93,1,296,10,0
24,-92,1,1277,6,0
25,-92,1,776,3,0
26,-92,1,437,6,0
27,-92,1,680,2,0
28,-91,1,634,9,0
29,-91,1,65,10,0
30,-90,1,1413,6,0
31,-90,1,1225,2,0
32,-90,1,253,2,0
33,-89,1,211,11,0
34,-89,1,1139,7,0
35,-88,1,1200,12,0
36,-88,1,365,10,0
37,-88,1,339,12,0
38,-87,1,74,3,0
39,-87,1,10,6,0
40,-87,1,350,9,0
41,-87,1,640,5,0
42,-87,1,374,8,0
43,-87,1,1255,2,0
44,-87,1,460,3,0
45,-87,1,946,3,0
46,-86,1,73,5,0
47,-86,1,368,2,0
48,-85,1,735,8,0
49,-84,1,1864,2,0
50,-83,1,390,11,0
51,-83,1,450,7,0
52,-82,1,215,4,0
53,-82,1,3168,1,0
54,-82,1,218,6,0
55,-81,1,1380,4,0
56,-81,1,1179,2,0
57,-80,1,283,6,0
58,-80,1,360,10,0
59,-79,1,740,7,0
60,-78,1,151,12,0
61,-78,1,152,8,0
62,-78,1,64,3,0
63,-77,1,1857,2,0
64,-77,1,311,5,0
65,-77,1,452,10,0
66,-77,1,3443,4,0
67,-76,1,55,2,0
68,-76,1,1316,2,0
69,-75,1,1506,4,0
70,-75,1,150,6,0
71,-75,1,2,7,0
72,-74,1,613,7,0
73,-74,1,1609,4,0
74,-74,1,895,4,0
75,-74,1,846,6,0
76,-74,1,1310,7,0
77,-73,1,96,6,0
78,-72,1,3619,2,0
79,-72,1,1160,10,0
80,-71,1,82,6,0
81,-71,1,80,10,0
82,-71,1,95,9,0
83,-71,1,117,10,0
84,-71,1,1705,2,0
85,-71,1,40,11,0
86,-71,1,755,10,0
87,-71,1,139,11,0
88,-71,1,63,4,0
89,-71,1,338,10,0
90,-70,1,752,6,0
91,-70,1,460,2,0
92,-70,1,256,6,0
93,-70,1,478,9,0
94,-70,1,14,8,0
95,-70,1,135,6,0
96,-70,1,1973,3,0
97,-70,1,218,6,0
98,-69,1,11,4,0
99,-69,1,356,10,0
100,-69,1,106,3,0
101,-69,1,144,2,0
102,-69,1,596,6,0
103,-69,1,669,2,0
104,-69,1,19,5,0
105,-68,1,56,4,0
106,-67,1,2679,2,0
107,-67,1,59,2,0
108,-66,1,2041,2,0
109,-66,1,18,4,0
110,-66,1,105,2,0
111,-66,1,15,4,0
112,-66,1,368,10,0
113,-66,1,1639,4,0
114,-66,1,1635,4,0
115,-65,1,862,9,0
116,-65,1,1755,3,0
117,-65,1,21,6,0
118,-64,1,42,5,0
119,-64,1,828,8,0
120,-63,1,1215,10,0
121,-63,1,1213,3,0
122,-63,1,530,11,0
123,-63,1,318,3,0
124,-63,1,697,6,0
125,-63,1,3590,2,0
126,-62,1,2,2,0
127,-62,1,184,11,0
128,-62,1,385,12,0
129,-62,1,36,6,0
130,-62,1,1719,3,0
131,-61,1,495,3,0
132,-61,1,147,1,0
133,-60,1,52,8,0
134,-59,1,1651,2,0
135,-59,1,554,7,0
136,-58,1,341,5,0
137,-57,1,210,7,0
138,-56,1,1033,12,0
139,-56,1,841,8,0
140,-55,1,320,5,0
141,-54,1,315,8,0
142,-54,1,3138,2,0
143,-54,1,8,8,0
144,-54,1,850,3,0
145,-54,1,140,8,0
146,-54,1,622,12,0
147,-53,1,178,6,0
148,-53,1,283,7,0
149,-53,1,367,8,0
150,-52,1,436,10,0
151,-52,1,1,10,0
152,-51,1,68,6,0
153,-50,1,393,10,0
154,-50,1,326,8,0
155,-50,1,1510,3,0
156,-50,1,139,1,0
157,-50,1,638,8,0
158,-50,1,206,8,0
159,-50,1,2,10,0
160,-50,1,3473,2,0
161,-49,1,65,9,0
162,-49,1,39,4,0
163,-49,1,138,10,0
164,-48,1,323,5,0
165,-48,1,314,7,0
166,-47,1,28,11,0
167,-46,1,570,8,0
168,-45,1,2240,2,0
169,-44,1,50,4,0
170,-44,1,111,6,0
171,-44,1,351,10,0
172,-43,1,1781,4,0
173,-43,1,1943,4,0
174,-43,1,28,3,0
175,-43,1,2660,4,0
176,-43,1,237,10,0
177,-43,1,1086,8,0
