order_id,order_dum,order_type,item,qty,facing,due_date,station,pod_id,status,finish_time,date,time_gen
0,0,1,13,7,-1,99999,-1,-1,-3,-1,1,60
1,1,1,253,4,-1,99999,-1,-1,-3,-1,1,60
2,1,1,63,5,-1,99999,-1,-1,-3,-1,1,60
3,1,1,96,2,-1,99999,-1,-1,-3,-1,1,60
4,2,1,1,6,-1,99999,-1,-1,-3,-1,1,120
5,2,1,289,2,-1,99999,-1,-1,-3,-1,1,120
6,2,1,381,6,-1,99999,-1,-1,-3,-1,1,120
7,2,1,99,6,-1,99999,-1,-1,-3,-1,1,120
8,2,1,5,10,-1,99999,-1,-1,-3,-1,1,120
9,2,1,65,12,-1,99999,-1,-1,-3,-1,1,120
10,2,1,179,7,-1,99999,-1,-1,-3,-1,1,120
11,2,1,1009,8,-1,99999,-1,-1,-3,-1,1,120
12,3,1,1,6,-1,99999,-1,-1,-3,-1,1,120
13,3,1,62,6,-1,99999,-1,-1,-3,-1,1,120
14,4,1,26,10,-1,99999,-1,-1,-3,-1,1,180
15,4,1,118,4,-1,99999,-1,-1,-3,-1,1,180
16,4,1,31,9,-1,99999,-1,-1,-3,-1,1,180
17,4,1,113,8,-1,99999,-1,-1,-3,-1,1,180
18,4,1,74,3,-1,99999,-1,-1,-3,-1,1,180
19,4,1,61,7,-1,99999,-1,-1,-3,-1,1,180
20,4,1,915,8,-1,99999,-1,-1,-3,-1,1,180
21,4,1,608,6,-1,99999,-1,-1,-3,-1,1,180
22,4,1,312,6,-1,99999,-1,-1,-3,-1,1,180
23,4,1,391,7,-1,99999,-1,-1,-3,-1,1,180
24,4,1,1331,10,-1,99999,-1,-1,-3,-1,1,180
25,5,1,306,4,-1,99999,-1,-1,-3,-1,1,240
26,5,1,321,7,-1,99999,-1,-1,-3,-1,1,240
27,5,1,211,7,-1,99999,-1,-1,-3,-1,1,240
28,5,1,59,3,-1,99999,-1,-1,-3,-1,1,240
29,5,1,93,7,-1,99999,-1,-1,-3,-1,1,240
30,5,1,737,2,-1,99999,-1,-1,-3,-1,1,240
31,6,1,749,10,-1,99999,-1,-1,-3,-1,1,240
32,6,1,1507,7,-1,99999,-1,-1,-3,-1,1,240
33,7,1,136,4,-1,99999,-1,-1,-3,-1,1,300
34,7,1,128,4,-1,99999,-1,-1,-3,-1,1,300
35,7,1,249,8,-1,99999,-1,-1,-3,-1,1,300
36,7,1,200,5,-1,99999,-1,-1,-3,-1,1,300
37,7,1,31,7,-1,99999,-1,-1,-3,-1,1,300
38,7,1,210,5,-1,99999,-1,-1,-3,-1,1,300
39,8,1,115,8,-1,99999,-1,-1,-3,-1,1,300
40,9,1,88,5,-1,99999,-1,-1,-3,-1,1,360
41,9,1,395,4,-1,99999,-1,-1,-3,-1,1,360
42,9,1,423,10,-1,99999,-1,-1,-3,-1,1,360
43,9,1,42,11,-1,99999,-1,-1,-3,-1,1,360
44,9,1,264,8,-1,99999,-1,-1,-3,-1,1,360
45,9,1,33,8,-1,99999,-1,-1,-3,-1,1,360
46,9,1,214,9,-1,99999,-1,-1,-3,-1,1,360
47,10,1,267,4,-1,99999,-1,-1,-3,-1,1,420
48,10,1,5,4,-1,99999,-1,-1,-3,-1,1,420
49,10,1,648,7,-1,99999,-1,-1,-3,-1,1,420
50,10,1,269,10,-1,99999,-1,-1,-3,-1,1,420
51,10,1,19,12,-1,99999,-1,-1,-3,-1,1,420
52,10,1,1088,12,-1,99999,-1,-1,-3,-1,1,420
53,10,1,471,7,-1,99999,-1,-1,-3,-1,1,420
54,10,1,68,6,-1,99999,-1,-1,-3,-1,1,420
55,10,1,520,12,-1,99999,-1,-1,-3,-1,1,420
56,10,1,37,8,-1,99999,-1,-1,-3,-1,1,420
57,10,1,2,11,-1,99999,-1,-1,-3,-1,1,420
58,10,1,79,4,-1,99999,-1,-1,-3,-1,1,420
59,10,1,915,1,-1,99999,-1,-1,-3,-1,1,420
60,10,1,91,8,-1,99999,-1,-1,-3,-1,1,420
61,11,1,0,4,-1,99999,-1,-1,-3,-1,1,420
62,12,1,382,6,-1,99999,-1,-1,-3,-1,1,480
63,12,1,779,8,-1,99999,-1,-1,-3,-1,1,480
64,12,1,686,10,-1,99999,-1,-1,-3,-1,1,480
65,12,1,98,8,-1,99999,-1,-1,-3,-1,1,480
66,13,1,869,1,-1,99999,-1,-1,-3,-1,1,480
67,13,1,120,8,-1,99999,-1,-1,-3,-1,1,480
68,13,1,2095,8,-1,99999,-1,-1,-3,-1,1,480
69,13,1,696,9,-1,99999,-1,-1,-3,-1,1,480
70,13,1,430,7,-1,99999,-1,-1,-3,-1,1,480
71,13,1,517,8,-1,99999,-1,-1,-3,-1,1,480
72,13,1,204,6,-1,99999,-1,-1,-3,-1,1,480
73,13,1,1,10,-1,99999,-1,-1,-3,-1,1,480
74,13,1,200,4,-1,99999,-1,-1,-3,-1,1,480
75,13,1,684,8,-1,99999,-1,-1,-3,-1,1,480
76,13,1,12,8,-1,99999,-1,-1,-3,-1,1,480
77,13,1,19,3,-1,99999,-1,-1,-3,-1,1,480
78,13,1,1923,10,-1,99999,-1,-1,-3,-1,1,480
79,13,1,944,7,-1,99999,-1,-1,-3,-1,1,480
80,13,1,45,6,-1,99999,-1,-1,-3,-1,1,480
81,13,1,188,7,-1,99999,-1,-1,-3,-1,1,480
82,13,1,682,6,-1,99999,-1,-1,-3,-1,1,480
83,13,1,840,9,-1,99999,-1,-1,-3,-1,1,480
84,13,1,274,4,-1,99999,-1,-1,-3,-1,1,480
85,13,1,393,8,-1,99999,-1,-1,-3,-1,1,480
86,13,1,721,6,-1,99999,-1,-1,-3,-1,1,480
87,13,1,41,6,-1,99999,-1,-1,-3,-1,1,480
88,13,1,32,2,-1,99999,-1,-1,-3,-1,1,480
89,14,1,5,6,-1,99999,-1,-1,-3,-1,1,540
90,15,1,0,8,-1,99999,-1,-1,-3,-1,1,540
91,15,1,139,4,-1,99999,-1,-1,-3,-1,1,540
92,15,1,486,5,-1,99999,-1,-1,-3,-1,1,540
93,15,1,11,9,-1,99999,-1,-1,-3,-1,1,540
94,16,1,1330,9,-1,99999,-1,-1,-3,-1,1,600
95,16,1,583,4,-1,99999,-1,-1,-3,-1,1,600
96,16,1,357,7,-1,99999,-1,-1,-3,-1,1,600
97,16,1,28,7,-1,99999,-1,-1,-3,-1,1,600
98,17,1,119,2,-1,99999,-1,-1,-3,-1,1,720
99,17,1,70,1,-1,99999,-1,-1,-3,-1,1,720
100,17,1,405,8,-1,99999,-1,-1,-3,-1,1,720
101,18,1,493,10,-1,99999,-1,-1,-3,-1,1,780
102,18,1,74,2,-1,99999,-1,-1,-3,-1,1,780
103,18,1,258,12,-1,99999,-1,-1,-3,-1,1,780
104,18,1,19,8,-1,99999,-1,-1,-3,-1,1,780
105,18,1,49,10,-1,99999,-1,-1,-3,-1,1,780
106,18,1,396,8,-1,99999,-1,-1,-3,-1,1,780
107,18,1,706,6,-1,99999,-1,-1,-3,-1,1,780
108,18,1,227,4,-1,99999,-1,-1,-3,-1,1,780
109,18,1,46,10,-1,99999,-1,-1,-3,-1,1,780
110,18,1,0,6,-1,99999,-1,-1,-3,-1,1,780
111,18,1,152,12,-1,99999,-1,-1,-3,-1,1,780
112,18,1,35,9,-1,99999,-1,-1,-3,-1,1,780
113,18,1,570,8,-1,99999,-1,-1,-3,-1,1,780
114,18,1,112,6,-1,99999,-1,-1,-3,-1,1,780
115,18,1,58,10,-1,99999,-1,-1,-3,-1,1,780
116,19,1,183,10,-1,99999,-1,-1,-3,-1,1,780
117,19,1,155,10,-1,99999,-1,-1,-3,-1,1,780
118,20,1,365,4,-1,99999,-1,-1,-3,-1,1,840
119,20,1,691,8,-1,99999,-1,-1,-3,-1,1,840
120,21,1,334,8,-1,99999,-1,-1,-3,-1,1,900
121,21,1,104,10,-1,99999,-1,-1,-3,-1,1,900
122,22,1,486,2,-1,99999,-1,-1,-3,-1,1,960
123,22,1,319,1,-1,99999,-1,-1,-3,-1,1,960
124,22,1,40,3,-1,99999,-1,-1,-3,-1,1,960
125,22,1,128,4,-1,99999,-1,-1,-3,-1,1,960
126,23,1,2082,5,-1,99999,-1,-1,-3,-1,1,1080
127,24,1,1458,10,-1,99999,-1,-1,-3,-1,1,1080
128,25,1,682,4,-1,99999,-1,-1,-3,-1,1,1080
129,25,1,19,9,-1,99999,-1,-1,-3,-1,1,1080
130,25,1,2170,7,-1,99999,-1,-1,-3,-1,1,1080
131,25,1,56,4,-1,99999,-1,-1,-3,-1,1,1080
132,25,1,575,4,-1,99999,-1,-1,-3,-1,1,1080
133,25,1,232,6,-1,99999,-1,-1,-3,-1,1,1080
134,25,1,8,9,-1,99999,-1,-1,-3,-1,1,1080
135,25,1,61,9,-1,99999,-1,-1,-3,-1,1,1080
136,25,1,145,5,-1,99999,-1,-1,-3,-1,1,1080
137,26,1,1212,1,-1,99999,-1,-1,-3,-1,1,1140
138,26,1,11,10,-1,99999,-1,-1,-3,-1,1,1140
139,26,1,103,2,-1,99999,-1,-1,-3,-1,1,1140
140,26,1,357,8,-1,99999,-1,-1,-3,-1,1,1140
141,26,1,1,6,-1,99999,-1,-1,-3,-1,1,1140
142,26,1,7,2,-1,99999,-1,-1,-3,-1,1,1140
143,26,1,55,7,-1,99999,-1,-1,-3,-1,1,1140
144,26,1,299,6,-1,99999,-1,-1,-3,-1,1,1140
145,26,1,1386,9,-1,99999,-1,-1,-3,-1,1,1140
146,26,1,19,10,-1,99999,-1,-1,-3,-1,1,1140
147,26,1,1728,1,-1,99999,-1,-1,-3,-1,1,1140
148,26,1,204,6,-1,99999,-1,-1,-3,-1,1,1140
149,26,1,1245,8,-1,99999,-1,-1,-3,-1,1,1140
150,26,1,557,6,-1,99999,-1,-1,-3,-1,1,1140
151,26,1,884,2,-1,99999,-1,-1,-3,-1,1,1140
152,26,1,0,10,-1,99999,-1,-1,-3,-1,1,1140
153,26,1,63,5,-1,99999,-1,-1,-3,-1,1,1140
154,26,1,602,6,-1,99999,-1,-1,-3,-1,1,1140
155,26,1,548,4,-1,99999,-1,-1,-3,-1,1,1140
156,26,1,1436,2,-1,99999,-1,-1,-3,-1,1,1140
157,26,1,256,4,-1,99999,-1,-1,-3,-1,1,1140
158,27,1,93,6,-1,99999,-1,-1,-3,-1,1,1140
159,27,1,42,5,-1,99999,-1,-1,-3,-1,1,1140
160,28,1,1809,10,-1,99999,-1,-1,-3,-1,1,1200
161,29,1,1687,8,-1,99999,-1,-1,-3,-1,1,1200
162,30,1,1027,3,-1,99999,-1,-1,-3,-1,1,1200
163,30,1,341,3,-1,99999,-1,-1,-3,-1,1,1200
164,30,1,116,8,-1,99999,-1,-1,-3,-1,1,1200
165,30,1,56,5,-1,99999,-1,-1,-3,-1,1,1200
166,31,1,244,8,-1,99999,-1,-1,-3,-1,1,1380
167,32,1,156,10,-1,99999,-1,-1,-3,-1,1,1500
168,32,1,2,6,-1,99999,-1,-1,-3,-1,1,1500
169,32,1,271,6,-1,99999,-1,-1,-3,-1,1,1500
170,32,1,313,9,-1,99999,-1,-1,-3,-1,1,1500
171,32,1,58,6,-1,99999,-1,-1,-3,-1,1,1500
172,32,1,279,10,-1,99999,-1,-1,-3,-1,1,1500
173,32,1,39,9,-1,99999,-1,-1,-3,-1,1,1500
174,32,1,27,8,-1,99999,-1,-1,-3,-1,1,1500
175,32,1,262,6,-1,99999,-1,-1,-3,-1,1,1500
176,33,1,34,8,-1,99999,-1,-1,-3,-1,1,1500
177,33,1,375,9,-1,99999,-1,-1,-3,-1,1,1500
178,34,1,1537,7,-1,99999,-1,-1,-3,-1,1,1500
179,34,1,2,12,-1,99999,-1,-1,-3,-1,1,1500
180,34,1,428,9,-1,99999,-1,-1,-3,-1,1,1500
181,34,1,739,4,-1,99999,-1,-1,-3,-1,1,1500
182,34,1,381,7,-1,99999,-1,-1,-3,-1,1,1500
183,34,1,284,7,-1,99999,-1,-1,-3,-1,1,1500
184,34,1,5,3,-1,99999,-1,-1,-3,-1,1,1500
185,34,1,350,10,-1,99999,-1,-1,-3,-1,1,1500
186,34,1,1176,9,-1,99999,-1,-1,-3,-1,1,1500
187,34,1,379,9,-1,99999,-1,-1,-3,-1,1,1500
188,34,1,15,7,-1,99999,-1,-1,-3,-1,1,1500
189,34,1,304,12,-1,99999,-1,-1,-3,-1,1,1500
190,35,1,117,4,-1,99999,-1,-1,-3,-1,1,1620
191,35,1,99,7,-1,99999,-1,-1,-3,-1,1,1620
192,36,1,552,6,-1,99999,-1,-1,-3,-1,1,1620
193,36,1,1958,8,-1,99999,-1,-1,-3,-1,1,1620
194,36,1,607,2,-1,99999,-1,-1,-3,-1,1,1620
195,36,1,866,7,-1,99999,-1,-1,-3,-1,1,1620
196,36,1,355,9,-1,99999,-1,-1,-3,-1,1,1620
197,36,1,6,6,-1,99999,-1,-1,-3,-1,1,1620
