sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
1,-100,1,66,10,0
2,-100,1,485,10,0
3,-100,1,3561,2,0
4,-100,1,43,12,0
5,-100,1,415,3,0
6,-100,1,465,3,0
7,-100,1,932,1,0
8,-100,1,57,12,0
9,-100,1,30,5,0
10,-100,1,75,7,0
11,-100,1,22,5,0
12,-99,1,492,4,0
13,-99,1,97,9,0
14,-99,1,38,4,0
15,-99,1,490,6,0
16,-98,1,46,12,0
17,-97,1,41,11,0
18,-97,1,110,10,0
19,-96,1,106,4,0
20,-95,1,15,9,0
21,-94,1,88,5,0
22,-93,1,48,3,0
23,-93,1,602,2,0
24,-93,1,296,10,0
25,-92,1,1277,6,0
26,-92,1,776,3,0
27,-92,1,437,6,0
28,-92,1,680,2,0
29,-91,1,634,9,0
30,-91,1,65,10,0
31,-90,1,1413,6,0
32,-90,1,1225,2,0
33,-90,1,253,2,0
34,-89,1,211,11,0
35,-89,1,1139,7,0
36,-88,1,1200,12,0
37,-88,1,365,10,0
38,-88,1,339,12,0
39,-87,1,74,3,0
40,-87,1,10,6,0
41,-87,1,350,9,0
42,-87,1,640,5,0
43,-87,1,374,8,0
44,-87,1,1255,2,0
45,-87,1,460,3,0
46,-87,1,946,3,0
47,-86,1,73,5,0
48,-86,1,368,2,0
49,-85,1,735,8,0
50,-84,1,1864,2,0
51,-83,1,390,11,0
52,-83,1,450,7,0
53,-82,1,215,4,0
54,-82,1,3168,1,0
55,-82,1,218,6,0
56,-81,1,1380,4,0
57,-81,1,1179,2,0
58,-80,1,283,6,0
59,-80,1,360,10,0
60,-79,1,740,7,0
61,-78,1,151,12,0
62,-78,1,152,8,0
63,-78,1,64,3,0
64,-77,1,1857,2,0
65,-77,1,311,5,0
66,-77,1,452,10,0
67,-77,1,3443,4,0
68,-76,1,55,2,0
69,-76,1,1316,2,0
70,-75,1,1506,4,0
71,-75,1,150,6,0
72,-75,1,2,7,0
73,-74,1,613,7,0
74,-74,1,1609,4,0
75,-74,1,895,4,0
76,-74,1,846,6,0
77,-74,1,1310,7,0
78,-73,1,96,6,0
79,-72,1,3619,2,0
80,-72,1,1160,10,0
81,-71,1,82,6,0
82,-71,1,80,10,0
83,-71,1,95,9,0
84,-71,1,117,10,0
85,-71,1,1705,2,0
86,-71,1,40,11,0
87,-71,1,755,10,0
88,-71,1,139,11,0
89,-71,1,63,4,0
90,-71,1,338,10,0
91,-70,1,752,6,0
92,-70,1,460,2,0
93,-70,1,256,6,0
94,-70,1,478,9,0
95,-70,1,14,8,0
96,-70,1,135,6,0
97,-70,1,1973,3,0
98,-70,1,218,6,0
99,-69,1,11,4,0
100,-69,1,356,10,0
101,-69,1,106,3,0
102,-69,1,144,2,0
103,-69,1,596,6,0
104,-69,1,669,2,0
105,-69,1,19,5,0
106,-68,1,56,4,0
107,-67,1,2679,2,0
108,-67,1,59,2,0
109,-66,1,2041,2,0
110,-66,1,18,4,0
111,-66,1,105,2,0
112,-66,1,15,4,0
113,-66,1,368,10,0
