sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
1,-100,1,456,4,0
2,-99,1,745,6,0
3,-99,1,1468,4,0
4,-99,1,3,6,0
5,-99,1,668,4,0
6,-99,1,301,7,0
7,-99,1,978,8,0
8,-99,1,391,11,0
9,-98,1,641,5,0
10,-98,1,619,6,0
11,-98,1,182,6,0
12,-98,1,491,3,0
13,-97,1,118,6,0
14,-97,1,62,10,0
15,-97,1,546,8,0
16,-97,1,812,5,0
17,-96,1,500,10,0
18,-96,1,2,7,0
19,-95,1,153,3,0
20,-95,1,1033,8,0
21,-95,1,14,10,0
22,-95,1,3,5,0
23,-95,1,47,8,0
24,-95,1,173,8,0
25,-95,1,559,10,0
26,-94,1,109,6,0
27,-93,1,0,10,0
28,-93,1,392,12,0
29,-92,1,20,4,0
30,-92,1,460,2,0
31,-92,1,556,6,0
32,-92,1,7,6,0
33,-92,1,18,4,0
34,-91,1,70,6,0
35,-91,1,588,2,0
36,-91,1,69,10,0
37,-91,1,120,8,0
38,-91,1,1648,5,0
39,-91,1,11,1,0
40,-90,1,1869,9,0
41,-90,1,165,4,0
42,-90,1,456,12,0
43,-90,1,382,12,0
44,-90,1,161,5,0
45,-90,1,251,7,0
46,-90,1,318,8,0
47,-90,1,59,8,0
48,-90,1,275,2,0
49,-90,1,341,6,0
50,-90,1,2,10,0
51,-90,1,1,4,0
52,-90,1,38,6,0
53,-90,1,8,10,0
54,-89,1,1474,5,0
55,-88,1,529,10,0
56,-87,1,160,10,0
57,-87,1,218,4,0
58,-86,1,412,7,0
59,-86,1,1189,4,0
60,-86,1,293,4,0
61,-86,1,5,2,0
62,-86,1,104,2,0
63,-85,1,36,4,0
64,-84,1,16,9,0
65,-84,1,1450,7,0
66,-83,1,203,6,0
67,-82,1,386,6,0
68,-82,1,159,8,0
69,-82,1,29,8,0
70,-82,1,1017,4,0
71,-82,1,1190,8,0
72,-82,1,4,7,0
73,-82,1,1633,8,0
74,-81,1,5,1,0
75,-81,1,1060,2,0
76,-81,1,73,4,0
77,-81,1,18,9,0
78,-81,1,1131,2,0
79,-81,1,135,5,0
80,-80,1,363,2,0
81,-79,1,129,2,0
82,-79,1,185,3,0
83,-79,1,657,11,0
84,-79,1,120,8,0
85,-79,1,1844,3,0
86,-79,1,441,1,0
87,-78,1,0,4,0
88,-78,1,20,2,0
89,-78,1,23,12,0
90,-78,1,412,3,0
91,-78,1,185,6,0
92,-78,1,101,6,0
93,-78,1,203,6,0
94,-77,1,494,11,0
95,-77,1,922,10,0
96,-77,1,358,4,0
97,-77,1,447,6,0
98,-77,1,367,7,0
99,-77,1,592,6,0
100,-77,1,132,5,0
101,-77,1,4,3,0
102,-77,1,580,8,0
103,-76,1,385,4,0
104,-76,1,188,7,0
105,-76,1,17,3,0
106,-76,1,57,9,0
107,-76,1,228,2,0
108,-76,1,393,8,0
109,-76,1,72,5,0
110,-76,1,13,8,0
111,-75,1,8,8,0
112,-75,1,1266,4,0
113,-75,1,281,6,0
114,-75,1,241,6,0
115,-74,1,64,10,0
116,-74,1,903,7,0
117,-74,1,28,12,0
118,-74,1,1002,12,0
119,-74,1,483,5,0
120,-73,1,355,8,0
121,-73,1,37,3,0
122,-72,1,7,4,0
123,-72,1,184,5,0
124,-71,1,492,6,0
125,-70,1,178,4,0
126,-70,1,222,6,0
127,-70,1,335,8,0
128,-69,1,1187,4,0
129,-69,1,903,2,0
130,-69,1,426,7,0
131,-69,1,560,2,0
132,-69,1,1639,10,0
133,-69,1,185,7,0
134,-69,1,147,10,0
135,-69,1,298,2,0
136,-69,1,663,10,0
137,-69,1,80,10,0
138,-69,1,103,8,0
139,-69,1,76,3,0
140,-69,1,39,8,0
141,-69,1,421,6,0
142,-69,1,1781,8,0
143,-69,1,407,8,0
144,-69,1,118,6,0
145,-69,1,111,7,0
146,-69,1,146,6,0
147,-68,1,566,7,0
148,-68,1,7,5,0
149,-67,1,253,6,0
150,-67,1,726,8,0
151,-66,1,61,6,0
152,-66,1,54,2,0
153,-66,1,5,7,0
154,-65,1,601,3,0
155,-65,1,350,8,0
156,-65,1,1252,7,0
157,-65,1,379,5,0
158,-65,1,438,8,0
159,-65,1,183,2,0
160,-65,1,411,3,0
161,-65,1,6,2,0
162,-65,1,115,11,0
163,-65,1,67,4,0
164,-64,1,473,8,0
165,-64,1,312,6,0
166,-64,1,27,12,0
167,-64,1,370,9,0
168,-63,1,2,6,0
169,-62,1,25,5,0
170,-62,1,445,11,0
171,-62,1,20,6,0
172,-62,1,24,2,0
173,-62,1,918,6,0
174,-62,1,1223,9,0
175,-62,1,1075,5,0
176,-62,1,83,6,0
177,-62,1,992,6,0
178,-62,1,1452,8,0
179,-62,1,65,2,0
180,-62,1,475,2,0
181,-62,1,150,6,0
182,-62,1,13,12,0
183,-62,1,50,6,0
184,-62,1,42,8,0
185,-62,1,12,8,0
186,-62,1,68,1,0
187,-62,1,732,6,0
188,-62,1,46,7,0
189,-62,1,476,8,0
190,-61,1,185,6,0
191,-61,1,38,6,0
192,-61,1,157,6,0
193,-61,1,10,12,0
194,-61,1,275,6,0
195,-61,1,506,7,0
196,-61,1,1422,11,0
197,-61,1,129,9,0
198,-61,1,54,8,0
199,-61,1,567,8,0
200,-61,1,428,5,0
201,-61,1,323,9,0
202,-60,1,343,6,0
203,-59,1,203,1,0
204,-59,1,1351,2,0
205,-59,1,81,10,0
206,-59,1,64,2,0
207,-59,1,87,6,0
208,-59,1,856,4,0
209,-59,1,280,2,0
210,-59,1,426,6,0
211,-58,1,361,8,0
212,-57,1,416,3,0
213,-57,1,869,7,0
214,-57,1,1976,9,0
215,-57,1,1369,8,0
216,-56,1,264,8,0
217,-56,1,308,8,0
218,-55,1,273,4,0
219,-55,1,907,6,0
220,-55,1,251,6,0
221,-55,1,280,2,0
222,-55,1,375,10,0
223,-55,1,67,6,0
224,-54,1,1822,9,0
225,-54,1,26,9,0
226,-54,1,38,4,0
227,-54,1,681,6,0
228,-54,1,482,3,0
229,-54,1,427,6,0
230,-54,1,64,6,0
231,-54,1,557,5,0
232,-54,1,1,6,0
233,-54,1,246,7,0
234,-54,1,1145,2,0
235,-54,1,220,8,0
236,-54,1,633,7,0
237,-54,1,387,2,0
238,-54,1,181,8,0
239,-54,1,47,4,0
240,-54,1,625,6,0
241,-54,1,1893,8,0
242,-54,1,233,7,0
243,-54,1,71,10,0
244,-54,1,178,6,0
245,-54,1,54,8,0
246,-53,1,2067,3,0
247,-53,1,290,8,0
248,-52,1,69,4,0
249,-52,1,261,2,0
250,-52,1,25,4,0
251,-52,1,635,8,0
252,-52,1,525,1,0
253,-52,1,334,4,0
254,-51,1,233,10,0
255,-51,1,93,10,0
256,-51,1,27,5,0
257,-51,1,212,10,0
258,-51,1,125,8,0
259,-51,1,473,3,0
260,-51,1,88,4,0
261,-51,1,28,6,0
262,-51,1,5,6,0
263,-51,1,250,6,0
264,-51,1,829,1,0
265,-51,1,53,4,0
266,-51,1,65,4,0
267,-51,1,712,11,0
268,-51,1,2187,1,0
269,-51,1,281,11,0
270,-51,1,37,4,0
271,-51,1,322,7,0
272,-51,1,291,8,0
273,-51,1,1236,4,0
274,-51,1,332,8,0
275,-51,1,581,6,0
276,-51,1,439,6,0
277,-51,1,9,10,0
278,-51,1,1868,5,0
279,-51,1,144,5,0
280,-51,1,668,10,0
281,-51,1,146,4,0
282,-51,1,90,5,0
283,-50,1,239,8,0
284,-50,1,193,6,0
285,-50,1,80,5,0
286,-49,1,1563,4,0
