item_code,item_id,n_slots,s_total,rop_global,rop_per_slot
10021026001,0,21,252,20,1
14503003001,1,47,1128,91,2
14023056001,2,28,336,28,1
10021025001,3,39,5616,440,12
14805012001,4,16,1536,121,8
14804007001,5,16,1536,122,8
14010040001,6,11,220,16,2
14502009001,7,17,1530,121,8
14500000001,8,14,1260,98,7
10000011001,9,32,3840,310,10
10033043001,10,19,912,72,4
14020026001,11,4,192,14,4
14112013001,12,15,150,13,1
10002018001,13,13,1248,94,8
14831007001,14,5,960,75,15
14502014001,15,13,312,25,2
14505013001,16,11,990,79,8
14000057001,17,12,120,10,1
14102249001,18,13,130,11,1
10021008001,19,14,2352,167,12
14821003001,20,3,432,28,10
14011003001,21,8,96,7,1
10035035001,22,13,2184,179,14
14502011001,23,13,624,50,4
10031013001,24,11,1320,105,10
14840003001,25,4,576,46,12
14840006001,26,4,384,24,6
14501010001,27,14,336,24,2
10034042001,28,10,1920,145,15
10032006001,29,9,1728,121,14
10010002001,30,11,1848,151,14
14611010001,31,17,102,8,1
14203017001,32,3,120,10,4
14832021001,33,3,360,30,10
14102250001,34,11,110,9,1
14131033001,35,6,90,7,2
14505016001,36,14,336,24,2
10031001001,37,11,1848,144,14
10021035001,38,11,352,27,3
10032013001,39,10,1200,87,9
10000998001,40,16,80,7,1
10031005001,41,10,1680,139,14
14112007001,42,12,120,10,1
10033018001,43,21,1008,81,4
10032016001,44,10,1680,130,13
10033004001,45,24,1152,92,4
15020047001,46,12,2592,220,19
10033025001,47,8,1536,117,15
14131047001,48,8,96,7,1
14501012001,49,7,168,14,2
10001006001,50,11,1056,84,8
10001009001,51,15,1800,129,9
14110015001,52,5,120,8,2
14021010001,53,3,108,8,3
14501045001,54,12,288,22,2
14133023001,55,8,96,8,1
14505009001,56,8,80,6,1
14011053001,57,13,312,26,2
10032047001,58,8,1344,102,13
14500013001,59,20,480,41,3
14510039001,60,11,143,12,2
14810006001,61,4,288,20,5
10034019001,62,9,1512,120,14
10033037001,63,10,1680,141,15
14501063001,64,13,468,38,3
10000005001,65,11,1056,75,7
14010011001,66,14,84,7,1
10000026001,67,6,720,61,11
14112014001,68,9,90,7,1
14110009001,69,11,132,11,1
14100003001,70,7,84,6,1
14501022001,71,6,288,22,4
14133003001,72,8,96,8,1
14121106001,73,4,120,10,3
14000039001,74,3,108,7,3
14505041001,75,6,960,82,14
14131041001,76,9,72,6,1
14502077001,77,15,360,27,2
14503019001,78,12,288,20,2
14101025001,79,6,72,5,1
14000197001,80,10,120,9,1
10030048001,81,14,672,56,4
10002021001,82,11,1584,129,12
10030007001,83,13,624,49,4
14500037001,84,10,60,5,1
14820012001,85,3,288,16,6
14000032001,86,7,84,6,1
14113066001,87,5,80,6,2
10001012001,88,13,1560,126,10
10032010001,89,6,1152,89,15
14011052001,90,15,360,29,2
14810016001,91,4,288,19,5
14011028001,92,5,60,5,1
14001042001,93,6,72,6,1
14020053001,94,3,96,8,3
14501014001,95,6,540,42,7
14805013001,96,19,76,6,1
14011032001,97,13,78,6,1
14104118001,98,5,75,6,2
14000006001,99,7,63,5,1
10000002001,100,17,204,17,1
14001047001,101,10,80,7,1
14104012001,102,5,75,6,2
14505014001,103,16,384,32,2
10033064001,104,7,840,65,10
14121014001,105,3,72,6,2
14132015001,106,6,72,6,1
10010035001,107,6,1152,85,15
14104129001,108,5,60,4,1
14502006001,109,3,216,17,6
10010004001,110,7,1176,96,14
14121019001,111,7,84,7,1
14130007001,112,8,64,5,1
14505899001,113,6,720,63,11
14510050001,114,7,91,7,1
10002008001,115,11,1320,94,9
10034025001,116,7,1176,92,14
10002102001,117,11,1056,93,9
14502081001,118,6,540,43,8
10001004001,119,14,168,14,1
10040039001,120,32,128,10,1
10002006001,121,11,132,12,2
14101048001,122,6,72,6,1
14503000001,123,6,540,44,8
14830010001,124,2,288,26,13
10030023001,125,10,50,4,1
10002019001,126,9,864,71,8
12201105001,127,3,111,9,3
14832018001,128,3,360,29,10
10021001001,129,12,1440,120,10
10021006001,130,21,1008,88,5
10002005001,131,6,576,41,7
14501011001,132,5,120,9,2
14011034001,133,6,60,5,1
14003029001,134,4,72,6,2
14103009001,135,6,48,4,1
14501013001,136,9,216,17,2
14000017001,137,8,56,5,1
14131075001,138,5,60,5,1
10020007001,139,8,960,73,10
10002992001,140,8,40,3,1
10035034001,141,6,1152,101,17
14000073001,142,4,56,4,1
14102246001,143,6,60,5,1
10033057001,144,13,624,55,5
14001045001,145,8,64,5,1
14502026001,146,5,120,9,2
10031910001,147,6,1008,85,15
14102258001,148,5,50,4,1
10040062001,149,28,672,55,2
14000196001,150,7,84,7,1
10032008001,151,5,960,79,16
14500010001,152,13,312,23,2
10014090001,153,6,1008,72,12
14104002001,154,5,60,5,1
14011059001,155,5,60,4,1
14820014001,156,2,192,13,7
10033015001,157,11,528,44,4
14133922001,158,6,36,8,2
14010247001,159,4,72,5,2
10030013001,160,5,840,71,15
14003041001,161,4,72,5,2
14820028001,162,3,432,33,11
14502041001,163,6,540,43,8
14506087001,164,5,40,3,1
10033041001,165,14,672,53,4
10034003001,166,5,960,70,14
14121020001,167,3,90,7,3
10040004001,168,27,108,9,1
14010034001,169,9,54,4,1
10002001001,170,9,1080,86,10
14370004001,171,3,120,8,3
14820013001,172,2,288,14,7
14120012001,173,2,48,4,2
14011031001,174,4,48,3,1
14244003001,175,2,80,5,3
14615017001,176,8,96,8,1
10040063001,177,24,1152,95,4
14022019001,178,6,60,5,1
14820045001,179,2,80,4,2
14023047001,180,4,48,4,1
10033013001,181,13,624,51,4
14002002001,182,4,48,4,1
14805016001,183,4,384,31,8
14820008001,184,5,720,71,15
10000007001,185,7,672,55,8
14131027001,186,6,48,3,1
14121068001,187,3,90,7,3
14370020001,188,3,120,10,4
14132031001,189,5,60,5,1
14500042001,190,7,42,4,1
10034036001,191,5,840,66,14
10001025001,192,8,960,78,10
14505917001,193,4,640,45,12
14833010001,194,1,144,12,12
14510107001,195,7,91,7,1
14831020001,196,2,384,20,10
12220012001,197,16,64,5,1
14110106001,198,5,50,14,3
14521157001,199,2,192,9,5
14505138001,200,5,180,13,3
14840017001,201,1,144,12,12
14504055001,202,4,240,18,5
14104067001,203,5,60,4,1
14112016001,204,4,40,3,1
10031031001,205,4,576,49,13
14010031001,206,8,48,4,1
10021016001,207,13,624,54,5
10040025001,208,23,92,8,1
10033074001,209,8,384,33,5
11103136001,210,9,108,9,1
14504006001,211,4,360,28,7
14505005001,212,4,360,25,7
14503013001,213,7,252,18,3
10035021001,214,13,624,50,4
14121074001,215,2,72,4,2
14000011001,216,8,40,3,1
