sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
1,-100,1,2718,2,0
2,-100,1,124,10,0
3,-99,1,595,2,0
4,-98,1,2326,3,0
5,-98,1,48,5,0
6,-98,1,5,8,0
7,-98,1,22,11,0
8,-98,1,1484,4,0
9,-97,1,2824,3,0
10,-96,1,1175,3,0
11,-96,1,1366,2,0
12,-96,1,1120,3,0
13,-96,1,192,10,0
14,-96,1,403,3,0
15,-95,1,390,6,0
16,-94,1,292,8,0
17,-94,1,316,3,0
18,-94,1,359,11,0
19,-94,1,58,4,0
20,-93,1,450,8,0
21,-93,1,331,8,0
22,-93,1,1063,6,0
23,-93,1,449,1,0
24,-92,1,34,4,0
25,-92,1,575,5,0
26,-92,1,1005,6,0
27,-92,1,993,7,0
28,-92,1,36,5,0
29,-91,1,563,2,0
30,-91,1,411,9,0
31,-91,1,76,7,0
32,-90,1,11,6,0
33,-90,1,4,10,0
34,-90,1,120,8,0
35,-90,1,903,10,0
36,-90,1,685,8,0
37,-90,1,1000,3,0
38,-90,1,117,4,0
39,-89,1,819,2,0
40,-88,1,358,12,0
41,-88,1,158,3,0
42,-88,1,480,8,0
43,-88,1,112,6,0
44,-88,1,1354,7,0
45,-88,1,989,9,0
46,-88,1,1,5,0
47,-87,1,0,6,0
48,-87,1,316,7,0
49,-86,1,14,4,0
50,-85,1,193,12,0
51,-85,1,232,4,0
52,-85,1,554,6,0
53,-85,1,3468,2,0
54,-85,1,5,11,0
55,-85,1,939,4,0
56,-85,1,18,4,0
57,-85,1,43,2,0
58,-85,1,58,4,0
59,-84,1,855,4,0
60,-83,1,957,12,0
61,-82,1,678,8,0
62,-81,1,207,4,0
63,-81,1,191,10,0
64,-81,1,16,1,0
65,-81,1,540,6,0
66,-80,1,801,8,0
67,-79,1,2631,2,0
68,-79,1,498,6,0
69,-79,1,1007,3,0
70,-78,1,3063,3,0
71,-77,1,183,6,0
72,-77,1,391,8,0
73,-77,1,265,1,0
74,-77,1,987,7,0
75,-77,1,774,10,0
76,-76,1,2581,3,0
77,-76,1,3168,1,0
78,-76,1,187,6,0
79,-75,1,8,8,0
80,-75,1,327,6,0
81,-75,1,129,4,0
82,-74,1,137,4,0
83,-74,1,69,3,0
84,-73,1,131,6,0
85,-72,1,664,12,0
86,-72,1,789,3,0
87,-71,1,531,6,0
88,-70,1,148,7,0
89,-69,1,28,5,0
90,-68,1,2885,2,0
91,-68,1,562,4,0
92,-67,1,17,3,0
93,-67,1,129,5,0
94,-67,1,618,3,0
95,-67,1,1035,5,0
96,-67,1,452,6,0
97,-67,1,169,7,0
98,-67,1,80,2,0
99,-67,1,1,6,0
100,-67,1,10,3,0
101,-66,1,0,1,0
102,-65,1,728,7,0
103,-64,1,2001,2,0
104,-64,1,247,7,0
105,-64,1,186,12,0
106,-63,1,472,5,0
107,-63,1,16,8,0
108,-63,1,1336,6,0
109,-63,1,809,5,0
110,-63,1,49,9,0
111,-62,1,1917,3,0
112,-62,1,114,8,0
113,-62,1,552,11,0
114,-61,1,1185,4,0
115,-60,1,120,10,0
116,-60,1,299,11,0
117,-60,1,168,3,0
118,-60,1,466,7,0
119,-60,1,211,8,0
120,-59,1,2529,2,0
121,-58,1,1650,12,0
122,-58,1,53,7,0
123,-58,1,44,10,0
124,-58,1,520,4,0
125,-58,1,593,6,0
126,-57,1,36,6,0
127,-56,1,36,5,0
128,-56,1,2241,2,0
129,-56,1,1297,3,0
130,-56,1,668,1,0
131,-56,1,387,4,0
132,-56,1,648,6,0
133,-56,1,975,1,0
134,-56,1,56,12,0
135,-56,1,182,8,0
136,-56,1,904,11,0
137,-56,1,854,3,0
138,-56,1,640,6,0
139,-56,1,1015,4,0
140,-56,1,1260,2,0
141,-56,1,10,5,0
142,-56,1,78,11,0
143,-56,1,314,12,0
144,-56,1,3131,3,0
145,-55,1,2617,2,0
146,-55,1,2963,2,0
147,-55,1,46,7,0
148,-55,1,440,10,0
149,-55,1,760,8,0
150,-54,1,1547,4,0
151,-54,1,3239,4,0
152,-53,1,1280,6,0
153,-53,1,52,3,0
154,-52,1,310,5,0
155,-52,1,890,10,0
156,-52,1,1096,5,0
157,-52,1,89,8,0
158,-51,1,308,6,0
159,-51,1,642,6,0
160,-50,1,61,6,0
161,-50,1,14,6,0
162,-49,1,117,12,0
163,-49,1,6,10,0
164,-49,1,125,1,0
165,-49,1,1369,12,0
166,-49,1,2347,1,0
167,-48,1,1609,3,0
168,-48,1,1508,9,0
169,-48,1,84,8,0
170,-47,1,3199,2,0
171,-47,1,681,6,0
172,-47,1,247,9,0
173,-47,1,46,8,0
174,-46,1,3,11,0
175,-46,1,95,7,0
176,-45,1,122,4,0
177,-45,1,2257,3,0
178,-44,1,28,10,0
179,-44,1,1898,1,0
180,-44,1,55,10,0
181,-44,1,1011,2,0
182,-44,1,191,3,0
183,-44,1,823,6,0
184,-44,1,232,10,0
185,-44,1,61,3,0
186,-44,1,140,6,0
187,-44,1,37,2,0
188,-44,1,96,8,0
189,-43,1,0,6,0
190,-42,1,338,5,0
191,-42,1,118,4,0
192,-42,1,570,8,0
193,-41,1,550,7,0
194,-41,1,534,6,0
195,-41,1,52,3,0
196,-41,1,1563,4,0
197,-41,1,31,8,0
198,-41,1,306,10,0
199,-40,1,500,2,0
200,-40,1,248,10,0
201,-39,1,382,10,0
202,-38,1,101,6,0
203,-38,1,222,1,0
204,-37,1,18,6,0
205,-37,1,173,5,0
206,-37,1,87,4,0
207,-37,1,767,3,0
208,-36,1,1155,7,0
209,-35,1,41,4,0
210,-35,1,47,6,0
211,-35,1,909,3,0
212,-35,1,536,10,0
213,-35,1,259,10,0
214,-35,1,19,1,0
215,-35,1,262,8,0
216,-35,1,2028,3,0
217,-34,1,334,7,0
218,-34,1,5,2,0
219,-34,1,2311,3,0
220,-34,1,880,12,0
221,-33,1,152,8,0
222,-32,1,4,6,0
223,-32,1,1121,6,0
224,-32,1,336,8,0
225,-32,1,209,6,0
226,-31,1,593,8,0
227,-30,1,3667,4,0
228,-30,1,57,7,0
229,-30,1,124,12,0
230,-29,1,1105,2,0
231,-29,1,11,8,0
232,-29,1,104,4,0
233,-28,1,1224,3,0
234,-28,1,515,10,0
235,-28,1,1145,7,0
236,-27,1,112,2,0
237,-26,1,327,6,0
238,-26,1,316,7,0
239,-26,1,114,3,0
240,-26,1,19,4,0
241,-26,1,1213,2,0
242,-25,1,2674,4,0
243,-25,1,325,4,0
244,-24,1,135,6,0
245,-24,1,696,5,0
246,-24,1,1,1,0
247,-24,1,2479,2,0
248,-23,1,33,4,0
249,-23,1,3199,3,0
250,-22,1,263,5,0
251,-22,1,796,8,0
252,-21,1,547,6,0
253,-21,1,2813,2,0
254,-20,1,26,8,0
255,-20,1,91,9,0
256,-20,1,18,3,0
257,-20,1,827,2,0
258,-20,1,1817,3,0
259,-20,1,713,8,0
260,-20,1,757,4,0
261,-20,1,701,7,0
262,-19,1,66,9,0
263,-18,1,462,8,0
264,-18,1,42,5,0
265,-18,1,903,10,0
266,-17,1,287,6,0
267,-16,1,1906,3,0
268,-16,1,198,1,0
269,-15,1,481,8,0
270,-15,1,60,8,0
271,-14,1,58,6,0
272,-13,1,189,1,0
273,-13,1,9,2,0
274,-13,1,704,7,0
275,-13,1,925,6,0
276,-13,1,163,12,0
277,-12,1,38,4,0
278,-12,1,2981,2,0
279,-12,1,575,2,0
280,-12,1,979,7,0
281,-12,1,115,6,0
282,-12,1,18,2,0
283,-12,1,600,12,0
284,-12,1,1298,6,0
285,-12,1,148,7,0
286,-11,1,19,6,0
287,-10,1,2563,2,0
288,-10,1,2421,2,0
289,-9,1,369,7,0
290,-9,1,614,3,0
291,-9,1,107,3,0
292,-9,1,763,2,0
293,-9,1,887,10,0
