sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
1,-100,1,95,7,0
2,-100,1,60,6,0
3,-100,1,141,1,0
4,-100,1,347,8,0
5,-100,1,93,9,0
6,-99,1,1278,6,0
7,-99,1,2064,4,0
8,-99,1,432,6,0
9,-99,1,1647,2,0
10,-99,1,2179,2,0
11,-98,1,1015,7,0
12,-97,1,271,11,0
13,-97,1,186,9,0
14,-97,1,1908,2,0
15,-96,1,731,2,0
16,-96,1,435,6,0
17,-96,1,141,7,0
18,-96,1,517,8,0
19,-95,1,786,9,0
20,-95,1,1624,1,0
21,-95,1,2578,4,0
22,-95,1,59,2,0
23,-95,1,45,9,0
24,-95,1,476,4,0
25,-95,1,40,6,0
26,-95,1,1178,9,0
27,-95,1,3054,3,0
28,-94,1,1665,1,0
29,-94,1,553,4,0
30,-94,1,1693,3,0
31,-94,1,891,4,0
32,-93,1,2367,2,0
33,-93,1,82,4,0
34,-93,1,229,9,0
35,-93,1,175,8,0
36,-93,1,142,12,0
37,-92,1,81,5,0
38,-92,1,719,2,0
39,-92,1,463,6,0
40,-92,1,428,6,0
41,-92,1,109,7,0
42,-92,1,520,8,0
43,-91,1,260,10,0
44,-91,1,261,12,0
45,-91,1,491,2,0
46,-90,1,1315,6,0
47,-90,1,167,3,0
48,-90,1,66,6,0
49,-90,1,44,4,0
50,-90,1,78,6,0
51,-90,1,154,10,0
52,-90,1,2135,2,0
53,-90,1,181,10,0
54,-90,1,8,12,0
55,-90,1,42,4,0
56,-90,1,262,4,0
57,-89,1,1168,6,0
58,-88,1,588,8,0
59,-87,1,599,6,0
60,-86,1,1524,8,0
61,-85,1,129,2,0
62,-85,1,2895,2,0
63,-85,1,308,2,0
64,-85,1,2145,2,0
65,-85,1,543,7,0
66,-85,1,371,2,0
67,-85,1,49,4,0
68,-85,1,77,8,0
69,-85,1,57,10,0
70,-85,1,3007,2,0
71,-85,1,379,8,0
72,-85,1,555,6,0
73,-85,1,31,7,0
74,-85,1,1909,2,0
75,-84,1,7,12,0
76,-84,1,1349,4,0
77,-83,1,60,6,0
78,-82,1,899,4,0
79,-82,1,2430,4,0
80,-82,1,1589,2,0
81,-82,1,237,8,0
82,-81,1,1019,5,0
83,-80,1,550,3,0
84,-79,1,12,1,0
85,-78,1,4,7,0
86,-78,1,1071,10,0
87,-78,1,212,7,0
88,-78,1,712,4,0
89,-78,1,74,7,0
90,-78,1,335,6,0
91,-78,1,40,9,0
92,-77,1,394,8,0
93,-76,1,2231,4,0
94,-76,1,2510,3,0
95,-75,1,331,9,0
96,-74,1,1910,3,0
97,-74,1,1074,2,0
98,-74,1,242,6,0
99,-74,1,69,5,0
100,-73,1,291,10,0
101,-73,1,0,1,0
102,-73,1,394,10,0
103,-73,1,1,4,0
104,-72,1,463,4,0
105,-71,1,40,4,0
106,-71,1,8,7,0
107,-71,1,161,3,0
108,-70,1,1125,5,0
109,-70,1,796,2,0
110,-70,1,1558,2,0
111,-70,1,3026,2,0
112,-70,1,1968,4,0
113,-70,1,724,9,0
114,-70,1,96,2,0
115,-70,1,201,6,0
116,-70,1,73,6,0
117,-70,1,69,7,0
118,-70,1,185,3,0
119,-70,1,205,6,0
120,-70,1,405,9,0
121,-70,1,84,7,0
122,-69,1,431,10,0
123,-69,1,682,9,0
124,-69,1,55,12,0
125,-69,1,1759,3,0
126,-68,1,173,4,0
127,-68,1,88,9,0
128,-67,1,200,12,0
129,-67,1,1713,7,0
130,-66,1,108,8,0
131,-66,1,532,2,0
132,-66,1,632,10,0
133,-66,1,1485,5,0
134,-65,1,1915,2,0
135,-64,1,202,4,0
136,-63,1,31,1,0
137,-63,1,639,2,0
138,-63,1,1243,12,0
139,-63,1,777,8,0
140,-63,1,213,6,0
141,-63,1,354,5,0
142,-62,1,945,6,0
143,-62,1,1371,9,0
144,-61,1,248,11,0
145,-61,1,37,11,0
146,-60,1,1797,2,0
147,-60,1,133,4,0
148,-59,1,331,11,0
149,-58,1,91,7,0
150,-58,1,61,11,0
151,-58,1,3,4,0
152,-58,1,329,5,0
153,-58,1,364,4,0
154,-58,1,248,7,0
155,-58,1,557,7,0
156,-58,1,714,6,0
157,-58,1,1216,5,0
158,-58,1,27,6,0
159,-57,1,34,11,0
160,-57,1,1575,3,0
161,-57,1,22,2,0
162,-57,1,2734,4,0
163,-56,1,248,5,0
164,-56,1,1339,7,0
165,-55,1,21,2,0
166,-55,1,222,8,0
167,-55,1,3215,2,0
168,-55,1,422,2,0
169,-55,1,279,4,0
170,-55,1,5,2,0
171,-55,1,677,6,0
172,-55,1,107,2,0
173,-55,1,78,1,0
174,-55,1,885,10,0
175,-54,1,52,12,0
176,-53,1,1202,10,0
177,-52,1,926,3,0
178,-52,1,1084,7,0
179,-52,1,520,7,0
180,-52,1,2144,1,0
181,-52,1,306,8,0
182,-51,1,263,8,0
183,-51,1,635,10,0
184,-51,1,2076,3,0
185,-51,1,6,10,0
186,-51,1,75,4,0
187,-50,1,1441,8,0
188,-50,1,1,6,0
189,-50,1,659,11,0
190,-49,1,318,9,0
191,-49,1,2005,4,0
192,-49,1,415,7,0
193,-49,1,275,8,0
194,-48,1,202,8,0
195,-48,1,2505,2,0
196,-48,1,1560,4,0
197,-48,1,976,8,0
198,-48,1,395,5,0
199,-48,1,86,7,0
200,-48,1,20,5,0
201,-47,1,742,3,0
202,-47,1,469,2,0
203,-47,1,3063,1,0
204,-47,1,2654,1,0
205,-47,1,1390,6,0
206,-47,1,17,7,0
207,-47,1,2803,2,0
208,-47,1,417,6,0
209,-46,1,153,8,0
210,-46,1,3,6,0
211,-46,1,847,6,0
212,-46,1,1201,2,0
213,-46,1,159,2,0
214,-46,1,301,4,0
215,-45,1,445,10,0
216,-45,1,2771,4,0
217,-45,1,454,8,0
218,-45,1,1675,4,0
219,-44,1,168,2,0
220,-44,1,1382,4,0
221,-44,1,5,6,0
222,-44,1,247,5,0
223,-44,1,957,2,0
224,-44,1,169,3,0
225,-44,1,1031,10,0
226,-44,1,106,4,0
227,-44,1,116,10,0
228,-43,1,187,10,0
229,-42,1,88,4,0
230,-42,1,51,7,0
231,-42,1,351,6,0
232,-42,1,309,6,0
233,-41,1,1184,5,0
234,-41,1,575,2,0
235,-41,1,603,7,0
236,-40,1,419,7,0
237,-40,1,302,6,0
238,-40,1,853,11,0
239,-39,1,2425,3,0
240,-39,1,1479,3,0
241,-39,1,281,4,0
242,-39,1,380,12,0
243,-39,1,42,4,0
244,-39,1,795,7,0
245,-39,1,484,8,0
246,-39,1,78,5,0
247,-39,1,454,12,0
248,-39,1,707,4,0
249,-38,1,96,8,0
250,-37,1,331,6,0
251,-36,1,59,2,0
252,-35,1,1274,2,0
253,-34,1,878,5,0
254,-34,1,910,8,0
255,-34,1,587,7,0
256,-33,1,755,11,0
257,-32,1,796,6,0
258,-32,1,238,9,0
259,-32,1,330,8,0
260,-32,1,2123,2,0
261,-32,1,896,6,0
262,-31,1,1595,4,0
263,-31,1,2481,2,0
264,-31,1,191,8,0
265,-31,1,501,5,0
266,-30,1,5,8,0
267,-30,1,293,3,0
268,-29,1,491,5,0
269,-29,1,1016,7,0
270,-29,1,16,11,0
271,-29,1,740,3,0
272,-29,1,2,10,0
273,-29,1,704,2,0
274,-29,1,1839,6,0
275,-29,1,14,10,0
276,-29,1,292,4,0
277,-28,1,225,6,0
278,-28,1,44,2,0
279,-27,1,53,6,0
280,-27,1,438,11,0
281,-27,1,528,6,0
282,-27,1,410,2,0
283,-27,1,342,6,0
284,-27,1,572,3,0
285,-26,1,190,4,0
286,-26,1,172,10,0
287,-26,1,418,9,0
288,-25,1,487,5,0
289,-25,1,1888,3,0
290,-24,1,2255,2,0
291,-23,1,31,9,0
292,-23,1,63,10,0
293,-23,1,2316,4,0
294,-23,1,841,8,0
295,-22,1,338,7,0
296,-22,1,6,8,0
297,-22,1,0,9,0
298,-21,1,516,8,0
299,-21,1,396,1,0
300,-21,1,6,8,0
301,-21,1,178,3,0
302,-20,1,801,10,0
303,-20,1,317,11,0
304,-20,1,837,4,0
305,-20,1,10,3,0
306,-19,1,94,4,0
307,-19,1,305,8,0
308,-18,1,1903,1,0
309,-18,1,636,4,0
310,-17,1,49,8,0
311,-17,1,1908,3,0
312,-17,1,382,1,0
313,-17,1,803,2,0
314,-16,1,61,6,0
315,-16,1,424,5,0
316,-16,1,122,3,0
317,-16,1,1053,7,0
318,-16,1,165,8,0
319,-15,1,34,4,0
320,-15,1,0,7,0
321,-14,1,346,4,0
322,-14,1,74,5,0
323,-13,1,1325,9,0
324,-13,1,17,10,0
325,-13,1,19,8,0
326,-13,1,25,11,0
327,-13,1,50,2,0
328,-13,1,73,8,0
329,-13,1,931,6,0
330,-13,1,1804,3,0
331,-12,1,16,5,0
332,-12,1,26,6,0
333,-12,1,28,2,0
334,-11,1,92,5,0
335,-11,1,227,9,0
336,-11,1,115,5,0
337,-11,1,51,4,0
338,-11,1,32,7,0
339,-11,1,210,8,0
340,-11,1,285,5,0
341,-11,1,362,9,0
342,-10,1,4,8,0
343,-10,1,65,6,0
344,-9,1,368,8,0
345,-9,1,2070,3,0
346,-9,1,61,7,0
347,-9,1,2446,3,0
348,-9,1,202,8,0
349,-9,1,600,8,0
350,-8,1,362,2,0
351,-8,1,268,2,0
352,-8,1,66,10,0
353,-8,1,1802,2,0
354,-8,1,2092,3,0
355,-8,1,2177,2,0
356,-8,1,891,2,0
357,-8,1,97,6,0
358,-8,1,2,8,0
359,-8,1,796,8,0
360,-7,1,2446,2,0
361,-6,1,5,3,0
362,-6,1,205,6,0
363,-6,1,2592,3,0
364,-6,1,399,5,0
365,-5,1,164,6,0
366,-5,1,439,5,0
367,-5,1,10,7,0
368,-5,1,193,2,0
369,-4,1,173,12,0
370,-4,1,490,9,0
371,-3,1,1416,10,0
372,-3,1,212,4,0
373,-3,1,1803,4,0
374,-2,1,17,3,0
375,-2,1,1288,8,0
376,-2,1,806,4,0
377,-2,1,1727,2,0
378,-2,1,1694,4,0
379,-1,1,1081,10,0
380,0,1,148,9,60
381,1,1,518,6,60
382,1,1,2187,2,60
383,2,1,44,4,60
384,2,1,1447,6,60
385,2,1,243,11,60
386,3,1,362,10,60
387,4,1,2669,3,60
388,5,1,2478,2,120
389,5,1,460,7,120
390,6,1,189,8,120
391,6,1,208,4,120
392,6,1,1033,7,120
393,6,1,13,10,120
394,7,1,23,3,180
395,7,1,106,7,180
396,7,1,5,3,180
397,7,1,385,2,180
398,8,1,22,3,180
399,8,1,5,8,180
400,8,1,1074,3,180
401,8,1,3013,3,180
402,8,1,233,10,180
403,8,1,856,8,180
404,8,1,1381,6,180
405,8,1,1644,2,180
406,8,1,2431,1,180
407,9,1,19,10,180
408,9,1,1865,3,180
409,9,1,1465,8,180
410,9,1,1182,11,180
411,9,1,158,1,180
412,9,1,1614,2,180
413,9,1,258,6,180
414,10,1,376,4,180
415,11,1,64,1,240
416,11,1,110,5,240
417,11,1,36,9,240
418,11,1,395,4,240
419,11,1,1852,4,240
420,11,1,299,8,240
421,12,1,2829,4,300
422,12,1,835,1,300
423,12,1,2831,3,300
424,12,1,1547,6,300
425,13,1,57,5,300
426,13,1,7,1,300
427,14,1,469,4,360
428,14,1,72,5,360
429,15,1,317,6,360
430,15,1,2521,4,360
431,15,1,122,6,360
432,15,1,375,7,360
433,15,1,68,5,360
434,16,1,3,8,420
435,17,1,222,1,420
436,17,1,117,2,420
437,17,1,136,8,420
438,18,1,1521,10,480
439,18,1,1160,9,480
440,18,1,1674,1,480
441,19,1,961,7,480
442,20,1,434,6,540
443,20,1,1930,4,540
444,20,1,151,8,540
445,20,1,383,6,540
446,20,1,653,12,540
447,21,1,2824,2,540
448,21,1,99,3,540
449,21,1,3101,2,540
450,21,1,358,4,540
451,21,1,49,12,540
452,21,1,128,11,540
453,22,1,1523,2,540
454,23,1,346,6,540
455,23,1,117,9,540
456,23,1,2653,2,540
457,23,1,69,5,540
458,23,1,29,8,540
459,24,1,593,1,600
460,24,1,765,7,600
461,25,1,201,7,600
462,25,1,231,10,600
463,25,1,1031,9,600
464,25,1,1694,2,600
465,25,1,1868,1,600
466,25,1,450,6,600
467,25,1,1049,12,600
468,26,1,114,8,600
469,26,1,69,8,600
470,26,1,186,12,600
471,26,1,391,3,600
472,26,1,363,8,600
473,26,1,502,6,600
474,26,1,1721,4,600
475,26,1,1025,10,600
476,27,1,267,2,600
477,27,1,1453,2,600
478,27,1,570,3,600
479,27,1,91,10,600
480,28,1,585,12,600
481,28,1,1329,4,600
482,28,1,673,8,600
483,28,1,55,2,600
484,28,1,39,4,600
485,28,1,618,2,600
486,28,1,71,7,600
487,28,1,1080,4,600
488,28,1,584,9,600
489,28,1,24,10,600
490,29,1,1112,2,660
491,30,1,5,7,660
492,30,1,330,8,660
493,30,1,257,10,660
494,30,1,84,2,660
495,30,1,212,4,660
496,30,1,2016,2,660
497,30,1,138,6,660
498,31,1,23,2,660
499,31,1,871,8,660
500,31,1,478,8,660
501,31,1,2,6,660
502,31,1,426,2,660
503,32,1,3060,4,720
504,33,1,46,4,720
505,34,1,312,9,720
506,35,1,28,8,720
507,35,1,1670,4,720
508,35,1,124,5,720
509,35,1,582,8,720
510,35,1,105,8,720
511,36,1,214,8,720
512,36,1,501,8,720
513,37,1,562,8,720
514,37,1,57,7,720
515,37,1,297,4,720
516,37,1,28,7,720
517,38,1,1187,6,720
518,38,1,232,6,720
519,38,1,677,1,720
520,38,1,250,2,720
521,38,1,28,4,720
522,39,1,849,3,780
523,40,1,1579,6,840
524,41,1,289,4,900
525,41,1,1416,11,900
526,41,1,371,7,900
527,42,1,325,4,900
528,42,1,584,6,900
529,42,1,329,10,900
530,42,1,42,11,900
531,43,1,1309,5,900
532,43,1,0,8,900
533,43,1,106,5,900
534,44,1,321,7,960
535,44,1,403,12,960
536,45,1,79,8,960
537,45,1,1108,6,960
538,45,1,14,7,960
539,45,1,103,5,960
540,45,1,121,8,960
541,45,1,13,7,960
542,45,1,294,8,960
543,45,1,1,4,960
544,45,1,1410,10,960
545,45,1,63,8,960
546,46,1,301,8,960
547,47,1,378,6,960
548,48,1,31,6,960
549,49,1,364,10,1080
550,49,1,1991,1,1080
551,49,1,86,8,1080
552,49,1,218,6,1080
553,49,1,189,4,1080
554,49,1,161,6,1080
555,49,1,60,6,1080
556,49,1,341,10,1080
557,50,1,133,8,1080
558,50,1,205,7,1080
559,51,1,920,4,1080
560,51,1,26,8,1080
561,51,1,1623,3,1080
562,51,1,155,9,1080
563,51,1,669,8,1080
564,51,1,46,8,1080
565,51,1,483,9,1080
566,52,1,108,11,1140
567,52,1,372,12,1140
568,52,1,150,8,1140
569,52,1,866,7,1140
570,53,1,41,4,1140
571,53,1,2,8,1140
572,53,1,51,9,1140
573,53,1,309,2,1140
574,54,1,171,8,1140
575,54,1,592,6,1140
576,54,1,1086,4,1140
577,54,1,152,11,1140
578,55,1,724,2,1140
579,55,1,1,4,1140
580,56,1,976,4,1200
581,56,1,1276,2,1200
582,57,1,186,8,1200
583,57,1,2148,3,1200
584,57,1,52,2,1200
585,58,1,0,10,1200
586,59,1,392,6,1200
587,59,1,162,6,1200
588,59,1,25,6,1200
589,59,1,153,10,1200
590,60,1,168,5,1200
591,60,1,2434,1,1200
592,61,1,3039,4,1200
593,61,1,1524,5,1200
594,61,1,263,7,1200
595,61,1,717,6,1200
596,61,1,29,7,1200
597,61,1,433,7,1200
598,61,1,683,7,1200
599,62,1,653,8,1260
600,62,1,203,6,1260
601,63,1,56,8,1260
602,63,1,54,4,1260
603,63,1,220,7,1260
604,64,1,812,4,1260
605,64,1,954,9,1260
606,65,1,1779,4,1320
607,66,1,237,2,1380
608,66,1,458,6,1380
609,67,1,195,6,1380
610,68,1,932,2,1440
611,68,1,1551,2,1440
612,68,1,129,2,1440
613,68,1,381,3,1440
614,68,1,1513,1,1440
615,68,1,16,8,1440
616,68,1,1270,10,1440
617,68,1,3054,2,1440
618,69,1,158,2,1440
619,69,1,3,4,1440
620,69,1,366,1,1440
621,69,1,117,3,1440
622,69,1,144,10,1440
623,69,1,110,12,1440
624,69,1,175,10,1440
625,70,1,87,4,1440
626,70,1,898,10,1440
627,70,1,708,6,1440
628,70,1,324,6,1440
629,70,1,931,10,1440
630,71,1,745,11,1440
631,71,1,15,10,1440
632,71,1,1067,2,1440
633,71,1,17,8,1440
634,72,1,155,3,1500
635,72,1,61,7,1500
636,72,1,1011,12,1500
637,72,1,468,7,1500
638,72,1,295,11,1500
639,72,1,9,6,1500
640,73,1,191,8,1500
641,73,1,155,6,1500
642,74,1,40,4,1560
643,74,1,136,5,1560
644,75,1,193,5,1620
645,75,1,7,2,1620
646,75,1,284,3,1620
647,75,1,1445,4,1620
648,76,1,23,10,1620
649,76,1,1667,2,1620
650,76,1,1495,6,1620
651,77,1,88,8,1680
652,77,1,2204,4,1680
653,77,1,121,6,1680
654,77,1,2013,3,1680
655,77,1,677,6,1680
656,78,1,163,7,1680
657,78,1,567,10,1680
658,78,1,2,10,1680
659,79,1,270,8,1740
660,79,1,973,7,1740
661,80,1,124,6,1740
662,81,1,14,8,1740
663,81,1,126,5,1740
664,81,1,0,7,1740
665,81,1,415,8,1740
666,81,1,336,9,1740
667,82,1,2,2,1740
