sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
0,-100,1,313,3,0
1,-100,1,531,10,0
2,-100,1,431,5,0
3,-100,1,924,6,0
4,-99,1,357,8,0
5,-98,1,518,10,0
6,-97,1,627,2,0
7,-96,1,412,6,0
8,-96,1,21,4,0
9,-96,1,2524,4,0
10,-96,1,9,11,0
11,-96,1,2817,2,0
12,-96,1,1185,3,0
13,-96,1,458,4,0
14,-96,1,2007,2,0
15,-95,1,851,7,0
16,-95,1,1584,2,0
17,-94,1,355,9,0
18,-94,1,241,6,0
19,-94,1,909,2,0
20,-94,1,276,6,0
21,-94,1,97,2,0
22,-93,1,7,4,0
23,-93,1,153,11,0
24,-93,1,666,7,0
25,-92,1,153,6,0
26,-92,1,216,2,0
27,-92,1,86,4,0
28,-92,1,1977,2,0
29,-91,1,2173,2,0
30,-90,1,2554,3,0
31,-90,1,1766,4,0
32,-90,1,892,6,0
33,-90,1,980,4,0
34,-90,1,1889,10,0
35,-90,1,1346,3,0
36,-90,1,112,8,0
37,-90,1,235,12,0
38,-90,1,220,2,0
39,-90,1,503,10,0
40,-89,1,3064,2,0
41,-89,1,79,4,0
42,-89,1,297,10,0
43,-89,1,16,9,0
44,-89,1,875,10,0
45,-88,1,508,6,0
46,-88,1,1630,2,0
47,-87,1,415,2,0
48,-86,1,374,7,0
49,-85,1,130,8,0
50,-85,1,910,8,0
51,-84,1,18,12,0
52,-83,1,33,4,0
53,-82,1,97,3,0
54,-82,1,1289,12,0
55,-82,1,342,5,0
56,-82,1,474,2,0
57,-81,1,745,10,0
58,-81,1,363,11,0
59,-81,1,1732,3,0
60,-81,1,232,2,0
61,-81,1,6,7,0
62,-80,1,171,8,0
63,-80,1,0,4,0
64,-79,1,1164,4,0
65,-79,1,225,8,0
66,-79,1,2312,2,0
67,-79,1,206,4,0
68,-78,1,440,12,0
69,-78,1,641,6,0
70,-77,1,67,8,0
71,-77,1,350,12,0
72,-76,1,114,4,0
73,-76,1,1382,8,0
74,-76,1,481,10,0
75,-76,1,2858,1,0
76,-75,1,13,7,0
77,-74,1,175,5,0
78,-73,1,616,7,0
79,-73,1,982,4,0
80,-72,1,943,10,0
