order_id,order_dum,order_type,item,qty,facing,due_date,station,pod_id,status,finish_time,date,time_gen
0,0,1,295,1,-1,99999,-1,-1,-3,-1,1,60
1,0,1,19,6,-1,99999,-1,-1,-3,-1,1,60
2,0,1,5,5,-1,99999,-1,-1,-3,-1,1,60
3,1,1,1721,2,-1,99999,-1,-1,-3,-1,1,60
4,2,1,1056,10,-1,99999,-1,-1,-3,-1,1,60
5,2,1,98,8,-1,99999,-1,-1,-3,-1,1,60
6,2,1,650,10,-1,99999,-1,-1,-3,-1,1,60
7,2,1,94,4,-1,99999,-1,-1,-3,-1,1,60
8,2,1,832,9,-1,99999,-1,-1,-3,-1,1,60
9,3,1,386,2,-1,99999,-1,-1,-3,-1,1,120
10,3,1,2566,2,-1,99999,-1,-1,-3,-1,1,120
11,3,1,71,8,-1,99999,-1,-1,-3,-1,1,120
12,3,1,28,11,-1,99999,-1,-1,-3,-1,1,120
13,3,1,591,8,-1,99999,-1,-1,-3,-1,1,120
14,4,1,150,5,-1,99999,-1,-1,-3,-1,1,120
15,5,1,95,6,-1,99999,-1,-1,-3,-1,1,180
16,5,1,889,4,-1,99999,-1,-1,-3,-1,1,180
17,5,1,2033,2,-1,99999,-1,-1,-3,-1,1,180
18,6,1,1516,2,-1,99999,-1,-1,-3,-1,1,180
19,6,1,1792,2,-1,99999,-1,-1,-3,-1,1,180
20,6,1,546,7,-1,99999,-1,-1,-3,-1,1,180
21,7,1,1892,2,-1,99999,-1,-1,-3,-1,1,240
22,7,1,735,9,-1,99999,-1,-1,-3,-1,1,240
23,8,1,211,8,-1,99999,-1,-1,-3,-1,1,240
24,9,1,6,8,-1,99999,-1,-1,-3,-1,1,240
25,9,1,377,9,-1,99999,-1,-1,-3,-1,1,240
26,9,1,82,5,-1,99999,-1,-1,-3,-1,1,240
27,10,1,25,7,-1,99999,-1,-1,-3,-1,1,240
28,10,1,858,7,-1,99999,-1,-1,-3,-1,1,240
29,10,1,291,6,-1,99999,-1,-1,-3,-1,1,240
30,10,1,423,8,-1,99999,-1,-1,-3,-1,1,240
31,10,1,433,6,-1,99999,-1,-1,-3,-1,1,240
32,10,1,147,9,-1,99999,-1,-1,-3,-1,1,240
33,10,1,2856,4,-1,99999,-1,-1,-3,-1,1,240
34,11,1,1172,10,-1,99999,-1,-1,-3,-1,1,240
35,12,1,985,6,-1,99999,-1,-1,-3,-1,1,240
36,12,1,443,7,-1,99999,-1,-1,-3,-1,1,240
37,12,1,4,5,-1,99999,-1,-1,-3,-1,1,240
38,12,1,106,9,-1,99999,-1,-1,-3,-1,1,240
39,12,1,73,8,-1,99999,-1,-1,-3,-1,1,240
40,13,1,260,10,-1,99999,-1,-1,-3,-1,1,300
41,13,1,2428,2,-1,99999,-1,-1,-3,-1,1,300
42,14,1,587,6,-1,99999,-1,-1,-3,-1,1,300
43,14,1,631,10,-1,99999,-1,-1,-3,-1,1,300
44,14,1,2366,3,-1,99999,-1,-1,-3,-1,1,300
45,14,1,68,6,-1,99999,-1,-1,-3,-1,1,300
46,14,1,106,4,-1,99999,-1,-1,-3,-1,1,300
47,15,1,123,5,-1,99999,-1,-1,-3,-1,1,300
