sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
0,-100,1,444,12,0
1,-100,1,42,6,0
2,-100,1,279,3,0
3,-99,1,276,1,0
4,-99,1,79,2,0
5,-99,1,1557,4,0
6,-99,1,313,6,0
7,-99,1,471,6,0
8,-99,1,794,8,0
9,-99,1,1316,2,0
10,-98,1,109,12,0
11,-97,1,42,2,0
12,-97,1,614,3,0
13,-97,1,19,9,0
14,-97,1,2,8,0
15,-97,1,3501,3,0
16,-97,1,141,6,0
17,-97,1,17,6,0
18,-97,1,886,2,0
19,-97,1,52,2,0
20,-97,1,28,9,0
21,-97,1,86,11,0
22,-97,1,1455,3,0
23,-96,1,511,2,0
24,-96,1,1464,2,0
25,-95,1,65,6,0
26,-95,1,1474,6,0
27,-95,1,496,10,0
28,-94,1,64,7,0
29,-94,1,795,8,0
30,-93,1,544,6,0
31,-93,1,61,6,0
32,-93,1,0,5,0
33,-93,1,29,10,0
34,-93,1,176,8,0
35,-92,1,1055,1,0
36,-92,1,2435,1,0
37,-92,1,2076,2,0
38,-92,1,276,10,0
39,-91,1,62,6,0
40,-91,1,101,6,0
41,-91,1,967,8,0
42,-91,1,318,3,0
43,-91,1,224,2,0
44,-91,1,50,8,0
45,-91,1,8,5,0
46,-90,1,3285,3,0
47,-90,1,33,5,0
48,-90,1,1730,3,0
49,-90,1,401,1,0
50,-90,1,806,2,0
51,-90,1,411,8,0
52,-90,1,2599,4,0
53,-90,1,7,8,0
54,-90,1,3049,3,0
55,-90,1,377,12,0
56,-90,1,423,6,0
57,-90,1,263,1,0
58,-90,1,717,11,0
59,-89,1,3267,2,0
60,-88,1,27,6,0
61,-88,1,6,6,0
62,-88,1,3383,1,0
63,-88,1,279,2,0
64,-87,1,21,6,0
65,-87,1,35,11,0
66,-86,1,23,8,0
67,-86,1,1108,11,0
68,-86,1,2016,2,0
69,-85,1,1751,11,0
70,-85,1,128,4,0
71,-84,1,788,11,0
72,-84,1,153,8,0
73,-84,1,2277,2,0
74,-83,1,401,2,0
75,-82,1,1635,4,0
76,-82,1,2,10,0
77,-82,1,236,9,0
78,-82,1,112,10,0
79,-82,1,381,8,0
80,-82,1,980,10,0
81,-81,1,1826,3,0
82,-80,1,98,8,0
83,-80,1,514,8,0
84,-80,1,167,8,0
85,-80,1,451,7,0
86,-80,1,1359,1,0
87,-80,1,64,10,0
88,-80,1,381,12,0
89,-80,1,76,5,0
90,-80,1,604,8,0
91,-80,1,762,7,0
92,-80,1,858,5,0
93,-80,1,1156,3,0
94,-79,1,2429,2,0
95,-79,1,1980,4,0
96,-79,1,1010,9,0
97,-79,1,246,5,0
98,-79,1,76,6,0
99,-79,1,25,3,0
100,-79,1,2325,4,0
101,-79,1,1986,4,0
102,-79,1,8,9,0
103,-79,1,27,7,0
104,-79,1,614,2,0
105,-79,1,44,2,0
106,-79,1,2426,2,0
107,-79,1,99,9,0
108,-79,1,1637,2,0
109,-79,1,9,9,0
110,-78,1,3519,1,0
111,-78,1,2389,2,0
112,-77,1,5,8,0
113,-76,1,67,10,0
114,-75,1,703,3,0
115,-75,1,385,5,0
116,-74,1,2105,2,0
117,-74,1,754,7,0
118,-74,1,264,2,0
119,-74,1,719,10,0
120,-73,1,1431,2,0
121,-73,1,28,6,0
122,-73,1,171,8,0
123,-73,1,218,8,0
124,-73,1,4,8,0
125,-73,1,47,7,0
126,-73,1,1000,10,0
127,-72,1,73,8,0
128,-72,1,632,10,0
129,-72,1,1874,3,0
130,-72,1,47,7,0
131,-72,1,8,2,0
132,-71,1,637,4,0
133,-70,1,2257,4,0
134,-70,1,259,9,0
135,-70,1,691,6,0
136,-70,1,3497,4,0
137,-70,1,1245,6,0
