order_id,order_dum,order_type,item,qty,facing,due_date,station,pod_id,status,finish_time,date,time_gen
0,0,1,348,3,-1,99999,-1,-1,-3,-1,1,120
1,0,1,1053,7,-1,99999,-1,-1,-3,-1,1,120
2,0,1,25,5,-1,99999,-1,-1,-3,-1,1,120
3,0,1,1721,2,-1,99999,-1,-1,-3,-1,1,120
4,0,1,616,8,-1,99999,-1,-1,-3,-1,1,120
5,0,1,1207,6,-1,99999,-1,-1,-3,-1,1,120
6,0,1,319,7,-1,99999,-1,-1,-3,-1,1,120
7,0,1,261,3,-1,99999,-1,-1,-3,-1,1,120
8,0,1,91,4,-1,99999,-1,-1,-3,-1,1,120
9,1,1,98,5,-1,99999,-1,-1,-3,-1,1,120
10,1,1,382,1,-1,99999,-1,-1,-3,-1,1,120
11,2,1,494,10,-1,99999,-1,-1,-3,-1,1,180
12,3,1,1041,2,-1,99999,-1,-1,-3,-1,1,240
13,3,1,1265,3,-1,99999,-1,-1,-3,-1,1,240
14,4,1,10,6,-1,99999,-1,-1,-3,-1,1,240
15,4,1,304,11,-1,99999,-1,-1,-3,-1,1,240
16,4,1,123,10,-1,99999,-1,-1,-3,-1,1,240
17,4,1,224,9,-1,99999,-1,-1,-3,-1,1,240
18,4,1,47,8,-1,99999,-1,-1,-3,-1,1,240
19,5,1,532,2,-1,99999,-1,-1,-3,-1,1,360
20,5,1,606,2,-1,99999,-1,-1,-3,-1,1,360
21,5,1,721,6,-1,99999,-1,-1,-3,-1,1,360
22,6,1,73,8,-1,99999,-1,-1,-3,-1,1,420
23,6,1,429,2,-1,99999,-1,-1,-3,-1,1,420
24,6,1,1686,2,-1,99999,-1,-1,-3,-1,1,420
25,6,1,685,2,-1,99999,-1,-1,-3,-1,1,420
26,7,1,929,2,-1,99999,-1,-1,-3,-1,1,480
27,7,1,2413,3,-1,99999,-1,-1,-3,-1,1,480
28,8,1,2777,2,-1,99999,-1,-1,-3,-1,1,540
29,8,1,45,3,-1,99999,-1,-1,-3,-1,1,540
30,8,1,192,8,-1,99999,-1,-1,-3,-1,1,540
31,8,1,2798,3,-1,99999,-1,-1,-3,-1,1,540
32,8,1,872,2,-1,99999,-1,-1,-3,-1,1,540
33,8,1,355,12,-1,99999,-1,-1,-3,-1,1,540
34,9,1,66,6,-1,99999,-1,-1,-3,-1,1,540
35,10,1,37,10,-1,99999,-1,-1,-3,-1,1,600
36,10,1,1139,10,-1,99999,-1,-1,-3,-1,1,600
37,10,1,3682,3,-1,99999,-1,-1,-3,-1,1,600
38,10,1,2,6,-1,99999,-1,-1,-3,-1,1,600
39,10,1,407,7,-1,99999,-1,-1,-3,-1,1,600
40,10,1,661,7,-1,99999,-1,-1,-3,-1,1,600
41,11,1,430,6,-1,99999,-1,-1,-3,-1,1,600
42,12,1,501,6,-1,99999,-1,-1,-3,-1,1,600
43,12,1,54,4,-1,99999,-1,-1,-3,-1,1,600
44,12,1,334,12,-1,99999,-1,-1,-3,-1,1,600
45,13,1,275,5,-1,99999,-1,-1,-3,-1,1,660
46,13,1,61,10,-1,99999,-1,-1,-3,-1,1,660
47,13,1,44,6,-1,99999,-1,-1,-3,-1,1,660
48,13,1,3026,2,-1,99999,-1,-1,-3,-1,1,660
49,13,1,1051,5,-1,99999,-1,-1,-3,-1,1,660
50,14,1,236,9,-1,99999,-1,-1,-3,-1,1,660
51,14,1,1385,10,-1,99999,-1,-1,-3,-1,1,660
52,14,1,181,6,-1,99999,-1,-1,-3,-1,1,660
53,14,1,893,3,-1,99999,-1,-1,-3,-1,1,660
54,14,1,791,2,-1,99999,-1,-1,-3,-1,1,660
55,14,1,221,10,-1,99999,-1,-1,-3,-1,1,660
56,14,1,281,2,-1,99999,-1,-1,-3,-1,1,660
57,14,1,2856,4,-1,99999,-1,-1,-3,-1,1,660
58,14,1,2074,2,-1,99999,-1,-1,-3,-1,1,660
59,14,1,2,3,-1,99999,-1,-1,-3,-1,1,660
60,14,1,1146,10,-1,99999,-1,-1,-3,-1,1,660
61,14,1,329,6,-1,99999,-1,-1,-3,-1,1,660
62,14,1,415,7,-1,99999,-1,-1,-3,-1,1,660
63,14,1,1559,11,-1,99999,-1,-1,-3,-1,1,660
64,15,1,462,5,-1,99999,-1,-1,-3,-1,1,720
65,16,1,448,10,-1,99999,-1,-1,-3,-1,1,720
66,16,1,183,7,-1,99999,-1,-1,-3,-1,1,720
67,16,1,246,9,-1,99999,-1,-1,-3,-1,1,720
68,16,1,6,5,-1,99999,-1,-1,-3,-1,1,720
69,16,1,486,9,-1,99999,-1,-1,-3,-1,1,720
70,17,1,752,8,-1,99999,-1,-1,-3,-1,1,780
71,17,1,1,7,-1,99999,-1,-1,-3,-1,1,780
72,17,1,13,1,-1,99999,-1,-1,-3,-1,1,780
73,18,1,130,1,-1,99999,-1,-1,-3,-1,1,840
74,18,1,310,10,-1,99999,-1,-1,-3,-1,1,840
75,18,1,266,4,-1,99999,-1,-1,-3,-1,1,840
76,18,1,348,9,-1,99999,-1,-1,-3,-1,1,840
77,18,1,3284,4,-1,99999,-1,-1,-3,-1,1,840
78,18,1,173,3,-1,99999,-1,-1,-3,-1,1,840
79,18,1,1,8,-1,99999,-1,-1,-3,-1,1,840
80,18,1,430,6,-1,99999,-1,-1,-3,-1,1,840
81,18,1,115,4,-1,99999,-1,-1,-3,-1,1,840
82,19,1,67,6,-1,99999,-1,-1,-3,-1,1,840
83,19,1,680,2,-1,99999,-1,-1,-3,-1,1,840
84,20,1,732,11,-1,99999,-1,-1,-3,-1,1,840
85,21,1,202,5,-1,99999,-1,-1,-3,-1,1,900
86,21,1,1726,3,-1,99999,-1,-1,-3,-1,1,900
87,21,1,582,7,-1,99999,-1,-1,-3,-1,1,900
88,21,1,334,4,-1,99999,-1,-1,-3,-1,1,900
89,21,1,249,6,-1,99999,-1,-1,-3,-1,1,900
90,21,1,247,4,-1,99999,-1,-1,-3,-1,1,900
91,21,1,997,2,-1,99999,-1,-1,-3,-1,1,900
92,21,1,144,12,-1,99999,-1,-1,-3,-1,1,900
93,21,1,262,2,-1,99999,-1,-1,-3,-1,1,900
94,21,1,343,2,-1,99999,-1,-1,-3,-1,1,900
95,21,1,654,7,-1,99999,-1,-1,-3,-1,1,900
96,22,1,170,2,-1,99999,-1,-1,-3,-1,1,900
97,22,1,17,7,-1,99999,-1,-1,-3,-1,1,900
98,22,1,577,6,-1,99999,-1,-1,-3,-1,1,900
99,22,1,1367,10,-1,99999,-1,-1,-3,-1,1,900
100,22,1,222,4,-1,99999,-1,-1,-3,-1,1,900
101,22,1,69,7,-1,99999,-1,-1,-3,-1,1,900
102,22,1,1986,2,-1,99999,-1,-1,-3,-1,1,900
103,23,1,188,3,-1,99999,-1,-1,-3,-1,1,900
104,23,1,0,8,-1,99999,-1,-1,-3,-1,1,900
105,23,1,784,12,-1,99999,-1,-1,-3,-1,1,900
106,24,1,13,10,-1,99999,-1,-1,-3,-1,1,900
107,24,1,2100,2,-1,99999,-1,-1,-3,-1,1,900
108,24,1,2186,2,-1,99999,-1,-1,-3,-1,1,900
109,24,1,354,8,-1,99999,-1,-1,-3,-1,1,900
110,24,1,2301,3,-1,99999,-1,-1,-3,-1,1,900
111,24,1,597,8,-1,99999,-1,-1,-3,-1,1,900
112,24,1,762,6,-1,99999,-1,-1,-3,-1,1,900
113,24,1,2701,4,-1,99999,-1,-1,-3,-1,1,900
114,24,1,276,8,-1,99999,-1,-1,-3,-1,1,900
115,24,1,1262,8,-1,99999,-1,-1,-3,-1,1,900
116,24,1,538,8,-1,99999,-1,-1,-3,-1,1,900
117,25,1,533,4,-1,99999,-1,-1,-3,-1,1,960
118,25,1,388,6,-1,99999,-1,-1,-3,-1,1,960
119,25,1,116,4,-1,99999,-1,-1,-3,-1,1,960
120,26,1,389,5,-1,99999,-1,-1,-3,-1,1,960
121,27,1,22,4,-1,99999,-1,-1,-3,-1,1,960
122,27,1,817,8,-1,99999,-1,-1,-3,-1,1,960
123,27,1,8,11,-1,99999,-1,-1,-3,-1,1,960
124,27,1,130,4,-1,99999,-1,-1,-3,-1,1,960
125,27,1,400,4,-1,99999,-1,-1,-3,-1,1,960
126,27,1,27,9,-1,99999,-1,-1,-3,-1,1,960
127,27,1,2192,2,-1,99999,-1,-1,-3,-1,1,960
128,27,1,121,11,-1,99999,-1,-1,-3,-1,1,960
129,28,1,669,10,-1,99999,-1,-1,-3,-1,1,1140
130,28,1,174,10,-1,99999,-1,-1,-3,-1,1,1140
131,28,1,224,1,-1,99999,-1,-1,-3,-1,1,1140
132,29,1,1128,1,-1,99999,-1,-1,-3,-1,1,1140
133,29,1,38,2,-1,99999,-1,-1,-3,-1,1,1140
134,29,1,35,2,-1,99999,-1,-1,-3,-1,1,1140
135,30,1,219,3,-1,99999,-1,-1,-3,-1,1,1140
136,30,1,269,4,-1,99999,-1,-1,-3,-1,1,1140
137,30,1,1343,5,-1,99999,-1,-1,-3,-1,1,1140
138,30,1,115,10,-1,99999,-1,-1,-3,-1,1,1140
139,30,1,1298,12,-1,99999,-1,-1,-3,-1,1,1140
140,30,1,1116,8,-1,99999,-1,-1,-3,-1,1,1140
141,30,1,46,6,-1,99999,-1,-1,-3,-1,1,1140
142,30,1,316,5,-1,99999,-1,-1,-3,-1,1,1140
143,30,1,299,6,-1,99999,-1,-1,-3,-1,1,1140
144,30,1,345,4,-1,99999,-1,-1,-3,-1,1,1140
145,30,1,2322,1,-1,99999,-1,-1,-3,-1,1,1140
146,30,1,963,4,-1,99999,-1,-1,-3,-1,1,1140
147,30,1,976,9,-1,99999,-1,-1,-3,-1,1,1140
148,30,1,87,4,-1,99999,-1,-1,-3,-1,1,1140
149,31,1,121,6,-1,99999,-1,-1,-3,-1,1,1140
150,31,1,261,3,-1,99999,-1,-1,-3,-1,1,1140
151,32,1,108,4,-1,99999,-1,-1,-3,-1,1,1140
152,32,1,36,10,-1,99999,-1,-1,-3,-1,1,1140
153,32,1,2351,4,-1,99999,-1,-1,-3,-1,1,1140
154,32,1,122,10,-1,99999,-1,-1,-3,-1,1,1140
155,32,1,30,7,-1,99999,-1,-1,-3,-1,1,1140
156,32,1,680,6,-1,99999,-1,-1,-3,-1,1,1140
157,32,1,171,8,-1,99999,-1,-1,-3,-1,1,1140
158,32,1,263,3,-1,99999,-1,-1,-3,-1,1,1140
159,32,1,1555,2,-1,99999,-1,-1,-3,-1,1,1140
160,32,1,113,8,-1,99999,-1,-1,-3,-1,1,1140
