item_code,item_name,order_frequency,total_qty,avg_qty_per_order,days_ordered,best_fit,poisson_p,normal_p,note
10000001001,可口可樂Zero 600ml,25,175,6.730769230769231,15,poisson,0.4674,0.364,
10000002001,可口可樂2L,686,9554,12.858681022880216,21,poisson,0.0,0.0,
10000003001,百事可樂330ml,153,2820,18.31168831168831,21,poisson,0.7912,0.0,
10000004001,百事可樂2L,146,2104,14.026666666666667,20,poisson,0.0033,0.0,
10000005001,可口可樂330ml,516,11538,21.728813559322035,21,poisson,0.0754,0.0,
10000006001,Dr. Pepper 可樂,3,13,4.333333333333333,3,poisson,1.0,0.0,
10000007001,可口可樂 Zero 330ml,301,5688,18.710526315789473,21,poisson,0.1002,0.0,
10000008001,可口可樂纖維+ 1250ml 可樂纖維+ 1.25L,4,60,15.0,4,poisson,1.0,0.0,
10000010001,可口可樂 Zero 2L,181,1686,9.016042780748664,21,poisson,0.0589,0.0,
10000011001,可口可樂 Can 250 ml,1119,57432,49.76776429809359,21,poisson,0.0003,0.0,
10000012001,可口可樂Pet 600ml,118,1508,12.462809917355372,19,poisson,0.6897,0.0,
10000013001,百事可樂 Can250ml,53,1392,26.264150943396228,13,poisson,0.0015,0.0,
10000021001,可口可樂纖維+ Can330ml 可樂纖維+Can,81,1139,13.55952380952381,20,poisson,0.211,0.0,
10000022001,可口可樂1250ml 可口可樂,65,314,4.617647058823529,20,poisson,0.593,0.0,
10000023001,百事可樂 - 600ml,24,124,4.96,14,poisson,0.7438,0.6809,
10000026001,可口可樂Can 235ml 可口可樂Can,506,7232,14.236220472440944,21,poisson,0.0273,0.0,
10000027001,可口可樂纖維+ Pet 600ml,65,1264,15.228915662650602,19,poisson,0.3135,0.0,
10000998001,可樂雪碧350ml*12入組 可樂雪碧12入,645,845,1.310077519379845,21,poisson,0.0094,0.0,
10001001001,七喜汽水2L,158,906,5.734177215189874,21,poisson,0.0165,0.0,
10001004001,雪碧汽水2L,440,2885,6.497747747747748,21,poisson,0.3552,0.0,
