item_code,item_name,abc_kmeans,distribution,mean_order_freq,std_order_freq,cv,cv_class,full_class
10000001001,可口可樂Zero 600ml,B,poisson,1.2381,1.1127,0.8987,1,medium demand - volatile
10000002001,可口可樂2L,A,poisson,35.381,5.9482,0.1681,0,high demand - stable
10000003001,百事可樂330ml,A,poisson,7.3333,2.708,0.3693,0,high demand - stable
10000004001,百事可樂2L,A,poisson,7.1429,2.6726,0.3742,0,high demand - stable
10000005001,可口可樂330ml,A,poisson,25.2857,5.0285,0.1989,0,high demand - stable
10000006001,Dr. Pepper 可樂,C,poisson,0.1429,0.378,2.6458,2,low demand - intermittent
10000007001,可口可樂 Zero 330ml,A,poisson,14.4762,3.8048,0.2628,0,high demand - stable
10000008001,可口可樂纖維+ 1250ml 可樂纖維+ 1.25L,C,poisson,0.1905,0.4364,2.2913,2,low demand - intermittent
10000010001,可口可樂 Zero 2L,A,poisson,8.9048,2.9841,0.3351,0,high demand - stable
10000011001,可口可樂 Can 250 ml,A,poisson,54.9524,7.413,0.1349,0,high demand - stable
10000012001,可口可樂Pet 600ml,A,poisson,5.7619,2.4004,0.4166,0,high demand - stable
10000013001,百事可樂 Can250ml,A,poisson,2.5238,1.5887,0.6295,1,high demand - volatile
10000021001,可口可樂纖維+ Can330ml 可樂纖維+Can,A,poisson,4.0,2.0,0.5,0,high demand - stable
10000022001,可口可樂1250ml 可口可樂,A,poisson,3.2381,1.7995,0.5557,1,high demand - volatile
10000023001,百事可樂 - 600ml,B,poisson,1.1905,1.0911,0.9165,1,medium demand - volatile
10000026001,可口可樂Can 235ml 可口可樂Can,A,poisson,24.1905,4.9184,0.2033,0,high demand - stable
10000027001,可口可樂纖維+ Pet 600ml,A,poisson,3.9524,1.9881,0.503,1,high demand - volatile
10000998001,可樂雪碧350ml*12入組 可樂雪碧12入,A,poisson,30.7143,5.542,0.1804,0,high demand - stable
10001001001,七喜汽水2L,A,poisson,7.5238,2.743,0.3646,0,high demand - stable
10001004001,雪碧汽水2L,A,poisson,21.1429,4.5981,0.2175,0,high demand - stable
10001005001,七喜汽水330ml,A,poisson,4.8095,2.1931,0.456,0,high demand - stable
10001006001,雪碧汽水330ml,A,poisson,27.3333,5.2281,0.1913,0,high demand - stable
10001007001,黑松汽水-600毫升,B,poisson,0.9048,0.9512,1.0513,2,medium demand - intermittent
10001008001,黑松汽水2L 黑松汽水,A,poisson,2.9524,1.7182,0.582,1,high demand - volatile
10001009001,黑松沙士245ml,A,poisson,27.381,5.2327,0.1911,0,high demand - stable
10001010001,雪碧汽水1250ml 雪碧汽水,C,poisson,0.2381,0.488,2.0494,2,low demand - intermittent
10001012001,雪碧汽水Can 250 ml,A,poisson,22.5238,4.7459,0.2107,0,high demand - stable
10001014001,雪碧易開罐235ml 雪碧易開罐235m,A,poisson,7.8571,2.8031,0.3568,0,high demand - stable
10001015001,雪碧汽水600ml 雪碧汽水寶特瓶,A,poisson,3.0952,1.7593,0.5684,1,high demand - volatile
10001020001,黑松CC檸檬氣泡飲can 330ml 黑松CC檸檬氣,A,poisson,5.619,2.3705,0.4219,0,high demand - stable
10001022001,黑松CC檸檬氣泡飲PET 500ml 黑松CC檸檬氣,A,poisson,6.0952,2.4689,0.405,0,high demand - stable
10001025001,黑松汽水Can 245ml 黑松汽水245ml,A,poisson,14.0476,3.748,0.2668,0,high demand - stable
10001035001,黑松CC氣泡飲葡萄 500ml,A,poisson,4.3333,2.0817,0.4804,0,high demand - stable
10001041001,Mountain Dew 激浪汽水 500ml,B,poisson,1.1905,1.0911,0.9165,1,medium demand - volatile
10001043001,雪碧纖維+ Pet 600ml,A,poisson,3.0952,1.7593,0.5684,1,high demand - volatile
10001044001,黑松CC乳酸菌氣泡飲 510ml,C,poisson,0.1429,0.378,2.6458,2,low demand - intermittent
10002001001,維他露P 250ml,A,poisson,15.0952,3.8853,0.2574,0,high demand - stable
10002003001,黑松加鹽沙士600 ml PET600加鹽沙士,A,poisson,8.1905,2.8619,0.3494,0,high demand - stable
10002005001,蘋果西打330ml,A,poisson,17.4762,4.1805,0.2392,0,high demand - stable
10002006001,蘋果西打2L,A,poisson,20.4286,4.5198,0.2212,0,high demand - stable
10002007001,芬達橘子汽水330ml 芬達汽水,A,poisson,9.5238,3.0861,0.324,0,high demand - stable
10002008001,加鹽黑松沙士Can245ml,A,poisson,19.2381,4.3861,0.228,0,high demand - stable
10002009001,黑松沙士600 ml 黑松沙士,A,poisson,11.9524,3.4572,0.2892,0,high demand - stable
10002010001,維大力汽水255 ml,A,poisson,11.381,3.3736,0.2964,0,high demand - stable
10002011001,金車麥根沙士PET585ml,B,poisson,0.381,0.6172,1.6202,2,medium demand - intermittent
10002012001,維他露P 330 ml 維他露P,A,poisson,3.4762,1.8645,0.5363,1,high demand - volatile
10002013001,AW 麥根沙士,C,poisson,0.1905,0.4364,2.2913,2,low demand - intermittent
10002014001,維大力汽水Can330ml,A,poisson,7.381,2.7168,0.3681,0,high demand - stable
10002017001,黑松沙士2L,A,poisson,9.9048,3.1472,0.3177,0,high demand - stable
10002018001,黑松沙士330ml,A,poisson,39.2381,6.264,0.1596,0,high demand - stable
10002019001,維大力加鹽沙士Can330 ml,A,poisson,18.5714,4.3095,0.232,0,high demand - stable
10002021001,蘋果西打-250ml,A,poisson,22.7143,4.766,0.2098,0,high demand - stable
10002025001,黑松沙士1250 ml 黑松沙士,A,poisson,4.7143,2.1712,0.4606,0,high demand - stable
10002026001,芬達汽水橘子口味600ml,C,poisson,0.1905,0.4364,2.2913,2,low demand - intermittent
10002035001,維大力汽水2L,A,poisson,9.2857,3.0472,0.3282,0,high demand - stable
10002037001,七星藍莓汽泡香檳飲料750ml 七星藍莓汽泡香,B,poisson,0.3333,0.5774,1.7321,2,medium demand - intermittent
10002038001,七星紅葡萄氣泡香檳飲料750ml 七星紅葡萄氣泡,B,poisson,0.4286,0.6547,1.5275,2,medium demand - intermittent
10002039001,七星白葡萄汽泡香檳飲料750 ml,C,poisson,0.1905,0.4364,2.2913,2,low demand - intermittent
10002040001,芬達橘子汽水2L 芬達橘子汽水,A,poisson,4.1905,2.0471,0.4885,0,high demand - stable
10002045001,黑松加鹽沙士2L,A,poisson,12.4286,3.5254,0.2837,0,high demand - stable
10002046001,金車麥根沙士can330ml,A,poisson,7.0476,2.6547,0.3767,0,high demand - stable
10002051001,維他露P 2L,B,poisson,0.4762,0.6901,1.4491,2,medium demand - intermittent
10002069001,金車麥根沙士Pet 2000ml 麥根沙士2000ml,A,poisson,3.0,1.7321,0.5774,1,high demand - volatile
10002071001,金車奧利多水Pet585ml 奧利多水585ml,A,poisson,7.0476,2.6547,0.3767,0,high demand - stable
10002072001,金車奧利多水Pet2000ml,A,poisson,3.1905,1.7862,0.5599,1,high demand - volatile
