item_code,order_frequency,total_quantity,abc_class
10021026001,2552,2842,A
14503003001,2447,11781,A
14023056001,1908,3504,A
10021025001,1666,62556,A
14805012001,1441,15996,A
14804007001,1281,16854,A
14010040001,1258,2544,A
14502009001,1210,15360,A
14500000001,1183,13295,A
10000011001,1063,39576,A
10033043001,1043,9186,A
14020026001,881,1805,A
14112013001,857,1344,A
10002018001,816,13134,A
14831007001,810,6843,A
14502014001,799,3318,A
14505013001,797,10170,A
14000057001,791,1160,A
14102249001,765,1183,A
10021008001,754,26952,A
14821003001,753,3558,A
14011003001,743,1111,A
10035035001,742,22308,A
14502011001,715,5757,A
10031013001,713,13464,A
14840003001,712,5392,A
14840006001,706,3243,A
14501010001,700,4086,A
10034042001,700,17754,A
10032006001,694,19482,A
10010002001,693,19488,A
14611010001,690,1077,A
14203017001,683,1225,A
14832021001,681,3636,A
14102250001,677,1005,A
14131033001,658,870,A
10031001001,654,17598,A
14505016001,654,3837,A
10021035001,648,3291,A
10032013001,648,11724,A
10031005001,645,17514,A
10000998001,645,845,A
14112007001,644,1024,A
10033018001,642,10664,A
10032016001,627,17178,A
10033004001,621,11746,A
15020047001,609,23706,A
10033025001,603,13884,A
14131047001,583,860,A
14501012001,572,1656,A
10001006001,571,9792,A
10001009001,570,19464,A
14110015001,565,986,A
14021010001,561,1070,A
14501045001,559,3216,A
14133023001,552,919,A
14505009001,549,741,A
14011053001,548,3088,A
10032047001,544,13464,A
14500013001,538,4617,A
14510039001,535,1483,A
14810006001,535,2565,A
10034019001,529,14226,A
14501063001,521,4326,A
10033037001,521,16308,A
10000005001,515,11430,A
14010011001,511,777,A
10000026001,506,7232,A
14112014001,505,754,A
14110009001,502,1295,A
14100003001,501,752,A
14501022001,498,2728,A
14121106001,495,1173,A
14133003001,495,799,A
14000039001,492,818,A
14131041001,489,701,A
14505041001,489,9160,A
14502077001,486,4143,A
14503019001,483,3261,A
14101025001,483,743,A
14000197001,482,1102,A
10030048001,478,6672,A
10002021001,477,15072,A
10030007001,475,6252,A
14500037001,473,549,A
14820012001,471,2112,A
14000032001,470,707,A
14113066001,469,713,A
10001012001,466,14976,A
10032010001,465,11424,A
14810016001,464,2481,A
14011052001,464,3564,A
14011028001,462,646,A
14001042001,461,649,A
14020053001,458,916,A
14501014001,456,5010,A
14805013001,453,697,A
14011032001,452,737,A
14104118001,451,687,A
10000002001,448,2077,A
14000006001,448,659,A
14001047001,446,687,A
14104012001,442,652,A
14505014001,442,3912,A
10033064001,433,7908,A
14121014001,422,671,A
14132015001,421,674,A
10010035001,416,10926,A
14104129001,414,534,A
14502006001,412,2093,A
10010004001,408,10866,A
14121019001,407,679,A
14130007001,404,592,A
14505899001,403,6300,A
14510050001,403,796,A
10002008001,396,13728,A
14502081001,395,4666,A
10034025001,395,10488,A
10002102001,395,9690,A
10001004001,394,1498,A
10040039001,394,1318,A
10002006001,393,1133,A
14101048001,387,596,A
14503000001,386,4705,A
10030023001,385,478,A
14830010001,385,1905,A
10002019001,385,8430,A
12201105001,382,940,A
14832018001,371,2529,A
10021006001,364,9676,A
10021001001,364,13320,A
10002005001,362,4908,A
14501011001,361,980,A
14011034001,360,524,A
14003029001,358,623,A
14103009001,358,477,A
14501013001,356,2430,A
14000017001,355,510,A
10020007001,351,9060,A
14131075001,351,528,A
14000073001,350,518,A
10035034001,350,10902,A
10002992001,350,439,A
14102246001,350,494,A
10033057001,349,5932,A
14001045001,349,538,A
14502026001,348,980,A
10031910001,346,10176,A
14102258001,345,464,A
10040062001,342,6528,A
14000196001,342,790,A
10032008001,341,8700,A
14500010001,341,3285,A
10014090001,340,9180,A
14011059001,339,523,A
14820014001,339,1497,A
14104002001,339,525,A
10033015001,337,5052,A
14133922001,335,422,A
14010247001,333,531,A
10030013001,332,7836,A
14003041001,331,558,A
14820028001,329,2653,A
14502041001,325,3860,A
14506087001,325,408,A
10033041001,324,6462,A
14121020001,323,772,A
10034003001,323,8220,A
10040004001,320,1068,A
14010034001,319,517,A
10002001001,317,9672,A
14370004001,316,882,A
14120012001,316,434,A
14820013001,316,1548,A
14011031001,315,434,A
14244003001,311,557,A
14615017001,310,871,A
10040063001,310,11544,A
14022019001,309,563,A
14820045001,308,405,A
14023047001,308,411,A
10033013001,307,5764,A
14002002001,305,432,A
14805016001,304,3492,A
14820008001,302,3267,A
14131027001,301,469,A
10000007001,301,5688,A
14121068001,300,719,A
14370020001,299,835,A
14132031001,297,449,A
14500042001,295,357,A
10034036001,294,6762,A
10001025001,294,8856,A
14505917001,294,4395,A
14833010001,289,1320,A
14510107001,288,745,A
12220012001,287,577,A
14831020001,287,2037,A
14110106001,286,695,A
14521157001,285,994,A
14840017001,285,1338,A
14505138001,285,1722,A
14504055001,284,1925,A
14104067001,283,441,A
14112016001,282,377,A
10031031001,281,5393,A
14010031001,275,426,A
10021016001,275,5916,A
10040025001,274,895,A
10033074001,273,3348,A
11103136001,273,943,A
14504006001,273,2787,A
14505005001,272,2695,A
14503013001,271,2391,A
10035021001,271,6700,A
14121074001,270,441,A
14022032001,269,336,A
14600005001,269,688,A
14000011001,269,349,A
14132229001,268,305,A
14830009001,267,1440,A
10035015001,265,4122,A
10041067001,263,7388,A
10033068001,263,7536,A
14104017001,263,411,A
14510258001,262,580,A
14112041001,261,320,A
14121063001,261,451,A
15021001001,261,7266,A
14502012001,260,2935,A
12201079001,259,5556,A
10030003001,259,3324,A
14001017001,258,417,A
14501086001,256,981,A
14600023001,256,595,A
14001090001,256,608,A
10031033001,256,4192,A
14001049001,254,378,A
14200069001,254,357,A
10034999001,253,5676,A
14000022001,253,566,A
14502004001,252,1276,A
10002045001,252,713,A
10033050001,251,3468,A
14502111001,251,1032,A
14502015001,251,1629,A
14620907001,250,448,A
14020031001,249,355,A
12220002001,249,317,A
10040026001,249,836,A
14830069001,248,1149,A
14231003001,247,440,A
14500023001,246,1296,A
10011003001,246,2706,A
14110054001,246,391,A
14001093001,246,385,A
14011024001,246,333,A
14204059001,243,338,A
14023049001,243,333,A
10021027001,242,7968,A
10031916001,242,319,A
14223003001,242,368,A
10034004001,242,5076,A
14520065001,241,768,A
14810001001,239,1059,A
14131025001,239,348,A
14501005001,238,1101,A
14804012001,237,308,A
14501026001,237,626,A
15020050001,236,9432,A
14010210001,236,306,A
10002010001,236,7776,A
10014028001,236,5844,A
14353039001,236,332,A
14023006001,235,352,A
10013003001,234,4158,A
10033030001,233,3252,A
10033005001,233,4848,A
14505115001,232,2644,A
14510139001,232,349,A
10002009001,232,3356,A
14620014001,231,388,A
10034011001,229,4986,A
14509001001,229,381,A
14121017001,229,320,A
10032019001,229,6396,A
14023248001,229,478,A
11103021001,227,726,A
14112018001,227,331,A
14502010001,227,1952,A
14011095001,227,371,A
14501004001,226,2995,A
14023015001,225,447,A
10015007001,225,7128,A
14616006001,225,388,A
15023012001,224,3679,A
10002907001,224,3408,A
14131092001,224,339,A
14501902001,223,2056,A
14110084001,222,300,A
10015010001,222,5766,A
14621041001,222,519,A
14500056001,221,658,A
14204041001,220,506,A
14502078001,220,1962,A
14010036001,219,337,A
10014023001,219,4944,A
14612018002,218,370,A
14001052001,218,414,A
14831002001,217,924,A
14503005001,216,1868,A
14801002001,215,984,A
14610002001,215,379,A
14130017001,215,286,A
14102238001,214,292,A
14023127001,214,352,A
10040005001,212,7098,A
14501038001,212,921,A
10034014001,212,4314,A
14010212001,211,276,A
14611022001,210,288,A
14003019001,209,348,A
14132050001,209,329,A
10011001001,209,4860,A
14501016001,209,1359,A
14120019001,208,342,A
14505011001,208,1088,A
14111001001,207,290,A
10011016001,207,4482,A
14611002001,205,367,A
