item_code,item_name,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_unit,item_order_frequency,item_relative_importance,item_quantity_order_mean,item_quantity_order_std,item_quantity_order_total,item_quantity_order_unique,item_quantity_order_unique_frequency,item_class,item_initial_quantity_inventory,mean_daily_demand,std_daily_demand,cv,adi,cv2,demand_pattern,cv_class,rop_global,slots_needed
14503003001,來一客-鮮蝦魚板 63g,46.0,33.0,20.0,30360.0,3.0,24.0,1265.0,PCS,2477.0,0.0169363843935934,5.231,5.434,13056,"[1, 2, 3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 39, 48, 54]","[1, 1, 1424, 959, 4, 3, 4, 2, 1, 67, 6, 4, 1, 1, 16, 2]",A,1087,563.1429,225.0483,0.3996,1.0,0.1597,smooth,0,255,46
14023056001,樂事意合組合包,52.0,40.0,23.0,47840.0,4.86,12.0,3986.7,PCS,1917.0,0.0233262778953684,1.954,2.756,3763,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 18, 22, 24, 30, 38, 41, 52]","[1314, 321, 89, 55, 39, 27, 9, 14, 8, 10, 9, 22, 1, 1, 1, 1, 1, 1, 1, 1, 1]",A,309,167.1429,85.9589,0.5143,1.0,0.2645,smooth,1,71,26
14804007001,泰山八寶粥 375g,41.0,28.0,13.0,14924.0,10.8,24.0,621.8,PCS,1283.0,0.0475658739021016,13.309,13.721,17208,"[2, 4, 6, 8, 12, 18, 22, 24, 30, 36, 42, 48, 54, 60, 72, 144, 192]","[4, 3, 734, 1, 234, 47, 2, 176, 6, 4, 1, 60, 4, 2, 13, 1, 1]",A,1642,803.4286,360.0695,0.4482,1.0,0.2009,smooth,0,397,18
14010040001,科學麵20合1 Min 家庭號,38.0,33.0,21.0,26334.0,3.81,10.0,2633.4,PCS,1258.0,0.0517591373477108,1.987,2.036,2567,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 16]","[789, 275, 79, 49, 23, 24, 6, 10, 2, 13, 2, 19, 1]",A,267,122.2381,87.8697,0.7188,1.0,0.5167,erratic,1,66,14
14502009001,統一肉燥(包) 85g,37.0,37.0,14.0,19166.0,2.99,30.0,638.9,PCS,1210.0,0.0557924034599423,12.658,13.593,15455,"[1, 5, 9, 10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 65, 70, 75]","[1, 628, 1, 358, 4, 1, 5, 155, 5, 4, 2, 2, 51, 1, 1, 2]",A,1305,735.9524,244.4669,0.3322,1.0,0.1103,smooth,0,293,15
14500000001,味味A排骨雞麵(袋) 90g,41.0,32.0,13.0,17056.0,3.55,30.0,568.5,PCS,1184.0,0.0597390043499275,11.199,12.063,13820,"[5, 10, 15, 20, 25, 30, 35, 40, 45, 55, 60, 70, 120]","[732, 288, 10, 9, 9, 147, 2, 1, 2, 1, 30, 2, 1]",A,1246,650.9524,361.2915,0.555,1.0,0.308,smooth,1,291,14
10000011001,可口可樂 Can 250 ml,40.0,27.0,10.0,10800.0,6.76,24.0,450.0,PCS,1119.0,0.0634689421842969,49.179,68.295,58080,"[24, 48, 72, 96, 120, 144, 192, 240, 288, 480]","[683, 359, 62, 16, 5, 6, 8, 10, 12, 20]",A,3933,1915.4286,1226.2008,0.6402,1.0,0.4098,smooth,1,953,33
10033043001,御茶園台灣四季春PET550ml,41.0,27.0,24.0,26568.0,14.3,24.0,1107.0,PCS,1052.0,0.070655489075182,9.284,11.864,9860,"[2, 4, 8, 12, 16, 18, 20, 22, 24, 28, 32, 48, 52, 64, 72, 96]","[6, 769, 73, 27, 13, 1, 6, 1, 106, 4, 2, 45, 2, 2, 4, 1]",A,828,440.1905,235.4255,0.5348,1.0,0.286,smooth,1,192,18
14020026001,卡迪那95度C 北海道薯條-鹽味,42.0,22.0,13.0,12012.0,2.11,12.0,1001.0,PCS,881.0,0.0833052782453625,2.01,1.941,1821,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 15]","[537, 187, 69, 38, 27, 14, 6, 7, 7, 7, 6, 1]",A,172,86.7143,51.6809,0.596,1.0,0.3552,smooth,1,41,4
14112013001,義美巧克力小泡芙 (三入),40.0,28.0,31.0,34720.0,3.33,10.0,3472.0,PCS,870.0,0.0862052299128347,1.737,2.003,1530,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 20, 30]","[606, 167, 44, 24, 7, 9, 3, 2, 3, 4, 1, 9, 1, 1]",A,129,64.2857,39.2315,0.6103,1.0,0.3724,smooth,1,31,13
