sku_i,sku_j,cooc,n_i,n_j,jaccard
12121064001,12122032001,93,168,153,0.40789473684210525
30010002001,30011002001,32,60,57,0.3764705882352941
14501011001,14502026001,149,361,348,0.26607142857142857
14501011001,14501012001,193,361,572,0.2608108108108108
14020026001,14021010001,295,881,561,0.25719267654751526
14361099001,14361101001,48,113,132,0.2436548223350254
14501902001,14502010001,84,223,227,0.22950819672131148
14112007001,14112013001,279,644,857,0.22831423895253683
10040004001,10040025001,110,320,274,0.22727272727272727
10002943001,10002944001,48,138,122,0.22641509433962265
14311004001,14311005001,56,181,124,0.2248995983935743
14020022001,14021088001,33,110,70,0.22448979591836735
11103015001,11103375001,27,79,69,0.2231404958677686
14506065001,14506072001,53,129,163,0.2217573221757322
14820012001,14840006001,212,471,706,0.21968911917098446
14222068001,14222072001,52,160,129,0.21940928270042195
14020053001,14023127001,120,458,214,0.21739130434782608
14222068001,14222114001,46,160,99,0.215962441314554
14821003001,14840006001,256,753,706,0.21280133000831256
12011033001,12011168001,23,74,58,0.21100917431192662
10052020001,10052025001,25,70,74,0.21008403361344538
11103015001,11103070001,34,79,119,0.2073170731707317
14820012001,14820014001,139,471,339,0.20715350223546944
14222072001,14222114001,39,129,99,0.20634920634920634
12011033001,12011412001,21,74,51,0.20192307692307693
14501012001,14502026001,154,572,348,0.2010443864229765
10001022001,10001035001,36,128,89,0.19889502762430938
14504008001,14504028001,37,123,101,0.19786096256684493
14504052001,14504053001,37,123,103,0.19576719576719576
10040004001,10040049001,75,320,140,0.19480519480519481
14222072001,14222095001,32,129,70,0.19161676646706588
14112009001,14112021001,29,70,111,0.19078947368421054
14001007001,14001060001,21,63,69,0.1891891891891892
14510025001,14510041001,37,121,112,0.18877551020408162
14010011001,14011032001,151,511,452,0.18596059113300492
14505105001,14505106001,25,93,68,0.18382352941176472
14023047001,14023049001,83,308,243,0.17735042735042736
14804007001,14805012001,401,1281,1441,0.17277035760448084
14500013001,14501063001,156,538,521,0.17275747508305647
14131020001,14131043001,38,173,85,0.17272727272727273
14502014001,14503003001,478,799,2447,0.1726878612716763
10012004001,10014092001,29,123,74,0.17261904761904762
14820012001,14821003001,180,471,753,0.1724137931034483
10030007001,10030048001,140,475,478,0.17220172201722017
14133029001,14133030001,35,135,104,0.1715686274509804
10011001001,10013005001,54,209,161,0.17088607594936708
14121068001,14121106001,115,300,495,0.16911764705882354
14010034001,14011032001,110,319,452,0.1664145234493192
14505099001,14505138001,64,167,285,0.16494845360824742
14121020001,14121106001,115,323,495,0.16358463726884778
14506070001,14506090001,23,59,106,0.1619718309859155
14361100001,14361106001,37,85,183,0.16017316017316016
14501010001,14501045001,173,700,559,0.15930018416206262
14820014001,14840006001,143,339,706,0.15853658536585366
14361099001,14361100001,27,113,85,0.15789473684210525
10040025001,10040039001,91,274,394,0.15771230502599654
14222095001,14222114001,23,70,99,0.15753424657534246
11103050001,11103090001,37,106,166,0.1574468085106383
10011023001,10012006001,29,119,95,0.15675675675675677
14011024001,14011031001,76,246,315,0.15670103092783505
10040026001,10040039001,86,249,394,0.15439856373429084
10021025001,10021026001,564,1666,2552,0.15435139573070608
14820014001,14821003001,146,339,753,0.1543340380549683
14501928001,14501929001,20,67,83,0.15384615384615385
14121020001,14121068001,83,323,300,0.1537037037037037
14112013001,14112014001,181,857,505,0.15325994919559696
14851025001,14851058001,39,126,168,0.15294117647058825
14504009001,14504028001,24,80,101,0.15286624203821655
10031013001,10032013001,179,713,648,0.15143824027072758
14130001001,14131020001,47,187,173,0.1501597444089457
10040025001,10040049001,54,274,140,0.15
10012006001,10013012001,31,95,143,0.1497584541062802
10040019001,10040025001,51,118,274,0.1495601173020528
10011023001,10013012001,34,119,143,0.14912280701754385
14020053001,14021005001,84,458,190,0.14893617021276595
10030012001,10033075001,26,77,124,0.14857142857142858
14000033001,14000043001,35,124,150,0.14644351464435146
11103070001,11103375001,24,119,69,0.14634146341463414
14204070001,14204071001,22,69,105,0.14473684210526316
14804012001,14805013001,87,237,453,0.14427860696517414
10040004001,10040039001,90,320,394,0.14423076923076922
14131025001,14131027001,68,239,301,0.1440677966101695
14504009001,14506084001,20,80,80,0.14285714285714285
14361099001,14361106001,37,113,183,0.14285714285714285
14361101001,14361106001,39,132,183,0.14130434782608695
14010031001,14011032001,90,275,452,0.141287284144427
14000039001,14000042001,85,492,198,0.14049586776859505
14831007001,14832021001,183,810,681,0.13990825688073394
14011006001,14011010001,30,129,116,0.13953488372093023
14223003001,14223215001,46,242,134,0.1393939393939394
14501086001,14502111001,62,256,251,0.1393258426966292
14132003001,14132012001,22,108,72,0.13924050632911392
10000026001,10001014001,82,506,165,0.13921901528013583
14501010001,14503003001,383,700,2447,0.1385672937771346
11103022001,11103090001,40,163,166,0.1384083044982699
10040004001,10040026001,69,320,249,0.138
14502011001,14503003001,383,715,2447,0.137819359481828
14204061001,14204062001,29,174,66,0.13744075829383887
10040039001,10040094001,64,394,138,0.13675213675213677
10000002001,10001004001,101,448,394,0.13630229419703105
14121014001,14121017001,78,422,229,0.13612565445026178
14023310001,14023503001,27,67,159,0.135678391959799
14104012001,14104118001,106,442,451,0.13468869123252858
31501021001,31502025001,23,115,79,0.13450292397660818
14000039001,14000043001,76,492,150,0.13427561837455831
10031910001,10033068001,72,346,263,0.1340782122905028
31501010001,31502006001,21,112,66,0.1337579617834395
14011074001,14011078001,27,132,97,0.13366336633663367
14105129001,14105130001,22,75,112,0.13333333333333333
14244014001,14244021001,33,116,165,0.13306451612903225
14506067001,14506072001,28,77,163,0.1320754716981132
14506049001,14506065001,21,51,129,0.1320754716981132
14502011001,14502014001,176,715,799,0.13153961136023917
14500064001,14502016001,21,117,65,0.13043478260869565
14021010001,14023248001,91,561,229,0.1301859799713877
14100003001,14104002001,96,501,339,0.12903225806451613
14501010001,14502014001,171,700,799,0.12876506024096385
10033044001,10035002001,26,117,111,0.12871287128712872
14133003001,14133023001,119,495,552,0.12823275862068967
14504009001,14840018001,22,80,114,0.12790697674418605
14506039001,14506056001,28,88,159,0.1278538812785388
10033030001,10033054001,48,233,195,0.12631578947368421
10040025001,10040040001,39,274,78,0.12460063897763578
14504028001,14506084001,20,101,80,0.12422360248447205
14501011001,14501026001,66,361,237,0.12406015037593984
10002025001,10002074001,22,95,105,0.12359550561797752
14020031001,14023049001,54,249,243,0.1232876712328767
14130007001,14131041001,98,404,489,0.12327044025157233
14502006001,14505011001,68,412,208,0.12318840579710146
31500006001,31501010001,23,99,112,0.12234042553191489
14021005001,14023127001,44,190,214,0.12222222222222222
10011016001,10013003001,48,207,234,0.12213740458015267
14112007001,14112014001,125,644,505,0.1220703125
14022019001,14023015001,58,309,225,0.12184873949579832
10040019001,10040049001,28,118,140,0.12173913043478261
14504008001,14504009001,22,123,80,0.12154696132596685
14520065001,14521157001,57,241,285,0.12153518123667377
14506084001,14840018001,21,80,114,0.12138728323699421
14102009001,14121094001,25,120,111,0.12135922330097088
14011003001,14011059001,117,743,339,0.12124352331606218
14010031001,14010034001,64,275,319,0.12075471698113208
