sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
0,-100,1,0,2,0
1,-99,1,591,12,0
2,-99,1,141,5,0
3,-99,1,34,4,0
4,-99,1,887,5,0
5,-99,1,24,3,0
6,-99,1,55,6,0
7,-99,1,923,12,0
8,-99,1,532,8,0
9,-98,1,2180,11,0
10,-98,1,1712,4,0
11,-98,1,419,5,0
12,-98,1,569,10,0
13,-98,1,251,6,0
14,-97,1,148,4,0
15,-96,1,41,9,0
16,-95,1,4,6,0
17,-95,1,334,2,0
18,-95,1,1,8,0
19,-95,1,1337,8,0
20,-95,1,96,2,0
21,-94,1,994,2,0
22,-94,1,266,1,0
23,-93,1,208,5,0
24,-93,1,64,9,0
25,-93,1,4,7,0
26,-93,1,666,9,0
27,-93,1,7,3,0
28,-93,1,333,6,0
29,-93,1,291,6,0
30,-93,1,223,6,0
31,-93,1,283,4,0
32,-93,1,1658,8,0
33,-93,1,145,10,0
34,-93,1,172,9,0
35,-93,1,59,6,0
36,-93,1,135,7,0
37,-93,1,484,2,0
38,-93,1,70,4,0
39,-93,1,262,2,0
40,-93,1,501,9,0
41,-93,1,192,11,0
42,-93,1,26,5,0
43,-92,1,209,3,0
44,-92,1,794,9,0
45,-92,1,123,4,0
46,-92,1,409,1,0
47,-92,1,560,8,0
48,-92,1,13,12,0
49,-92,1,863,10,0
50,-91,1,272,10,0
51,-91,1,114,6,0
52,-90,1,828,8,0
53,-89,1,6,6,0
54,-89,1,510,7,0
55,-89,1,207,4,0
56,-89,1,2,4,0
57,-88,1,127,6,0
58,-88,1,37,8,0
59,-88,1,287,10,0
60,-88,1,1981,12,0
61,-88,1,980,3,0
62,-88,1,336,8,0
63,-88,1,1807,6,0
64,-88,1,302,10,0
65,-88,1,445,6,0
66,-88,1,2186,4,0
67,-87,1,56,6,0
68,-87,1,224,5,0
69,-86,1,265,6,0
70,-86,1,2005,10,0
71,-86,1,307,5,0
72,-85,1,130,6,0
73,-84,1,40,6,0
74,-83,1,1788,7,0
75,-83,1,2116,10,0
76,-83,1,294,9,0
77,-83,1,1073,3,0
78,-83,1,41,7,0
79,-82,1,548,6,0
80,-82,1,460,4,0
81,-82,1,8,7,0
82,-82,1,218,7,0
83,-82,1,1716,4,0
84,-82,1,1554,8,0
85,-82,1,50,4,0
86,-82,1,141,10,0
87,-81,1,43,12,0
88,-80,1,634,10,0
89,-80,1,293,12,0
90,-79,1,46,8,0
91,-78,1,1752,6,0
92,-77,1,149,9,0
93,-77,1,996,6,0
94,-77,1,348,3,0
95,-77,1,866,11,0
96,-76,1,191,11,0
97,-76,1,28,8,0
98,-76,1,283,2,0
99,-76,1,609,9,0
100,-76,1,11,4,0
101,-76,1,505,5,0
102,-76,1,560,6,0
103,-75,1,89,4,0
104,-75,1,1133,6,0
105,-75,1,553,8,0
106,-75,1,434,2,0
107,-75,1,373,12,0
108,-75,1,37,6,0
109,-74,1,164,5,0
110,-73,1,49,4,0
111,-73,1,1510,9,0
112,-73,1,2110,9,0
113,-73,1,439,8,0
114,-73,1,91,8,0
115,-72,1,83,6,0
116,-72,1,331,5,0
117,-72,1,45,7,0
