order_id,order_dum,order_type,item,qty,facing,due_date,station,pod_id,status,finish_time,date,time_gen
0,0,1,63,2,-1,99999,-1,-1,-3,-1,1,60
1,0,1,20,6,-1,99999,-1,-1,-3,-1,1,60
2,0,1,60,5,-1,99999,-1,-1,-3,-1,1,60
3,0,1,152,8,-1,99999,-1,-1,-3,-1,1,60
4,0,1,29,8,-1,99999,-1,-1,-3,-1,1,60
5,0,1,93,10,-1,99999,-1,-1,-3,-1,1,60
6,0,1,1427,10,-1,99999,-1,-1,-3,-1,1,60
7,0,1,262,9,-1,99999,-1,-1,-3,-1,1,60
8,0,1,876,4,-1,99999,-1,-1,-3,-1,1,60
9,1,1,80,4,-1,99999,-1,-1,-3,-1,1,60
10,2,1,871,2,-1,99999,-1,-1,-3,-1,1,60
11,2,1,1550,2,-1,99999,-1,-1,-3,-1,1,60
12,2,1,52,6,-1,99999,-1,-1,-3,-1,1,60
13,2,1,108,9,-1,99999,-1,-1,-3,-1,1,60
14,2,1,68,6,-1,99999,-1,-1,-3,-1,1,60
15,2,1,2,10,-1,99999,-1,-1,-3,-1,1,60
16,2,1,1368,10,-1,99999,-1,-1,-3,-1,1,60
17,2,1,681,7,-1,99999,-1,-1,-3,-1,1,60
18,2,1,49,8,-1,99999,-1,-1,-3,-1,1,60
19,3,1,33,6,-1,99999,-1,-1,-3,-1,1,60
20,3,1,326,2,-1,99999,-1,-1,-3,-1,1,60
21,3,1,229,3,-1,99999,-1,-1,-3,-1,1,60
22,3,1,49,2,-1,99999,-1,-1,-3,-1,1,60
23,3,1,77,12,-1,99999,-1,-1,-3,-1,1,60
24,3,1,22,5,-1,99999,-1,-1,-3,-1,1,60
25,3,1,456,5,-1,99999,-1,-1,-3,-1,1,60
26,3,1,38,5,-1,99999,-1,-1,-3,-1,1,60
27,3,1,80,3,-1,99999,-1,-1,-3,-1,1,60
28,3,1,117,6,-1,99999,-1,-1,-3,-1,1,60
29,3,1,112,6,-1,99999,-1,-1,-3,-1,1,60
30,3,1,227,6,-1,99999,-1,-1,-3,-1,1,60
31,3,1,81,7,-1,99999,-1,-1,-3,-1,1,60
32,3,1,41,7,-1,99999,-1,-1,-3,-1,1,60
33,3,1,15,9,-1,99999,-1,-1,-3,-1,1,60
34,3,1,1298,7,-1,99999,-1,-1,-3,-1,1,60
35,3,1,96,6,-1,99999,-1,-1,-3,-1,1,60
36,4,1,750,7,-1,99999,-1,-1,-3,-1,1,60
37,4,1,202,6,-1,99999,-1,-1,-3,-1,1,60
38,4,1,20,3,-1,99999,-1,-1,-3,-1,1,60
39,4,1,496,12,-1,99999,-1,-1,-3,-1,1,60
40,5,1,57,4,-1,99999,-1,-1,-3,-1,1,60
41,5,1,386,5,-1,99999,-1,-1,-3,-1,1,60
42,5,1,47,10,-1,99999,-1,-1,-3,-1,1,60
43,5,1,16,8,-1,99999,-1,-1,-3,-1,1,60
44,5,1,825,4,-1,99999,-1,-1,-3,-1,1,60
45,6,1,151,9,-1,99999,-1,-1,-3,-1,1,60
46,7,1,612,12,-1,99999,-1,-1,-3,-1,1,60
47,7,1,181,8,-1,99999,-1,-1,-3,-1,1,60
48,7,1,363,12,-1,99999,-1,-1,-3,-1,1,60
49,7,1,69,12,-1,99999,-1,-1,-3,-1,1,60
50,7,1,513,7,-1,99999,-1,-1,-3,-1,1,60
51,7,1,261,4,-1,99999,-1,-1,-3,-1,1,60
52,7,1,341,5,-1,99999,-1,-1,-3,-1,1,60
53,8,1,165,9,-1,99999,-1,-1,-3,-1,1,60
54,8,1,26,2,-1,99999,-1,-1,-3,-1,1,60
55,8,1,2,3,-1,99999,-1,-1,-3,-1,1,60
56,9,1,102,3,-1,99999,-1,-1,-3,-1,1,60
57,9,1,27,3,-1,99999,-1,-1,-3,-1,1,60
58,9,1,130,10,-1,99999,-1,-1,-3,-1,1,60
59,9,1,619,4,-1,99999,-1,-1,-3,-1,1,60
