item_id,item_code,item_class,item_order_frequency,item_initial_quantity_inventory,mean_daily_demand,cv,box_length,box_width,box_height,box_volume,box_weight,item_weight,number_of_item_in_a_box,item_volume,item_unit,item_quantity_order_unique,item_pod_inventory_level,item_warehouse_inventory_level
0,10021026001,A,2604,240,135.381,0.3309,39.0,28.0,32.0,34944.0,19.23,1.602,12,2912.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 24, 25, 48]",0.4,0.3
1,14503003001,A,2477,1087,563.1429,0.3996,46.0,33.0,20.0,30360.0,3.0,0.125,24,1265.0,PCS,"[1, 2, 3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 39, 48, 54]",0.4,0.3
2,14023056001,A,1917,368,167.1429,0.5143,52.0,40.0,23.0,47840.0,4.86,0.405,12,3986.7,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 18, 22, 24, 30, 38, 41, 52]",0.4,0.3
3,14804007001,A,1283,1642,803.4286,0.4482,41.0,28.0,13.0,14924.0,10.8,0.45,24,621.8,PCS,"[2, 4, 6, 8, 12, 18, 22, 24, 30, 36, 42, 48, 54, 60, 72, 144, 192]",0.4,0.3
4,14010040001,A,1258,327,122.2381,0.7188,38.0,33.0,21.0,26334.0,3.81,0.381,10,2633.4,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 16]",0.4,0.3
5,14502009001,A,1210,1305,735.9524,0.3322,37.0,37.0,14.0,19166.0,2.99,0.1,30,638.9,PCS,"[1, 5, 9, 10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 65, 70, 75]",0.4,0.3
6,14500000001,A,1184,1492,650.9524,0.555,41.0,32.0,13.0,17056.0,3.55,0.118,30,568.5,PCS,"[5, 10, 15, 20, 25, 30, 35, 40, 45, 55, 60, 70, 120]",0.4,0.3
7,10000011001,A,1119,4768,1915.4286,0.6402,40.0,27.0,10.0,10800.0,6.76,0.282,24,450.0,PCS,"[24, 48, 72, 96, 120, 144, 192, 240, 288, 480]",0.4,0.3
8,10033043001,A,1052,988,440.1905,0.5348,41.0,27.0,24.0,26568.0,14.3,0.596,24,1107.0,PCS,"[2, 4, 8, 12, 16, 18, 20, 22, 24, 28, 32, 48, 52, 64, 72, 96]",0.4,0.3
9,14020026001,A,881,207,86.7143,0.596,42.0,22.0,13.0,12012.0,2.11,0.176,12,1001.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 15]",0.4,0.3
10,14112013001,A,870,156,64.2857,0.6103,40.0,28.0,31.0,34720.0,3.33,0.333,10,3472.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 20, 30]",0.4,0.3
11,10002018001,A,817,1266,627.7143,0.4368,41.0,27.0,12.0,13284.0,9.27,0.386,24,553.5,PCS,"[1, 5, 6, 12, 18, 23, 24, 30, 36, 48, 54, 60, 72, 120]",0.4,0.3
12,14831007001,A,810,841,326.7143,0.6765,32.0,23.0,17.0,12512.0,7.92,0.165,48,260.7,PCS,"[3, 6, 9, 12, 15, 21, 24, 27, 30, 36, 39, 48, 57, 60, 87, 96, 108, 144]",0.4,0.3
13,14502014001,A,799,360,158.7143,0.5432,46.0,33.0,20.0,30360.0,3.0,0.125,24,1265.0,PCS,"[3, 6, 12, 18]",0.4,0.3
14,14505013001,A,797,987,486.4286,0.4416,35.0,32.0,14.0,15680.0,3.3,0.11,30,522.7,PCS,"[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 70]",0.4,0.3
15,14000057001,A,794,126,55.5714,0.5415,52.0,32.0,28.0,46592.0,4.41,0.441,10,4659.2,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12]",0.4,0.3
16,14102249001,A,767,143,56.8571,0.651,51.0,21.0,34.0,36414.0,4.54,0.454,10,3641.4,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 21]",0.4,0.3
17,14821003001,A,753,336,169.8571,0.4198,36.0,24.0,19.0,16416.0,12.8,0.267,48,342.0,PCS,"[3, 6, 9, 12, 30, 33, 36, 39]",0.4,0.3
18,10035035001,A,743,2346,1074.5714,0.5085,35.0,20.0,11.0,7700.0,6.57,0.274,24,320.8,PCS,"[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 30, 34, 36, 42, 48, 54, 72, 78, 96, 240]",0.4,0.3
19,14011003001,A,743,142,53.2857,0.7143,43.0,33.0,20.0,28380.0,2.32,0.387,6,4730.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.4,0.3
20,14501010001,A,720,573,196.7143,0.8221,45.0,34.0,21.0,32130.0,3.0,0.125,24,1338.8,PCS,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 39, 48]",0.4,0.3
21,14502011001,A,720,696,277.1429,0.6496,45.0,33.0,20.0,29700.0,3.0,0.125,24,1237.5,PCS,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 36, 39, 48, 54, 72, 168]",0.4,0.3
22,14840003001,A,713,705,259.0476,0.7399,31.0,23.0,23.0,16399.0,11.19,0.233,48,341.6,PCS,"[1, 2, 3, 4, 6, 8, 9, 10, 12, 13, 15, 18, 21, 22, 24, 26, 30, 33, 36, 39, 41, 42, 44, 48, 57, 59, 65, 84, 96, 108]",0.4,0.3
23,10031013001,A,713,1513,648.0,0.5734,40.0,20.0,14.0,11200.0,9.82,0.409,24,466.7,PCS,"[6, 12, 18, 24, 30, 36, 42, 48, 60, 72, 84, 96]",0.4,0.3
24,14840006001,A,708,301,155.2857,0.4023,42.0,29.0,20.0,24360.0,17.32,0.361,48,507.5,PCS,"[3, 6, 9, 12, 15, 21, 120, 150]",0.4,0.3
25,14611010001,A,705,92,51.2857,0.3396,42.0,29.0,33.0,40194.0,20.78,3.463,6,6699.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]",0.4,0.3
26,10034042001,A,700,1439,849.4286,0.2983,34.0,20.0,11.0,7480.0,6.64,0.277,24,311.7,PCS,"[6, 12, 18, 24, 30, 48, 96]",0.4,0.3
