item_code,item_name,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_unit,item_order_frequency,item_relative_importance,item_quantity_order_mean,item_quantity_order_std,item_quantity_order_total,item_quantity_order_unique,item_quantity_order_unique_frequency,item_class,item_initial_quantity_inventory,mean_daily_demand,std_daily_demand,cv,mean_hourly_demand,std_hourly_demand,burst_size,burst_size_var,n_act_per_day,adi,cv2,demand_pattern,cv_class,rop_global,slots_needed
10021026001,黑松FIN健康補給飲料Pet1460ml,39.0,28.0,32.0,34944.0,19.23,12.0,2912.0,PCS,2552,0.0086798553357444,1.478,3.068,3859,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 24, 25, 48]","[2513, 7, 8, 3, 2, 1, 1, 2, 1, 2, 1, 21, 29, 4, 12, 4]",A,252,135.3333,44.7709,0.3308,5.638888888888889,10.175622623744966,10.487084870848708,141.86557332239997,12.904761904761905,1.0,0.1094,smooth,0,29,21
14503003001,來一客-鮮蝦魚板 63g,46.0,33.0,20.0,30360.0,3.0,24.0,1265.0,PCS,2447,0.0169363843935934,5.231,5.434,13056,"[1, 2, 3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 39, 48, 54]","[1, 1, 1424, 959, 4, 3, 4, 2, 1, 67, 6, 4, 1, 1, 16, 2]",A,1111,561.0,225.09,0.4012,23.375,48.17768894135148,45.31153846153846,3509.937318087316,12.380952380952381,1.0,0.161,smooth,0,135,47
14023056001,樂事意合組合包,52.0,40.0,23.0,47840.0,4.86,12.0,3986.7,PCS,1908,0.0233262778953684,1.954,2.756,3763,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 18, 22, 24, 30, 38, 41, 52]","[1314, 321, 89, 55, 39, 27, 9, 14, 8, 10, 9, 22, 1, 1, 1, 1, 1, 1, 1, 1, 1]",A,335,166.8571,85.8617,0.5146,6.9523809523809526,14.727670846212845,14.360655737704919,342.15745800445256,11.619047619047619,1.0,0.2648,smooth,1,41,28
10021025001,黑松FIN健康補給飲料TP300ml,35.0,20.0,13.0,9100.0,7.77,24.0,379.2,PCS,1666,0.0288861852302461,34.435,30.27,67734,"[6, 12, 18, 24, 30, 36, 42, 48, 54, 66, 72, 84, 96, 120, 144, 288, 510, 810]","[199, 69, 28, 930, 3, 9, 3, 569, 5, 1, 79, 3, 39, 20, 7, 1, 1, 1]",A,5599,2978.8571,1495.843,0.5022,124.11904761904762,229.8253501354807,227.47636363636363,73367.4620305242,13.095238095238095,1.0,0.2522,smooth,1,659,39
14805012001,愛之味牛奶花生340g,41.0,27.0,13.0,14391.0,10.01,24.0,599.6,PCS,1441,0.0386893551774137,12.271,27.116,17916,"[2, 4, 6, 8, 10, 12, 14, 18, 24, 30, 36, 42, 48, 60, 72, 180, 240, 288, 324, 840]","[2, 3, 829, 2, 2, 430, 1, 28, 96, 2, 3, 2, 46, 6, 3, 1, 1, 1, 1, 1]",A,1492,761.7143,288.8704,0.3792,31.738095238095237,64.04889764395963,67.77966101694915,6327.304435629282,11.238095238095237,1.0,0.1438,smooth,0,181,16
14804007001,泰山八寶粥 375g,41.0,28.0,13.0,14924.0,10.8,24.0,621.8,PCS,1281,0.0475658739021016,13.309,13.721,17208,"[2, 4, 6, 8, 12, 18, 22, 24, 30, 36, 42, 48, 54, 60, 72, 144, 192]","[4, 3, 734, 1, 234, 47, 2, 176, 6, 4, 1, 60, 4, 2, 13, 1, 1]",A,1536,802.5714,360.2095,0.4488,33.44047619047619,64.30293325517981,69.07377049180327,6087.550091074677,11.619047619047619,1.0,0.2014,smooth,0,183,16
14010040001,科學麵20合1 Min 家庭號,38.0,33.0,21.0,26334.0,3.81,10.0,2633.4,PCS,1258,0.0517591373477108,1.987,2.036,2567,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 16]","[789, 275, 79, 49, 23, 24, 6, 10, 2, 13, 2, 19, 1]",A,218,121.1429,87.2183,0.72,5.0476190476190474,11.902257428502718,11.306666666666667,247.0260714285715,10.714285714285714,1.0,0.5183,erratic,1,25,11
14502009001,統一肉燥(包) 85g,37.0,37.0,14.0,19166.0,2.99,30.0,638.9,PCS,1210,0.0557924034599423,12.658,13.593,15455,"[1, 5, 9, 10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 65, 70, 75]","[1, 628, 1, 358, 4, 1, 5, 155, 5, 4, 2, 2, 51, 1, 1, 2]",A,1465,731.4286,235.9563,0.3226,30.476190476190474,64.3168058866009,62.69387755102041,6499.475577116094,11.666666666666666,1.0,0.1041,smooth,0,180,17
14500000001,味味A排骨雞麵(袋) 90g,41.0,32.0,13.0,17056.0,3.55,30.0,568.5,PCS,1183,0.0597390043499275,11.199,12.063,13820,"[5, 10, 15, 20, 25, 30, 35, 40, 45, 55, 60, 70, 120]","[732, 288, 10, 9, 9, 147, 2, 1, 2, 1, 30, 2, 1]",A,1224,633.0952,341.6156,0.5396,26.378968253968253,51.80185940965053,52.757936507936506,3980.311689748941,12.0,1.0,0.2912,smooth,1,147,14
10000011001,可口可樂 Can 250 ml,40.0,27.0,10.0,10800.0,6.76,24.0,450.0,PCS,1063,0.0634689421842969,49.179,68.295,58080,"[24, 48, 72, 96, 120, 144, 192, 240, 288, 480]","[683, 359, 62, 16, 5, 6, 8, 10, 12, 20]",A,3764,1884.5714,1196.3854,0.6348,78.52380952380952,164.85818783425793,175.89333333333335,43826.56,10.714285714285714,1.0,0.403,smooth,1,462,32
