order_id,order_arrival,process_start_time,order_complete_time,station_id
-42,0,1,62,picker-3
-75,0,1,62,picker-3
-88,0,1,77,picker-4
-33,0,2,91,picker-2
-91,0,1,112,picker-4
-30,0,1,132,picker-3
-79,0,1,142,picker-2
-62,0,1,142,picker-2
-68,0,3,147,picker-3
-80,0,1,172,picker-1
-14,0,1,172,picker-1
-94,0,1,185,picker-4
-72,0,1,205,picker-4
-70,0,1,207,picker-2
-89,0,1,213,picker-4
-19,0,2,217,picker-2
-81,0,1,223,picker-4
-93,0,1,230,picker-4
-59,0,2,238,picker-2
-23,0,3,273,picker-3
-16,0,1,279,picker-1
-51,0,78,307,picker-4
-50,0,63,317,picker-3
-8,0,2,329,picker-2
-97,0,1,330,picker-4
-92,0,3,336,picker-3
-57,0,92,341,picker-2
-55,0,133,352,picker-3
-41,0,1,354,picker-1
-47,0,113,369,picker-4
-98,0,3,381,picker-3
-74,0,63,387,picker-3
-5,0,148,399,picker-3
-99,0,1,401,picker-1
-85,0,1,401,picker-1
-87,0,173,418,picker-1
-43,0,206,446,picker-4
5,180,208,448,picker-2
-3,0,1,483,picker-1
-56,0,224,485,picker-4
-32,0,1,489,picker-1
-21,0,143,489,picker-2
2,120,218,496,picker-2
-65,0,3,507,picker-3
-61,0,214,510,picker-4
-40,0,186,519,picker-4
-28,0,280,523,picker-1
-37,0,173,527,picker-1
-58,0,274,531,picker-3
11,300,318,544,picker-3
1,60,402,653,picker-1
-44,0,419,667,picker-1
9,240,331,694,picker-4
-1,0,239,722,picker-2
-4,0,484,730,picker-1
-35,0,449,734,picker-2
-86,0,143,753,picker-2
-36,0,486,755,picker-4
6,180,520,779,picker-4
-10,0,353,841,picker-3
3,120,231,841,picker-4
-90,0,447,862,picker-4
12,360,382,863,picker-3
-9,0,528,868,picker-1
-25,0,532,872,picker-3
7,240,388,905,picker-3
24,660,668,906,picker-1
-71,0,524,916,picker-1
-13,0,355,939,picker-1
-7,0,491,940,picker-2
-54,0,731,974,picker-1
25,660,723,978,picker-2
-77,0,754,1004,picker-2
-20,0,400,1016,picker-3
-84,0,756,1027,picker-4
20,480,508,1039,picker-3
-38,0,402,1043,picker-1
29,780,780,1047,picker-4
-26,0,695,1072,picker-4
16,420,545,1078,picker-3
-53,0,370,1131,picker-4
-82,0,342,1131,picker-2
-48,0,497,1138,picker-2
-22,0,843,1155,picker-4
10,300,330,1167,picker-2
35,960,979,1202,picker-2
-95,0,863,1237,picker-4
8,240,308,1251,picker-4
36,1020,1028,1258,picker-4
-27,0,873,1362,picker-3
-11,0,864,1391,picker-3
38,1020,1044,1432,picker-1
28,720,906,1454,picker-3
-29,0,1005,1460,picker-2
17,420,941,1472,picker-2
-76,0,1139,1472,picker-2
40,1080,1133,1490,picker-4
34,900,1168,1490,picker-2
45,1200,1238,1520,picker-4
-69,0,1079,1544,picker-3
-66,0,490,1565,picker-1
-46,0,1017,1565,picker-3
-34,0,842,1576,picker-3
-63,0,511,1578,picker-4
-45,0,907,1593,picker-1
-83,0,1132,1600,picker-2
42,1140,1156,1652,picker-4
44,1200,1203,1675,picker-2
-64,0,2,1687,picker-2
27,720,940,1713,picker-1
53,1440,1455,1726,picker-3
21,540,654,1733,picker-1
14,420,869,1767,picker-1
56,1500,1521,1778,picker-4
15,420,1433,1783,picker-1
26,660,1048,1811,picker-4
51,1440,1492,1819,picker-4
22,660,1040,1845,picker-3
-15,0,1259,1850,picker-4
-24,0,1073,1864,picker-4
31,840,917,1933,picker-1
-18,0,337,1966,picker-3
-52,0,975,1998,picker-1
-6,0,1363,2004,picker-3
64,1680,1714,2009,picker-1
59,1560,1676,2031,picker-2
-67,0,1594,2038,picker-1
18,420,1473,2054,picker-2
37,1020,1473,2073,picker-2
30,780,1601,2082,picker-2
49,1260,1579,2083,picker-4
69,1800,1812,2083,picker-4
65,1680,1851,2117,picker-4
-12,0,1566,2121,picker-1
39,1080,1545,2122,picker-3
-49,0,1461,2163,picker-2
-2,0,1768,2280,picker-1
71,1800,1846,2294,picker-3
72,1800,2032,2312,picker-2
83,2040,2055,2312,picker-2
57,1500,2084,2411,picker-4
78,1920,1967,2481,picker-3
-73,0,1392,2490,picker-3
62,1560,1577,2512,picker-3
63,1620,1784,2522,picker-1
67,1740,1779,2525,picker-4
84,2040,2122,2552,picker-1
88,2160,2295,2552,picker-3
81,1980,2074,2577,picker-2
82,2040,2083,2577,picker-2
-100,0,1688,2593,picker-2
79,1980,1999,2602,picker-1
-78,0,2005,2621,picker-3
43,1200,1734,2648,picker-1
52,1440,2010,2648,picker-1
85,2100,2281,2653,picker-1
96,2340,2412,2687,picker-4
0,60,1727,2692,picker-3
80,1980,2039,2697,picker-1
95,2340,2491,2768,picker-3
-60,0,1567,2790,picker-3
102,2460,2482,2804,picker-3
68,1800,1820,2806,picker-4
101,2400,2526,2824,picker-4
48,1260,2084,2852,picker-4
-31,0,1252,2865,picker-4
46,1200,2123,2897,picker-3
108,2520,2622,2915,picker-3
47,1260,1653,2924,picker-4
75,1920,2164,2925,picker-2
94,2340,2693,2971,picker-3
92,2280,2554,2985,picker-3
99,2400,2578,3029,picker-2
103,2460,2513,3032,picker-3
77,1920,2791,3078,picker-3
19,480,2553,3145,picker-1
89,2220,2313,3149,picker-2
61,1560,2313,3156,picker-2
109,2580,2594,3182,picker-2
112,2580,2603,3216,picker-1
13,360,735,3246,picker-2
32,840,2523,3258,picker-1
33,900,1491,3263,picker-2
54,1440,2926,3270,picker-2
74,1860,2578,3289,picker-2
104,2460,2866,3342,picker-4
86,2100,2654,3349,picker-1
4,120,2118,3361,picker-4
129,3000,3150,3433,picker-2
110,2580,2853,3450,picker-4
118,2820,3217,3476,picker-1
-96,0,2688,3512,picker-4
113,2640,3183,3514,picker-2
-17,0,2898,3553,picker-3
105,2460,2825,3557,picker-4
114,2700,2807,3560,picker-4
73,1860,1934,3582,picker-1
100,2400,2649,3606,picker-1
70,1800,2649,3626,picker-1
50,1380,2769,3647,picker-3
121,2880,3033,3711,picker-3
137,3360,3362,3743,picker-4
144,3480,3513,3773,picker-4
97,2340,2916,3779,picker-3
116,2760,2986,3811,picker-3
134,3240,3583,3820,picker-1
119,2820,3259,3837,picker-1
115,2700,2972,3842,picker-3
60,1560,2805,3851,picker-3
130,3120,3350,3855,picker-1
139,3420,3477,3863,picker-1
148,3540,3561,3872,picker-4
58,1560,3079,3879,picker-3
141,3420,3648,3901,picker-3
107,2520,3554,3920,picker-3
106,2520,2698,3922,picker-1
128,3000,3146,3940,picker-1
91,2220,3434,3945,picker-2
127,2940,3157,3966,picker-2
87,2160,3627,3984,picker-1
93,2280,3247,4030,picker-2
155,3600,3780,4038,picker-3
162,3720,3744,4053,picker-4
90,2220,3821,4067,picker-1
126,2940,3774,4077,picker-4
23,660,3271,4134,picker-2
133,3240,3343,4180,picker-4
161,3660,3843,4184,picker-3
