pod_id,item_id,qty,order_id,processed_time,task_type,trigger,opp_score
132,40,6,-25,57,1,,
132,40,9,-62,57,1,,
132,250,4,-25,57,1,,
120,3,11,-94,70,1,,
120,461,9,-39,70,1,,
131,4,6,-48,81,1,,
131,96,6,-26,81,1,,
131,67,6,-58,81,1,,
275,680,8,-80,91,1,,
275,105,8,-22,91,1,,
244,28,5,-19,92,1,,
244,28,7,-73,92,1,,
244,7,6,-53,92,1,,
244,654,12,-19,92,1,,
244,217,10,-35,92,1,,
244,80,6,-35,92,1,,
301,705,4,-97,94,1,,
301,279,5,-26,94,1,,
320,54,8,-80,103,1,,
136,26,7,-38,118,1,,
136,26,12,-43,118,1,,
231,644,8,-94,122,1,,
231,47,4,-7,122,1,,
29,148,4,-26,125,1,,
29,33,6,-26,125,1,,
29,1,12,-58,125,1,,
67,1071,12,-94,142,1,,
67,20,1,-80,142,1,,
180,73,5,-25,145,1,,
180,160,8,-26,145,1,,
268,28,1,-73,148,1,,
268,170,2,-49,148,1,,
268,81,9,-35,148,1,,
268,675,9,-35,148,1,,
30,120,10,-36,169,1,,
30,184,9,-7,169,1,,
277,49,4,-97,174,1,,
277,49,6,-44,174,1,,
277,49,9,-62,174,1,,
277,221,2,-26,174,1,,
77,547,8,-45,183,1,,
58,36,3,-26,188,1,,
58,540,5,-58,188,1,,
306,52,7,-80,196,1,,
39,534,2,-97,199,1,,
39,19,2,-25,199,1,,
39,148,2,-26,199,1,,
355,999,7,-31,209,1,,
137,123,11,-53,210,1,,
137,4,7,-49,210,1,,
137,4,8,-53,210,1,,
137,372,6,-21,210,1,,
137,97,9,-19,210,1,,
137,41,7,-35,210,1,,
348,31,2,-27,211,1,,
348,31,4,-62,211,1,,
