pod_id,pod_type,slot_id,slot_type,item,unusedColumn1,unusedColumn2,unusedColumn3,qty,max_qty,due_date,facing,pick_ind,item_weight,total_item_weight,slot_sequence,item_pod_inventory_level,item_warehouse_inventory_level,cumulative_pod_weight
0,3,0,5,258,0,0,0,6,6,99999,0,0,1.138,6.828,0,0.5,0.4,6.828
0,3,1,5,303,0,0,0,4,4,99999,0,0,6.195,24.78,1,0.5,0.4,31.608
0,3,2,5,322,0,0,0,10,10,99999,0,0,0.589,5.89,2,0.5,0.4,37.498
0,3,3,5,388,0,0,0,16,16,99999,0,0,0.2,3.2,3,0.5,0.4,40.698
0,3,4,5,92,0,0,0,40,40,99999,0,0,0.2,8.0,4,0.4,0.3,48.698
0,3,5,5,3,0,0,0,144,144,99999,0,0,0.324,46.656,5,0.4,0.3,95.354
0,3,6,5,371,0,0,0,1,1,99999,0,0,15.0,15.0,6,0.5,0.4,110.354
0,3,7,5,156,0,0,0,10,10,99999,0,0,1.0,10.0,7,0.4,0.3,120.354
0,3,8,5,959,0,0,0,12,12,99999,0,0,1.35,16.2,8,0.6,0.5,136.554
0,3,9,5,1886,0,0,0,192,192,99999,0,0,0.224,43.008,9,0.6,0.5,179.562
0,3,10,5,576,0,0,0,37,37,99999,1,0,0.2,7.4,10,0.5,0.4,186.962
0,3,11,5,71,0,0,0,120,120,99999,1,0,0.283,33.96,11,0.4,0.3,220.922
0,3,12,5,287,0,0,0,7,7,99999,1,0,0.439,3.073,12,0.5,0.4,223.995
0,3,13,5,614,0,0,0,90,90,99999,1,0,0.094,8.46,13,0.5,0.4,232.455
0,3,14,5,460,0,0,0,6,6,99999,1,0,1.493,8.958,14,0.5,0.4,241.413
0,3,15,5,743,0,0,0,45,45,99999,1,0,0.14,6.3,15,0.5,0.4,247.713
0,3,16,5,1861,0,0,0,96,96,99999,1,0,0.395,37.92,16,0.6,0.5,285.633
0,3,17,5,764,0,0,0,36,36,99999,1,0,0.748,26.928,17,0.5,0.4,312.561
0,3,18,5,181,0,0,0,12,12,99999,1,0,2.333,27.996,18,0.4,0.3,340.557
0,3,19,5,1007,0,0,0,12,12,99999,1,0,0.405,4.86,19,0.6,0.5,345.417
1,3,0,5,139,0,0,0,24,24,99999,0,0,1.608,38.592,20,0.4,0.3,38.592
1,3,1,5,1951,0,0,0,48,48,99999,0,0,0.599,28.752,21,0.6,0.5,67.344
1,3,2,5,63,0,0,0,24,24,99999,0,0,0.142,3.408,22,0.4,0.3,70.752
1,3,3,5,202,0,0,0,38,38,99999,0,0,0.2,7.6,23,0.4,0.3,78.352
1,3,4,5,457,0,0,0,12,12,99999,0,0,2.188,26.256,24,0.5,0.4,104.608
1,3,5,5,979,0,0,0,12,12,99999,0,0,1.842,22.104,25,0.6,0.5,126.712
1,3,6,5,190,0,0,0,72,72,99999,0,0,0.383,27.576,26,0.4,0.3,154.288
1,3,7,5,808,0,0,0,12,12,99999,0,0,0.446,5.352,27,0.6,0.5,159.64
1,3,8,5,34,0,0,0,48,48,99999,0,0,0.622,29.856,28,0.4,0.3,189.496
1,3,9,5,585,0,0,0,90,90,99999,0,0,0.101,9.09,29,0.5,0.4,198.586
1,3,10,5,1,0,0,0,24,24,99999,1,0,0.125,3.0,30,0.4,0.3,201.586
1,3,11,5,66,0,0,0,48,48,99999,1,0,0.668,32.064,31,0.4,0.3,233.65
1,3,12,5,380,0,0,0,18,18,99999,1,0,0.516,9.288,32,0.5,0.4,242.938
1,3,13,5,123,0,0,0,192,192,99999,1,0,0.274,52.608,33,0.4,0.3,295.546
1,3,14,5,1153,0,0,0,20,20,99999,1,0,0.473,9.46,34,0.6,0.5,305.006
1,3,15,5,901,0,0,0,6,6,99999,1,0,0.8,4.8,35,0.6,0.5,309.806
1,3,16,5,245,0,0,0,12,12,99999,1,0,0.332,3.984,36,0.5,0.4,313.79
1,3,17,5,244,0,0,0,36,36,99999,1,0,0.175,6.3,37,0.5,0.4,320.09
1,3,18,5,1128,0,0,0,6,6,99999,1,0,2.097,12.582,38,0.6,0.5,332.672
1,3,19,5,857,0,0,0,8,8,99999,1,0,0.491,3.928,39,0.6,0.5,336.6
2,3,0,5,442,0,0,0,12,12,99999,0,0,0.264,3.168,40,0.5,0.4,3.168
2,3,1,5,26,0,0,0,12,12,99999,0,0,2.218,26.616,41,0.4,0.3,29.784
2,3,2,5,277,0,0,0,13,13,99999,0,0,3.0,39.0,42,0.5,0.4,68.784
2,3,3,5,159,0,0,0,10,10,99999,0,0,1.0,10.0,43,0.4,0.3,78.784
2,3,4,5,112,0,0,0,41,41,99999,0,0,0.2,8.2,44,0.4,0.3,86.984
2,3,5,5,239,0,0,0,10,10,99999,0,0,0.365,3.65,45,0.5,0.4,90.634
2,3,6,5,864,0,0,0,2,2,99999,0,0,7.23,14.46,46,0.6,0.5,105.094
2,3,7,5,71,0,0,0,120,120,99999,0,0,0.283,33.96,47,0.4,0.3,139.054
2,3,8,5,1718,0,0,0,144,144,99999,0,0,0.328,47.232,48,0.6,0.5,186.286
2,3,9,5,326,0,0,0,4,4,99999,0,0,5.345,21.38,49,0.5,0.4,207.666
2,3,10,5,181,0,0,0,12,12,99999,1,0,2.333,27.996,50,0.4,0.3,235.662
2,3,11,5,81,0,0,0,120,120,99999,1,0,0.27,32.4,51,0.4,0.3,268.062
2,3,12,5,148,0,0,0,37,37,99999,1,0,1.0,37.0,52,0.4,0.3,305.062
2,3,13,5,254,0,0,0,8,8,99999,1,0,0.49,3.92,53,0.5,0.4,308.982
2,3,14,5,406,0,0,0,12,12,99999,1,0,0.349,4.188,54,0.5,0.4,313.17
2,3,15,5,669,0,0,0,12,12,99999,1,0,1.333,15.996,55,0.5,0.4,329.166
2,3,16,5,1,0,0,0,24,24,99999,1,0,0.125,3.0,56,0.4,0.3,332.166
2,3,17,5,190,0,0,0,72,72,99999,1,0,0.383,27.576,57,0.4,0.3,359.742
2,3,18,5,889,0,0,0,6,6,99999,1,0,2.803,16.818,58,0.6,0.5,376.56
2,3,19,5,156,0,0,0,10,10,99999,1,0,1.0,10.0,59,0.4,0.3,386.56
3,3,0,5,444,0,0,0,36,36,99999,0,0,0.144,5.184,60,0.5,0.4,5.184
3,3,1,5,98,0,0,0,12,12,99999,0,0,0.268,3.216,61,0.4,0.3,8.4
3,3,2,5,127,0,0,0,48,48,99999,0,0,0.668,32.064,62,0.4,0.3,40.464
3,3,3,5,785,0,0,0,72,72,99999,0,0,0.369,26.568,63,0.5,0.4,67.032
3,3,4,5,317,0,0,0,40,40,99999,0,0,0.532,21.28,64,0.5,0.4,88.312
3,3,5,5,148,0,0,0,37,37,99999,0,0,1.0,37.0,65,0.4,0.3,125.312
3,3,6,5,281,0,0,0,1,1,99999,0,0,15.0,15.0,66,0.5,0.4,140.312
3,3,7,5,596,0,0,0,16,16,99999,0,0,2.189,35.024,67,0.5,0.4,175.336
3,3,8,5,363,0,0,0,1,1,99999,0,0,15.0,15.0,68,0.5,0.4,190.336
3,3,9,5,3,0,0,0,144,144,99999,0,0,0.324,46.656,69,0.4,0.3,236.992
3,3,10,5,421,0,0,0,24,24,99999,1,0,0.108,2.592,70,0.5,0.4,239.584
3,3,11,5,8,0,0,0,90,90,99999,1,0,0.118,10.62,71,0.4,0.3,250.204
3,3,12,5,217,0,0,0,37,37,99999,1,0,0.2,7.4,72,0.4,0.3,257.604
3,3,13,5,28,0,0,0,48,48,99999,1,0,0.62,29.76,73,0.4,0.3,287.364
3,3,14,5,239,0,0,0,10,10,99999,1,0,0.365,3.65,74,0.5,0.4,291.014
3,3,15,5,6,0,0,0,20,20,99999,1,0,0.381,7.62,75,0.4,0.3,298.634
3,3,16,5,296,0,0,0,12,12,99999,1,0,0.561,6.732,76,0.5,0.4,305.366
3,3,17,5,224,0,0,0,37,37,99999,1,0,0.2,7.4,77,0.4,0.3,312.766
3,3,18,5,233,0,0,0,10,10,99999,1,0,0.454,4.54,78,0.5,0.4,317.306
3,3,19,5,53,0,0,0,160,160,99999,1,0,0.052,8.32,79,0.4,0.3,325.626
4,3,0,5,184,0,0,0,180,180,99999,0,0,0.206,37.08,80,0.4,0.3,37.08
4,3,1,5,1064,0,0,0,12,12,99999,0,0,0.235,2.82,81,0.6,0.5,39.9
4,3,2,5,26,0,0,0,12,12,99999,0,0,2.218,26.616,82,0.4,0.3,66.516
4,3,3,5,229,0,0,0,37,37,99999,0,0,0.2,7.4,83,0.4,0.3,73.916
4,3,4,5,1332,0,0,0,96,96,99999,0,0,0.056,5.376,84,0.6,0.5,79.292
4,3,5,5,1354,0,0,0,216,216,99999,0,0,0.155,33.48,85,0.6,0.5,112.772
4,3,6,5,1575,0,0,0,4,4,99999,0,0,0.2,0.8,86,0.6,0.5,113.572
4,3,7,5,695,0,0,0,192,192,99999,0,0,0.222,42.624,87,0.5,0.4,156.196
4,3,8,5,157,0,0,0,10,10,99999,0,0,1.0,10.0,88,0.4,0.3,166.196
4,3,9,5,326,0,0,0,4,4,99999,0,0,5.345,21.38,89,0.5,0.4,187.576
4,3,10,5,613,0,0,0,24,24,99999,1,0,0.27,6.48,90,0.5,0.4,194.056
4,3,11,5,3,0,0,0,144,144,99999,1,0,0.324,46.656,91,0.4,0.3,240.712
4,3,12,5,1478,0,0,0,6,6,99999,1,0,2.095,12.57,92,0.6,0.5,253.282
4,3,13,5,176,0,0,0,38,38,99999,1,0,1.0,38.0,93,0.4,0.3,291.282
4,3,14,5,543,0,0,0,96,96,99999,1,0,0.38,36.48,94,0.5,0.4,327.762
4,3,15,5,566,0,0,0,24,24,99999,1,0,0.633,15.192,95,0.5,0.4,342.954
4,3,16,5,52,0,0,0,24,24,99999,1,0,0.15,3.6,96,0.4,0.3,346.554
4,3,17,5,561,0,0,0,48,48,99999,1,0,0.123,5.904,97,0.5,0.4,352.458
4,3,18,5,302,0,0,0,6,6,99999,1,0,0.227,1.362,98,0.5,0.4,353.82
4,3,19,5,1258,0,0,0,7,7,99999,1,0,1.3,9.1,99,0.6,0.5,362.92
5,3,0,5,49,0,0,0,96,96,99999,0,0,0.37,35.52,100,0.4,0.3,35.52
5,3,1,5,1056,0,0,0,24,24,99999,0,0,1.359,32.616,101,0.6,0.5,68.136
5,3,2,5,1,0,0,0,24,24,99999,0,0,0.125,3.0,102,0.4,0.3,71.136
5,3,3,5,605,0,0,0,48,48,99999,0,0,0.667,32.016,103,0.5,0.4,103.152
5,3,4,5,1347,0,0,0,6,6,99999,0,0,1.978,11.868,104,0.6,0.5,115.02
5,3,5,5,92,0,0,0,40,40,99999,0,0,0.2,8.0,105,0.4,0.3,123.02
5,3,6,5,1888,0,0,0,24,24,99999,0,0,0.554,13.296,106,0.6,0.5,136.316
5,3,7,5,1668,0,0,0,24,24,99999,0,0,0.648,15.552,107,0.6,0.5,151.868
5,3,8,5,353,0,0,0,24,24,99999,0,0,0.208,4.992,108,0.5,0.4,156.86
5,3,9,5,1103,0,0,0,24,24,99999,0,0,0.554,13.296,109,0.6,0.5,170.156
5,3,10,5,403,0,0,0,18,18,99999,1,0,0.273,4.914,110,0.5,0.4,175.07
5,3,11,5,535,0,0,0,6,6,99999,1,0,5.2,31.2,111,0.5,0.4,206.27
5,3,12,5,829,0,0,0,12,12,99999,1,0,0.308,3.696,112,0.6,0.5,209.966
5,3,13,5,156,0,0,0,10,10,99999,1,0,1.0,10.0,113,0.4,0.3,219.966
5,3,14,5,313,0,0,0,12,12,99999,1,0,0.375,4.5,114,0.5,0.4,224.466
5,3,15,5,1093,0,0,0,24,24,99999,1,0,0.408,9.792,115,0.6,0.5,234.258
5,3,16,5,281,0,0,0,1,1,99999,1,0,15.0,15.0,116,0.5,0.4,249.258
5,3,17,5,11,0,0,0,96,96,99999,1,0,0.386,37.056,117,0.4,0.3,286.314
