tick,total_energy,job_queue_len,stop_and_go,total_turning
0.15,0.0,4,0,0
0.3,16.539789658360114,3,0,1
0.45,33.07957931672023,2,0,2
0.6,49.61936897508034,1,0,3
0.75,66.15915863344046,0,0,4
0.9,82.69894829180058,0,0,5
1.05,82.69894829180058,0,0,5
1.2,82.69894829180058,4,0,5
1.35,130.38554212213307,3,0,6
1.5,146.9253317804932,2,0,7
1.65,194.61192561082566,1,0,8
1.8,211.1517152691858,0,0,9
1.95,227.6915049275459,0,0,10
2.1,228.4700049275459,0,0,10
2.25,230.80550492754588,4,0,10
2.4,236.25500492754588,3,0,10
2.55,246.37550492754585,2,0,10
2.7,309.63209875787834,1,0,11
2.85,378.3381925882108,0,0,12
3.0,421.3469822465709,0,0,13
3.15,453.2654822465709,0,0,13
3.3,489.85498224657096,4,0,13
3.45,549.212271904931,3,0,14
3.6,642.0518657352636,2,0,15
3.75,734.8914595655958,1,0,16
3.9,783.1584595655956,0,0,16
4.05,844.8512492239558,0,1,17
4.2,907.3225388823162,5,1,18
4.35,949.3615388823159,5,2,18
4.5,1828.5259588823164,5,2,18
4.65,1872.9004588823161,5,3,18
4.8,1927.5867485406768,5,5,19
4.95,2001.148327857397,5,5,21
5.1,2040.0733278573969,5,6,21
5.25,2097.873617515757,10,6,22
5.4,2143.805117515757,10,6,22
5.55,2188.179617515757,10,7,22
5.7,2251.4294071741174,10,7,23
5.85,2299.696407174117,10,7,23
6.0,2348.7419071741174,10,8,23
6.15,2418.219696832478,15,8,24
6.3,2556.06991807612,15,9,25
6.45,2620.09820773448,15,10,26
6.6,2666.80820773448,15,11,26
6.75,2733.9504973928406,15,11,27
6.9,2788.44549739284,15,11,27
7.05,2847.61149739284,15,11,27
7.2,2911.4484973928397,19,11,27
7.35,2973.7284973928404,19,12,27
7.5,3054.8837870512,19,12,28
7.65,3122.6132870512,19,12,28
7.8,3194.2352870512,19,12,28
7.95,3265.8572870511994,19,13,28
8.1,3358.90417977956,19,14,29
8.25,3455.2791755779194,22,15,30
8.4,3553.4252744462806,22,16,31
8.55,3656.4564763846406,22,16,32
8.7,3750.1684917346406,22,16,32
8.85,3842.5376101546403,22,18,32
9.0,4704.952055163,22,19,33
9.15,5700.334787443,25,20,33
9.3,5801.2445924513595,25,20,34
9.45,5865.08159245136,25,22,34
9.6,6035.820103353363,25,22,36
9.75,6100.435603353362,25,22,36
9.9,6165.051103353364,25,22,36
10.05,6230.445103353363,25,22,36
10.2,6298.953103353364,25,22,36
10.35,6365.125603353364,25,23,36
10.5,6444.723893011724,25,24,37
10.65,6920.009533011724,25,24,37
10.8,7219.941271813514,25,24,38
10.95,7383.901334520853,25,24,39
11.1,7450.852334520851,25,25,39
11.25,7535.900124179213,25,25,40
11.4,7605.400727249213,25,26,40
11.55,8529.694273389214,25,29,40
11.7,9034.691912257573,25,30,41
11.85,9122.153114195931,25,30,42
12.0,9197.18112954593,25,30,42
12.15,9274.758747965934,25,30,42
12.3,9354.107469455934,25,31,42
12.45,9498.872378719503,25,33,44
12.6,9613.285885666222,25,33,46
12.75,9704.702898586223,25,33,46
12.9,9795.868393726225,25,34,46
13.05,9909.550160744584,25,34,47
13.2,10011.111620324582,25,34,47
13.35,10374.63310526956,25,34,48
13.5,10539.48987605257,25,34,49
13.65,10649.36331785257,25,34,49
13.8,10757.15277743257,25,34,49
13.95,10868.58321923257,25,34,49
14.1,10958.593031122571,25,36,49
14.25,11148.624186909912,25,36,50
14.4,11248.55106117991,25,37,50
14.55,12587.03571663991,25,38,50
14.7,12703.107653289911,25,38,50
14.85,12827.641371129912,25,38,50
15.0,12952.276807779912,25,38,50
15.15,13076.235463239911,25,38,50
15.3,13209.55214022991,25,38,50
15.45,13327.14665160991,25,39,50
15.6,13529.28926270495,25,39,51
15.75,13651.011754764952,25,40,51
15.9,14352.98416716495,25,41,51
16.05,15257.36674212495,25,41,51
16.2,15387.26743896495,25,41,51
16.35,15637.142387239179,25,41,52
16.5,15774.32504851918,25,41,52
16.65,15907.061509459178,25,42,52
16.8,16098.181818522187,25,42,53
16.95,16234.605317742187,25,42,53
17.1,16365.338853882186,25,43,53
17.25,16991.458011382187,25,43,53
17.4,17117.440938112188,25,44,53
17.55,17337.709189599525,25,44,54
17.7,17646.487691652015,25,45,55
17.85,17871.258902666636,25,46,57
18.0,17995.307128974997,25,47,58
18.15,18201.05696529266,25,47,59
18.3,18325.91869632266,25,47,59
18.45,18461.79257454266,25,47,59
18.6,18601.78984029266,25,48,59
18.75,18751.35999357266,25,48,59
18.9,18909.82625319266,25,48,59
19.05,19063.888507172658,25,49,59
19.2,19234.757545171014,25,49,60
19.35,19416.97079174938,25,50,61
19.5,19581.27793109774,25,51,62
19.65,19859.644757126975,25,52,63
19.8,20026.196439896965,25,52,63
19.95,20200.29174874197,25,53,63
20.1,20384.030702981967,25,53,63
20.25,20580.477042656967,25,53,63
20.4,20774.990047646963,25,54,63
20.55,21026.805668656056,25,55,64
20.7,21230.012167576053,25,55,64
20.85,21430.55098833105,25,56,64
21.0,21673.498494669064,25,57,65
21.15,21957.54418523533,25,57,66
21.3,22170.685566400327,25,57,66
21.45,22396.469655220324,25,57,66
21.6,22634.896451695327,25,57,66
21.75,22885.96595582533,25,57,66
21.9,23145.906864490327,25,57,66
22.05,23411.60517769033,25,57,66
22.2,23687.675578735325,25,57,66
22.35,23960.63813771533,25,58,66
22.5,24307.590477346825,25,59,67
22.65,24612.393558405183,25,60,68
22.8,24925.613485633545,25,60,69
22.95,25223.24424176855,25,60,69
23.1,25528.183376848545,25,60,69
23.25,25834.24334173354,25,61,69
23.4,26191.538100418755,25,62,70
23.55,26518.50435247211,25,62,71
23.7,26831.50331362212,25,62,71
23.85,27156.482385507115,25,62,71
24.0,27480.555836127114,25,63,71
24.15,28361.47852548211,25,63,71
24.3,28680.36309454711,25,63,71
24.45,28970.660676512107,25,64,71
24.6,29384.89946565134,25,64,72
24.75,29682.92573092634,25,64,72
24.9,29971.129973101335,25,65,72
25.05,30271.501481834697,25,65,73
25.2,30555.9320386797,25,65,73
25.35,30849.1792014447,25,66,73
25.5,31151.544510958054,25,67,74
25.65,32032.195567903058,25,67,74
25.8,32301.29573926306,25,68,74
25.95,32596.994600226066,25,71,75
26.1,33582.46880451642,25,71,77
26.25,33836.84149971642,25,71,77
26.4,34096.85455976142,25,71,77
26.55,34369.45816796142,25,71,77
26.7,34642.187760816414,25,73,77
26.85,36139.97833463642,25,73,77
27.0,36410.31405556142,25,73,77
27.15,36681.34015807142,25,73,77
27.3,36939.68956361642,25,75,77
27.45,38141.58860302762,25,75,78
27.6,38406.306107432625,25,75,78
27.75,38678.11912552763,25,75,78
27.9,39127.178066503584,25,76,79
28.05,39445.8332156601,25,77,80
28.2,40390.838023995086,25,78,80
28.35,41127.691112870096,25,79,80
28.5,41458.97167136873,25,79,81
28.65,41971.14138890388,25,79,83
28.8,42212.52397860888,25,80,83
28.95,42505.83409390997,25,81,84
29.1,42828.578814952314,25,81,85
29.25,43130.272482921195,25,82,86
29.4,43457.137741430415,25,82,87
29.55,43659.31582628042,25,82,87
29.7,43870.27449585542,25,82,87
29.85,44079.97534298042,25,82,87
30.0,44363.601938423046,25,82,88
30.15,44627.000979558354,25,83,89
30.3,46125.05613123335,25,83,89
30.45,46352.76109095335,25,83,89
30.6,46586.569778718345,25,83,89
30.75,46801.948864713355,25,85,89
30.9,47173.9884828237,25,85,91
31.05,47428.1297066187,25,85,91
31.2,47712.5947276587,25,85,91
31.35,48011.7050074737,25,85,91
31.5,48333.0114666837,25,85,91
31.65,48678.5307628287,25,86,91
31.8,49768.8668747537,25,88,91
31.95,50158.98127409478,25,88,92
32.1,50613.34801441401,25,88,93
32.25,50970.170523329005,25,88,93
32.4,51317.75001073401,25,89,93
32.55,51749.44561946789,25,90,94
32.7,52159.926793821374,25,90,95
32.85,52476.50014430138,25,92,95
33.0,52926.46306040906,25,92,97
33.15,53242.15217501907,25,93,97
33.3,53609.26767951168,25,95,98
33.45,54038.242366875325,25,95,100
33.6,54426.844141655514,25,96,101
33.75,54742.49589605051,25,96,101
33.9,55071.41283891551,25,96,101
34.05,55418.39573063052,25,96,101
34.2,55772.08168640051,25,96,101
34.35,56132.32635675551,25,96,101
34.5,56511.109502105515,25,96,101
34.65,56904.39291839052,25,96,101
34.8,57301.761653555506,25,96,101
34.95,57703.21570760051,25,96,101
35.1,58123.95419534053,25,96,101
35.25,58537.123366505526,25,97,101
35.4,59096.078709159745,25,97,102
35.55,59544.41683580475,25,98,102
35.7,60062.88304818995,25,98,103
35.85,60527.67304406494,25,99,103
36.0,61098.21681409227,25,99,104
36.15,61592.251294812275,25,99,104
36.3,62082.22948691728,25,99,104
36.45,62568.21910433729,25,99,104
36.6,63041.369450637285,25,100,104
36.75,63548.28502354561,25,102,105
36.9,64145.46194967191,25,102,107
37.05,64595.5396345669,25,102,107
37.2,65049.32810199189,25,102,107
37.35,65467.09280536689,25,103,107
37.5,65879.92314219191,25,103,107
37.65,66274.0106399869,25,105,107
37.8,66724.1149665781,25,106,108
37.95,67183.76797094918,25,106,109
38.1,67571.07841604919,25,106,109
38.25,67961.3815864192,25,106,109
38.4,68336.2834966642,25,107,109
38.55,68798.60972936923,25,107,110
38.7,69184.36195222422,25,108,110
38.85,69631.42626157684,25,109,111
39.0,70084.18337240531,25,109,112
39.15,70499.51965402033,25,109,112
39.3,70910.92544483532,25,110,112
39.45,71418.45647265395,25,110,113
39.6,71859.91477681897,25,110,113
39.75,72321.84070233395,25,110,113
39.9,72763.42381561897,25,111,113
40.05,73226.70504735396,25,111,113
40.2,73683.77656605397,25,111,113
40.35,74150.95492207898,25,111,113
40.5,74630.88750588398,25,111,113
40.65,75125.96578383398,25,111,113
40.8,75630.95598606399,25,111,113
40.95,76153.29442242398,25,111,113
41.1,76687.23228301898,25,111,113
41.25,77228.85678013897,25,111,113
41.4,77761.75844166397,25,112,113
41.55,78285.15655665398,25,113,113
41.7,78905.41701145505,25,113,114
41.85,79476.69256504506,25,113,114
42.0,80026.13771746506,25,114,114
42.15,80598.59775102006,25,114,114
42.3,81172.73140387505,25,114,114
42.45,81756.26368482005,25,114,114
42.6,82321.44213540005,25,115,114
42.75,82957.80634096115,25,115,115
42.9,83541.71852990615,25,115,115
43.05,84122.45454784116,25,115,115
43.2,84708.14188027113,25,115,115
43.35,85292.49353246615,25,115,115
43.5,85850.82170464117,25,117,115
43.65,86475.10992421448,25,117,116
43.8,87027.90428483947,25,117,116
43.95,87585.45800521449,25,117,116
44.1,88132.54318937947,25,118,116
44.25,88755.76638841683,25,119,117
44.4,89349.78692152213,25,119,118
44.55,89886.85155730211,25,119,118
44.7,90404.47957820713,25,120,118
44.85,90911.4058009471,25,121,118
45.0,91414.23956596213,25,121,118
45.15,91921.30436170213,25,121,118
45.3,92430.76640806213,25,121,118
45.45,92938.74099004213,25,122,118
45.6,93443.33930315712,25,122,118
45.75,93957.68559623712,25,122,118
45.9,94472.5181248471,25,122,118
46.05,94985.24295812711,25,123,118
46.2,95582.14197133863,25,123,119
46.35,96117.17317290363,25,123,119
46.5,96665.08365270362,25,123,119
46.65,97227.52449246364,25,123,119
46.8,97783.7454286236,25,124,119
46.95,98337.52244308863,25,124,119
47.1,98898.18900349864,25,124,119
47.25,99468.1833329286,25,124,119
47.4,100047.44704387864,25,124,119
47.55,100599.80193346863,25,125,119
47.7,101233.16324752227,25,125,120
47.85,101765.15587795227,25,126,120
48.0,102387.32523664113,25,126,121
48.15,102921.47569780116,25,126,121
48.3,103398.69441503617,25,129,121
48.45,103984.44304270468,25,129,123
48.6,104445.73779934469,25,130,123
48.75,104903.74491934468,25,130,123
48.9,105356.8594003947,25,130,123
49.05,105799.68200245469,25,130,123
49.2,106228.62108463468,25,131,123
49.35,106726.0866342609,25,131,124
49.5,107140.1028445659,25,133,124
49.65,107628.33842016854,25,134,125
49.8,108117.13667429617,25,134,126
49.95,108539.91159347616,25,134,126
50.1,108971.06824847616,25,134,126
50.25,109416.19600460616,25,134,126
50.4,109875.29486186615,25,134,126
50.55,110318.91537971616,25,135,126
50.7,110765.84055221618,25,135,126
50.85,111229.19006618614,25,135,126
51.0,111683.43146491116,25,135,126
51.15,112147.83698299117,25,135,126
51.3,112612.87975003113,25,135,126
51.45,113091.08739581614,25,135,126
51.6,113577.22141720113,25,135,126
51.75,114015.67810562614,25,137,126
51.9,114452.47510990113,25,137,126
52.05,114873.97111706612,25,138,126
52.2,115312.55770600116,25,139,126
52.35,115747.94588218114,25,139,126
52.5,116195.86215524614,25,139,126
52.65,116628.22574993616,25,139,126
52.8,117023.57620828114,25,141,126
52.95,117612.50855055926,25,142,128
53.1,118054.61316168075,25,143,129
53.25,118415.90974123577,25,144,129
53.4,118777.44697849576,25,144,129
53.55,119139.02671407074,25,144,129
53.7,119451.65367678074,25,146,129
53.85,119764.89172306574,25,146,129
54.0,120072.14104132574,25,147,129
54.15,120457.084909472,25,147,130
54.3,120758.091786557,25,147,130
54.45,121061.23062481699,25,147,130
54.6,121364.403662582,25,147,130
54.75,121636.304254142,25,149,130
54.9,121971.898546495,25,149,131
55.05,122262.26825648498,25,149,131
55.2,122568.67922366502,25,149,131
55.35,122868.38676089501,25,150,131
55.5,123266.28187354005,25,150,132
55.65,123602.17119475006,25,150,132
55.8,123944.75205043005,25,151,132
55.95,124359.30665596851,25,152,133
56.1,124731.39223347353,25,152,133
56.25,125120.1899171885,25,152,133
56.4,125495.82909807352,25,153,133
56.55,125856.31311046849,25,154,133
56.7,126216.87078453349,25,154,133
56.85,126580.20174028852,25,154,133
57.0,126951.01155091851,25,154,133
57.15,127327.6804848935,25,154,133
57.3,127719.52463373351,25,154,133
57.45,128087.59051212351,25,155,133
57.6,128586.16327725774,25,155,134
57.75,128953.50272172774,25,156,134
57.9,129407.37397543291,25,156,135
58.05,129781.57233187291,25,156,135
58.2,130139.18799994291,25,157,135
58.35,130494.44766232291,25,157,135
58.5,130847.81721233792,25,158,135
58.65,131187.6303292479,25,159,135
58.8,131608.00582912553,25,159,136
58.95,131953.08819214551,25,159,136
59.1,132293.8762557455,25,160,136
59.25,132685.27686447464,25,160,137
59.4,133020.94727148462,25,160,137
59.55,133365.5080628596,25,160,137
59.7,133709.27946301963,25,160,137
59.85,134065.05295875462,25,160,137
60.0,134417.57485461462,25,161,137
60.15,134761.0763098996,25,162,137
60.3,135178.46108334578,25,162,138
60.45,135528.6307959508,25,162,138
60.6,135867.06314190582,25,162,138
60.75,136218.2752660108,25,162,138
60.9,136492.8176895358,25,165,138
61.05,136777.2884559058,25,165,138
61.2,137031.7662018958,25,167,138
61.35,137348.4306019923,25,168,139
61.5,137678.33330456336,25,168,140
61.65,137948.7278489484,25,168,140
