order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time
-90,0,1,65,picker-1,64
-46,0,1,81,picker-3,80
-80,0,1,107,picker-1,106
-81,0,2,108,picker-3,106
-74,0,1,119,picker-2,118
-72,0,1,127,picker-3,126
-15,0,2,127,picker-3,125
-92,0,1,134,picker-1,133
-99,0,2,136,picker-3,134
-98,0,1,147,picker-1,146
-66,0,1,165,picker-1,164
-60,0,1,174,picker-1,173
-30,0,1,179,picker-3,178
-76,0,1,184,picker-1,183
-14,0,2,186,picker-3,184
-94,0,1,192,picker-1,191
-69,0,1,223,picker-2,222
-23,0,82,228,picker-3,146
-19,0,2,232,picker-3,230
-59,0,66,241,picker-1,175
6,120,135,254,picker-1,119
-52,0,1,254,picker-2,253
-71,0,109,257,picker-3,148
-13,0,108,263,picker-1,155
-100,0,1,268,picker-2,267
-83,0,128,280,picker-3,152
-49,0,148,295,picker-1,147
-33,0,1,306,picker-2,305
-6,0,1,317,picker-2,316
5,120,128,321,picker-3,193
-36,0,1,327,picker-2,326
4,120,229,345,picker-3,116
-97,0,1,346,picker-2,345
-43,0,187,352,picker-3,165
3,120,166,370,picker-1,204
-11,0,137,370,picker-3,233
-82,0,180,382,picker-3,202
-78,0,185,382,picker-1,197
-93,0,120,401,picker-2,281
8,240,258,406,picker-3,148
-63,0,193,409,picker-1,216
-86,0,256,416,picker-2,160
-88,0,281,468,picker-3,187
-37,0,318,502,picker-2,184
-58,0,328,534,picker-2,206
-61,0,224,541,picker-2,317
-91,0,347,548,picker-2,201
-64,0,255,549,picker-1,294
9,300,353,554,picker-3,201
-16,0,242,586,picker-1,344
-96,0,233,625,picker-3,392
-10,0,296,629,picker-1,333
-40,0,402,636,picker-2,234
-70,0,372,640,picker-3,268
-65,0,371,656,picker-1,285
-31,0,269,656,picker-2,387
-41,0,322,668,picker-3,346
0,60,346,668,picker-3,322
-2,0,383,672,picker-1,289
-22,0,307,679,picker-2,372
-68,0,469,687,picker-3,218
-57,0,417,705,picker-2,288
-24,0,550,731,picker-1,181
-21,0,175,734,picker-1,559
-35,0,264,746,picker-1,482
7,240,384,758,picker-3,374
-56,0,410,763,picker-1,353
15,420,555,769,picker-3,214
-67,0,626,780,picker-3,154
-25,0,630,789,picker-1,159
-5,0,407,792,picker-3,385
-3,0,657,801,picker-1,144
-20,0,535,802,picker-2,267
22,600,637,864,picker-2,227
25,600,669,871,picker-3,202
27,660,673,901,picker-1,228
-32,0,669,920,picker-3,251
17,480,680,930,picker-2,250
21,540,802,981,picker-1,179
-47,0,770,1018,picker-3,248
-34,0,764,1026,picker-1,262
23,600,641,1031,picker-3,390
-44,0,658,1049,picker-2,391
-39,0,732,1054,picker-1,322
-38,0,735,1054,picker-1,319
14,360,587,1064,picker-1,477
-45,0,747,1068,picker-1,321
-18,0,793,1073,picker-3,280
-75,0,803,1077,picker-2,274
40,900,902,1100,picker-1,198
-77,0,503,1105,picker-2,602
-54,0,706,1116,picker-2,410
-84,0,688,1153,picker-3,465
44,960,982,1160,picker-1,178
39,900,921,1167,picker-3,246
-27,0,759,1185,picker-3,426
41,900,1019,1214,picker-3,195
18,480,542,1255,picker-2,713
28,720,1069,1291,picker-1,222
-7,0,865,1295,picker-2,430
-51,0,1078,1304,picker-2,226
-95,0,1055,1329,picker-1,274
49,1080,1101,1339,picker-1,238
50,1140,1161,1368,picker-1,207
-8,0,1106,1409,picker-2,303
-85,0,1027,1411,picker-1,384
-87,0,1168,1414,picker-3,246
-79,0,1186,1427,picker-3,241
-50,0,1117,1434,picker-2,317
-28,0,781,1435,picker-3,654
33,840,1074,1452,picker-3,378
-55,0,1032,1484,picker-3,452
-73,0,1215,1491,picker-3,276
-12,0,790,1558,picker-1,768
32,840,872,1578,picker-3,706
16,420,1050,1599,picker-2,549
-42,0,1340,1603,picker-1,263
-89,0,1154,1605,picker-3,451
12,360,1292,1623,picker-1,331
-48,0,1330,1640,picker-1,310
