pod_id,item_id,qty,order_id,processed_time,task_type,trigger,opp_score
354,499,7,-33,58,1,,
354,393,10,-10,58,1,,
0,0,5,-16,64,1,,
0,0,7,-42,64,1,,
137,39,8,-69,69,1,,
137,560,2,-69,69,1,,
137,712,11,-51,69,1,,
137,5,6,-51,69,1,,
193,43,8,-8,76,1,,
274,205,8,-10,85,1,,
274,95,12,-10,85,1,,
230,1962,9,-8,90,1,,
115,37,3,-73,95,1,,
115,37,4,-51,95,1,,
115,903,2,-69,95,1,,
115,445,11,-62,95,1,,
364,156,12,-8,107,1,,
58,1303,8,-11,110,1,,
58,1,6,-11,110,1,,
149,1781,8,-69,126,1,,
149,80,5,-50,126,1,,
149,80,10,-69,126,1,,
133,79,8,-8,126,1,,
133,128,4,-8,126,1,,
387,500,4,-96,127,1,,
387,817,8,-4,127,1,,
282,1190,8,-82,140,1,,
96,2,6,-63,156,1,,
96,2,6,-96,156,1,,
96,441,9,-10,156,1,,
430,407,8,-69,159,1,,
430,633,7,-54,159,1,,
430,26,9,-54,159,1,,
1,0,1,-42,174,1,,
1,0,10,-93,174,1,,
1,29,8,-82,174,1,,
1,231,6,-8,174,1,,
92,2,1,-96,181,1,,
92,2,7,-33,181,1,,
92,2,4,-11,181,1,,
92,1316,5,-4,181,1,,
66,1633,8,-82,188,1,,
63,71,10,-54,199,1,,
63,1,6,-54,199,1,,
63,332,8,-51,199,1,,
63,439,6,-51,199,1,,
86,2,3,-11,202,1,,
86,2,7,-4,202,1,,
86,2,2,-10,202,1,,
86,74,2,-11,202,1,,
337,392,8,-93,202,1,,
116,4,7,-82,215,1,,
184,1863,10,-33,219,1,,
184,265,1,-10,219,1,,
279,1187,4,-69,228,1,,
279,13,12,-62,228,1,,
279,144,5,-51,228,1,,
171,82,6,-8,231,1,,
171,7,4,-72,231,1,,
318,211,10,-11,237,1,,
318,16,1,-11,237,1,,
151,6,3,-8,244,1,,
151,456,4,-100,244,1,,
196,733,11,-4,254,1,,
277,975,7,-8,256,1,,
225,46,7,-62,258,1,,
225,9,10,-51,258,1,,
225,88,4,-51,258,1,,
118,345,9,-10,269,1,,
313,386,6,-82,274,1,,
405,1480,10,-11,285,1,,
397,159,6,-82,287,1,,
14,233,7,-54,291,1,,
14,233,10,-51,291,1,,
14,322,7,-51,291,1,,
210,741,6,-8,296,1,,
15,233,8,-10,299,1,,
192,1884,8,-10,313,1,,
186,42,8,-62,318,1,,
186,83,6,-62,318,1,,
186,1868,5,-51,318,1,,
67,2,8,-10,327,1,,
460,1269,6,-8,335,1,,
133,681,6,-10,341,1,,
49,663,10,-69,344,1,,
49,239,8,-50,344,1,,
134,184,5,-72,345,1,,
269,597,4,-8,361,1,,
269,13,7,0,361,1,,
445,111,6,-4,361,1,,
447,111,7,-69,371,1,,
447,64,6,-54,371,1,,
447,28,6,-51,371,1,,
175,265,1,-10,373,1,,
175,82,4,-4,373,1,,
314,387,4,-8,375,1,,
384,295,4,-8,382,1,,
215,45,4,-11,387,1,,
385,500,4,-96,396,1,,
316,150,6,-62,397,1,,
316,992,6,-62,397,1,,
316,387,2,-54,397,1,,
316,53,4,-51,397,1,,
338,392,4,-93,397,1,,
132,5,7,-66,407,1,,
119,345,4,-12,414,1,,
407,61,6,-66,417,1,,
176,265,1,-10,420,1,,
176,360,2,-12,420,1,,
331,54,8,-54,423,1,,
331,212,10,-51,423,1,,
159,262,3,-11,427,1,,
159,458,1,-4,427,1,,
172,82,3,-8,429,1,,
0,231,2,-8,445,1,,
120,181,8,-54,448,1,,
120,557,5,-54,448,1,,
120,38,4,-54,448,1,,
386,500,2,-96,461,1,,
332,54,2,-66,466,1,,
5,1061,2,-10,468,1,,
240,476,8,-62,472,1,,
240,47,4,-54,472,1,,
240,90,5,-51,472,1,,
170,566,4,-68,480,1,,
170,7,5,-68,480,1,,
313,2175,4,-4,485,1,,
373,1017,4,-82,487,1,,
287,146,4,-51,496,1,,
287,146,6,-69,496,1,,
287,50,6,-62,496,1,,
106,898,2,-10,501,1,,
409,403,3,-48,514,1,,
348,1223,9,-62,518,1,,
348,20,6,-62,518,1,,
192,363,2,-80,520,1,,
404,160,10,-87,528,1,,
387,218,4,-87,535,1,,
310,281,11,-51,535,1,,
177,265,1,-10,537,1,,
173,566,3,-68,540,1,,
408,403,6,-48,550,1,,
375,103,8,-69,554,1,,
375,1236,4,-51,554,1,,
394,159,2,-82,554,1,,
59,668,10,-51,570,1,,
2,0,4,11,571,1,,
165,190,12,-13,581,1,,
96,36,4,-85,586,1,,
98,76,3,-69,587,1,,
98,178,6,-54,587,1,,
98,125,1,-51,587,1,,
128,38,6,-13,591,1,,
301,988,2,-8,601,1,,
70,1639,10,-69,603,1,,
4,529,10,-88,607,1,,
178,361,8,-58,619,1,,
251,93,10,-51,619,1,,
319,211,10,-38,633,1,,
295,147,10,-69,635,1,,
410,25,6,-38,642,1,,
168,460,2,-92,647,1,,
168,7,6,-92,647,1,,
339,55,5,-38,650,1,,
230,581,6,-51,650,1,,
230,473,3,-51,650,1,,
118,556,6,-92,657,1,,
167,41,5,-38,658,1,,
166,1822,9,-54,665,1,,
164,41,5,-38,666,1,,
114,77,10,-38,680,1,,
395,298,2,-69,682,1,,
395,220,8,-54,682,1,,
353,56,1,-24,691,1,,
20,426,7,-69,696,1,,
20,68,1,-62,696,1,,
169,41,1,-38,700,1,,
169,460,10,-43,700,1,,
322,18,4,-92,703,1,,
80,246,7,-54,710,1,,
80,125,1,-51,710,1,,
132,5,6,14,723,1,,
153,355,8,-73,724,1,,
273,2067,3,-53,729,1,,
196,1893,8,-54,737,1,,
352,290,8,-53,740,1,,
433,63,5,1,749,1,,
133,184,6,-43,751,1,,
133,681,5,-29,751,1,,
349,20,4,-92,755,1,,
260,12,8,-62,756,1,,
323,18,9,-81,769,1,,
134,5,10,-30,772,1,,
112,253,4,1,776,1,,
405,24,2,-62,779,1,,
405,625,6,-54,779,1,,
91,250,8,-30,789,1,,
358,291,8,-51,791,1,,
173,264,8,-56,791,1,,
337,288,7,-1,800,1,,
362,1452,8,-62,802,1,,
140,185,7,-69,813,1,,
446,111,10,-1,819,1,,
234,90,3,-30,825,1,,
432,308,8,-56,825,1,,
416,25,2,-38,829,1,,
189,135,5,-81,833,1,,
0,65,2,-62,834,1,,
0,65,4,-51,834,1,,
165,131,6,-29,838,1,,
92,250,6,-51,853,1,,
92,125,1,-51,853,1,,
424,62,6,3,856,1,,
6,421,6,-69,863,1,,
434,63,10,-20,870,1,,
22,427,6,-54,872,1,,
430,837,2,-30,875,1,,
21,1,6,3,877,1,,
