tick,energy,job_queue_len,stop_and_go,turning
0.15,0.0,2,0,0
0.3,0.078291,1,0,1
0.45,0.078291,0,0,1
0.6,0.078291,0,0,1
0.75,0.0,0,0,0
0.9,0.0,0,0,0
1.05,0.0,0,0,0
1.2,0.0,2,0,0
1.35,0.257745,1,0,1
1.5,0.078291,0,0,1
1.65,0.078291,0,0,1
1.8,0.0,0,0,0
1.95,0.0,0,0,0
2.1,0.003503,0,0,0
2.25,0.009342,2,0,0
2.4,0.275261,1,0,1
2.55,0.102813,0,0,1
2.7,0.10982,0,0,1
2.85,0.0362,0,0,0
3.0,0.038536,0,0,0
3.15,0.043207,0,0,0
3.3,0.049046,2,0,0
3.45,0.125001,1,1,1
3.6,0.13551,0,0,1
3.75,0.140181,0,0,1
3.9,0.064226,0,0,0
4.05,0.068897,0,0,0
4.2,0.075904,2,0,0
4.35,0.339487,1,0,1
4.5,0.155362,0,1,1
4.65,0.169375,0,0,1
4.8,0.100427,0,0,0
4.95,0.096923,0,1,0
5.1,0.179885,0,0,1
5.25,0.105097,2,0,0
5.4,0.183388,1,1,1
5.55,0.449307,0,0,2
5.7,0.193898,0,1,1
5.85,1.154259,0,0,0
6.0,0.11911,0,1,0
6.15,0.669962,2,1,0
6.3,0.205575,1,0,1
6.45,0.21375,0,0,1
6.6,0.21375,0,0,1
6.75,0.12962,0,1,0
6.9,0.21375,0,0,1
7.05,0.120278,0,1,0
7.2,0.197401,2,0,1
7.35,0.20324,1,0,1
7.5,0.207911,0,1,1
7.65,0.4922,0,3,3
7.8,0.265182,0,2,2
7.95,0.42429,0,0,3
8.1,0.126117,0,0,0
8.25,0.133124,2,1,0
8.4,0.300214,2,0,2
8.55,0.155311,2,0,0
8.7,0.165821,2,0,0
8.85,0.173995,2,0,0
9.0,0.182169,2,0,0
9.15,0.183337,5,0,0
9.3,0.193847,5,0,0
9.45,0.219831,5,0,0
9.6,0.219248,5,2,0
9.75,0.394898,5,1,2
9.9,0.328736,5,1,1
10.05,0.340865,5,1,1
10.2,0.893613,7,1,0
10.35,1.050974,7,1,0
10.5,0.942938,7,0,0
10.65,0.265359,7,1,0
10.8,0.298394,7,3,1
10.95,0.588522,7,1,3
11.1,1.013919,7,1,0
11.25,0.329599,7,2,1
11.4,0.331744,7,0,2
11.55,0.158814,7,2,0
11.7,0.726184,7,1,1
11.85,0.757873,7,1,0
