order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time,oct
-42,0,1,125,picker-2,124,125
-100,0,1,171,picker-3,170,171
-94,0,1,173,picker-1,172,173
-6,0,1,211,picker-2,210,211
-68,0,1,211,picker-3,210,211
-70,0,1,269,picker-2,268,269
-90,0,1,283,picker-1,282,283
-63,0,1,339,picker-3,338,339
-39,0,1,370,picker-3,369,370
-74,0,174,372,picker-1,198,372
-97,0,172,388,picker-3,216,388
-44,0,126,392,picker-2,266,392
-84,0,213,404,picker-3,191,404
-59,0,1,423,picker-2,422,423
-89,0,1,453,picker-3,452,453
-5,0,1,463,picker-3,462,463
-81,0,284,484,picker-1,200,484
-3,0,212,492,picker-2,280,492
-40,0,1,498,picker-2,497,498
-9,0,371,519,picker-3,148,519
1,60,340,527,picker-3,187,467
-43,0,270,528,picker-2,258,528
-48,0,373,530,picker-1,157,530
-95,0,1,536,picker-2,535,536
-66,0,389,550,picker-3,161,550
-51,0,1,551,picker-1,550,551
11,300,393,562,picker-2,169,262
-57,0,1,572,picker-1,571,572
-96,0,405,581,picker-3,176,581
13,300,424,624,picker-2,200,324
-54,0,1,634,picker-1,633,634
-79,0,493,636,picker-2,143,636
-15,0,454,640,picker-3,186,640
-85,0,464,663,picker-3,199,663
-49,0,485,672,picker-1,187,672
-55,0,1,694,picker-1,693,694
-80,0,499,700,picker-2,201,700
9,180,563,794,picker-2,231,614
-11,0,529,835,picker-2,306,835
-50,0,528,835,picker-3,307,835
-69,0,635,851,picker-1,216,851
-28,0,520,852,picker-3,332,852
-87,0,551,868,picker-3,317,868
-22,0,537,901,picker-2,364,901
2,120,701,936,picker-2,235,816
-10,0,637,944,picker-2,307,944
0,60,641,966,picker-3,325,906
-32,0,625,980,picker-2,355,980
-67,0,695,980,picker-1,285,980
-62,0,582,1004,picker-3,422,1004
-17,0,664,1013,picker-3,349,1013
20,420,673,1014,picker-1,341,594
-12,0,552,1021,picker-1,469,1021
-19,0,836,1042,picker-2,206,1042
4,120,869,1059,picker-3,190,939
-33,0,837,1071,picker-3,234,1071
-1,0,795,1074,picker-2,279,1074
-38,0,531,1092,picker-1,561,1092
21,420,981,1129,picker-1,148,709
-56,0,852,1137,picker-1,285,1137
3,120,573,1149,picker-1,576,1029
34,960,967,1196,picker-3,229,236
-60,0,902,1197,picker-2,295,1197
22,540,982,1213,picker-2,231,673
29,720,945,1230,picker-2,285,510
33,960,1043,1252,picker-2,209,292
30,780,1005,1395,picker-3,390,615
-45,0,1060,1446,picker-3,386,1446
-41,0,1014,1464,picker-3,450,1464
32,840,937,1474,picker-2,537,634
-21,0,853,1474,picker-3,621,1474
-31,0,1150,1518,picker-1,368,1518
-92,0,1072,1569,picker-3,497,1569
-37,0,1197,1585,picker-3,388,1585
52,1320,1396,1597,picker-3,201,277
47,1200,1214,1604,picker-2,390,404
39,1140,1447,1614,picker-3,167,474
-72,0,1075,1616,picker-2,541,1616
37,1080,1198,1651,picker-2,453,571
54,1380,1465,1669,picker-3,204,289
51,1320,1519,1700,picker-1,181,380
-77,0,1476,1735,picker-3,259,1735
28,660,1015,1824,picker-1,809,1164
-47,0,1130,1828,picker-1,698,1828
35,1020,1093,1833,picker-1,740,813
12,300,1570,1836,picker-3,266,1536
5,120,1138,1860,picker-1,722,1740
40,1140,1475,1925,picker-2,450,785
63,1620,1652,1970,picker-2,318,350
43,1140,1253,1981,picker-2,728,841
-13,0,1231,1990,picker-2,759,1990
46,1200,1598,1993,picker-3,395,793
19,420,1829,2057,picker-1,228,1637
60,1560,1617,2087,picker-2,470,527
10,240,1926,2114,picker-2,188,1874
-26,0,1605,2118,picker-2,513,2118
-36,0,1971,2160,picker-2,189,2160
49,1320,1982,2181,picker-2,199,861
67,1680,1991,2197,picker-2,206,517
-34,0,1701,2250,picker-1,549,2250
65,1680,2058,2269,picker-1,211,589
-20,0,1586,2271,picker-3,685,2271
62,1620,1670,2281,picker-3,611,661
-65,0,1861,2288,picker-1,427,2288
70,1740,1994,2301,picker-3,307,561
48,1200,1837,2332,picker-3,495,1132
8,180,1825,2342,picker-1,517,2162
42,1140,1615,2352,picker-3,737,1212
44,1140,1736,2359,picker-3,623,1219
-52,0,1834,2376,picker-1,542,2376
81,2220,2251,2422,picker-1,171,202
-16,0,2272,2495,picker-3,223,2495
-27,0,2115,2565,picker-2,450,2565
-91,0,2119,2576,picker-2,457,2576
-30,0,2289,2590,picker-1,301,2590
-14,0,2377,2637,picker-1,260,2637
-82,0,2182,2660,picker-2,478,2660
90,2340,2343,2674,picker-1,331,334
69,1740,2282,2677,picker-3,395,937
14,360,2161,2691,picker-2,530,2331
17,420,2270,2693,picker-1,423,2273
57,1500,2088,2695,picker-2,607,1195
-25,0,2198,2700,picker-2,502,2700
82,2220,2591,2783,picker-1,192,563
-73,0,2360,2787,picker-3,427,2787
80,2100,2566,2810,picker-2,244,710
38,1080,2302,2862,picker-3,560,1782
78,2040,2423,2883,picker-1,460,843
