order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time
-25,0,1,132,picker-2,131
-94,0,1,171,picker-2,170
-22,0,1,197,picker-3,196
-51,0,1,254,picker-3,253
-64,0,1,254,picker-3,253
-46,0,1,284,picker-3,283
-91,0,1,339,picker-2,338
-42,0,1,347,picker-1,346
0,60,133,424,picker-2,291
-99,0,1,473,picker-3,472
2,120,255,492,picker-3,237
-6,0,1,505,picker-1,504
-50,0,285,537,picker-3,252
-92,0,198,557,picker-3,359
-48,0,1,605,picker-1,604
6,240,348,620,picker-1,272
-67,0,340,624,picker-2,284
-66,0,1,634,picker-2,633
9,420,425,647,picker-2,222
-38,0,255,656,picker-3,401
-86,0,1,676,picker-2,675
-27,0,1,696,picker-2,695
-41,0,474,711,picker-3,237
-32,0,172,717,picker-2,545
-44,0,538,719,picker-3,181
-84,0,493,729,picker-3,236
-26,0,1,743,picker-1,742
-33,0,1,761,picker-2,760
-20,0,558,778,picker-3,220
-58,0,1,783,picker-1,782
-37,0,1,790,picker-1,789
-40,0,1,796,picker-1,795
-98,0,648,802,picker-2,154
-17,0,1,810,picker-3,809
-39,0,635,818,picker-2,183
-93,0,1,824,picker-2,823
-96,0,625,824,picker-2,199
12,660,677,829,picker-2,152
-68,0,697,858,picker-2,161
11,600,621,858,picker-1,237
-13,0,657,907,picker-3,250
-15,0,606,908,picker-1,302
-47,0,1,913,picker-1,912
15,660,718,932,picker-2,214
18,720,720,953,picker-3,233
-83,0,803,976,picker-2,173
-36,0,730,977,picker-3,247
-31,0,784,1039,picker-1,255
7,240,797,1089,picker-1,292
-77,0,1,1089,picker-3,1088
20,780,811,1106,picker-3,295
24,900,908,1144,picker-3,236
-89,0,791,1173,picker-1,382
19,720,744,1181,picker-1,437
-4,0,779,1218,picker-3,439
-54,0,1040,1301,picker-1,261
33,1080,1090,1301,picker-1,211
-45,0,1091,1304,picker-3,213
-87,0,909,1315,picker-1,406
-90,0,978,1357,picker-3,379
5,240,914,1379,picker-1,465
-8,0,1107,1417,picker-3,310
25,900,933,1418,picker-2,485
3,120,860,1447,picker-2,587
10,540,825,1464,picker-2,639
-78,0,1219,1469,picker-3,250
-74,0,712,1482,picker-3,770
-23,0,825,1553,picker-2,728
17,720,819,1565,picker-2,746
-49,0,830,1597,picker-2,767
-60,0,1145,1597,picker-3,452
-82,0,1174,1605,picker-1,431
36,1140,1419,1616,picker-2,197
-59,0,954,1628,picker-3,674
27,960,1305,1676,picker-3,371
46,1380,1380,1698,picker-1,318
39,1200,1302,1717,picker-1,415
-65,0,859,1726,picker-1,867
8,420,1182,1737,picker-1,555
43,1260,1465,1768,picker-2,303
52,1500,1599,1771,picker-3,172
23,840,1606,1776,picker-1,170
-73,0,506,1786,picker-1,1280
42,1260,1418,1792,picker-3,374
34,1080,1316,1802,picker-1,486
32,1080,1302,1806,picker-1,504
-21,0,1554,1817,picker-2,263
22,780,1727,1933,picker-1,206
35,1080,1718,1948,picker-1,230
29,960,1483,1985,picker-3,502
-88,0,1769,2086,picker-2,317
48,1500,1677,2163,picker-3,486
-56,0,1598,2190,picker-2,592
-34,0,977,2208,picker-2,1231
-28,0,1448,2222,picker-2,774
55,1620,1934,2251,picker-1,317
-2,0,1793,2278,picker-3,485
-29,0,1470,2293,picker-3,823
-5,0,1566,2300,picker-2,734
67,2040,2087,2300,picker-2,213
40,1200,1699,2335,picker-1,636
1,120,1629,2337,picker-3,708
31,1020,1807,2359,picker-1,552
44,1320,1986,2404,picker-3,418
-19,0,1358,2436,picker-3,1078
51,1500,1803,2479,picker-1,676
56,1680,1787,2509,picker-1,722
-75,0,2279,2537,picker-3,258
73,2340,2405,2602,picker-3,197
-30,0,2191,2615,picker-2,424
-76,0,2338,2658,picker-3,320
37,1140,2164,2677,picker-3,513
74,2400,2437,2686,picker-3,249
-81,0,2301,2710,picker-2,409
26,900,2294,2715,picker-3,421
-95,0,2223,2727,picker-2,504
69,2220,2538,2742,picker-3,204
-35,0,2301,2744,picker-2,443
53,1560,2209,2755,picker-2,546
59,1800,1818,2813,picker-2,995
-79,0,2616,2841,picker-2,225
68,2100,2336,2847,picker-1,511
-18,0,2360,2891,picker-1,531
-43,0,2510,2891,picker-1,381
-16,0,1738,2926,picker-1,1188
63,1920,2711,2939,picker-2,228
41,1200,2480,2966,picker-1,486
57,1680,2252,2990,picker-1,738
49,1500,1949,2995,picker-1,1046
21,780,1777,3006,picker-1,1229
82,2760,2848,3082,picker-1,234
79,2640,2678,3111,picker-3,433
84,2820,2892,3113,picker-1,221
61,1860,2967,3196,picker-1,229
92,3000,3007,3244,picker-1,237
16,660,2745,3252,picker-2,507
64,1920,2892,3254,picker-1,362
30,960,1617,3391,picker-2,1774
-61,0,2728,3403,picker-2,675
-70,0,1,3415,picker-3,3414
-12,0,2716,3487,picker-3,771
-72,0,2743,3530,picker-3,787
66,2040,3112,3556,picker-3,444
72,2280,3255,3562,picker-1,307
-100,0,2603,3596,picker-3,993
80,2700,2991,3625,picker-1,634
76,2460,3416,3652,picker-3,236
-3,0,2756,3654,picker-2,898
97,3120,3245,3695,picker-1,450
-1,0,3404,3702,picker-2,298
-53,0,3488,3705,picker-3,217
90,2940,3531,3705,picker-3,174
86,2880,2996,3724,picker-1,728
81,2760,2927,3732,picker-1,805
83,2760,3392,3789,picker-2,397
85,2880,3563,3790,picker-1,227
60,1800,3626,3812,picker-1,186
-9,0,3114,3817,picker-1,703
78,2580,3197,3820,picker-1,623
99,3180,3655,3832,picker-2,177
71,2280,3597,3845,picker-3,248
47,1440,2814,3849,picker-2,1035
77,2520,3696,3867,picker-1,171
58,1800,3253,3881,picker-2,628
-69,0,2659,3900,picker-3,1241
110,3720,3790,3957,picker-2,167
-10,0,3703,3988,picker-2,285
103,3480,3833,4048,picker-2,215
112,3840,3882,4212,picker-2,330
98,3120,3706,4239,picker-3,533
95,3060,3846,4283,picker-3,437
108,3660,3850,4324,picker-2,474
104,3540,3818,4338,picker-1,520
50,1500,2842,4354,picker-2,1512
102,3420,3958,4388,picker-2,430
109,3720,3791,4422,picker-1,631
4,240,3706,4422,picker-3,716
107,3600,3733,4442,picker-1,709
65,1920,3083,4458,picker-1,1375
96,3120,3557,4461,picker-3,904
91,3000,3989,4481,picker-2,492
130,4260,4284,4484,picker-3,200
125,4200,4213,4489,picker-2,276
-7,0,3653,4499,picker-3,846
38,1140,3725,4502,picker-1,777
-71,0,3901,4525,picker-3,624
-63,0,4240,4558,picker-3,318
132,4320,4423,4607,picker-1,184
127,4260,4485,4670,picker-3,185
115,3960,4424,4682,picker-3,258
114,3900,4462,4690,picker-3,228
