order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time,oct
-16,0,1,49,picker-1,48,49
-85,0,2,72,picker-2,70,72
-63,0,1,101,picker-2,100,101
-42,0,1,156,picker-1,155,156
-33,0,1,199,picker-2,198,199
-100,0,1,214,picker-1,213,214
-68,0,102,294,picker-2,192,294
-96,0,1,300,picker-2,299,300
-24,0,73,300,picker-2,227,300
-72,0,50,335,picker-1,285,335
-30,0,2,341,picker-2,339,341
-43,0,157,362,picker-1,205,362
-4,0,1,384,picker-2,383,384
-53,0,200,404,picker-2,204,404
0,60,215,445,picker-1,230,385
-93,0,1,452,picker-1,451,452
3,120,295,495,picker-2,200,375
-87,0,301,502,picker-2,201,502
8,300,301,514,picker-2,213,214
-48,0,363,598,picker-1,235,598
-66,0,336,647,picker-1,311,647
-82,0,1,652,picker-1,651,652
-14,0,405,671,picker-2,266,671
11,420,496,711,picker-2,215,291
-84,0,453,720,picker-1,267,720
-8,0,1,741,picker-1,740,741
-44,0,515,744,picker-2,229,744
-47,0,446,759,picker-1,313,759
-73,0,1,775,picker-3,774,775
14,540,599,778,picker-1,179,238
-75,0,503,783,picker-2,280,783
-59,0,342,801,picker-2,459,801
-83,0,653,829,picker-1,176,829
-9,0,672,939,picker-2,267,939
-1,0,745,963,picker-2,218,963
-49,0,712,970,picker-2,258,970
-88,0,776,988,picker-3,212,988
-6,0,784,997,picker-2,213,997
-50,0,1,1035,picker-3,1034,1035
-69,0,1,1059,picker-3,1058,1059
-45,0,385,1083,picker-2,698,1083
1,60,940,1154,picker-2,214,1094
-54,0,1,1160,picker-3,1159,1160
-62,0,1,1176,picker-3,1175,1176
-94,0,964,1188,picker-2,224,1188
-58,0,989,1192,picker-3,203,1192
-56,0,971,1201,picker-2,230,1201
15,540,760,1212,picker-1,452,672
-29,0,779,1220,picker-1,441,1220
-23,0,802,1230,picker-2,428,1230
-78,0,648,1271,picker-1,623,1271
-55,0,742,1285,picker-1,543,1285
-17,0,1060,1287,picker-3,227,1287
2,120,721,1289,picker-1,568,1169
-36,0,1036,1291,picker-3,255,1291
-92,0,998,1305,picker-2,307,1305
12,480,830,1335,picker-1,505,855
-12,0,1155,1382,picker-2,227,1382
22,960,1213,1441,picker-1,228,481
-67,0,1189,1522,picker-2,333,1522
-13,0,1336,1586,picker-1,250,1586
19,780,1272,1632,picker-1,360,852
-95,0,1193,1643,picker-3,450,1643
-38,0,1084,1652,picker-2,568,1652
23,1080,1288,1718,picker-3,430,638
27,1140,1383,1752,picker-2,369,612
-40,0,1177,1762,picker-3,585,1762
-81,0,1292,1792,picker-3,500,1792
-86,0,1290,1811,picker-1,521,1811
9,360,1523,1823,picker-2,300,1463
30,1200,1202,1843,picker-2,641,643
-64,0,1286,1887,picker-1,601,1887
-10,0,1161,1891,picker-3,730,1891
-3,0,1306,1972,picker-2,666,1972
-70,0,1753,1982,picker-2,229,1982
29,1200,1644,2038,picker-3,394,838
35,1620,1812,2086,picker-1,274,466
-15,0,1653,2118,picker-2,465,2118
43,1800,1888,2132,picker-1,244,332
32,1500,1587,2142,picker-1,555,642
-51,0,1,2158,picker-3,2157,2158
47,1980,2039,2229,picker-3,190,249
-77,0,1442,2247,picker-1,805,2247
-34,0,1793,2266,picker-3,473,2266
-27,0,1973,2291,picker-2,318,2291
33,1500,1719,2293,picker-3,574,793
-91,0,1763,2304,picker-3,541,2304
18,780,1633,2313,picker-1,680,1533
-71,0,2133,2357,picker-1,224,2357
46,1920,2159,2388,picker-3,229,468
-11,0,1892,2406,picker-3,514,2406
-74,0,2087,2433,picker-1,346,2433
-25,0,2230,2470,picker-3,240,2470
-20,0,1221,2516,picker-1,1295,2516
44,1800,1983,2524,picker-2,541,724
-60,0,2314,2526,picker-1,212,2526
56,2220,2248,2531,picker-1,283,311
-79,0,1231,2537,picker-2,1306,2537
37,1620,2292,2569,picker-2,277,949
-98,0,2119,2575,picker-2,456,2575
-90,0,1844,2638,picker-2,794,2638
-32,0,1824,2641,picker-2,817,2641
39,1740,2143,2656,picker-1,513,916
-97,0,2358,2686,picker-1,328,2686
60,2280,2525,2698,picker-2,173,418
59,2280,2389,2717,picker-3,328,437
45,1860,2434,2726,picker-1,292,866
61,2340,2538,2751,picker-2,213,411
31,1380,2687,2865,picker-1,178,1485
6,240,2718,2912,picker-3,194,2672
21,900,2657,2987,picker-1,330,2087
65,2460,2471,3040,picker-3,569,580
