pod_id,item_id,qty,order_id,processed_time,task_type,trigger,opp_score
0,0,5,-16,49,1,,
0,0,7,-42,49,1,,
91,2,3,-4,72,1,,
91,36,4,-85,72,1,,
91,250,8,-30,72,1,,
193,43,8,-8,75,1,,
430,407,8,-69,76,1,,
430,633,7,-54,76,1,,
430,26,9,-54,76,1,,
133,79,8,-8,92,1,,
133,128,4,-8,92,1,,
92,2,6,-63,101,1,,
92,2,6,-96,101,1,,
92,1316,5,-4,101,1,,
230,1962,9,-8,105,1,,
63,71,10,-54,114,1,,
63,1,6,-54,114,1,,
63,332,8,-51,114,1,,
63,439,6,-51,114,1,,
196,733,11,-4,117,1,,
364,156,12,-8,122,1,,
387,500,4,-96,136,1,,
387,817,8,-4,136,1,,
137,39,8,-69,149,1,,
137,560,2,-69,149,1,,
137,712,11,-51,149,1,,
137,5,6,-51,149,1,,
132,5,10,-30,152,1,,
1,0,1,-42,156,1,,
1,0,10,-93,156,1,,
1,29,8,-82,156,1,,
1,231,6,-8,156,1,,
282,1190,8,-82,170,1,,
66,2,1,-96,171,1,,
66,2,7,-33,171,1,,
66,2,4,-4,171,1,,
149,1781,8,-69,181,1,,
149,80,5,-50,181,1,,
149,80,10,-69,181,1,,
116,4,7,-82,183,1,,
184,1863,10,-33,187,1,,
337,392,8,-93,197,1,,
354,499,7,-33,199,1,,
225,46,7,-62,211,1,,
225,9,10,-51,211,1,,
225,88,4,-51,211,1,,
445,111,6,-4,211,1,,
151,6,3,-8,214,1,,
151,456,4,-100,214,1,,
171,82,4,-4,225,1,,
384,500,4,-96,231,1,,
14,233,7,-54,244,1,,
14,233,10,-51,244,1,,
14,322,7,-51,244,1,,
172,82,6,-8,256,1,,
172,7,4,-72,256,1,,
313,2175,4,-4,262,1,,
279,1187,4,-69,273,1,,
279,13,12,-62,273,1,,
279,144,5,-51,273,1,,
210,741,6,-8,276,1,,
170,566,4,-68,279,1,,
170,7,5,-68,279,1,,
277,975,7,-8,287,1,,
173,566,3,-68,294,1,,
356,500,2,-96,300,1,,
356,56,1,-24,300,1,,
115,37,3,-73,301,1,,
115,37,4,-51,301,1,,
115,903,2,-69,301,1,,
115,445,11,-62,301,1,,
234,90,3,-30,305,1,,
396,159,6,-82,318,1,,
460,1269,6,-8,327,1,,
186,42,8,-62,328,1,,
186,83,6,-62,328,1,,
186,1868,5,-51,328,1,,
134,184,5,-72,335,1,,
430,837,2,-30,341,1,,
133,184,6,-43,344,1,,
447,111,7,-69,355,1,,
447,64,6,-54,355,1,,
447,28,6,-51,355,1,,
174,82,3,-8,362,1,,
174,460,10,-43,362,1,,
352,290,8,-53,368,1,,
49,663,10,-69,381,1,,
49,239,8,-50,381,1,,
160,458,1,-4,384,1,,
314,387,4,-8,390,1,,
66,1633,8,-82,404,1,,
273,2067,3,-53,404,1,,
331,54,8,-54,407,1,,
331,212,10,-51,407,1,,
269,597,4,-8,411,1,,
384,295,4,-8,433,1,,
316,150,6,-62,433,1,,
316,992,6,-62,433,1,,
316,387,2,-54,433,1,,
316,53,4,-51,433,1,,
268,13,7,0,445,1,,
338,392,4,-93,452,1,,
120,181,8,-54,458,1,,
120,557,5,-54,458,1,,
120,38,4,-54,458,1,,
404,160,10,-87,476,1,,
240,476,8,-62,483,1,,
240,47,4,-54,483,1,,
240,90,5,-51,483,1,,
20,1,6,3,486,1,,
422,62,6,3,495,1,,
387,218,4,-87,502,1,,
139,5,7,-66,506,1,,
287,146,4,-51,506,1,,
287,146,6,-69,506,1,,
287,50,6,-62,506,1,,
15,115,8,8,514,1,,
313,386,6,-82,515,1,,
348,1223,9,-62,528,1,,
348,20,6,-62,528,1,,
373,1017,4,-82,530,1,,
407,61,6,-66,540,1,,
210,87,6,-59,541,1,,
375,103,8,-69,547,1,,
375,1236,4,-51,547,1,,
159,1351,2,-59,558,1,,
159,81,10,-59,558,1,,
310,281,11,-51,565,1,,
21,426,6,-59,567,1,,
408,403,6,-48,578,1,,
59,668,10,-51,581,1,,
0,231,2,-8,583,1,,
147,6,8,-45,583,1,,
70,1639,10,-69,597,1,,
409,403,3,-48,598,1,,
7,856,4,-59,608,1,,
98,76,3,-69,613,1,,
98,178,6,-54,613,1,,
98,125,1,-51,613,1,,
138,452,9,-47,617,1,,
251,93,10,-51,641,1,,
51,1,12,-14,642,1,,
51,1610,8,-14,642,1,,
304,279,4,-47,643,1,,
304,16,9,-84,643,1,,
332,54,2,-66,647,1,,
394,159,2,-82,652,1,,
295,147,10,-69,668,1,,
55,241,8,-14,671,1,,
166,1822,9,-54,680,1,,
180,83,7,-45,682,1,,
311,281,6,-75,691,1,,
395,298,2,-69,695,1,,
395,220,8,-54,695,1,,
204,8,8,-75,703,1,,
20,426,7,-69,706,1,,
20,68,1,-62,706,1,,
12,859,1,-45,711,1,,
12,0,4,11,711,1,,
360,1450,7,-84,720,1,,
230,581,6,-51,720,1,,
230,473,3,-51,720,1,,
301,988,2,-8,741,1,,
203,937,4,-44,744,1,,
417,61,2,-47,750,1,,
354,794,4,-45,751,1,,
416,61,6,-47,759,1,,
260,12,8,-62,763,1,,
56,241,6,-75,772,1,,
153,355,8,-73,775,1,,
132,5,6,14,778,1,,
454,64,2,-59,783,1,,
454,1266,4,-75,783,1,,
196,1893,8,-54,787,1,,
305,280,2,-59,798,1,,
