tick,energy,job_queue_len,stop_and_go,turning
0.15,0.0,2,0,0
0.3,0.257745,1,0,1
0.45,0.078291,0,0,1
0.6,0.078291,0,0,1
0.75,0.0,0,0,0
0.9,0.0,0,0,0
1.05,0.0,0,0,0
1.2,0.0,2,0,0
1.35,0.078291,1,0,1
1.5,0.003503,0,0,0
1.65,0.084129,0,0,1
1.8,0.008174,0,0,0
1.95,0.01051,0,0,0
2.1,0.012845,0,0,0
2.25,0.016348,2,0,0
2.4,0.277596,1,0,1
2.55,0.102813,0,0,1
2.7,0.107484,0,0,1
2.85,0.023355,0,1,0
3.0,0.106317,0,0,1
3.15,0.0362,0,0,0
3.3,0.043207,2,0,0
3.45,0.132007,1,0,1
3.6,0.324306,0,0,1
3.75,0.077072,0,0,0
3.9,0.084078,0,0,0
4.05,0.09342,0,0,0
4.2,0.102762,2,0,0
4.35,0.191562,1,0,1
4.5,0.381526,0,0,1
4.65,0.209079,0,0,1
4.8,0.141298,0,0,0
4.95,0.145969,0,0,0
5.1,0.14013,0,1,0
5.25,0.224259,2,0,1
5.4,0.397875,1,1,1
5.55,0.299047,0,0,2
5.7,0.224259,0,0,1
5.85,0.14013,0,1,0
6.0,0.220756,0,0,1
6.15,0.133123,2,1,0
6.3,0.458649,1,1,2
6.45,0.285034,1,0,2
6.6,0.128452,1,0,0
6.75,0.123781,1,0,0
6.9,0.122614,1,0,0
7.05,0.115607,1,1,0
7.2,0.200904,4,0,1
7.35,0.134291,4,0,0
7.5,0.121446,4,2,0
7.65,0.285034,4,0,2
7.8,0.136627,4,1,0
7.95,0.220756,4,1,1
8.1,0.233601,4,0,1
8.25,0.173995,7,0,0
8.4,0.185672,7,0,0
8.55,0.18684,7,1,0
8.7,0.800326,7,1,0
8.85,0.175162,7,0,0
9.0,0.178666,7,0,0
9.15,0.149472,10,3,0
9.3,1.210827,10,0,2
9.45,0.16582,10,0,0
9.6,0.15064,10,2,0
9.75,0.780949,10,1,1
9.9,0.237105,10,0,1
10.05,0.151808,10,2,0
10.2,0.323569,13,0,2
10.35,0.178666,13,0,0
10.5,0.345488,13,0,1
10.65,0.177498,13,1,0
10.8,0.93089,13,0,0
10.95,0.158814,13,2,0
11.1,1.434882,13,0,2
11.25,0.155311,13,1,0
11.4,0.235937,13,0,1
11.55,0.315586,13,0,1
11.7,0.163485,13,1,0
11.85,0.862174,13,0,0
12.0,0.179833,13,0,0
12.15,0.189176,13,0,0
12.3,0.208109,13,0,0
12.45,0.222288,13,0,0
12.6,0.224593,13,1,0
12.75,1.081085,13,1,0
12.9,1.516799,13,0,1
13.05,0.25723,13,0,0
13.2,0.265886,13,0,0
13.35,0.256343,13,2,0
13.5,1.897408,13,0,0
13.65,0.243621,13,1,0
13.8,0.415392,13,0,1
13.95,0.228418,13,2,0
14.1,0.485412,13,0,2
14.25,0.227039,13,0,0
14.4,0.23357,13,0,0
14.55,0.423817,13,0,1
14.7,0.796527,13,2,1
14.85,1.06881,13,1,1
15.0,0.242755,13,1,1
15.15,0.322005,13,1,1
15.3,0.966308,13,0,3
15.45,0.138702,13,0,0
15.6,0.141287,13,0,0
15.75,0.106681,13,2,0
15.9,0.386581,13,1,2
16.05,0.192761,13,1,1
16.2,0.811649,13,0,0
16.35,0.156884,13,0,0
16.5,0.177235,13,0,0
16.65,0.784728,13,0,1
16.8,0.237453,13,0,0
16.95,0.265491,13,0,0
17.1,0.289009,13,0,0
17.25,0.303947,13,0,0
17.4,0.316951,13,0,0
17.55,0.312804,13,1,0
17.7,0.465406,13,1,1
17.85,0.52556,13,0,1
18.0,0.901886,13,1,1
18.15,1.018296,13,1,0
18.3,1.165729,13,0,0
18.45,0.357507,13,1,0
18.6,0.586546,13,0,1
18.75,0.359924,13,1,0
18.9,0.538452,13,0,1
19.05,0.359912,13,0,0
19.2,0.349628,13,0,0
19.35,0.318204,13,1,0
19.5,0.492221,13,0,1
19.65,0.30318,13,0,0
19.8,0.280054,13,1,0
19.95,0.972392,13,2,2
20.1,0.496878,13,1,2
20.25,1.08481,13,0,0
20.4,0.249301,13,1,0
20.55,1.138848,13,0,0
20.7,0.265522,13,1,0
20.85,0.481552,13,0,1
21.0,0.268333,13,1,0
21.15,0.437357,13,0,1
21.3,0.317861,13,0,0
21.45,0.292461,13,3,0
21.6,1.537683,13,0,2
21.75,0.257929,13,1,0
21.9,0.27261,13,1,0
22.05,1.076166,13,0,2
22.2,0.263543,13,2,0
22.35,0.543817,13,0,2
22.5,0.313458,13,0,0
22.65,0.315544,13,1,0
22.8,0.498102,13,0,1
22.95,0.357998,13,0,0
23.1,0.373281,13,0,0
23.25,0.363829,13,1,0
23.4,0.671184,13,0,2
23.55,0.384871,13,1,0
23.7,0.549649,13,1,1
23.85,0.586492,13,0,1
24.0,0.40305,13,0,0
24.15,0.420721,13,1,0
24.3,0.440385,13,0,0
24.45,0.447749,13,0,0
24.6,0.416678,13,2,0
24.75,0.759123,13,0,2
24.9,0.405855,13,1,0
25.05,0.587706,13,0,1
25.2,0.42021,13,0,0
25.35,0.430861,13,0,0
25.5,0.387361,13,3,0
25.65,1.337693,13,1,2
25.8,0.813894,13,1,0
25.95,0.4546,13,0,0
26.1,0.451893,13,0,0
26.25,0.435132,13,1,0
26.4,0.631455,13,0,1
26.55,0.44901,13,1,0
26.7,0.646216,13,1,1
26.85,0.641322,13,0,1
27.0,0.457949,13,0,0
27.15,0.462557,13,0,0
27.3,0.471011,13,0,0
27.45,0.642608,13,0,1
27.6,0.51934,13,0,0
27.75,0.549467,13,0,0
27.9,0.542942,13,1,0
28.05,0.752805,13,0,1
28.2,0.558318,13,1,0
28.35,0.564966,13,0,0
28.5,0.591556,13,0,0
28.65,0.615248,13,1,0
28.8,0.846256,13,0,1
28.95,0.655856,13,1,0
29.1,0.810038,13,0,1
29.25,0.716781,13,0,0
29.4,0.744356,13,0,0
29.55,0.756609,13,0,0
29.7,0.758071,13,0,0
29.85,0.759301,13,1,0
30.0,0.948316,13,0,1
30.15,0.753956,13,0,0
30.3,0.734592,13,0,0
30.45,0.733242,13,0,0
30.6,0.733282,13,1,0
30.75,0.847255,13,2,1
30.9,0.970767,13,1,2
31.05,0.842655,13,1,1
31.2,0.869693,13,0,1
31.35,0.685726,13,0,0
31.5,0.693927,13,0,0
31.65,0.698631,13,0,0
31.8,0.707068,13,0,0
31.95,0.710885,13,0,0
32.1,0.715593,13,0,0
32.25,0.724915,13,0,0
32.4,0.719271,13,0,0
32.55,0.722202,13,0,0
32.7,0.697998,13,1,0
32.85,0.89735,13,1,1
33.0,0.911493,13,0,1
33.15,0.792687,13,0,0
33.3,0.820955,13,0,0
33.45,0.826558,13,0,0
33.6,0.791883,13,1,0
33.75,0.821876,13,0,0
33.9,0.791443,13,1,0
34.05,0.781923,13,1,0
34.2,0.854956,13,0,1
34.35,0.782413,13,0,0
34.5,0.771364,13,0,0
34.65,0.758329,13,0,0
34.8,0.744813,13,0,0
34.95,0.750442,13,0,0
35.1,0.71088,13,2,0
35.25,0.703982,13,0,0
35.4,0.696368,13,0,0
35.55,0.649215,13,2,0
35.7,1.061629,13,0,2
35.85,0.678401,13,0,0
36.0,0.696358,13,0,0
36.15,0.69228,13,0,0
36.3,0.693319,13,0,0
36.45,0.716946,13,0,0
36.6,0.72268,13,0,0
36.75,0.701938,13,1,0
36.9,0.84954,13,1,1
37.05,0.868865,13,0,1
37.2,0.68871,13,0,0
37.35,0.686406,13,0,0
37.5,0.698035,13,0,0
37.65,0.711251,13,0,0
37.8,0.731381,13,0,0
37.95,0.739489,13,0,0
38.1,0.736649,13,0,0
38.25,0.727778,13,0,0
38.4,0.707257,13,1,0
38.55,0.720125,13,1,0
38.7,0.809627,13,1,1
38.85,0.672621,13,1,0
39.0,0.874172,13,0,1
39.15,0.715487,13,0,0
39.3,0.721537,13,0,0
39.45,0.726894,13,0,0
39.6,0.729761,13,0,0
39.75,0.743945,13,0,0
39.9,0.762679,13,0,0
40.05,0.738575,13,1,0
40.2,0.740995,13,0,0
40.35,0.739419,13,1,0
40.5,0.834865,13,0,1
40.65,0.750931,13,0,0
40.8,0.747637,13,0,0
40.95,0.744687,13,0,0
41.1,0.744937,13,1,0
41.25,0.729589,13,1,0
41.4,0.874298,13,0,1
41.55,0.72485,13,0,0
41.7,0.703137,13,1,0
41.85,0.872481,13,0,1
42.0,0.728289,13,0,0
42.15,0.706063,13,1,0
42.3,0.867644,13,0,1
42.45,0.700397,13,0,0
42.6,0.683843,13,0,0
42.75,0.609928,13,1,0
42.9,0.605598,13,0,0
43.05,0.573563,13,1,0
43.2,0.526961,13,2,0
43.35,0.604345,13,2,1
43.5,0.567728,13,1,1
43.65,0.446498,13,0,0
43.8,0.424823,13,2,0
43.95,0.789801,13,0,2
44.1,0.453276,13,0,0
44.25,0.409953,13,2,0
44.4,0.436618,13,0,0
44.55,0.462235,13,0,0
44.7,0.467235,13,0,0
44.85,0.475649,13,0,0
45.0,0.4618,13,1,0
45.15,0.38387,13,2,0
45.3,0.339526,13,1,0
45.45,0.35376,13,0,0
45.6,0.306321,13,2,0
45.75,0.529994,13,0,1
45.9,0.358195,13,0,0
46.05,0.379721,13,0,0
46.2,0.400415,13,0,0
46.35,0.41707,13,1,0
46.5,0.406978,13,1,0
46.65,0.416326,13,0,0
46.8,0.444404,13,0,0
46.95,0.471355,13,0,0
47.1,0.442774,13,2,0
47.25,0.646117,13,1,1
47.4,0.547173,13,0,1
47.55,0.487923,13,0,0
47.7,0.503256,13,0,0
47.85,0.493236,13,1,0
48.0,0.641673,13,2,1
48.15,0.384141,13,2,0
48.3,0.521984,13,1,1
48.45,0.363549,13,0,0
48.6,0.365417,13,1,0
48.75,0.362747,13,1,0
48.9,0.377887,13,0,0
49.05,0.35415,13,2,0
49.2,0.566096,13,0,1
49.35,0.354922,13,1,0
49.5,0.335134,13,1,0
49.65,0.527105,13,0,1
49.8,0.373738,13,1,0
49.95,0.388911,13,0,0
50.1,0.379642,13,2,0
50.25,0.397716,14,0,0
50.4,0.425713,14,0,0
50.55,0.377777,14,2,0
50.7,0.416848,14,2,1
50.85,0.494641,14,0,1
51.0,0.30016,14,1,0
51.15,0.330207,14,0,0
51.3,0.278582,14,4,0
51.45,0.468743,14,0,1
51.6,0.32183,14,0,0
51.75,0.337069,14,0,0
51.9,0.359931,14,0,0
52.05,0.375418,14,0,0
52.2,0.399043,14,0,0
