pod_id,item_id,qty,order_id,processed_time,task_type,trigger,opp_score
243,316,7,-87,43,1,,
220,247,6,-64,53,1,,
220,259,10,-35,53,1,,
220,262,4,-35,53,1,,
0,0,1,-66,60,1,,
0,0,6,-87,60,1,,
0,0,5,-43,60,1,,
23,10,5,-56,63,1,,
23,1297,3,-56,63,1,,
23,3,11,-46,63,1,,
292,440,10,-55,68,1,,
247,327,6,-75,77,1,,
247,327,6,-26,77,1,,
58,46,7,-55,88,1,,
58,46,8,-47,88,1,,
100,78,11,-56,95,1,,
100,89,8,-52,95,1,,
100,84,6,-48,95,1,,
132,129,4,-75,99,1,,
132,117,12,-49,99,1,,
132,125,1,-49,99,1,,
179,186,8,-64,110,1,,
179,2001,2,-64,110,1,,
433,904,11,-56,111,1,,
242,314,10,-56,131,1,,
242,310,5,-52,131,1,,
41,19,4,-26,134,1,,
41,1369,12,-49,134,1,,
41,22,11,-98,134,1,,
59,36,6,-57,151,1,,
59,44,10,-58,151,1,,
59,41,4,-35,151,1,,
59,47,6,-35,151,1,,
59,42,5,-18,151,1,,
72,56,10,-56,158,1,,
72,1508,9,-48,158,1,,
302,2617,2,-55,168,1,,
302,462,8,-18,168,1,,
1,0,1,-43,168,1,,
1,8,8,-75,168,1,,
1,6,10,-49,168,1,,
1,5,8,-98,168,1,,
171,182,8,-56,172,1,,
244,316,7,-26,179,1,,
434,909,3,-35,187,1,,
434,903,10,-18,187,1,,
363,642,6,-51,188,1,,
430,890,10,-52,188,1,,
104,95,7,-46,201,1,,
221,247,1,-64,204,1,,
221,247,5,-47,204,1,,
221,262,4,-35,204,1,,
240,308,6,-51,213,1,,
340,570,8,-42,215,1,,
327,536,10,-35,220,1,,
64,48,5,-98,221,1,,
362,640,6,-56,226,1,,
396,760,8,-55,234,1,,
122,114,3,-26,235,1,,
364,648,6,-56,243,1,,
347,593,6,-58,255,1,,
65,53,7,-58,268,1,,
67,1484,4,-98,273,1,,
46,36,5,-56,282,1,,
38,19,6,-11,289,1,,
38,28,5,-69,289,1,,
105,1650,6,-58,292,1,,
246,2326,3,-98,295,1,,
375,681,6,-47,303,1,,
488,1213,2,-26,320,1,,
252,338,5,-42,329,1,,
250,2347,1,-49,331,1,,
401,3199,2,-47,332,1,,
401,3199,3,-23,332,1,,
96,1609,3,-48,338,1,,
96,84,2,-48,338,1,,
348,593,8,-31,343,1,,
128,118,4,-42,345,1,,
470,1096,5,-52,353,1,,
44,33,5,8,361,1,,
66,55,6,-1,363,1,,
66,50,8,-1,363,1,,
43,33,4,-23,375,1,,
270,387,4,-56,378,1,,
322,520,4,-58,382,1,,
174,186,4,-64,389,1,,
37,27,6,7,391,1,,
408,3239,4,-54,398,1,,
108,101,6,-38,407,1,,
117,1705,2,-1,422,1,,
117,106,9,-1,422,1,,
200,222,1,-38,425,1,,
184,2028,3,-35,428,1,,
118,112,2,-27,430,1,,
454,1015,4,-56,431,1,,
212,247,4,-47,435,1,,
338,562,4,-68,444,1,,
213,248,4,-40,457,1,,
32,19,1,-35,457,1,,
248,331,8,-93,457,1,,
361,2963,2,-55,463,1,,
214,248,4,-40,464,1,,
295,450,8,-93,470,1,,
295,449,1,-93,470,1,,
307,478,9,0,483,1,,
463,1063,6,-93,493,1,,
296,2581,3,-76,495,1,,
390,3131,3,-56,500,1,,
175,187,6,-76,507,1,,
335,547,6,-21,518,1,,
335,2813,2,-21,518,1,,
65,53,12,0,520,1,,
65,49,9,-63,520,1,,
21,16,8,-63,532,1,,
178,192,10,-96,538,1,,
396,3168,1,-76,541,1,,
223,271,8,0,543,1,,
409,796,8,-22,544,1,,
221,263,5,-22,552,1,,
328,540,6,-81,563,1,,
410,801,8,-80,564,1,,
422,854,3,-56,570,1,,
177,191,10,-81,577,1,,
222,265,4,1,581,1,,
365,651,8,17,586,1,,
162,169,6,-67,593,1,,
22,16,1,-81,611,1,,
22,17,3,-67,611,1,,
22,1,6,-67,611,1,,
22,10,3,-67,611,1,,
16,12,9,5,620,1,,
297,452,6,-67,628,1,,
315,500,2,-40,637,1,,
12,1260,2,-56,641,1,,
163,169,1,-67,642,1,,
163,152,8,-33,642,1,,
45,35,7,0,647,1,,
67,56,2,-56,650,1,,
60,49,7,17,658,1,,
0,9,10,20,661,1,,
303,472,5,-63,667,1,,
17,14,4,-86,676,1,,
151,152,5,9,683,1,,
81,1547,2,-54,685,1,,
132,129,5,-67,691,1,,
82,1547,2,-54,700,1,,
18,1280,6,-53,702,1,,
312,2674,4,-25,709,1,,
85,70,6,-2,712,1,,
411,809,4,-63,716,1,,
458,1035,5,-67,723,1,,
78,66,6,-19,728,1,,
32,1336,6,-63,733,1,,
147,148,7,-70,735,1,,
463,1063,4,0,742,1,,
187,207,4,-81,753,1,,
79,66,3,-19,760,1,,
79,60,8,-15,760,1,,
212,248,2,-40,765,1,,
246,325,4,-25,775,1,,
452,1007,3,-79,779,1,,
354,618,3,-67,786,1,,
316,498,6,-79,788,1,,
278,403,3,-96,804,1,,
229,2241,2,-56,808,1,,
474,1120,3,-96,810,1,,
14,7,2,16,810,1,,
14,11,8,-29,810,1,,
483,1175,3,-96,815,1,,
111,104,4,-29,837,1,,
250,336,8,-32,838,1,,
66,52,3,-53,845,1,,
304,2631,2,-79,847,1,,
360,2958,2,17,850,1,,
308,481,8,-15,859,1,,
243,314,2,-56,863,1,,
1,4,6,-32,866,1,,
138,137,4,-74,871,1,,
188,209,6,-32,875,1,,
110,103,10,22,896,1,,
133,131,6,-73,899,1,,
40,1367,5,22,905,1,,
475,1121,6,-32,908,1,,
471,1105,2,-29,909,1,,
478,3669,2,0,914,1,,
416,809,1,-63,918,1,,
137,135,6,-24,921,1,,
248,332,4,25,933,1,,
417,819,2,-89,935,1,,
227,275,10,36,942,1,,
428,880,10,-34,947,1,,
292,441,5,36,950,1,,
81,69,3,-74,956,1,,
121,1721,1,20,960,1,,
121,115,8,23,960,1,,
249,334,7,-34,971,1,,
2,3,10,23,985,1,,
59,1451,4,23,992,1,,
78,67,6,36,1003,1,,
251,337,6,32,1005,1,,
0,5,2,-34,1013,1,,
447,975,1,-56,1019,1,,
447,977,4,36,1019,1,,
90,80,2,-67,1033,1,,
90,79,1,23,1033,1,,
11,4,10,28,1034,1,,
11,10,12,28,1034,1,,
148,148,4,36,1036,1,,
148,144,9,14,1036,1,,
28,18,6,-37,1043,1,,
256,349,6,14,1046,1,,
39,30,6,32,1052,1,,
134,132,9,48,1059,1,,
164,173,5,-37,1061,1,,
379,696,5,-24,1084,1,,
33,17,10,28,1084,1,,
33,1342,8,28,1084,1,,
120,116,6,37,1090,1,,
58,46,11,42,1100,1,,
449,979,12,58,1110,1,,
449,990,8,58,1110,1,,
46,37,7,28,1111,1,,
165,171,11,38,1126,1,,
55,44,12,51,1128,1,,
55,36,11,51,1128,1,,
243,2311,3,-34,1134,1,,
349,597,9,11,1146,1,,
289,430,2,51,1150,1,,
66,49,11,38,1150,1,,
66,54,7,60,1150,1,,
236,294,4,36,1153,1,,
278,2479,2,-24,1157,1,,
487,1202,4,51,1168,1,,
318,505,4,65,1175,1,,
1,2,7,38,1176,1,,
1,6,2,38,1176,1,,
1,6,3,54,1176,1,,
1,1,8,54,1176,1,,
222,2207,3,36,1179,1,,
3,2,7,65,1186,1,,
154,150,7,11,1190,1,,
40,1366,2,-96,1190,1,,
347,2885,2,-68,1197,1,,
167,174,8,60,1200,1,,
167,1947,2,54,1200,1,,
188,210,2,36,1207,1,,
293,444,10,42,1215,1,,
78,1536,10,14,1221,1,,
48,40,4,67,1226,1,,
348,595,2,-99,1230,1,,
64,51,10,68,1231,1,,
221,265,8,54,1245,1,,
96,84,2,10,1250,1,,
63,51,10,54,1259,1,,
0,1,1,-24,1261,1,,
321,515,5,28,1267,1,,
263,367,6,68,1284,1,,
237,2281,2,10,1285,1,,
370,668,1,-56,1287,1,,
332,549,5,54,1292,1,,
55,1429,7,10,1297,1,,
445,965,5,28,1300,1,,
97,83,4,6,1307,1,,
102,87,4,-37,1312,1,,
102,91,4,68,1312,1,,
152,154,7,69,1319,1,,
434,912,6,6,1328,1,,
180,194,4,54,1330,1,,
2,6,8,66,1337,1,,
39,29,12,69,1345,1,,
133,1783,2,69,1349,1,,
238,299,11,-60,1364,1,,
190,211,6,66,1371,1,,
172,183,2,42,1373,1,,
172,181,2,56,1373,1,,
76,64,10,64,1390,1,,
189,211,8,-60,1398,1,,
369,664,12,-72,1409,1,,
224,265,4,54,1413,1,,
89,75,3,66,1415,1,,
234,291,3,38,1419,1,,
406,789,3,-72,1423,1,,
79,67,4,38,1426,1,,
318,505,10,33,1428,1,,
318,506,5,6,1428,1,,
90,78,6,72,1437,1,,
4,9,9,64,1438,1,,
284,2517,2,38,1448,1,,
69,58,6,-14,1449,1,,
399,767,3,-37,1461,1,,
68,57,6,49,1461,1,,
440,948,2,28,1465,1,,
128,120,4,-60,1476,1,,
371,664,6,49,1480,1,,
371,657,6,85,1480,1,,
129,120,4,-60,1494,1,,
129,122,4,-45,1494,1,,
70,59,9,76,1495,1,,
448,3478,4,72,1501,1,,
232,286,3,77,1505,1,,
33,25,1,-7,1519,1,,
157,160,8,-4,1522,1,,
114,108,4,72,1528,1,,
0,3,6,85,1531,1,,
161,168,3,-60,1534,1,,
303,466,3,-60,1540,1,,
302,466,3,-60,1546,1,,
200,226,6,76,1559,1,,
75,63,7,90,1572,1,,
130,120,2,-60,1581,1,,
233,287,6,-17,1582,1,,
46,36,4,49,1586,1,,
1,1,8,90,1594,1,,
236,295,5,64,1595,1,,
229,281,8,74,1605,1,,
235,288,10,73,1609,1,,
111,104,8,78,1612,1,,
72,61,6,-50,1624,1,,
260,359,11,-94,1624,1,,
131,128,10,34,1626,1,,
2,6,5,73,1632,1,,
234,292,8,-94,1651,1,,
17,14,6,-50,1666,1,,
201,227,4,34,1666,1,,
71,58,4,-94,1676,1,,
18,14,8,35,1677,1,,
202,227,5,34,1678,1,,
231,283,4,73,1683,1,,
279,405,4,89,1684,1,,
352,608,3,78,1697,1,,
31,21,10,89,1698,1,,
115,107,4,85,1711,1,,
73,57,10,93,1719,1,,
158,163,12,-13,1732,1,,
175,189,2,49,1733,1,,
67,56,8,19,1737,1,,
232,2257,3,-45,1738,1,,
243,316,3,-94,1739,1,,
381,704,7,-13,1748,1,,
3,9,2,-13,1753,1,,
157,160,8,35,1754,1,,
47,36,2,91,1757,1,,
436,925,6,-13,1762,1,,
304,466,1,-60,1778,1,,
4,5,6,35,1793,1,,
4,5,11,-85,1793,1,,
176,189,1,-13,1794,1,,
261,357,10,-8,1801,1,,
109,102,2,76,1805,1,,
159,161,12,92,1810,1,,
475,1125,6,53,1827,1,,
160,164,4,53,1834,1,,
182,198,1,-16,1839,1,,
181,197,4,89,1841,1,,
181,193,12,-85,1841,1,,
181,181,8,31,1841,1,,
412,811,2,-8,1848,1,,
347,2881,1,47,1851,1,,
1,0,11,31,1856,1,,
101,90,6,95,1868,1,,
0,8,11,102,1871,1,,
368,657,2,85,1873,1,,
14,1269,9,95,1886,1,,
65,48,3,35,1887,1,,
65,43,2,-85,1887,1,,
65,53,6,102,1887,1,,
94,1601,10,40,1897,1,,
319,508,8,35,1899,1,,
89,77,11,29,1902,1,,
