order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time,oct
-24,0,1,67,picker-2,66,67
-16,0,1,84,picker-2,83,84
-68,0,1,124,picker-3,123,124
-42,0,1,131,picker-2,130,131
-72,0,1,142,picker-3,141,142
-43,0,1,142,picker-3,141,142
-13,0,2,153,picker-3,151,153
-100,0,1,171,picker-2,170,171
-9,0,1,210,picker-3,209,210
-93,0,1,212,picker-2,211,212
-92,0,1,224,picker-3,223,224
-63,0,68,289,picker-2,221,289
-82,0,1,296,picker-2,295,296
-53,0,125,300,picker-3,175,300
-96,0,132,314,picker-2,182,314
0,60,143,332,picker-3,189,272
-12,0,143,344,picker-3,201,344
-27,0,172,426,picker-2,254,426
-85,0,213,433,picker-2,220,433
-86,0,290,535,picker-2,245,535
-48,0,225,564,picker-3,339,564
-84,0,301,574,picker-3,273,574
-89,0,85,603,picker-2,518,603
-87,0,211,644,picker-3,433,644
-47,0,333,653,picker-3,320,653
-38,0,154,686,picker-3,532,686
-6,0,434,695,picker-2,261,695
-66,0,345,695,picker-3,350,695
1,60,297,704,picker-2,407,644
-64,0,315,709,picker-2,394,709
-1,0,427,723,picker-2,296,723
-71,0,565,724,picker-3,159,724
-23,0,536,736,picker-2,200,736
-29,0,575,763,picker-3,188,763
3,120,604,803,picker-2,199,683
-73,0,1,807,picker-1,806,807
-30,0,654,826,picker-3,172,826
14,540,645,835,picker-3,190,295
11,420,705,884,picker-2,179,464
8,300,696,895,picker-2,199,595
-97,0,710,924,picker-2,214,924
-17,0,737,983,picker-2,246,983
-58,0,808,1026,picker-1,218,1026
-20,0,725,1058,picker-3,333,1058
-56,0,836,1106,picker-3,270,1106
-14,0,697,1157,picker-3,460,1157
-33,0,896,1191,picker-2,295,1191
-69,0,1,1201,picker-1,1200,1201
-8,0,1,1213,picker-1,1212,1213
-54,0,1,1224,picker-1,1223,1224
-83,0,1059,1232,picker-3,173,1232
-62,0,1,1236,picker-1,1235,1236
-95,0,764,1249,picker-3,485,1249
-94,0,1027,1252,picker-1,225,1252
19,780,827,1273,picker-3,446,493
15,540,885,1282,picker-2,397,742
-21,0,925,1421,picker-2,496,1421
-36,0,1202,1452,picker-1,250,1452
5,240,804,1468,picker-2,664,1228
-50,0,1192,1480,picker-2,288,1480
-44,0,1283,1487,picker-2,204,1487
-49,0,1233,1532,picker-3,299,1532
-98,0,1158,1538,picker-3,380,1538
12,480,724,1544,picker-2,820,1064
-55,0,1107,1571,picker-3,464,1571
-45,0,984,1584,picker-2,600,1584
29,1200,1250,1596,picker-3,346,396
-74,0,1274,1630,picker-3,356,1630
-88,0,1453,1643,picker-1,190,1643
-18,0,1214,1674,picker-1,460,1674
23,1080,1225,1726,picker-1,501,646
-81,0,1533,1732,picker-3,199,1732
-40,0,1253,1807,picker-1,554,1807
35,1620,1631,1840,picker-3,209,220
-75,0,1469,1947,picker-2,478,1947
27,1140,1597,1965,picker-3,368,825
25,1080,1488,1970,picker-2,482,890
-91,0,1585,2015,picker-2,430,2015
-65,0,1481,2041,picker-2,560,2041
-32,0,1422,2059,picker-2,637,2059
30,1200,1644,2075,picker-1,431,875
-79,0,1675,2075,picker-1,400,2075
