pod_id,item_id,qty,order_id,processed_time,task_type,trigger,opp_score
282,1190,8,-82,54,1,,
447,28,8,-9,61,1,,
350,392,8,-93,67,1,,
350,56,1,-24,67,1,,
137,39,8,-69,79,1,,
137,560,2,-69,79,1,,
137,712,11,-51,79,1,,
137,5,6,-51,79,1,,
137,128,4,-8,79,1,,
137,79,8,-8,79,1,,
0,0,5,-16,84,1,,
0,0,7,-42,84,1,,
128,4,7,-82,94,1,,
170,460,2,-92,103,1,,
170,460,10,-43,103,1,,
170,7,3,-9,103,1,,
170,7,4,-72,103,1,,
170,7,5,-68,103,1,,
170,7,6,-92,103,1,,
170,566,4,-68,103,1,,
66,1633,8,-82,106,1,,
63,71,10,-54,117,1,,
63,1,6,-54,117,1,,
63,332,8,-51,117,1,,
63,439,6,-51,117,1,,
171,566,3,-68,124,1,,
171,190,12,-13,124,1,,
1,0,1,-42,131,1,,
1,0,10,-93,131,1,,
1,29,8,-82,131,1,,
394,159,6,-82,140,1,,
133,184,5,-72,142,1,,
133,184,6,-43,142,1,,
230,46,7,-62,152,1,,
230,581,6,-51,152,1,,
230,473,3,-51,152,1,,
230,1962,9,-8,152,1,,
129,38,6,-13,153,1,,
313,386,6,-82,165,1,,
38,33,9,-9,168,1,,
151,456,4,-100,171,1,,
118,556,6,-92,180,1,,
430,407,8,-69,185,1,,
430,633,7,-54,185,1,,
430,26,9,-54,185,1,,
322,18,4,-92,198,1,,
464,318,6,-9,210,1,,
337,392,4,-93,212,1,,
14,233,7,-54,218,1,,
14,233,10,-51,218,1,,
14,322,7,-51,218,1,,
348,20,4,-92,224,1,,
277,13,12,-62,251,1,,
277,144,5,-51,251,1,,
277,975,7,-8,251,1,,
66,2,7,-96,264,1,,
352,290,8,-53,269,1,,
395,159,2,-82,279,1,,
316,150,6,-62,282,1,,
316,992,6,-62,282,1,,
316,387,2,-54,282,1,,
316,387,4,-8,282,1,,
316,53,4,-51,282,1,,
67,2,6,-63,289,1,,
373,1017,4,-82,296,1,,
273,2067,3,-53,300,1,,
385,500,4,-96,303,1,,
384,500,4,-96,310,1,,
149,1781,8,-69,311,1,,
149,80,10,-69,311,1,,
149,6,3,-8,311,1,,
386,500,2,-96,314,1,,
265,13,7,0,332,1,,
115,37,3,-73,339,1,,
115,37,4,-51,339,1,,
115,903,2,-69,339,1,,
115,445,11,-62,339,1,,
119,345,4,-12,340,1,,
176,360,2,-12,344,1,,
186,42,8,-62,366,1,,
186,83,6,-62,366,1,,
186,1868,5,-51,366,1,,
318,211,10,-38,372,1,,
98,178,8,-27,380,1,,
331,54,8,-54,392,1,,
331,212,10,-51,392,1,,
114,77,10,-38,404,1,,
294,96,5,-27,410,1,,
448,111,7,-69,419,1,,
448,64,6,-54,419,1,,
448,28,6,-51,419,1,,
410,25,2,-38,421,1,,
410,160,10,-87,421,1,,
372,103,10,-27,426,1,,
409,25,6,-38,430,1,,
96,36,4,-85,433,1,,
164,41,5,-38,438,1,,
364,20,6,-62,445,1,,
364,156,12,-8,445,1,,
407,403,6,-48,447,1,,
165,41,5,-38,457,1,,
120,181,8,-54,470,1,,
120,557,5,-54,470,1,,
120,38,4,-54,470,1,,
304,16,9,-84,470,1,,
281,1189,4,-86,474,1,,
240,476,8,-62,495,1,,
240,47,4,-54,495,1,,
240,90,5,-51,495,1,,
376,293,4,-86,512,1,,
376,104,2,-86,512,1,,
196,1893,8,-54,518,1,,
196,43,8,-8,518,1,,
444,412,1,-86,521,1,,
444,63,5,1,521,1,,
