tick,energy,job_queue_len,stop_and_go,turning
0.15,0.0,2,0,0
0.3,0.078291,1,0,1
0.45,0.078291,0,0,1
0.6,0.257745,0,0,1
0.75,0.0,0,0,0
0.9,0.0,0,0,0
1.05,0.0,0,0,0
1.2,0.0,2,0,0
1.35,0.078291,1,0,1
1.5,0.078291,0,0,1
1.65,0.257745,0,0,1
1.8,0.0,0,0,0
1.95,0.0,0,0,0
2.1,0.003503,0,0,0
2.25,0.009342,2,0,0
2.4,0.092304,1,0,1
2.55,0.096975,0,0,1
2.7,0.101646,0,0,1
2.85,0.02569,0,0,0
3.0,0.023355,0,0,0
3.15,0.024523,0,0,0
3.3,0.030361,2,0,0
3.45,0.102813,1,1,1
3.6,0.354719,0,1,2
3.75,0.35939,0,0,2
3.9,0.031529,0,0,0
4.05,0.038536,0,0,0
4.2,0.049045,2,0,0
4.35,0.319635,1,0,1
4.5,0.332481,0,0,1
4.65,0.160033,0,0,1
4.8,0.088749,0,0,0
4.95,0.096923,0,0,0
5.1,0.099259,0,0,0
5.25,0.102762,2,0,0
5.4,0.109769,1,0,0
5.55,0.190395,0,1,1
5.7,0.275692,0,0,2
5.85,0.113272,0,1,0
6.0,0.196233,0,0,1
6.15,0.10393,2,2,0
6.3,0.87767,1,1,2
6.45,0.25584,1,0,2
6.6,0.095755,1,1,0
6.75,0.181053,1,0,1
6.9,0.09342,1,1,0
7.05,0.175214,1,0,1
7.2,0.099259,4,0,0
7.35,0.096923,4,1,0
7.5,0.817462,4,0,0
7.65,0.121446,4,0,0
7.8,0.121446,4,2,0
7.95,1.908674,4,0,0
8.1,0.694315,4,0,1
8.25,0.191511,7,0,0
8.4,0.210195,7,0,0
8.55,0.227711,7,0,0
8.7,0.246395,7,0,0
8.85,0.259241,7,0,0
9.0,0.246395,7,1,0
9.15,0.32235,10,0,1
9.3,0.414398,10,0,1
9.45,0.22304,10,2,0
9.6,0.847511,10,1,1
9.75,1.069299,10,3,2
9.9,1.005953,10,0,2
10.05,0.184504,10,0,0
10.2,0.182169,12,0,0
10.35,0.158814,12,2,0
10.5,0.31306,12,0,2
10.65,0.145969,12,1,0
10.8,0.221924,12,0,1
10.95,0.122614,12,1,0
11.1,0.119831,12,1,0
11.25,0.746642,12,1,0
11.4,0.36774,12,0,2
11.55,0.159901,12,0,0
11.7,0.733669,12,0,1
11.85,0.196912,12,0,0
