tick,energy,job_queue_len,stop_and_go,turning
0.15,0.0,2,0,0
0.3,0.078291,1,0,1
0.45,0.257745,0,0,1
0.6,0.078291,0,0,1
0.75,0.0,0,0,0
0.9,0.0,0,0,0
1.05,0.0,0,0,0
1.2,0.727693,2,0,0
1.35,0.0,1,0,0
1.5,0.078291,0,0,1
1.65,0.078291,0,0,1
1.8,0.0,0,0,0
1.95,0.0,0,0,0
2.1,0.003503,0,0,0
2.25,0.005839,2,0,0
2.4,0.269422,1,0,1
2.55,0.094639,0,0,1
2.7,0.09931,0,0,1
2.85,0.02569,0,0,0
3.0,0.205542,0,0,1
3.15,0.032697,0,0,0
3.3,0.038536,2,0,0
3.45,0.125001,1,0,1
3.6,0.129672,0,0,1
3.75,0.13551,0,0,1
3.9,0.059555,0,0,0
4.05,0.066562,0,0,0
4.2,0.073568,2,0,0
4.35,0.147188,1,1,1
4.5,0.231317,0,0,2
4.65,0.160033,0,0,1
4.8,0.094252,0,0,0
4.95,0.099478,0,0,0
5.1,0.104704,0,0,0
5.25,0.111098,2,0,0
5.4,0.369397,1,1,1
5.55,0.450578,0,1,2
5.7,0.27635,0,1,2
5.85,0.199782,0,1,1
6.0,0.212014,0,0,1
6.15,0.147124,2,0,0
6.3,0.418881,1,0,1
6.45,0.256944,1,0,1
6.6,0.182156,1,1,0
6.75,0.261615,1,1,1
6.9,0.273292,1,0,1
7.05,0.204343,1,0,0
7.2,0.209014,4,0,0
7.35,0.212518,4,0,0
7.5,0.224195,4,0,0
7.65,0.234705,4,0,0
7.8,0.232369,4,1,0
7.95,0.311828,4,1,1
8.1,0.227698,4,1,0
8.25,0.316499,7,0,1
8.4,0.23704,7,1,0
8.55,0.312996,7,1,1
8.7,0.327009,7,0,1
8.85,0.259228,7,0,0
9.0,0.261563,7,0,0
9.15,0.259228,10,0,0
9.3,0.261563,10,0,0
9.45,0.270905,10,0,0
9.6,0.25806,10,2,0
9.75,0.407635,10,2,2
9.9,0.421648,10,0,2
10.05,0.273241,10,0,0
10.2,0.265066,13,1,0
10.35,0.349196,13,0,1
10.5,0.279079,13,0,0
10.65,0.275576,13,1,0
10.8,0.356202,13,0,1
10.95,0.272073,13,1,0
11.1,0.35737,13,0,1
11.25,0.26857,13,1,0
11.4,0.260395,13,1,0
11.55,0.808911,13,1,0
11.7,1.116073,13,0,0
11.85,0.26857,13,0,0
