order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time,oct
-16,0,1,81,picker-3,80,81
-66,0,1,143,picker-2,142,143
-42,0,1,173,picker-3,172,173
-9,0,1,193,picker-2,192,193
-29,0,1,226,picker-1,225,226
-92,0,1,272,picker-2,271,272
-68,0,1,291,picker-2,290,291
-81,0,1,322,picker-2,321,322
0,60,82,342,picker-3,260,282
-30,0,1,342,picker-2,341,342
-63,0,144,351,picker-2,207,351
-53,0,194,379,picker-2,185,379
-84,0,174,407,picker-3,233,407
-24,0,273,438,picker-2,165,438
3,120,292,495,picker-2,203,375
8,300,323,511,picker-2,188,211
-87,0,343,548,picker-2,205,548
-83,0,380,611,picker-2,231,611
-85,0,408,626,picker-3,218,626
11,420,439,659,picker-2,220,239
-93,0,1,665,picker-3,664,665
-78,0,352,680,picker-2,328,680
-89,0,344,742,picker-3,398,742
14,540,549,763,picker-2,214,223
-50,0,1,777,picker-1,776,777
-71,0,612,782,picker-2,170,782
-13,0,627,830,picker-3,203,830
-98,0,1,871,picker-1,870,871
-54,0,1,897,picker-1,896,897
-96,0,227,905,picker-1,678,905
-1,0,681,926,picker-2,245,926
-28,0,666,931,picker-3,265,931
-72,0,743,953,picker-3,210,953
-69,0,1,956,picker-1,955,956
15,540,660,964,picker-2,304,424
-82,0,1,992,picker-3,991,992
-6,0,778,1002,picker-1,224,1002
-62,0,1,1006,picker-1,1005,1006
-8,0,1,1024,picker-3,1023,1024
-64,0,764,1028,picker-2,264,1028
-55,0,496,1033,picker-2,537,1033
-43,0,831,1037,picker-3,206,1037
-36,0,783,1059,picker-2,276,1059
-14,0,898,1082,picker-1,184,1082
-74,0,512,1083,picker-2,571,1083
-58,0,872,1105,picker-1,233,1105
-48,0,932,1157,picker-3,225,1157
-56,0,965,1165,picker-2,200,1165
1,60,927,1175,picker-2,248,1115
-70,0,954,1226,picker-3,272,1226
-20,0,957,1229,picker-1,272,1229
-27,0,993,1252,picker-3,259,1252
-94,0,1003,1354,picker-1,351,1354
-100,0,1158,1360,picker-3,202,1360
-95,0,1007,1398,picker-1,391,1398
-32,0,1038,1405,picker-3,367,1405
-44,0,1227,1422,picker-3,195,1422
-15,0,1025,1437,picker-3,412,1437
-88,0,1253,1454,picker-3,201,1454
-51,0,1,1458,picker-3,1457,1458
-91,0,1106,1495,picker-1,389,1495
23,1080,1083,1503,picker-1,420,423
31,1380,1399,1565,picker-1,166,185
-33,0,1166,1566,picker-2,400,1566
-52,0,1230,1571,picker-1,341,1571
27,1140,1176,1588,picker-2,412,448
-11,0,1361,1590,picker-3,229,1590
-97,0,1029,1597,picker-2,568,1597
-40,0,1060,1659,picker-2,599,1659
-39,0,1355,1684,picker-1,329,1684
-76,0,1084,1699,picker-2,615,1699
-18,0,1496,1740,picker-1,244,1740
-75,0,1406,1770,picker-3,364,1770
-23,0,1572,1775,picker-1,203,1775
-49,0,1591,1896,picker-3,305,1896
-25,0,1455,1918,picker-3,463,1918
30,1200,1685,1919,picker-1,234,719
-10,0,1034,1925,picker-2,891,1925
-79,0,1566,1936,picker-1,370,1936
16,600,1459,1939,picker-3,480,1339
-12,0,1700,1990,picker-2,290,1990
22,960,1598,2013,picker-2,415,1053
-38,0,1660,2017,picker-2,357,2017
-86,0,1589,2049,picker-2,460,2049
29,1200,1567,2119,picker-2,552,919
-60,0,1897,2134,picker-3,237,2134
21,900,1776,2154,picker-1,378,1254
33,1500,1504,2201,picker-1,697,701
46,1920,1937,2201,picker-1,264,281
-19,0,1741,2205,picker-1,464,2205
