pod_id,item_id,qty,order_id,processed_time,task_type,trigger,opp_score
137,5,1,-81,56,1,,
137,5,7,-66,56,1,,
137,5,10,-30,56,1,,
137,1131,2,-81,56,1,,
120,181,8,-54,56,1,,
120,557,5,-54,56,1,,
120,38,4,-54,56,1,,
337,392,8,-93,64,1,,
337,212,10,-51,64,1,,
91,250,8,-30,68,1,,
0,0,5,-16,81,1,,
0,0,7,-42,81,1,,
134,39,8,-69,84,1,,
134,560,2,-69,84,1,,
134,681,5,-29,84,1,,
134,681,6,-54,84,1,,
170,460,2,-92,96,1,,
170,7,3,-9,96,1,,
170,7,5,-68,96,1,,
170,7,6,-92,96,1,,
170,566,4,-68,96,1,,
133,79,8,-8,105,1,,
133,128,4,-8,105,1,,
133,5,6,-51,105,1,,
49,663,10,-69,115,1,,
49,1,6,-54,115,1,,
49,239,8,-50,115,1,,
331,18,4,-92,117,1,,
331,18,9,-81,117,1,,
331,54,2,-66,117,1,,
230,1962,9,-8,128,1,,
230,473,3,-51,128,1,,
230,581,6,-51,128,1,,
38,33,9,-9,132,1,,
407,61,6,-66,143,1,,
149,1781,8,-69,147,1,,
149,80,5,-50,147,1,,
149,80,10,-69,147,1,,
447,28,8,-9,157,1,,
14,0,1,-42,173,1,,
14,0,10,-93,173,1,,
14,29,8,-82,173,1,,
14,233,10,-51,173,1,,
14,322,7,-51,173,1,,
430,407,8,-69,180,1,,
430,633,7,-54,180,1,,
430,26,9,-54,180,1,,
63,332,8,-51,192,1,,
63,439,6,-51,192,1,,
464,318,6,-9,193,1,,
189,135,5,-81,202,1,,
279,1187,4,-69,204,1,,
279,13,12,-62,204,1,,
119,556,6,-92,211,1,,
225,88,4,-51,218,1,,
225,9,10,-51,218,1,,
76,73,4,-81,225,1,,
166,1822,9,-54,226,1,,
166,131,6,-29,226,1,,
277,975,7,-8,237,1,,
277,144,5,-51,237,1,,
348,1223,9,-62,248,1,,
348,20,6,-62,248,1,,
234,90,3,-30,252,1,,
364,156,12,-8,256,1,,
314,150,6,-62,269,1,,
314,992,6,-62,269,1,,
314,387,2,-54,269,1,,
349,20,4,-92,272,1,,
115,4,7,-82,273,1,,
115,37,4,-51,273,1,,
448,111,7,-69,289,1,,
448,64,6,-54,289,1,,
171,566,3,-68,291,1,,
310,281,11,-51,291,1,,
137,712,11,-51,308,1,,
183,42,8,-62,310,1,,
183,83,6,-62,310,1,,
3,1060,2,-81,322,1,,
1,231,6,-8,325,1,,
1,65,4,-51,325,1,,
240,476,8,-62,329,1,,
240,47,4,-54,329,1,,
269,597,4,-8,342,1,,
269,13,7,0,342,1,,
431,837,2,-30,342,1,,
372,619,6,-98,350,1,,
372,103,8,-69,350,1,,
66,2,6,-63,351,1,,
59,668,10,-51,359,1,,
287,146,6,-69,369,1,,
287,50,6,-62,369,1,,
352,290,8,-53,373,1,,
273,2067,3,-53,379,1,,
317,387,4,-8,385,1,,
317,53,4,-51,385,1,,
317,2187,1,-51,385,1,,
317,16,9,-84,385,1,,
114,445,11,-62,386,1,,
64,71,10,-54,403,1,,
360,291,8,-51,407,1,,
360,1450,7,-84,407,1,,
70,1639,10,-69,419,1,,
193,43,8,-8,421,1,,
251,93,10,-51,437,1,,
353,56,1,-24,438,1,,
362,1452,8,-62,449,1,,
362,500,4,-96,449,1,,
282,1190,8,-82,451,1,,
91,125,1,-51,464,1,,
91,250,6,-51,464,1,,
80,246,7,-54,470,1,,
80,2,7,-96,470,1,,
313,386,6,-82,476,1,,
20,1,6,3,485,1,,
295,147,10,-69,486,1,,
172,82,6,-8,487,1,,
422,62,6,3,495,1,,
210,741,6,-8,499,1,,
98,76,3,-69,501,1,,
98,178,6,-54,501,1,,
15,115,8,8,511,1,,
394,298,2,-69,517,1,,
394,220,8,-54,517,1,,
395,159,6,-82,527,1,,
404,160,10,-87,529,1,,
196,1893,8,-54,538,1,,
348,20,2,-78,541,1,,
348,101,6,-78,541,1,,
387,218,4,-87,548,1,,
21,426,7,-69,550,1,,
21,68,1,-62,550,1,,
140,185,6,-78,561,1,,
447,28,6,-51,569,1,,
260,12,8,-62,587,1,,
397,23,12,-78,593,1,,
186,1868,5,-51,593,1,,
262,203,6,-78,602,1,,
66,1633,8,-82,608,1,,
331,54,8,-54,609,1,,
263,203,6,-83,611,1,,
460,1269,6,-8,617,1,,
405,24,2,-62,621,1,,
405,625,6,-54,621,1,,
92,125,1,-51,626,1,,
92,36,4,-85,626,1,,
141,185,7,-69,631,1,,
14,233,7,-54,642,1,,
234,90,5,-51,646,1,,
224,46,7,-62,652,1,,
433,27,5,-51,656,1,,
1,0,4,-78,659,1,,
1,0,4,11,659,1,,
6,421,6,-69,662,1,,
338,392,4,-93,665,1,,
258,273,4,-55,671,1,,
258,375,4,-55,671,1,,
22,427,6,-54,671,1,,
384,295,4,-8,672,1,,
287,146,4,-51,679,1,,
448,412,3,-78,680,1,,
121,182,6,-98,694,1,,
42,118,6,-69,717,1,,
449,64,10,-74,718,1,,
449,28,12,-74,718,1,,
115,903,7,-74,728,1,,
156,918,6,-62,730,1,,
373,1017,4,-82,734,1,,
395,1474,5,-89,742,1,,
330,1002,12,-74,745,1,,
13,67,6,-55,754,1,,
132,5,6,14,763,1,,
194,732,6,-62,768,1,,
171,82,3,-8,772,1,,
124,907,6,-55,773,1,,
180,193,6,-50,777,1,,
375,1236,4,-51,779,1,,
329,492,6,-71,782,1,,
147,6,3,-8,785,1,,
409,25,5,-62,791,1,,
93,251,6,-55,791,1,,
165,190,12,-13,817,1,,
33,1075,5,-62,818,1,,
0,231,2,-8,821,1,,
