tick,energy,job_queue_len,stop_and_go,turning
0.15,0.0,2,0,0
0.3,0.003503,1,0,0
0.45,0.084129,0,0,1
0.6,0.086465,0,0,1
0.75,0.01051,0,0,0
0.9,0.012845,0,0,0
1.05,0.012845,0,0,0
1.2,0.01051,2,0,0
1.35,0.0888,1,0,1
1.5,0.0888,0,0,1
1.65,0.078291,0,1,1
1.8,0.078291,0,0,1
1.95,0.0,0,0,0
2.1,0.0,0,0,0
2.25,0.003503,2,0,0
2.4,0.012845,1,0,0
2.55,0.098142,0,0,1
2.7,0.105149,0,0,1
2.85,0.033865,0,0,0
3.0,0.038536,0,0,0
3.15,0.039704,0,0,0
3.3,0.040871,2,0,0
3.45,0.127336,1,0,1
3.6,0.127336,0,1,1
3.75,0.193949,0,2,2
3.9,0.203291,0,0,2
4.05,0.053716,0,0,0
4.2,0.056052,2,0,0
4.35,0.321971,1,0,1
4.5,0.075904,0,0,0
4.65,0.150691,0,1,1
4.8,0.157698,0,0,1
4.95,0.084078,0,0,0
5.1,0.086413,0,0,0
5.25,0.087581,2,0,0
5.4,0.161201,1,1,1
5.55,0.251169,0,0,2
5.7,0.170543,0,2,1
5.85,0.254672,0,1,2
6.0,0.188059,0,0,1
6.15,0.11911,2,0,0
6.3,0.202072,1,0,1
6.45,0.133123,1,0,0
6.6,0.145969,1,0,0
6.75,0.144801,1,1,0
6.9,0.217253,1,1,1
7.05,0.206743,1,1,1
7.2,0.202072,4,1,1
7.35,0.805993,4,0,0
7.5,0.152975,4,0,0
7.65,0.165821,4,0,0
7.8,0.181001,4,0,0
7.95,0.192679,4,0,0
8.1,0.19735,4,1,0
8.25,0.282647,7,0,1
8.4,0.203188,7,1,0
8.55,1.086985,7,1,0
8.7,0.816037,7,2,0
8.85,1.113802,7,2,1
9.0,0.915631,7,1,1
9.15,0.425072,10,1,2
9.3,0.736416,10,0,0
9.45,0.193846,10,0,0
9.6,0.191511,10,0,0
9.75,0.189176,10,0,0
9.9,0.191511,10,0,0
10.05,0.171659,10,2,0
10.2,0.323569,13,0,2
10.35,0.356414,13,0,1
10.5,0.306867,13,1,1
10.65,0.230504,13,0,1
10.8,0.695493,13,0,1
10.95,0.164118,13,0,0
11.1,0.673465,13,0,1
11.25,0.1645,13,2,0
11.4,0.856585,13,2,1
11.55,1.237484,13,0,1
11.7,0.126701,13,2,0
11.85,0.868309,13,0,1
12.0,0.10065,13,1,0
12.15,0.293021,13,1,1
12.3,0.990792,13,1,0
12.45,0.267274,13,1,1
12.6,0.191646,13,0,1
12.75,0.126385,13,0,0
12.9,0.127717,13,1,0
13.05,0.207154,13,0,1
13.2,0.653185,13,1,1
13.35,0.792866,13,1,0
13.5,0.18952,13,1,1
13.65,0.851129,13,1,2
13.8,0.268936,13,1,1
13.95,0.972019,13,0,0
14.1,0.799645,13,0,1
14.25,0.16769,13,0,0
14.4,0.200602,13,0,0
14.55,0.227751,13,0,0
14.7,0.223935,13,1,0
14.85,0.460604,13,0,1
15.0,0.26463,13,0,0
15.15,0.444672,13,0,1
15.3,0.289686,13,0,0
15.45,0.288305,13,1,0
15.6,0.473791,13,0,1
15.75,0.489655,13,1,1
15.9,0.461254,13,0,1
16.05,0.307638,13,1,0
16.2,0.381443,13,1,1
16.35,0.90169,13,0,0
16.5,0.329461,13,0,0
16.65,0.341691,13,1,0
