order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time,oct
-16,0,1,53,picker-2,52,53
-63,0,1,93,picker-3,92,93
-42,0,1,145,picker-2,144,145
-100,0,1,224,picker-2,223,224
-33,0,1,244,picker-3,243,244
-72,0,54,376,picker-2,322,376
0,60,94,390,picker-3,296,330
-43,0,225,453,picker-2,228,453
-11,0,1,470,picker-3,469,470
-93,0,1,497,picker-2,496,497
-12,0,245,540,picker-3,295,540
-4,0,1,547,picker-3,546,547
-82,0,1,573,picker-2,572,573
-96,0,1,576,picker-3,575,576
-8,0,1,590,picker-2,589,590
-68,0,377,596,picker-2,219,596
-36,0,146,600,picker-2,454,600
1,60,391,651,picker-3,260,591
-10,0,1,658,picker-3,657,658
-13,0,454,663,picker-2,209,663
-94,0,541,695,picker-3,154,695
-73,0,1,706,picker-1,705,706
11,420,471,715,picker-3,244,295
-27,0,498,721,picker-2,223,721
-85,0,574,728,picker-2,154,728
-29,0,591,757,picker-2,166,757
-58,0,577,757,picker-3,180,757
-88,0,548,772,picker-3,224,772
14,540,597,794,picker-2,197,254
-66,0,601,822,picker-2,221,822
-71,0,664,845,picker-2,181,845
-56,0,652,847,picker-3,195,847
3,120,659,880,picker-3,221,760
-48,0,722,910,picker-2,188,910
-14,0,716,918,picker-3,202,918
-87,0,696,925,picker-3,229,925
-50,0,1,971,picker-1,970,971
-69,0,1,981,picker-1,980,981
-92,0,729,982,picker-2,253,982
-54,0,1,1058,picker-1,1057,1058
-62,0,1,1080,picker-1,1079,1080
-6,0,972,1204,picker-1,232,1204
-17,0,982,1237,picker-1,255,1237
-1,0,919,1237,picker-3,318,1237
-23,0,1059,1276,picker-1,217,1276
9,360,983,1297,picker-2,314,937
-84,0,1081,1319,picker-1,238,1319
-24,0,707,1337,picker-1,630,1337
-53,0,795,1345,picker-2,550,1345
-2,0,926,1350,picker-3,424,1350
-86,0,848,1354,picker-3,506,1354
-9,0,759,1360,picker-3,601,1360
-51,0,1,1364,picker-1,1363,1364
-38,0,758,1368,picker-2,610,1368
-81,0,846,1380,picker-2,534,1380
-64,0,881,1393,picker-3,512,1393
-74,0,773,1405,picker-3,632,1405
-67,0,823,1411,picker-2,588,1411
-22,0,911,1422,picker-2,511,1422
30,1200,1205,1432,picker-1,227,232
