pod_id,item_id,qty,order_id,processed_time,task_type,trigger,opp_score
320,54,8,-80,61,1,,
192,493,5,-60,72,1,,
192,493,5,-34,72,1,,
192,493,8,-20,72,1,,
192,264,4,-41,72,1,,
192,-1,-1,-999,73,2,opp_score,0.405
105,368,12,-83,77,1,,
131,40,12,-68,90,1,,
131,67,6,-58,90,1,,
131,4,7,-49,90,1,,
131,4,8,-53,90,1,,
131,123,11,-53,90,1,,
288,403,10,-92,91,1,,
275,680,8,-80,103,1,,
365,229,5,-84,103,1,,
365,288,9,-60,103,1,,
365,14,5,-20,103,1,,
365,14,5,-46,103,1,,
87,241,8,-98,114,1,,
313,52,7,-80,125,1,,
371,1010,8,-89,136,1,,
294,107,6,-84,142,1,,
294,221,2,-26,142,1,,
294,221,6,-46,142,1,,
294,174,8,-41,142,1,,
294,8,3,-34,142,1,,
294,279,5,-26,142,1,,
43,88,2,-68,147,1,,
43,1,7,-53,147,1,,
43,1,10,-49,147,1,,
43,1,7,-68,147,1,,
43,19,8,-68,147,1,,
43,35,11,-18,147,1,,
336,55,6,-84,175,1,,
336,55,12,-20,175,1,,
336,137,6,-41,175,1,,
226,216,5,-80,184,1,,
185,125,4,-91,186,1,,
185,857,8,-53,186,1,,
185,46,5,-2,186,1,,
185,46,6,-53,186,1,,
185,7,6,-53,186,1,,
27,58,10,-60,213,1,,
27,18,8,-41,213,1,,
27,33,6,-26,213,1,,
27,148,4,-26,213,1,,
277,682,6,-78,218,1,,
300,51,12,-49,223,1,,
300,704,8,-18,223,1,,
300,108,7,-18,223,1,,
154,124,4,-88,225,1,,
21,1034,9,-68,249,1,,
21,119,1,-49,249,1,,
21,119,5,-53,249,1,,
21,146,3,-53,249,1,,
86,63,10,-46,252,1,,
86,92,7,-20,252,1,,
86,92,10,-41,252,1,,
86,552,2,-20,252,1,,
367,14,3,-46,281,1,,
367,14,7,-57,281,1,,
367,230,11,-20,281,1,,
33,59,4,-95,287,1,,
132,96,5,-41,306,1,,
132,96,6,-26,306,1,,
132,580,6,-26,306,1,,
79,2,8,3,308,1,,
64,1,2,-18,310,1,,
64,1,5,-91,310,1,,
64,1,6,-2,310,1,,
64,1,8,-30,310,1,,
64,1,3,-53,310,1,,
64,302,8,-91,310,1,,
64,150,6,-18,310,1,,
64,190,10,-18,310,1,,
56,20,1,-80,312,1,,
153,99,4,-41,327,1,,
153,27,4,-20,327,1,,
153,27,6,-34,327,1,,
0,32,8,-4,341,1,,
107,1464,2,-60,348,1,,
107,39,4,-26,348,1,,
107,39,1,-60,348,1,,
107,245,7,-20,348,1,,
29,87,3,-68,348,1,,
29,1,5,-68,348,1,,
29,1,12,-58,348,1,,
29,58,8,-49,348,1,,
278,49,6,-44,350,1,,
112,306,7,-60,367,1,,
112,39,5,-60,367,1,,
206,164,10,-91,372,1,,
206,102,6,-18,372,1,,
92,556,12,-60,385,1,,
1,15,8,7,389,1,,
235,78,7,-91,398,1,,
235,217,3,-68,398,1,,
235,168,8,-18,398,1,,
124,66,12,-41,404,1,,
102,94,8,-68,420,1,,
102,2,3,-68,420,1,,
102,196,4,-68,420,1,,
139,26,2,-60,423,1,,
139,822,10,-20,423,1,,
94,243,3,-84,438,1,,
94,557,6,-60,438,1,,
2,56,5,-9,440,1,,
347,30,5,-53,442,1,,
347,421,10,-18,442,1,,
47,1054,7,-60,453,1,,
47,148,2,-26,453,1,,
22,58,2,-33,454,1,,
147,200,6,-68,463,1,,
147,253,8,-49,463,1,,
318,178,9,-46,468,1,,
32,120,10,-36,469,1,,
24,86,2,-12,477,1,,
253,331,9,-60,483,1,,
295,337,4,-49,485,1,,
295,699,10,-2,485,1,,
295,-1,-1,-999,485,2,opp_score,0.3472222222222222
3,0,8,12,489,1,,
231,268,8,-60,497,1,,
334,136,8,-91,505,1,,
334,29,6,-53,505,1,,
269,170,2,-49,522,1,,
269,676,8,-49,522,1,,
179,160,8,-26,536,1,,
274,171,5,-68,540,1,,
274,934,7,-53,540,1,,
203,47,4,-7,543,1,,
301,1286,8,-46,550,1,,
254,331,9,-68,556,1,,
4,0,9,-79,556,1,,
190,862,6,-20,562,1,,
30,184,9,-7,569,1,,
16,522,8,-2,570,1,,
25,87,1,-86,572,1,,
136,26,7,-38,574,1,,
15,1029,8,-2,584,1,,
193,865,6,-84,588,1,,
337,1321,8,-2,599,1,,
206,212,6,-84,605,1,,
112,457,8,-68,613,1,,
26,147,12,-99,618,1,,
26,58,10,-99,618,1,,
68,91,6,-84,629,1,,
78,192,7,-99,632,1,,
104,39,1,-60,637,1,,
104,39,4,-20,637,1,,
224,215,4,-99,649,1,,
166,125,4,-91,655,1,,
166,203,3,-49,655,1,,
218,512,6,-84,675,1,,
13,17,8,-93,681,1,,
370,114,8,-68,683,1,,
58,540,5,-58,693,1,,
11,117,7,-96,697,1,,
11,85,4,-69,697,1,,
167,125,4,-18,702,1,,
75,38,11,-23,712,1,,
147,1503,6,-60,712,1,,
197,498,6,-68,714,1,,
36,88,7,-93,724,1,,
36,34,1,-93,724,1,,
168,125,4,-18,725,1,,
188,101,4,-100,726,1,,
19,433,4,-20,733,1,,
326,1674,4,-68,734,1,,
14,346,4,-57,740,1,,
110,39,4,-20,748,1,,
203,74,3,-99,753,1,,
203,1201,8,-23,753,1,,
203,7,1,-47,753,1,,
203,47,10,2,753,1,,
363,141,6,-93,767,1,,
363,85,4,-69,767,1,,
169,125,4,-52,772,1,,
246,1600,4,-84,779,1,,
212,77,4,-100,786,1,,
76,38,10,-85,790,1,,
70,191,8,-47,801,1,,
171,125,3,-52,802,1,,
170,125,2,-18,807,1,,
135,818,7,2,811,1,,
353,226,4,-91,816,1,,
256,664,3,-53,824,1,,
251,272,7,-23,826,1,,
348,225,3,-49,835,1,,
196,627,3,-85,836,1,,
196,627,4,-69,836,1,,
162,598,2,-41,841,1,,
306,176,8,-85,848,1,,
55,538,2,-30,852,1,,
202,211,5,-85,863,1,,
88,193,9,27,868,1,,
132,4,6,-48,872,1,,
105,1106,1,-2,873,1,,
172,157,12,-8,878,1,,
90,1093,2,-49,880,1,,
54,36,3,-26,884,1,,
276,936,1,-49,886,1,,
159,156,11,-63,906,1,,
359,14,2,-57,910,1,,
47,60,3,-63,918,1,,
180,160,2,-23,919,1,,
180,73,5,-25,919,1,,
347,286,12,-59,921,1,,
343,12,4,-48,928,1,,
286,336,7,-63,932,1,,
36,532,4,-84,938,1,,
318,110,1,-63,942,1,,
344,138,4,-11,945,1,,
313,84,8,29,954,1,,
133,250,4,-25,962,1,,
128,40,6,-25,971,1,,
43,35,10,-15,978,1,,
274,105,8,-22,979,1,,
129,25,6,0,981,1,,
106,39,4,5,986,1,,
178,204,4,0,988,1,,
275,105,1,-22,990,1,,
349,31,2,-27,995,1,,
109,95,5,-76,999,1,,
228,103,4,-23,1006,1,,
138,585,6,-61,1021,1,,
257,48,6,-67,1023,1,,
257,332,7,-67,1023,1,,
213,77,5,30,1030,1,,
162,5,2,-47,1037,1,,
162,44,2,-47,1037,1,,
139,585,2,-61,1039,1,,
139,26,12,-43,1039,1,,
0,85,4,-61,1046,1,,
269,275,8,26,1058,1,,
283,8,10,-67,1061,1,,
39,19,2,-25,1067,1,,
2,15,6,28,1067,1,,
171,204,1,0,1081,1,,
158,5,10,-67,1085,1,,
158,100,7,-72,1085,1,,
3,56,8,33,1085,1,,
37,297,8,-74,1096,1,,
1,85,4,-61,1105,1,,
364,113,9,-72,1112,1,,
183,616,9,-74,1125,1,,
229,324,1,8,1132,1,,
229,103,2,-54,1132,1,,
42,187,6,-74,1137,1,,
110,95,1,-76,1143,1,,
256,81,7,32,1150,1,,
137,68,8,-29,1150,1,,
44,187,6,-74,1161,1,,
128,25,1,35,1162,1,,
132,4,9,17,1163,1,,
358,228,6,13,1172,1,,
230,268,10,17,1177,1,,
29,1,6,35,1182,1,,
345,111,1,-29,1191,1,,
345,139,8,-71,1191,1,,
148,69,6,13,1192,1,,
352,111,5,-29,1199,1,,
173,609,4,-87,1201,1,,
173,157,10,-87,1201,1,,
63,150,6,32,1204,1,,
180,7,2,35,1206,1,,
