order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time
-82,0,1,62,picker-2,61
-83,0,1,78,picker-2,77
-98,0,1,92,picker-2,91
-92,0,1,106,picker-2,105
-38,0,1,119,picker-1,118
-43,0,1,119,picker-1,118
-78,0,1,130,picker-2,129
-88,0,1,210,picker-2,209
-80,0,1,241,picker-2,240
-95,0,1,255,picker-2,254
3,60,63,294,picker-2,231
-7,0,79,315,picker-2,236
-22,0,107,369,picker-2,262
-86,0,93,392,picker-2,299
-33,0,131,392,picker-2,261
-48,0,1,413,picker-1,412
-9,0,120,413,picker-1,293
-36,0,211,427,picker-2,216
-79,0,242,446,picker-2,204
-4,0,256,476,picker-2,220
12,300,316,487,picker-2,171
-54,0,120,511,picker-1,391
7,120,295,517,picker-2,222
-73,0,1,523,picker-1,522
-93,0,370,577,picker-2,207
-57,0,393,605,picker-2,212
-96,0,393,605,picker-2,212
-69,0,428,628,picker-2,200
-42,0,1,653,picker-1,652
-12,0,414,668,picker-1,254
-35,0,1,674,picker-1,673
-31,0,414,689,picker-1,275
-58,0,1,700,picker-3,699
24,480,512,714,picker-1,202
-68,0,1,745,picker-3,744
-91,0,1,778,picker-3,777
-18,0,1,783,picker-3,782
-52,0,477,796,picker-2,319
-53,0,1,801,picker-3,800
-19,0,1,806,picker-1,805
-47,0,524,809,picker-1,285
-21,0,1,833,picker-1,832
-34,0,606,835,picker-2,229
-30,0,1,860,picker-3,859
-56,0,518,861,picker-2,343
-63,0,578,873,picker-2,295
-2,0,1,877,picker-3,876
-49,0,1,886,picker-3,885
-67,0,606,893,picker-2,287
-77,0,447,899,picker-2,452
-1,0,654,912,picker-1,258
-61,0,488,917,picker-2,429
-59,0,746,918,picker-3,172
25,540,669,922,picker-1,253
27,600,701,931,picker-3,230
2,60,690,949,picker-1,259
-8,0,779,954,picker-3,175
5,120,784,980,picker-3,196
8,240,836,986,picker-2,150
-5,0,810,991,picker-1,181
30,780,797,995,picker-2,198
29,780,807,1003,picker-1,196
23,480,629,1024,picker-2,395
-55,0,861,1059,picker-3,198
-70,0,862,1063,picker-2,201
-64,0,675,1078,picker-1,403
-17,0,874,1081,picker-2,207
33,900,913,1090,picker-1,177
-87,0,802,1113,picker-3,311
28,720,923,1116,picker-1,193
-90,0,715,1127,picker-1,412
0,60,834,1130,picker-1,296
-72,0,887,1138,picker-3,251
-76,0,950,1168,picker-1,218
36,960,992,1178,picker-1,186
-62,0,1004,1240,picker-1,236
-44,0,1079,1270,picker-1,191
-27,0,1117,1275,picker-1,158
40,1080,1091,1288,picker-1,197
34,960,1131,1331,picker-1,200
-85,0,955,1382,picker-3,427
-15,0,1169,1386,picker-1,217
43,1200,1241,1408,picker-1,167
-46,0,1060,1538,picker-3,478
-25,0,1064,1552,picker-2,488
31,840,996,1561,picker-2,565
35,960,981,1570,picker-3,589
48,1320,1383,1597,picker-3,214
13,300,987,1606,picker-2,619
41,1140,1332,1607,picker-1,275
37,960,1025,1666,picker-2,641
-74,0,1271,1677,picker-1,406
9,240,900,1680,picker-2,780
32,900,1276,1695,picker-1,419
-23,0,932,1706,picker-3,774
-26,0,1082,1714,picker-2,632
-100,0,894,1722,picker-2,828
-3,0,1289,1724,picker-1,435
26,540,1571,1741,picker-3,170
-16,0,1387,1798,picker-1,411
51,1440,1608,1798,picker-1,190
55,1500,1553,1817,picker-2,264
15,360,1114,1822,picker-3,708
-50,0,1539,1833,picker-3,294
-40,0,1179,1842,picker-1,663
58,1500,1562,1844,picker-2,282
63,1620,1667,1844,picker-2,177
-81,0,919,1848,picker-3,929
-99,0,1598,1861,picker-3,263
-11,0,1678,1869,picker-1,191
4,120,1139,1880,picker-3,741
49,1380,1607,1885,picker-2,278
47,1260,1681,1890,picker-2,209
50,1380,1715,1930,picker-2,215
-65,0,918,1945,picker-2,1027
39,1020,1696,2067,picker-1,371
56,1500,1742,2073,picker-3,331
52,1500,1725,2082,picker-1,357
61,1560,1707,2118,picker-3,411
67,1740,1843,2265,picker-1,422
62,1620,2083,2314,picker-1,231
69,1800,2068,2328,picker-1,260
64,1680,1799,2407,picker-1,608
17,360,1799,2415,picker-1,616
-29,0,1409,2419,picker-1,1010
-94,0,1870,2436,picker-1,566
-75,0,1128,2456,picker-1,1328
75,2100,2266,2473,picker-1,207
76,2160,2329,2733,picker-1,404
77,2160,2315,2751,picker-1,436
20,420,1881,2760,picker-3,879
45,1260,2074,2864,picker-3,790
-24,0,1849,2874,picker-3,1025
87,2460,2474,2890,picker-1,416
-13,0,878,2929,picker-3,2051
70,1920,1946,2946,picker-2,1000
101,2760,2761,2961,picker-3,200
-39,0,2752,2961,picker-1,209
74,2040,2734,3007,picker-1,273
42,1200,1823,3021,picker-3,1198
-20,0,1886,3028,picker-2,1142
57,1500,1931,3028,picker-2,1097
-41,0,1862,3056,picker-3,1194
46,1260,1818,3071,picker-2,1253
6,120,1845,3078,picker-2,1233
82,2340,2865,3129,picker-3,264
106,2880,2947,3164,picker-2,217
68,1800,2963,3176,picker-3,213
-10,0,2891,3181,picker-1,290
71,1980,3022,3211,picker-3,189
90,2520,3029,3272,picker-2,243
118,3060,3079,3272,picker-2,193
-84,0,2416,3283,picker-1,867
98,2760,2875,3299,picker-3,424
-97,0,2420,3300,picker-1,880
119,3060,3072,3305,picker-2,233
103,2820,3130,3322,picker-3,192
111,3000,3029,3331,picker-2,302
54,1500,1834,3333,picker-3,1499
104,2880,3008,3368,picker-1,360
88,2520,3165,3369,picker-2,204
89,2520,3182,3389,picker-1,207
44,1200,1845,3398,picker-2,1553
-71,0,1723,3415,picker-2,1692
21,420,2457,3424,picker-1,967
125,3120,3273,3433,picker-2,160
80,2340,2408,3444,picker-1,1036
92,2580,3212,3446,picker-3,234
79,2280,2962,3459,picker-1,497
110,3000,3300,3482,picker-3,182
78,2220,3323,3491,picker-3,168
60,1560,3334,3503,picker-3,169
86,2460,3306,3509,picker-2,203
95,2640,3301,3552,picker-1,251
-32,0,3057,3582,picker-3,525
122,3120,3177,3650,picker-3,473
53,1500,2437,3672,picker-1,1235
100,2760,3445,3746,picker-1,301
117,3060,3370,3753,picker-2,383
136,3540,3553,3762,picker-1,209
132,3420,3483,3802,picker-3,319
59,1560,3425,3829,picker-1,404
127,3240,3273,3839,picker-2,566
131,3360,3399,3872,picker-2,473
19,360,1891,3888,picker-2,1997
159,3840,3840,4035,picker-2,195
150,3780,3803,4036,picker-3,233
93,2640,3492,4060,picker-3,568
18,360,3754,4063,picker-2,309
158,3840,3873,4085,picker-2,212
145,3720,3830,4127,picker-1,297
155,3780,3889,4137,picker-2,248
105,2880,3504,4158,picker-3,654
113,3000,3416,4160,picker-2,744
130,3360,3460,4170,picker-1,710
10,240,3583,4196,picker-3,613
85,2460,3284,4210,picker-1,926
153,3780,4037,4250,picker-3,213
115,3000,3651,4259,picker-3,608
97,2700,2930,4274,picker-3,1344
96,2700,3390,4275,picker-1,885
102,2820,3332,4279,picker-2,947
-14,0,3763,4285,picker-1,522
83,2400,3747,4294,picker-1,547
1,60,3673,4315,picker-1,642
14,300,3447,4330,picker-3,883
137,3540,4128,4382,picker-1,254
161,3960,4197,4387,picker-3,190
177,4200,4211,4413,picker-1,202
169,4080,4171,4445,picker-1,274
112,3000,4061,4456,picker-3,395
139,3660,4036,4457,picker-2,421
176,4200,4280,4506,picker-2,226
160,3900,4138,4538,picker-2,400
162,3960,4161,4562,picker-2,401
-51,0,4064,4585,picker-2,521
140,3660,4260,4593,picker-3,333
-66,0,3434,4624,picker-2,1190
154,3780,4458,4653,picker-2,195
121,3120,4383,4681,picker-1,298
184,4500,4507,4712,picker-2,205
178,4260,4316,4770,picker-1,454
172,4080,4275,4781,picker-3,506
16,360,4286,4800,picker-1,514
191,4620,4625,4873,picker-2,248
144,3720,4414,4873,picker-1,459
173,4140,4388,4878,picker-3,490
124,3120,4446,4895,picker-1,449
165,3960,4331,4909,picker-3,578
174,4140,4771,4922,picker-1,151
143,3720,4295,4925,picker-1,630
94,2640,3369,4934,picker-1,1565
156,3780,4594,4957,picker-3,363
72,2040,2119,4963,picker-3,2844
123,3120,4682,4981,picker-1,299
11,300,4159,4999,picker-3,840
168,4080,4086,5007,picker-2,921
196,4800,4801,5012,picker-1,211
138,3600,4251,5025,picker-3,774
189,4560,4874,5076,picker-1,202
192,4680,4879,5115,picker-3,236
175,4200,4457,5120,picker-3,663
183,4500,4875,5166,picker-2,291
203,4980,4982,5186,picker-1,204
194,4740,5008,5203,picker-2,195
73,2040,4539,5248,picker-2,709
151,3780,4958,5270,picker-3,312
190,4560,4563,5275,picker-2,712
179,4320,4586,5281,picker-2,695
197,4860,5026,5312,picker-3,286
186,4500,4654,5332,picker-2,678
109,2940,3510,5365,picker-2,1855
185,4500,4910,5540,picker-3,630
205,4980,5313,5568,picker-3,255
170,4080,5204,5678,picker-2,474
195,4740,5271,5680,picker-3,409
135,3540,5121,5713,picker-3,592
65,1740,4923,5726,picker-1,803
181,4380,5000,5741,picker-3,741
199,4860,4964,5747,picker-3,783
167,3960,5187,5749,picker-1,562
208,5160,5541,5764,picker-3,223
84,2400,5116,5778,picker-3,662
22,420,4935,5795,picker-1,860
120,3120,4782,5799,picker-3,1017
148,3780,5249,5815,picker-2,566
206,4980,5077,5839,picker-1,762
207,4980,5013,5858,picker-1,845
218,5520,5569,5872,picker-3,303
220,5580,5681,5884,picker-3,203
225,5700,5714,5890,picker-3,176
227,5700,5742,5923,picker-3,181
147,3720,4713,6278,picker-2,1565
133,3480,4926,6285,picker-1,1359
226,5700,5840,6454,picker-1,614
152,3780,5276,6464,picker-2,1188
216,5460,5679,6470,picker-2,791
238,6060,6286,6470,picker-1,184
222,5640,5873,6473,picker-3,600
201,4860,5859,6481,picker-1,622
198,4860,4896,6553,picker-1,1657
166,3960,5796,6553,picker-1,757
-37,0,6279,6566,picker-2,287
212,5340,5727,6567,picker-1,840
232,5880,5885,6574,picker-3,689
180,4380,5750,6588,picker-1,838
91,2520,5366,6599,picker-2,1233
142,3720,4276,6613,picker-1,2337
219,5520,6472,6645,picker-2,173
187,4560,5282,6650,picker-2,1368
233,5880,6471,6654,picker-1,183
261,6360,6474,6659,picker-3,185
260,6360,6465,6662,picker-2,197
182,4440,5816,6682,picker-2,866
271,6480,6482,6687,picker-1,205
202,4920,5167,6689,picker-2,1522
-60,0,5333,6694,picker-2,1361
274,6540,6567,6739,picker-2,172
134,3480,6575,6770,picker-3,195
264,6420,6455,6804,picker-1,349
277,6600,6600,6811,picker-2,211
215,5460,6589,6830,picker-1,241
193,4680,5779,6835,picker-3,1056
213,5340,5765,6841,picker-3,1076
108,2940,5891,6859,picker-3,968
217,5460,5800,6912,picker-3,1112
224,5640,5924,6921,picker-3,997
283,6720,6771,6926,picker-3,155
141,3720,6660,6938,picker-3,278
163,3960,5748,6941,picker-3,1193
245,6180,6554,6949,picker-1,395
270,6480,6568,6985,picker-1,417
157,3780,6836,7022,picker-3,186
276,6540,6554,7054,picker-1,500
273,6540,6614,7068,picker-1,454
289,6840,6950,7189,picker-1,239
223,5640,6688,7199,picker-1,511
221,5580,6655,7269,picker-1,614
286,6780,6831,7324,picker-1,493
292,6960,6986,7324,picker-1,338
240,6120,6913,7325,picker-3,412
290,6900,7023,7341,picker-3,318
293,6960,7069,7346,picker-1,277
279,6660,6842,7355,picker-3,513
295,7020,7055,7369,picker-1,314
254,6240,6805,7377,picker-1,572
304,7140,7190,7399,picker-1,209
211,5280,6683,7445,picker-2,762
214,5400,6651,7467,picker-2,816
307,7260,7325,7533,picker-1,208
229,5820,6812,7543,picker-2,731
241,6120,7347,7549,picker-1,202
275,6540,6690,7555,picker-2,865
296,7020,7342,7567,picker-3,225
253,6240,6695,7581,picker-2,886
305,7200,7378,7598,picker-1,220
235,5940,6740,7609,picker-2,869
281,6720,7325,7615,picker-1,290
38,1020,6663,7630,picker-2,967
280,6660,6860,7667,picker-3,807
255,6300,7200,7673,picker-1,473
285,6780,7356,7675,picker-3,319
246,6180,7270,7682,picker-1,412
318,7500,7534,7690,picker-1,156
313,7380,7400,7700,picker-1,300
234,5940,7370,7706,picker-1,336
301,7140,7326,7713,picker-3,387
288,6840,7446,7741,picker-2,295
239,6120,6942,7762,picker-3,820
306,7200,7599,7814,picker-1,215
329,7620,7631,7827,picker-2,196
320,7560,7610,7838,picker-2,228
299,7080,7668,7870,picker-3,202
278,6600,6922,7876,picker-3,954
256,6300,6939,7881,picker-3,942
326,7620,7714,7918,picker-3,204
311,7380,7616,7941,picker-1,325
236,5940,7568,7947,picker-3,379
319,7560,7763,7969,picker-3,206
128,3300,6646,7976,picker-2,1330
263,6420,7582,7976,picker-2,394
309,7260,7556,8016,picker-2,460
323,7560,7676,8025,picker-3,349
310,7320,7544,8053,picker-2,509
265,6420,7871,8076,picker-3,205
314,7380,7707,8103,picker-1,396
149,3780,7742,8112,picker-2,370
330,7740,7839,8138,picker-2,299
243,6120,7828,8171,picker-2,343
324,7560,7942,8175,picker-1,233
315,7500,7550,8182,picker-1,632
287,6780,7977,8184,picker-2,207
333,7860,7977,8184,picker-2,207
244,6120,7683,8196,picker-1,513
-6,0,7815,8245,picker-1,430
335,7860,8017,8257,picker-2,240
327,7620,8104,8320,picker-1,216
188,4560,7701,8328,picker-1,627
345,8100,8113,8374,picker-2,261
331,7800,8176,8424,picker-1,248
356,8340,8375,8684,picker-2,309
257,6360,6927,8783,picker-3,1856
258,6360,7882,8788,picker-3,906
-89,0,8425,8808,picker-1,383
268,6480,8054,8834,picker-2,780
269,6480,8077,8834,picker-3,757
348,8160,8172,8848,picker-2,676
347,8160,8183,8880,picker-1,697
312,7380,7877,8884,picker-3,1007
209,5160,8321,8887,picker-1,566
353,8220,8258,8893,picker-2,635
334,7860,8197,8910,picker-1,713
107,2940,8139,8912,picker-2,773
129,3300,7970,8929,picker-3,959
325,7620,8026,8934,picker-3,908
267,6420,7691,8954,picker-1,1263
351,8220,8784,8958,picker-3,174
303,7140,7674,8960,picker-1,1286
302,7140,7919,8975,picker-3,1056
360,8460,8789,8975,picker-3,186
266,6420,8185,8990,picker-2,805
368,8700,8835,9000,picker-2,165
116,3000,7948,9006,picker-3,1058
354,8280,8849,9027,picker-2,178
317,7500,8836,9031,picker-3,195
371,8760,8809,9035,picker-1,226
298,7020,8185,9037,picker-2,852
-28,0,8329,9043,picker-1,714
346,8100,8246,9051,picker-1,805
242,6120,8685,9053,picker-2,368
340,7980,8881,9078,picker-1,197
355,8280,8888,9091,picker-1,203
370,8760,8885,9094,picker-3,209
357,8340,8911,9118,picker-1,207
369,8700,8930,9125,picker-3,195
377,9000,9001,9196,picker-2,195
308,7260,8991,9209,picker-2,218
342,8040,8894,9213,picker-2,319
372,8760,8976,9237,picker-3,261
297,7020,8913,9312,picker-2,399
332,7800,9313,9682,picker-2,369
374,8880,9054,9694,picker-2,640
343,8040,9028,9714,picker-2,686
391,9360,9683,9872,picker-2,189
341,8040,8976,9880,picker-3,904
392,9360,9695,9902,picker-2,207
373,8820,8961,9912,picker-1,951
300,7080,9214,10015,picker-2,801
380,9120,9126,10025,picker-3,899
358,8340,9038,10040,picker-2,1002
410,9840,9913,10157,picker-1,244
381,9120,9715,10197,picker-2,482
393,9360,10041,10225,picker-2,184
284,6720,9036,10231,picker-1,1195
350,8220,10026,10233,picker-3,207
378,9000,10016,10245,picker-2,229
375,8880,9210,10252,picker-2,1042
412,9900,9903,10262,picker-2,359
321,7560,9197,10360,picker-2,1163
364,8580,9873,10373,picker-2,500
398,9540,10198,10402,picker-2,204
411,9900,10232,10409,picker-1,177
379,9000,9052,10417,picker-1,1365
389,9300,10246,10433,picker-2,187
322,7560,8935,10509,picker-3,1574
126,3180,9092,10518,picker-1,1426
251,6240,9881,10536,picker-3,655
428,10260,10263,10538,picker-2,275
390,9300,10158,10568,picker-1,410
237,6000,9119,10579,picker-1,1460
252,6240,10418,10595,picker-1,177
146,3720,9079,10599,picker-1,1520
349,8160,9032,10618,picker-3,1586
421,10140,10410,10627,picker-1,217
363,8580,9238,10627,picker-3,1389
316,7500,8955,10656,picker-1,1701
249,6180,8959,10663,picker-3,1704
99,2760,9095,10675,picker-3,1580
432,10260,10361,10722,picker-2,361
418,10020,10510,10724,picker-3,214
430,10260,10537,10731,picker-3,194
438,10320,10403,10754,picker-2,351
435,10320,10519,10761,picker-1,242
259,6360,9044,10796,picker-1,1752
420,10080,10619,10806,picker-3,187
449,10560,10629,10841,picker-3,212
415,9960,10434,10850,picker-2,416
436,10320,10664,10889,picker-3,225
442,10320,10676,10896,picker-3,220
361,8460,10253,10896,picker-2,643
446,10560,10723,10922,picker-2,199
247,6180,10725,10931,picker-3,206
439,10320,10755,10971,picker-2,216
419,10020,10374,10979,picker-2,605
426,10200,10539,10986,picker-2,447
417,10020,10226,10993,picker-2,767
444,10380,10851,11043,picker-2,192
414,9960,10732,11100,picker-3,368
365,8640,10580,11111,picker-1,531
425,10200,10897,11132,picker-2,235
