tick,energy,job_queue_len,stop_and_go,turning
0.15,0.0,2,0,0
0.3,719.764377,1,0,1
0.45,0.0,0,0,0
0.6,26.096857,0,0,1
0.75,0.0,0,0,0
0.9,0.0,0,0,0
1.05,0.0,0,0,0
1.2,0.0,2,0,0
1.35,26.096857,1,0,1
1.5,26.096857,0,0,1
1.65,85.914862,0,0,1
1.8,0.0,0,0,0
1.95,0.0,0,0,0
2.1,27.264607,0,0,1
2.25,1.94625,2,0,0
2.4,29.989357,1,0,1
2.55,31.546357,0,0,1
2.7,92.921362,0,0,1
2.85,8.5635,0,0,0
3.0,10.1205,0,0,0
3.15,12.06675,0,0,0
3.3,14.013,2,0,0
3.45,42.445357,1,0,1
3.6,1016.456357,0,0,1
3.75,15.95925,0,1,0
3.9,48.913664,0,0,1
4.05,26.350512,0,0,0
4.2,30.273467,2,0,0
4.35,61.850279,1,0,1
4.5,66.162484,0,0,1
4.65,66.192939,0,1,1
4.8,612.010187,0,0,0
4.95,48.331242,0,0,0
5.1,51.864947,0,0,0
5.25,52.254197,2,0,0
5.4,99.357205,1,1,2
5.55,97.410955,0,1,2
5.7,93.907705,0,2,2
5.85,956.087703,0,0,1
6.0,39.706832,0,0,0
6.15,43.988582,2,0,0
6.3,70.863939,1,1,1
6.45,72.779734,1,0,1
6.6,52.37428,1,0,0
6.75,54.990648,1,0,0
6.9,47.215753,1,1,0
7.05,77.127181,1,0,1
7.2,61.417188,4,0,0
7.35,66.447466,4,1,0
7.5,96.095528,4,1,1
7.65,124.108663,4,2,2
7.8,129.91744,4,1,2
7.95,94.829259,4,1,1
8.1,94.469981,4,0,1
8.25,71.876375,7,0,0
8.4,76.547375,7,0,0
8.55,56.8305,7,2,0
8.7,108.634963,7,1,2
8.85,89.395664,7,0,1
9.0,66.054012,7,0,0
9.15,66.862967,10,1,0
9.3,97.661279,10,0,1
9.45,79.234426,10,1,0
9.6,115.51502,10,0,1
9.75,99.991151,10,0,0
9.9,114.728997,10,0,0
10.05,123.667057,10,1,0
10.2,152.799985,13,0,1
10.35,119.166213,13,1,0
10.5,723.019077,13,0,0
10.65,138.475855,13,0,0
10.8,113.628459,13,2,0
10.95,842.436198,13,0,1
11.1,110.034809,13,3,0
11.25,832.288456,13,2,2
11.4,154.314548,13,0,2
11.55,104.785158,13,0,0
11.7,107.449481,13,0,0
11.85,99.722541,13,1,0
12.0,125.430148,13,0,1
12.15,95.051541,13,1,0
12.3,204.33851,13,1,2
12.45,111.05787,13,1,1
12.6,111.83637,13,0,1
12.75,119.086669,13,0,1
12.9,89.160067,13,1,0
13.05,142.584286,13,0,2
13.2,94.618185,13,1,0
13.35,939.10088,13,1,0
13.5,136.584002,13,0,1
13.65,114.753722,13,0,0
13.8,120.006324,13,0,0
13.95,122.713573,13,0,0
14.1,115.764503,13,1,0
14.25,147.619854,13,0,1
14.4,127.281492,13,0,0
14.55,136.441576,13,0,0
14.7,143.540507,13,0,0
14.85,157.810938,13,0,0
15.0,150.534972,13,1,0
15.15,275.464621,13,0,2
15.3,169.661152,13,0,0
15.45,164.129925,13,2,0
15.6,219.840901,13,1,2
15.75,193.383887,13,0,1
15.9,154.366854,13,1,0
16.05,191.327094,13,0,1
16.2,157.31886,13,1,0
16.35,186.499744,13,0,1
16.5,161.142073,13,0,0
16.65,159.555101,13,2,0
16.8,1741.540649,13,0,0
16.95,158.918416,13,1,0
17.1,188.910583,13,1,1
17.25,874.090207,13,0,0
17.4,182.281847,13,0,0
17.55,185.03938,13,1,0
17.7,828.349193,13,0,0
17.85,199.794785,13,0,0
18.0,204.171294,13,1,0
18.15,218.054802,13,0,0
18.3,225.882028,13,0,0
18.45,233.999985,13,0,0
18.6,299.296849,13,0,2
18.75,257.092288,13,1,0
18.9,1039.323423,13,0,0
19.05,297.551784,13,0,1
19.2,275.337019,13,1,0
19.35,301.145815,13,0,1
19.5,276.026116,13,1,0
19.65,302.240106,13,0,1
19.8,244.680954,13,2,0
19.95,303.314559,13,0,2
20.1,242.29572,13,1,0
20.25,271.515918,13,0,1
20.4,253.066462,13,0,0
20.55,259.337762,13,0,0
20.7,272.163697,13,0,0
20.85,271.14705,13,1,0
21.0,312.49104,13,0,1
21.15,291.166193,13,0,0
21.3,287.633384,13,0,0
21.45,290.024367,13,0,0
21.6,280.792696,13,0,0
21.75,249.64901,13,3,0
21.9,1081.0899,13,0,2
22.05,246.018946,13,1,0
22.2,265.702555,13,1,1
22.35,272.309576,13,0,1
22.5,239.172635,13,2,0
22.65,299.53971,13,0,2
22.8,252.904004,13,1,0
22.95,291.969846,13,0,1
23.1,272.787548,13,1,0
23.25,302.436506,13,0,1
23.4,276.234676,13,1,0
23.55,278.772726,13,0,0
23.7,315.820408,13,0,1
23.85,289.570926,13,0,0
24.0,298.913362,13,0,0
24.15,308.957783,13,1,0
24.3,342.877047,13,0,1
24.45,329.67686,13,0,0
24.6,337.13911,13,0,0
24.75,342.980078,13,1,0
24.9,392.040482,13,0,1
25.05,375.150446,13,1,0
25.2,401.485302,13,1,1
25.35,416.620549,13,0,1
25.5,404.023085,13,0,0
25.65,412.026742,13,0,0
25.8,418.538225,13,1,0
25.95,1141.497859,13,0,0
26.1,424.512924,13,0,0
26.25,420.944849,13,0,0
26.4,408.178523,13,1,0
26.55,428.867623,13,0,1
26.7,402.292697,13,0,0
26.85,386.262362,13,1,0
27.0,403.828879,13,1,1
27.15,408.346347,13,1,1
27.3,411.900566,13,1,1
27.45,417.011784,13,1,1
27.6,414.44236,13,1,1
27.75,451.447442,13,0,2
27.9,410.161954,13,0,0
28.05,416.962004,13,0,0
28.2,419.653878,13,0,0
28.35,424.305127,13,0,0
28.5,425.250576,13,0,0
28.65,421.142401,13,0,0
28.8,423.595703,13,0,0
28.95,425.950553,13,0,0
29.1,427.691443,13,0,0
29.25,432.952911,13,0,0
29.4,435.456848,13,0,0
29.55,446.278185,13,0,0
29.7,443.134158,13,1,0
29.85,475.00075,13,0,1
30.0,444.822927,13,1,0
30.15,478.499275,13,0,1
30.3,446.159152,13,0,0
30.45,429.147868,13,1,0
30.6,1224.889219,13,1,0
30.75,1192.005469,13,1,0
30.9,415.035176,13,1,1
31.05,389.436376,13,1,1
31.2,388.605343,13,0,1
31.35,346.576589,13,1,0
31.5,332.161368,13,1,1
31.65,300.9061,13,0,0
31.8,288.957935,13,1,0
31.95,321.101721,13,0,1
32.1,294.676991,13,0,0
32.25,294.349118,13,0,0
32.4,306.727722,13,1,1
32.55,316.949766,13,0,1
32.7,304.343777,13,0,0
32.85,320.75553,13,0,0
33.0,318.357641,13,1,0
33.15,335.8178,13,0,0
33.3,353.914582,13,1,0
33.45,377.415188,13,1,1
33.6,392.762902,13,0,1
33.75,386.587374,13,0,0
33.9,389.663018,13,1,0
34.05,438.937664,13,0,1
34.2,433.565303,13,0,0
34.35,455.674485,13,0,0
34.5,470.484934,13,0,0
34.65,488.0749,13,0,0
34.8,510.099537,13,0,0
34.95,509.02572,13,0,0
35.1,500.404923,13,0,0
35.25,501.229829,13,0,0
35.4,509.386571,13,0,0
35.55,495.925543,13,1,0
35.7,493.263189,13,2,1
35.85,507.964662,13,1,2
36.0,489.608369,13,0,1
36.15,470.769429,13,0,0
36.3,461.199694,13,0,0
36.45,460.363725,13,0,0
36.6,467.325788,13,0,0
36.75,461.241881,13,0,0
36.9,447.989553,13,0,0
37.05,434.645402,13,0,0
37.2,405.912539,13,1,0
37.35,425.571598,13,0,1
37.5,398.171034,13,1,0
37.65,1109.833014,13,1,0
37.8,431.193407,13,0,1
37.95,401.248137,13,1,0
38.1,425.264332,13,1,1
38.25,435.384473,13,0,1
38.4,415.299583,13,0,0
38.55,422.632859,13,0,0
38.7,414.658913,13,1,0
38.85,448.089045,13,0,1
39.0,380.962307,13,2,0
39.15,383.692935,13,0,0
39.3,384.355905,13,0,0
39.45,423.886978,13,0,1
39.6,407.818977,13,0,0
39.75,396.329118,13,1,0
39.9,439.938465,13,0,1
40.05,436.18812,13,0,0
40.2,448.138266,13,0,0
40.35,456.112963,13,0,0
40.5,464.526034,13,0,0
40.65,478.998181,13,0,0
40.8,492.976597,13,0,0
40.95,497.861614,13,0,0
41.1,494.319042,13,0,0
41.25,498.255029,13,1,0
41.4,510.995656,13,0,0
41.55,503.909547,13,1,0
41.7,1093.485968,13,1,0
41.85,536.335391,13,0,1
42.0,508.26302,13,1,0
42.15,473.798775,13,2,0
42.3,486.340939,13,0,0
42.45,498.715228,13,0,0
42.6,480.629123,13,1,0
42.75,506.181053,13,0,1
42.9,465.353556,13,1,0
43.05,482.241995,13,0,1
43.2,438.136184,13,0,0
