tick,energy,job_queue_len,stop_and_go,turning
0.15,0.0,2,0,0
0.3,26.096857,1,0,1
0.45,26.096857,0,0,1
0.6,1.16775,0,0,0
0.75,1.94625,0,0,0
0.9,2.72475,0,0,0
1.05,3.50325,0,0,0
1.2,4.28175,2,0,0
1.35,31.157107,1,0,1
1.5,91.753612,0,0,1
1.65,32.714107,0,0,1
1.8,7.39575,0,0,0
1.95,8.17425,0,0,0
2.1,9.342,0,0,0
2.25,11.28825,2,0,0
2.4,38.942107,1,0,1
2.55,40.499107,0,0,1
2.7,42.056107,0,0,1
2.85,17.51625,0,0,0
3.0,19.07325,0,0,0
3.15,21.0195,0,0,0
3.3,22.5765,2,0,0
3.45,51.398107,1,0,1
3.6,111.994612,0,0,1
3.75,52.176607,0,0,1
3.9,26.85825,0,0,0
4.05,27.63675,0,0,0
4.2,28.8045,2,0,0
4.35,56.069107,1,0,1
4.5,29.583,0,1,0
4.65,937.770777,0,0,1
4.8,31.9185,0,1,0
4.95,58.404607,0,1,1
5.1,60.740107,0,0,1
5.25,36.5895,2,0,0
5.4,64.243357,1,0,1
5.55,66.968107,0,0,1
5.7,66.189607,0,0,1
5.85,35.811,0,1,0
6.0,57.626107,0,1,1
6.15,56.069107,2,1,1
6.3,82.944463,1,0,2
6.45,253.385868,1,2,2
6.6,74.380963,1,1,2
6.75,50.230357,1,0,1
6.9,23.74425,1,1,0
7.05,52.176607,1,0,1
7.2,30.3615,4,0,0
7.35,36.20025,4,0,0
7.5,37.75725,4,1,0
7.65,66.189607,4,0,1
7.8,45.153,4,0,0
7.95,49.43475,4,0,0
8.1,48.65625,4,2,0
8.25,109.599353,7,0,2
8.4,64.795567,7,0,0
8.55,74.131744,7,0,0
8.7,78.018421,7,1,0
8.85,107.612704,7,1,1
9.0,106.444954,7,1,1
9.15,101.001277,10,1,1
9.3,819.103461,10,0,0
9.45,74.904421,10,1,0
9.6,82.538107,10,1,1
9.75,198.221757,10,1,1
9.9,79.424107,10,0,1
10.05,49.43475,10,2,0
10.2,102.017713,13,1,2
10.35,73.196107,13,1,1
10.5,73.974607,13,0,1
10.65,50.6025,13,0,0
10.8,50.6025,13,1,0
10.95,636.01761,13,0,0
11.1,179.861835,13,0,1
11.25,53.7165,13,1,0
11.4,79.034857,13,1,1
11.55,772.34147,13,0,0
11.7,63.627817,13,1,0
11.85,95.5576,13,0,1
12.0,76.461421,13,1,0
12.15,772.206858,13,0,0
12.3,90.852024,13,1,0
12.45,125.117308,13,0,1
12.6,104.853378,13,0,0
12.75,214.366767,13,0,1
12.9,120.554575,13,0,0
13.05,119.611803,13,2,0
13.2,1700.955762,13,0,0
13.35,132.479299,13,1,0
13.5,162.414316,13,0,1
13.65,136.810819,13,1,0
13.8,162.008305,13,0,1
13.95,520.823402,13,0,1
14.1,128.631454,13,0,0
14.25,105.138889,13,1,0
14.4,226.613224,13,1,1
14.55,699.212745,13,2,0
14.7,544.36321,13,1,1
14.85,203.930644,13,0,1
15.0,941.607555,13,1,2
15.15,493.180877,13,1,0
15.3,209.783264,13,0,1
15.45,64.520597,13,0,0
15.6,62.963597,13,1,0
15.75,835.638717,13,0,0
15.9,50.6025,13,1,0
16.05,155.839963,13,0,1
16.2,57.751843,13,0,0
16.35,167.457841,13,0,1
16.5,148.530313,13,1,1
16.65,751.265687,13,0,0
16.8,84.797155,13,0,0
16.95,96.621441,13,0,0
17.1,110.119635,13,1,0
17.25,155.563423,13,0,1
17.4,146.281014,13,0,0
17.55,292.850369,13,0,1
17.7,175.265215,13,0,0
17.85,185.319119,13,1,0
18.0,222.392171,13,0,1
18.15,204.119847,13,0,0
18.3,219.00595,13,1,0
18.45,434.519354,13,0,2
18.6,230.544433,13,1,0
18.75,359.431839,13,0,1
18.9,252.162117,13,0,0
19.05,245.113999,13,0,0
19.2,225.228563,13,0,0
19.35,222.621701,13,0,0
19.5,207.592821,13,1,0
19.65,263.59001,13,3,1
19.8,499.935103,13,0,3
19.95,129.662223,13,2,0
20.1,1008.089444,13,1,1
20.25,222.30753,13,0,1
20.4,117.555026,13,2,0
20.55,162.61112,13,1,2
20.7,226.745087,13,1,1
20.85,239.407834,13,0,1
21.0,112.131111,13,1,0
21.15,1006.973762,13,1,0
21.3,141.669592,13,0,1
21.45,125.517831,13,0,0
21.6,130.542193,13,1,0
21.75,260.303234,13,0,1
21.9,169.840728,13,1,0
22.05,670.617454,13,1,0
22.2,1116.322869,13,0,0
22.35,239.141144,13,0,0
22.5,264.243958,13,0,0
22.65,292.993582,13,0,0
22.8,313.577659,13,0,0
22.95,476.737836,13,0,1
23.1,339.787107,13,0,0
23.25,324.783205,13,2,0
23.4,547.024391,13,0,2
23.55,348.39736,13,0,0
23.7,339.409126,13,1,0
23.85,539.602612,13,0,2
24.0,486.258936,13,0,1
24.15,322.950515,13,1,0
24.3,435.665252,13,0,1
24.45,317.684725,13,0,0
24.6,321.145718,13,0,0
24.75,326.623606,13,0,0
24.9,307.599791,13,1,0
25.05,432.183722,13,0,1
25.2,296.130738,13,1,0
25.35,453.814513,13,1,1
25.5,331.308183,13,0,1
25.65,307.356389,13,0,0
25.8,317.972786,13,0,0
25.95,326.266069,13,0,0
26.1,323.421745,13,1,0
26.25,483.829528,13,0,1
26.4,336.408324,13,1,0
26.55,452.819009,13,0,1
26.7,324.916652,13,1,0
26.85,982.666253,13,1,0
27.0,457.164309,13,1,1
27.15,396.431534,13,1,1
27.3,425.06998,13,1,1
27.45,292.323936,13,0,0
27.6,280.907346,13,2,0
27.75,358.037961,13,1,1
27.9,261.00279,13,0,0
28.05,265.500586,13,1,0
