order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time
-94,0,1,74,picker-2,73
-98,0,1,77,picker-1,76
-82,0,1,143,picker-1,142
-88,0,1,162,picker-1,161
-96,0,1,240,picker-1,239
2,120,144,350,picker-1,206
-64,0,75,391,picker-2,316
-25,0,241,395,picker-1,154
-83,0,78,404,picker-1,326
-91,0,1,440,picker-2,439
-20,0,1,476,picker-3,475
-39,0,163,477,picker-1,314
-12,0,1,502,picker-1,501
-17,0,1,547,picker-2,546
-30,0,1,559,picker-3,558
-92,0,1,560,picker-1,559
-87,0,1,577,picker-1,576
-8,0,1,588,picker-3,587
0,60,396,601,picker-1,205
-51,0,405,643,picker-1,238
-44,0,1,645,picker-3,644
-58,0,351,657,picker-1,306
-86,0,1,691,picker-2,690
-67,0,392,691,picker-2,299
-4,0,478,721,picker-1,243
-50,0,441,751,picker-2,310
9,420,548,751,picker-2,203
6,240,477,757,picker-3,280
-66,0,1,758,picker-2,757
-37,0,1,796,picker-2,795
-31,0,589,798,picker-3,209
-22,0,503,809,picker-1,306
-34,0,1,813,picker-2,812
-47,0,1,831,picker-3,830
-93,0,1,849,picker-2,848
-81,0,560,868,picker-3,308
-40,0,646,877,picker-3,231
-97,0,1,884,picker-3,883
-26,0,1,908,picker-3,907
-6,0,692,941,picker-2,249
-36,0,602,948,picker-1,346
-9,0,1,968,picker-3,967
-68,0,752,988,picker-2,236
-84,0,799,994,picker-3,195
-90,0,722,1011,picker-1,289
-32,0,878,1055,picker-3,177
18,720,810,1085,picker-1,275
-38,0,658,1092,picker-1,434
-15,0,758,1182,picker-3,424
-78,0,949,1187,picker-1,238
-42,0,989,1193,picker-2,204
-41,0,759,1201,picker-2,442
-49,0,850,1201,picker-2,351
15,660,814,1218,picker-2,404
24,900,909,1220,picker-3,311
19,720,752,1225,picker-2,473
-79,0,1012,1228,picker-1,216
-28,0,942,1236,picker-2,294
-2,0,578,1242,picker-1,664
20,780,797,1258,picker-2,461
11,600,692,1264,picker-2,572
33,1080,1086,1280,picker-1,194
-60,0,561,1290,picker-1,729
27,960,1093,1321,picker-1,228
-65,0,644,1328,picker-1,684
-45,0,1221,1430,picker-3,209
-21,0,1229,1443,picker-1,214
36,1140,1183,1528,picker-3,345
17,720,885,1564,picker-3,679
5,240,1202,1569,picker-2,367
7,240,869,1581,picker-3,712
12,660,969,1670,picker-3,701
10,540,1056,1680,picker-3,624
-59,0,832,1739,picker-3,907
-75,0,1291,1740,picker-1,449
23,840,1570,1796,picker-2,226
-99,0,1188,1811,picker-1,623
8,420,1219,1836,picker-2,617
46,1380,1444,1853,picker-1,409
-54,0,1194,1878,picker-2,684
32,1080,1226,1900,picker-2,674
-1,0,1529,1927,picker-3,398
34,1080,1259,1941,picker-2,682
-77,0,1202,1948,picker-2,746
28,960,1265,1971,picker-2,706
-13,0,1741,1973,picker-1,232
29,960,1237,1975,picker-2,738
-100,0,1322,2001,picker-1,679
43,1260,1329,2026,picker-1,697
