pod_id,item_id,qty,order_id,processed_time,task_type,trigger,opp_score
211,143,12,-12,59,1,,
383,164,7,-37,66,1,,
383,828,2,-37,66,1,,
383,64,10,-93,66,1,,
348,106,9,-30,68,1,,
348,805,11,-9,68,1,,
138,41,2,-94,74,1,,
138,41,3,-91,74,1,,
275,526,5,-98,77,1,,
275,405,8,-12,77,1,,
366,554,12,-97,89,1,,
366,62,4,-20,89,1,,
307,307,8,-37,95,1,,
307,19,8,-66,95,1,,
57,1,8,-12,103,1,,
57,75,12,-12,103,1,,
359,24,8,-47,114,1,,
359,324,10,-47,114,1,,
105,3,5,-93,123,1,,
105,3,10,-17,123,1,,
105,39,6,-66,123,1,,
264,974,8,-82,143,1,,
264,15,8,-12,143,1,,
264,294,8,-12,143,1,,
410,29,6,-30,149,1,,
410,240,7,-30,149,1,,
410,115,6,-9,149,1,,
410,115,7,-20,149,1,,
9,849,12,-88,162,1,,
135,82,6,-17,164,1,,
135,5,11,-37,164,1,,
135,133,5,-86,164,1,,
135,40,8,-93,164,1,,
236,756,12,-47,177,1,,
236,12,8,-26,177,1,,
123,1830,10,-85,178,1,,
139,41,5,-91,193,1,,
139,82,1,-17,193,1,,
139,484,7,-37,193,1,,
139,615,4,-93,193,1,,
139,615,4,-66,193,1,,
14,32,10,-92,194,1,,
47,1634,9,-47,204,1,,
47,1,10,-26,204,1,,
110,479,4,-87,210,1,,
110,1799,5,-12,210,1,,
8,0,9,-37,218,1,,
8,30,3,-86,218,1,,
8,117,5,-34,218,1,,
317,20,9,-47,226,1,,
317,159,5,-26,226,1,,
289,155,10,-12,226,1,,
252,14,12,-37,237,1,,
48,354,2,-96,240,1,,
48,1638,6,-12,240,1,,
13,246,9,-26,248,1,,
13,31,6,-9,248,1,,
84,183,8,-37,254,1,,
84,364,3,-86,254,1,,
218,948,8,-85,264,1,,
87,184,8,-47,268,1,,
87,365,5,-9,268,1,,
229,288,11,-37,272,1,,
305,306,8,-12,275,1,,
215,10,3,-26,288,1,,
215,10,4,-30,288,1,,
215,10,3,-47,288,1,,
215,1161,3,-30,288,1,,
276,405,10,-86,288,1,,
314,539,6,-34,304,1,,
314,310,4,-34,304,1,,
296,18,2,-8,307,1,,
296,18,5,-44,307,1,,
296,412,6,-9,307,1,,
316,676,7,-85,310,1,,
227,506,9,-34,320,1,,
230,288,11,-47,325,1,,
43,582,6,-12,330,1,,
49,125,1,-93,335,1,,
49,1,8,-34,335,1,,
114,190,12,-9,344,1,,
15,32,2,-92,350,1,,
15,0,6,2,350,1,,
71,261,5,-66,357,1,,
71,2,10,-64,357,1,,
109,1794,10,-26,360,1,,
12,172,6,-12,367,1,,
365,553,6,-85,376,1,,
57,125,1,-93,377,1,,
57,179,12,-66,377,1,,
409,115,1,-20,378,1,,
409,115,10,-8,378,1,,
92,3,5,-64,391,1,,
92,264,3,-64,391,1,,
208,10,2,-47,394,1,,
208,10,6,-97,394,1,,
208,10,2,-8,394,1,,
228,2098,1,-85,395,1,,
228,207,6,-25,395,1,,
55,464,6,-83,404,1,,
79,262,7,-47,409,1,,
79,183,2,-9,409,1,,
113,479,4,-87,413,1,,
113,1805,2,-85,413,1,,
116,1117,8,-66,414,1,,
348,61,6,-12,422,1,,
149,912,5,-92,435,1,,
145,1891,8,-9,440,1,,
141,41,1,-91,440,1,,
141,616,7,-93,440,1,,
285,408,9,-26,453,1,,
183,89,8,-37,457,1,,
338,318,5,-12,462,1,,
209,10,8,-8,464,1,,
196,635,8,-86,469,1,,
198,203,8,-20,476,1,,
46,584,4,-39,477,1,,
217,2072,8,-37,481,1,,
243,656,8,-30,490,1,,
240,961,8,-93,493,1,,
72,181,4,-12,502,1,,
359,1471,8,-86,504,1,,
225,953,8,-93,516,1,,
261,98,8,-26,516,1,,
58,180,7,-9,531,1,,
