tick,pod_id,sku,item_class,trigger
110,179,2001,B,v13_piggyback
310,105,1650,B,v13_piggyback
708,105,1650,B,v13_piggyback
723,120,1721,B,v13_piggyback
1643,208,2138,B,v13_piggyback
1904,74,1516,B,v13_piggyback
2524,74,1516,B,v13_piggyback
5213,468,1081,A,v13_piggyback
6127,408,3242,B,v13_fetch
7275,259,356,A,v13_fetch
7717,210,2147,B,v13_piggyback
7848,155,1890,B,v13_fetch
7987,309,481,A,v13_piggyback
8163,407,788,A,v13_piggyback
8419,152,1876,B,v13_fetch
8611,61,1459,B,v13_fetch
8639,200,2099,B,v13_piggyback
8875,336,2820,B,v13_piggyback
9129,276,2469,B,v13_piggyback
9369,476,1133,A,v13_piggyback
9760,320,2724,B,v13_fetch
9794,428,880,A,v13_piggyback
9950,40,1367,B,v13_piggyback
10228,60,1454,B,v13_piggyback
10914,306,466,A,v13_fetch
11195,21,1290,B,v13_piggyback
12587,303,466,A,v13_fetch
12625,21,1287,B,v13_piggyback
13534,359,616,A,v13_piggyback
13534,359,630,A,v13_piggyback
13534,359,2954,B,v13_piggyback
13652,379,699,A,v13_piggyback
14253,328,540,A,v13_piggyback
14267,318,506,A,v13_piggyback
14364,341,568,A,v13_piggyback
14441,321,515,A,v13_piggyback
14821,96,84,A,v13_piggyback
14924,302,466,A,v13_piggyback
15017,100,84,A,v13_piggyback
15272,362,635,A,v13_piggyback
15676,306,466,A,v13_piggyback
16083,43,1380,B,v13_piggyback
16756,93,1594,B,v13_piggyback
16756,93,84,A,v13_piggyback
17418,330,540,A,v13_fetch
17689,342,568,A,v13_fetch
17843,406,788,A,v13_piggyback
19814,128,1761,B,v13_piggyback
21294,111,99,A,v13_piggyback
21950,261,356,A,v13_fetch
22104,10,1251,B,v13_fetch
22123,308,482,A,v13_fetch
22143,92,84,A,v13_fetch
22737,256,348,A,v13_fetch
22906,346,586,A,v13_fetch
23113,18,0,A,v13_piggyback
23113,18,1283,B,v13_piggyback
23245,416,819,A,v13_fetch
23937,351,604,A,v13_fetch
23937,351,608,A,v13_fetch
24029,285,417,A,v13_piggyback
24321,433,903,A,v13_fetch
24404,279,405,A,v13_fetch
25394,221,262,A,v13_fetch
25394,221,265,A,v13_fetch
25459,0,0,A,v13_fetch
25496,98,84,A,v13_piggyback
25497,303,2623,B,v13_fetch
25497,303,466,A,v13_fetch
25573,220,262,A,v13_fetch
25586,286,417,A,v13_fetch
25586,286,2525,B,v13_fetch
25604,350,604,A,v13_fetch
25609,6,0,A,v13_piggyback
25609,6,1233,B,v13_piggyback
25764,128,1761,B,v13_fetch
26591,236,295,A,v13_fetch
27387,265,374,A,v13_fetch
27387,265,375,A,v13_fetch
27398,83,1547,B,v13_fetch
27409,108,99,A,v13_fetch
27410,247,324,A,v13_fetch
27424,268,379,A,v13_fetch
27447,289,428,A,v13_fetch
27454,415,819,A,v13_fetch
27571,8,0,A,v13_fetch
27571,8,1240,B,v13_fetch
27673,423,855,A,v13_fetch
27702,179,190,A,v13_fetch
27702,179,2001,B,v13_fetch
27931,97,1613,B,v13_fetch
27931,97,84,A,v13_fetch
28251,104,92,A,v13_fetch
28381,352,608,A,v13_fetch
28413,278,403,A,v13_piggyback
28413,278,2480,B,v13_piggyback
28416,266,2418,B,v13_piggyback
28579,338,2832,B,v13_piggyback
28710,155,1888,B,v13_piggyback
28785,380,3075,B,v13_fetch
28785,380,699,A,v13_fetch
