order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time
-92,0,1,80,picker-1,79
-83,0,1,193,picker-1,192
-46,0,1,263,picker-3,262
3,60,81,295,picker-1,214
-23,0,1,353,picker-3,352
-85,0,1,363,picker-3,362
-69,0,1,363,picker-3,362
-43,0,194,412,picker-1,218
-100,0,1,447,picker-3,446
-74,0,1,456,picker-3,455
-14,0,1,502,picker-1,501
-9,0,296,502,picker-1,206
-29,0,1,538,picker-3,537
-95,0,1,551,picker-1,550
-52,0,264,553,picker-3,289
12,300,364,568,picker-3,204
-80,0,1,572,picker-1,571
-4,0,354,582,picker-3,228
-84,0,1,589,picker-1,588
-7,0,413,597,picker-1,184
-50,0,364,619,picker-3,255
-86,0,503,651,picker-1,148
-33,0,503,651,picker-1,148
-59,0,457,662,picker-3,205
-76,0,1,662,picker-1,661
-13,0,1,666,picker-3,665
-19,0,1,675,picker-1,674
7,120,448,678,picker-3,230
5,120,539,685,picker-3,146
-79,0,552,698,picker-1,146
-27,0,554,703,picker-3,149
-58,0,1,716,picker-2,715
-38,0,583,731,picker-3,148
-68,0,1,732,picker-2,731
-61,0,569,763,picker-3,194
-53,0,1,783,picker-2,782
-91,0,1,790,picker-2,789
-18,0,1,794,picker-2,793
-64,0,598,794,picker-1,196
-1,0,573,809,picker-1,236
-48,0,620,815,picker-3,195
-30,0,1,815,picker-2,814
25,540,590,840,picker-1,250
-96,0,663,873,picker-1,210
27,600,717,900,picker-2,183
-2,0,1,904,picker-2,903
-73,0,652,905,picker-1,253
-49,0,1,912,picker-2,911
28,720,732,924,picker-3,192
-8,0,733,929,picker-2,196
-44,0,686,933,picker-3,247
-11,0,664,940,picker-3,276
-62,0,667,947,picker-3,280
-70,0,699,959,picker-1,260
2,60,676,970,picker-1,294
30,780,795,978,picker-1,183
-98,0,784,983,picker-2,199
-22,0,764,1013,picker-3,249
-87,0,796,1026,picker-2,230
-25,0,679,1033,picker-3,354
-78,0,704,1042,picker-3,338
