pod_id,item_id,qty,order_id,processed_time,task_type,trigger,opp_score
112,95,5,-76,56,1,,
112,306,10,-14,56,1,,
318,178,8,-13,68,1,,
318,178,9,-46,68,1,,
318,221,6,-46,68,1,,
288,403,10,-92,80,1,,
288,107,6,-84,80,1,,
185,125,4,-91,88,1,,
185,857,8,-53,88,1,,
185,46,5,-2,88,1,,
185,46,6,-53,88,1,,
185,7,6,-53,88,1,,
359,85,4,-69,93,1,,
359,14,8,-46,93,1,,
172,28,5,-19,109,1,,
172,6,6,-19,109,1,,
172,1170,11,-14,109,1,,
203,211,5,-85,113,1,,
203,1201,8,-23,113,1,,
320,54,8,-80,129,1,,
320,54,5,-19,129,1,,
131,40,12,-68,143,1,,
131,67,6,-58,143,1,,
131,4,7,-49,143,1,,
131,4,8,-53,143,1,,
131,123,11,-53,143,1,,
69,91,6,-84,154,1,,
69,20,1,-80,154,1,,
69,782,10,-14,154,1,,
103,38,10,-85,174,1,,
103,38,11,-23,174,1,,
103,38,12,-13,174,1,,
103,197,5,-74,174,1,,
103,452,10,-13,174,1,,
333,55,6,-84,175,1,,
333,281,8,-19,175,1,,
183,616,9,-74,192,1,,
183,160,2,-23,192,1,,
105,368,12,-83,193,1,,
43,88,2,-68,201,1,,
43,1,7,-53,201,1,,
43,1,10,-49,201,1,,
43,1,7,-68,201,1,,
43,19,8,-68,201,1,,
43,35,11,-18,201,1,,
82,63,10,-46,208,1,,
244,654,12,-19,212,1,,
345,85,4,-69,223,1,,
345,111,5,-29,223,1,,
153,99,11,-19,229,1,,
137,68,8,-29,237,1,,
263,396,10,-14,246,1,,
301,1286,8,-46,263,1,,
64,1,2,-18,263,1,,
64,1,5,-91,263,1,,
64,1,6,-2,263,1,,
64,1,8,-30,263,1,,
64,1,3,-53,263,1,,
64,302,8,-91,263,1,,
64,150,6,-18,263,1,,
64,190,10,-18,263,1,,
136,97,9,-19,273,1,,
36,297,8,-74,277,1,,
96,243,3,-84,295,1,,
96,93,2,-19,295,1,,
96,2,8,3,295,1,,
300,51,12,-49,300,1,,
300,704,8,-18,300,1,,
300,108,7,-18,300,1,,
306,176,8,-85,301,1,,
228,77,4,-100,319,1,,
228,103,4,-23,319,1,,
222,265,9,-14,328,1,,
29,87,3,-68,338,1,,
29,1,5,-68,338,1,,
29,1,12,-58,338,1,,
29,58,8,-49,338,1,,
93,194,8,-13,342,1,,
365,229,5,-84,351,1,,
365,141,4,-19,351,1,,
251,272,7,-23,353,1,,
22,524,8,-19,362,1,,
196,627,3,-85,363,1,,
196,627,4,-69,363,1,,
21,1034,9,-68,364,1,,
21,119,1,-49,364,1,,
21,119,5,-53,364,1,,
21,146,3,-53,364,1,,
195,74,2,-19,374,1,,
195,496,6,-19,374,1,,
206,164,10,-91,387,1,,
206,102,6,-18,387,1,,
42,187,6,-13,390,1,,
138,26,12,-43,412,1,,
235,78,7,-91,413,1,,
235,217,3,-68,413,1,,
235,168,8,-18,413,1,,
275,680,8,-80,424,1,,
102,94,8,-68,435,1,,
102,2,3,-68,435,1,,
102,196,4,-68,435,1,,
281,106,7,-19,437,1,,
44,187,6,-74,437,1,,
188,101,2,-13,447,1,,
188,101,4,-100,447,1,,
193,865,6,-84,449,1,,
43,187,6,-74,456,1,,
347,30,5,-53,458,1,,
347,421,10,-18,458,1,,
307,52,7,-80,459,1,,
207,212,6,-84,469,1,,
346,111,1,-29,474,1,,
346,111,4,-13,474,1,,
147,200,6,-68,479,1,,
147,253,8,-49,479,1,,
295,337,4,-49,500,1,,
295,699,10,-2,500,1,,
358,140,3,-14,502,1,,
358,56,5,-9,502,1,,
10,519,4,-29,504,1,,
153,836,4,-29,511,1,,
334,136,8,-91,521,1,,
334,29,6,-53,521,1,,
166,125,4,-52,531,1,,
269,170,2,-49,537,1,,
269,676,8,-49,537,1,,
285,689,4,-29,538,1,,
36,59,4,-95,551,1,,
36,532,4,-84,551,1,,
167,125,3,-52,553,1,,
274,171,5,-68,556,1,,
274,934,7,-53,556,1,,
29,184,9,-7,564,1,,
0,0,8,12,568,1,,
253,331,9,-68,571,1,,
226,216,5,-80,572,1,,
246,1600,4,-84,579,1,,
351,111,2,-13,582,1,,
351,32,8,-4,582,1,,
337,1321,8,-2,585,1,,
218,512,6,-84,589,1,,
203,47,4,-7,597,1,,
15,1029,8,-2,599,1,,
16,522,8,-2,613,1,,
42,442,8,-50,619,1,,
112,457,8,-68,627,1,,
321,54,3,-19,635,1,,
168,125,4,-91,649,1,,
168,203,3,-49,649,1,,
25,87,1,-86,651,1,,
25,58,2,-33,651,1,,
348,286,12,-59,662,1,,
128,95,1,-76,662,1,,
197,498,6,-68,665,1,,
104,452,2,-13,666,1,,
298,51,2,-19,675,1,,
1,15,8,7,678,1,,
169,125,4,-18,683,1,,
105,39,4,5,685,1,,
370,114,8,-68,697,1,,
2,0,9,-79,698,1,,
349,31,2,-27,703,1,,
170,125,4,-18,706,1,,
58,540,5,-58,716,1,,
138,585,6,-61,720,1,,
136,26,7,-38,731,1,,
326,1674,4,-68,732,1,,
3,85,4,-61,738,1,,
4,85,4,-61,748,1,,
139,585,2,-61,763,1,,
296,108,7,25,778,1,,
256,664,3,-53,783,1,,
302,108,3,-64,784,1,,
353,226,4,-91,790,1,,
132,4,6,-48,792,1,,
171,125,2,-18,794,1,,
301,108,7,-64,794,1,,
350,225,3,-49,800,1,,
299,51,10,-1,809,1,,
343,12,4,-48,815,1,,
54,538,2,-30,815,1,,
204,28,8,-73,835,1,,
204,75,12,-73,835,1,,
297,108,3,25,840,1,,
130,40,9,-62,847,1,,
129,25,6,0,863,1,,
129,67,11,-73,863,1,,
277,49,9,-62,869,1,,
12,117,7,-96,873,1,,
11,117,7,-73,884,1,,
128,40,6,-25,889,1,,
85,193,9,27,900,1,,
105,1106,1,-2,904,1,,
224,129,6,-73,905,1,,
224,47,10,2,905,1,,
180,73,5,-25,908,1,,
90,1093,2,-49,908,1,,
276,936,1,-49,912,1,,
133,250,4,-25,914,1,,
225,28,4,-70,918,1,,
225,129,5,-70,918,1,,
0,15,6,28,924,1,,
170,157,12,-8,929,1,,
278,49,6,-44,933,1,,
344,138,4,-11,940,1,,
348,31,4,-62,947,1,,
274,105,8,-22,959,1,,
148,69,8,-70,959,1,,
181,7,8,-87,964,1,,
135,818,7,2,970,1,,
212,77,5,30,978,1,,
87,241,8,-98,983,1,,
173,609,4,-87,1002,1,,
173,157,10,-87,1002,1,,
280,105,1,-22,1013,1,,
