order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time
-10,0,1,57,picker-1,56
-50,0,1,85,picker-1,84
-86,0,1,100,picker-1,99
-36,0,1,100,picker-1,99
-38,0,2,152,picker-3,150
-43,0,2,152,picker-3,150
-85,0,1,198,picker-2,197
-33,0,1,208,picker-3,207
-82,0,1,231,picker-1,230
-94,0,1,264,picker-1,263
-95,0,58,264,picker-1,206
-58,0,1,265,picker-2,264
-91,0,1,276,picker-2,275
-79,0,2,285,picker-3,283
-4,0,86,303,picker-1,217
-16,0,1,308,picker-1,307
-69,0,1,312,picker-2,311
-54,0,101,328,picker-1,227
-9,0,101,335,picker-1,234
-12,0,1,350,picker-1,349
-61,0,1,392,picker-2,391
-7,0,232,393,picker-1,161
-98,0,209,403,picker-3,194
-47,0,1,405,picker-2,404
-23,0,1,409,picker-2,408
7,120,153,423,picker-3,270
8,240,265,431,picker-1,166
-30,0,1,432,picker-2,431
3,60,153,442,picker-3,289
2,60,265,442,picker-1,177
-76,0,199,448,picker-2,249
5,120,266,448,picker-2,182
-48,0,2,449,picker-3,447
-11,0,286,456,picker-3,170
12,300,304,479,picker-1,175
-70,0,277,480,picker-2,203
-52,0,313,500,picker-2,187
-60,0,1,506,picker-3,505
-99,0,1,544,picker-3,543
-88,0,406,570,picker-2,164
-100,0,404,578,picker-3,174
0,60,351,620,picker-1,269
-15,0,410,623,picker-2,213
-96,0,480,726,picker-1,246
-72,0,432,740,picker-1,308
24,480,571,756,picker-2,185
-25,0,336,759,picker-1,423
-73,0,443,786,picker-1,343
-8,0,545,804,picker-3,259
26,540,621,829,picker-1,208
-17,0,444,857,picker-3,413
-46,0,450,871,picker-3,421
-77,0,309,894,picker-1,585
28,720,727,920,picker-1,193
-34,0,449,922,picker-2,473
-63,0,393,930,picker-2,537
-35,0,501,942,picker-2,441
-26,0,394,945,picker-1,551
-53,0,329,950,picker-1,621
6,120,457,967,picker-3,510
29,780,787,992,picker-1,205
-67,0,449,993,picker-2,544
-13,0,424,994,picker-3,570
27,600,830,1037,picker-1,207
9,240,805,1042,picker-3,237
-31,0,624,1047,picker-2,423
-87,0,507,1048,picker-3,541
-49,0,1,1052,picker-3,1051
-32,0,760,1060,picker-1,300
-1,0,858,1066,picker-3,208
-5,0,872,1081,picker-3,209
-75,0,579,1084,picker-3,505
-81,0,433,1098,picker-2,665
30,780,931,1119,picker-2,188
33,900,923,1131,picker-2,208
-3,0,757,1146,picker-2,389
23,480,481,1151,picker-2,670
35,960,968,1163,picker-3,195
-64,0,943,1168,picker-2,225
-22,0,995,1169,picker-3,174
25,540,994,1177,picker-2,183
36,960,993,1190,picker-1,197
-83,0,741,1206,picker-1,465
40,1080,1082,1279,picker-3,197
-27,0,1053,1298,picker-3,245
-59,0,1067,1298,picker-3,231
-62,0,1049,1338,picker-3,289
32,900,946,1378,picker-1,432
17,360,1120,1387,picker-2,267
-44,0,1164,1423,picker-3,259
41,1140,1191,1446,picker-1,255
-93,0,1207,1459,picker-1,252
13,300,1132,1522,picker-2,390
34,960,1085,1529,picker-3,444
-40,0,895,1530,picker-1,635
-21,0,951,1600,picker-1,649
-55,0,1169,1632,picker-2,463
48,1320,1339,1643,picker-3,304
39,1020,1048,1674,picker-2,626
-78,0,1170,1680,picker-3,510
