order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time
-83,0,1,66,picker-2,65
-44,0,1,71,picker-1,70
-92,0,1,103,picker-2,102
-89,0,1,154,picker-2,153
-27,0,1,190,picker-1,189
-75,0,1,199,picker-2,198
-62,0,1,206,picker-1,205
-88,0,1,216,picker-2,215
-80,0,1,230,picker-2,229
-24,0,1,241,picker-1,240
-87,0,1,252,picker-1,251
-70,0,1,259,picker-1,258
-4,0,67,268,picker-2,201
-97,0,1,270,picker-1,269
-8,0,104,284,picker-2,180
-78,0,1,294,picker-2,293
-43,0,72,296,picker-1,224
-76,0,1,314,picker-2,313
-22,0,1,318,picker-1,317
7,120,155,331,picker-2,176
-38,0,207,350,picker-1,143
-95,0,191,357,picker-1,166
5,120,200,357,picker-2,157
3,60,217,372,picker-2,155
-9,0,231,403,picker-2,172
-33,0,260,408,picker-1,148
-7,0,253,421,picker-1,168
-36,0,242,435,picker-1,193
-86,0,271,439,picker-1,168
-79,0,269,453,picker-2,184
-77,0,295,473,picker-2,178
-69,0,285,479,picker-2,194
-12,0,297,485,picker-1,188
12,300,315,506,picker-2,191
-52,0,332,526,picker-2,194
-96,0,358,545,picker-1,187
2,60,409,624,picker-1,215
-100,0,422,699,picker-1,277
-63,0,454,727,picker-2,273
-73,0,436,749,picker-1,313
-58,0,1,755,picker-3,754
-5,0,480,756,picker-2,276
-90,0,474,766,picker-2,292
-68,0,1,775,picker-3,774
-47,0,404,784,picker-2,380
-34,0,527,784,picker-2,257
-93,0,351,790,picker-1,439
-11,0,625,797,picker-1,172
-48,0,440,804,picker-1,364
-91,0,1,807,picker-3,806
-18,0,1,811,picker-3,810
-53,0,1,817,picker-3,816
-85,0,359,837,picker-2,478
-25,0,486,844,picker-1,358
-82,0,507,847,picker-2,340
-99,0,319,849,picker-1,530
0,60,546,855,picker-1,309
-61,0,373,868,picker-2,495
-2,0,1,869,picker-3,868
28,720,728,880,picker-2,152
-30,0,1,891,picker-3,890
-55,0,750,901,picker-1,151
-57,0,700,908,picker-1,208
-49,0,1,916,picker-3,915
-98,0,756,932,picker-3,176
27,600,776,958,picker-3,182
-72,0,791,991,picker-1,200
29,780,785,1044,picker-2,259
13,300,805,1132,picker-1,327
33,900,902,1132,picker-1,230
-3,0,767,1152,picker-2,385
-67,0,856,1169,picker-1,313
-1,0,992,1213,picker-1,221
17,360,881,1263,picker-2,382
-16,0,838,1278,picker-2,440
32,900,909,1305,picker-1,396
-17,0,959,1332,picker-3,373
26,540,1133,1350,picker-1,217
-46,0,808,1359,picker-3,551
40,1080,1153,1383,picker-2,230
-56,0,845,1402,picker-1,557
36,960,1170,1402,picker-1,232
6,120,869,1411,picker-2,542
-35,0,785,1418,picker-2,633
4,120,812,1459,picker-3,647
-81,0,798,1467,picker-1,669
-15,0,870,1470,picker-3,600
-54,0,1133,1472,picker-1,339
30,780,1306,1485,picker-1,179
35,960,1214,1491,picker-1,277
41,1140,1264,1508,picker-2,244
-32,0,818,1518,picker-3,700
48,1320,1333,1551,picker-3,218
34,960,1360,1594,picker-3,234
-59,0,1403,1599,picker-1,196
-65,0,850,1603,picker-1,753
-23,0,933,1620,picker-3,687
49,1380,1403,1662,picker-1,259
39,1020,1471,1701,picker-3,230
-64,0,1552,1805,picker-3,253
18,360,1460,1820,picker-3,360
25,540,1595,1875,picker-3,280
-45,0,1509,1891,picker-2,382
-29,0,848,1924,picker-2,1076
-13,0,917,1925,picker-3,1008
61,1560,1621,1960,picker-3,339
46,1260,1384,1999,picker-2,615
-21,0,1351,2007,picker-1,656
43,1200,1821,2040,picker-3,219
37,960,1279,2057,picker-2,778
69,1800,1892,2095,picker-2,203
-19,0,757,2100,picker-2,1343
52,1500,1806,2103,picker-3,297
-41,0,1412,2114,picker-2,702
63,1620,1925,2114,picker-2,189
8,240,1045,2123,picker-2,1078
16,360,1663,2137,picker-1,474
15,360,1419,2162,picker-2,743
-40,0,892,2165,picker-3,1273
31,840,1486,2172,picker-1,686
58,1500,2000,2179,picker-2,179
71,1980,2008,2193,picker-1,185
-26,0,1702,2210,picker-3,508
-20,0,1604,2219,picker-1,615
74,2040,2041,2235,picker-3,194
55,1500,2058,2250,picker-2,192
70,1920,2096,2281,picker-2,185
51,1440,2104,2338,picker-3,234
76,2160,2166,2433,picker-3,267
78,2220,2236,2442,picker-3,206
64,1680,1876,2448,picker-3,572
56,1500,1519,2458,picker-3,939
10,240,1961,2462,picker-3,501
38,1020,1926,2497,picker-3,571
60,1560,2339,2535,picker-3,196
9,240,2211,2542,picker-3,331
59,1560,2138,2568,picker-1,430
67,1740,2434,2727,picker-3,293
75,2100,2569,2801,picker-1,232
87,2460,2463,2806,picker-3,343
54,1500,1600,2818,picker-1,1218
53,1500,2194,2961,picker-1,767
77,2160,2163,2978,picker-2,815
86,2460,2498,2981,picker-3,483
21,420,2220,2984,picker-1,764
42,1200,1473,3000,picker-1,1527
47,1260,1468,3029,picker-1,1561
101,2760,2802,3029,picker-1,227
95,2640,2728,3042,picker-3,314
89,2520,2819,3045,picker-1,226
-66,0,2173,3049,picker-1,876
14,300,1492,3055,picker-1,1563
20,420,2449,3093,picker-3,644
-37,0,2115,3112,picker-2,997
103,2820,2982,3191,picker-3,209
90,2520,2962,3193,picker-1,231
100,2760,2985,3208,picker-1,223
62,1620,2180,3244,picker-2,1064
106,2880,3001,3254,picker-1,253
23,480,2101,3270,picker-2,1169
11,300,2459,3294,picker-3,835
88,2520,2536,3304,picker-3,768
80,2340,2543,3312,picker-3,769
92,2580,3094,3326,picker-3,232
44,1200,2443,3354,picker-3,911
125,3120,3192,3396,picker-3,204
79,2280,3043,3401,picker-3,358
121,3120,3245,3432,picker-2,187
94,2640,2807,3438,picker-3,631
118,3060,3113,3456,picker-2,343
111,3000,3295,3495,picker-3,200
98,2760,3030,3503,picker-1,473
119,3060,3194,3503,picker-1,309
85,2460,2979,3623,picker-2,644
110,3000,3050,3652,picker-1,602
123,3120,3457,3712,picker-2,255
104,2880,3433,3731,picker-2,298
57,1500,2115,3744,picker-2,1629
-84,0,2282,3785,picker-2,1503
132,3420,3624,3831,picker-2,207
83,2400,3327,3867,picker-3,540
128,3300,3305,3891,picker-3,586
117,3060,3271,3903,picker-2,632
140,3660,3732,3960,picker-2,228
130,3360,3439,3980,picker-3,541
127,3240,3504,4003,picker-1,499
-74,0,3255,4019,picker-1,764
158,3840,3868,4057,picker-3,189
93,2640,3056,4063,picker-1,1007
107,2940,3046,4069,picker-1,1023
19,360,2251,4073,picker-2,1822
113,3000,3397,4146,picker-3,749
122,3120,3209,4155,picker-1,946
131,3360,3904,4178,picker-2,274
150,3780,3892,4198,picker-3,306
136,3540,4004,4207,picker-1,203
159,3840,4020,4222,picker-1,202
-28,0,3504,4244,picker-1,740
155,3780,4058,4251,picker-3,193
144,3720,3832,4257,picker-2,425
109,2940,3030,4288,picker-1,1258
65,1740,3496,4332,picker-3,836
161,3960,4147,4351,picker-3,204
50,1380,4179,4366,picker-2,187
