pod_id,item_id,qty,order_id,processed_time,task_type,trigger,opp_score
105,368,12,-83,66,1,,
277,49,4,-97,71,1,,
277,49,6,-44,71,1,,
277,49,9,-62,71,1,,
320,54,8,-80,87,1,,
173,609,4,-87,94,1,,
173,157,10,-87,94,1,,
288,403,10,-92,103,1,,
43,88,2,-68,114,1,,
43,1,7,-53,114,1,,
43,1,10,-49,114,1,,
43,1,7,-68,114,1,,
43,19,8,-68,114,1,,
43,35,11,-18,114,1,,
275,680,8,-80,117,1,,
128,95,5,-76,128,1,,
274,105,8,-22,130,1,,
274,28,4,-70,130,1,,
274,335,7,-24,130,1,,
274,7,8,-87,130,1,,
306,52,7,-80,140,1,,
301,705,4,-97,149,1,,
301,51,8,-24,149,1,,
371,1010,8,-89,154,1,,
226,216,5,-80,165,1,,
70,151,4,-97,169,1,,
70,37,4,-87,169,1,,
70,447,5,-87,169,1,,
131,40,12,-68,170,1,,
131,67,6,-58,170,1,,
131,4,7,-49,170,1,,
131,4,8,-53,170,1,,
131,123,11,-53,170,1,,
350,31,2,-27,190,1,,
350,31,4,-62,190,1,,
350,994,8,-24,190,1,,
170,1168,1,-75,199,1,,
132,40,9,-62,206,1,,
132,4,1,-24,206,1,,
185,125,4,-91,209,1,,
185,857,8,-53,209,1,,
185,46,5,-2,209,1,,
185,46,6,-53,209,1,,
185,7,6,-53,209,1,,
154,124,4,-88,216,1,,
148,69,8,-70,220,1,,
56,20,1,-80,230,1,,
223,322,6,-24,241,1,,
29,87,3,-68,247,1,,
29,1,5,-68,247,1,,
29,1,12,-58,247,1,,
29,58,8,-49,247,1,,
367,1007,7,-87,252,1,,
224,129,5,-70,259,1,,
0,32,8,-4,268,1,,
38,534,2,-97,270,1,,
171,157,12,-8,284,1,,
277,682,6,-78,294,1,,
136,26,12,-43,296,1,,
64,1,2,-18,308,1,,
64,1,5,-91,308,1,,
64,1,6,-2,308,1,,
64,1,8,-30,308,1,,
64,1,3,-53,308,1,,
64,302,8,-91,308,1,,
64,150,6,-18,308,1,,
64,190,10,-18,308,1,,
109,95,1,-76,314,1,,
280,105,1,-22,318,1,,
1,15,8,7,331,1,,
300,51,12,-49,345,1,,
300,704,8,-18,345,1,,
300,108,7,-18,345,1,,
137,26,7,-38,350,1,,
33,59,4,-95,357,1,,
104,39,4,5,357,1,,
21,1034,9,-68,371,1,,
21,119,1,-49,371,1,,
21,119,5,-53,371,1,,
21,146,3,-53,371,1,,
79,2,8,3,372,1,,
235,78,7,-91,397,1,,
235,217,3,-68,397,1,,
235,168,8,-18,397,1,,
2,56,5,-9,403,1,,
203,47,4,-7,403,1,,
22,58,2,-33,408,1,,
206,164,10,-91,420,1,,
206,102,6,-18,420,1,,
30,184,9,-7,421,1,,
32,120,10,-36,435,1,,
5,85,4,-69,438,1,,
