tick,energy,job_queue_len,stop_and_go,turning
0.15,717.05228,2,0,0
0.3,0.0,1,0,0
0.45,1.16775,0,0,0
0.6,28.043107,0,0,1
0.75,2.72475,0,0,0
0.9,3.50325,0,0,0
1.05,4.28175,0,0,0
1.2,4.28175,2,0,0
1.35,29.600107,1,0,1
1.5,29.600107,0,0,1
1.65,89.418112,0,0,1
1.8,0.0,0,1,0
1.95,31.536738,0,0,1
2.1,9.066469,0,0,0
2.25,12.693057,2,0,0
2.4,103.402256,1,0,1
2.55,47.989339,0,0,1
2.7,108.585844,0,0,1
2.85,19.822895,0,0,0
3.0,20.601395,0,0,0
3.15,22.547645,0,0,0
3.3,8.95275,2,1,0
3.45,62.703463,1,0,2
3.6,1010.617607,0,0,1
3.75,14.7915,0,0,0
3.9,16.3485,0,0,0
4.05,17.9055,0,0,0
4.2,18.684,2,0,0
4.35,47.505607,1,0,1
4.5,49.841107,0,0,1
4.65,22.18725,0,1,0
4.8,49.062607,0,0,1
4.95,25.6905,0,0,0
5.1,28.8045,0,0,0
5.25,36.969132,2,0,0
5.4,151.050438,1,1,2
5.55,737.138604,0,0,1
5.7,75.892001,0,0,1
5.85,53.421733,0,0,0
6.0,54.71282,0,1,0
6.15,82.100765,2,1,1
6.3,859.217833,1,1,1
6.45,117.786297,1,0,2
6.6,65.715921,1,2,0
6.75,121.023635,1,0,2
6.9,68.829921,1,0,0
7.05,64.548171,1,1,0
7.2,91.034278,4,0,1
7.35,87.531028,4,2,1
7.5,113.627885,4,1,2
7.65,87.141778,4,1,1
7.8,90.255778,4,0,1
7.95,66.883671,4,0,0
8.1,96.483778,4,0,1
8.25,75.836421,7,0,0
8.4,78.171921,7,0,0
8.55,82.842921,7,0,0
8.7,93.696963,7,0,0
8.85,97.948741,7,1,0
9.0,130.632875,7,0,1
9.15,109.955546,10,0,0
9.3,119.267574,10,0,0
9.45,120.824574,10,1,0
9.6,143.528502,10,3,1
9.75,812.436954,10,1,2
9.9,161.219019,10,0,1
10.05,123.85086,10,1,0
10.2,158.78254,13,0,1
10.35,137.31494,13,0,0
10.5,138.517131,13,0,0
10.65,139.295631,13,0,0
10.8,134.277124,13,0,0
10.95,117.298327,13,1,0
11.1,138.334934,13,1,1
11.25,772.433901,13,2,0
11.4,141.264635,13,1,2
11.55,902.941603,13,2,1
11.7,1384.681091,13,0,0
11.85,92.574171,13,0,0
12.0,102.649713,13,0,0
12.15,110.404741,13,0,0
12.3,116.602769,13,0,0
12.45,120.854546,13,1,0
12.6,633.340174,13,0,0
12.75,133.250602,13,0,0
12.9,143.810729,13,0,0
13.05,177.197179,13,0,1
13.2,164.555301,13,0,0
13.35,262.389013,13,0,1
13.5,214.370889,13,0,1
13.65,195.58231,13,1,0
13.8,1011.934238,13,0,0
13.95,215.648365,13,0,0
14.1,224.902893,13,0,0
14.25,228.677466,13,1,0
14.4,1161.184079,13,0,1
14.55,227.785025,13,1,0
14.7,914.656085,13,0,0
14.85,218.190927,13,1,0
15.0,251.087833,13,0,1
15.15,220.155269,13,2,0
15.3,256.246925,13,0,1
15.45,239.339451,13,0,0
15.6,263.974885,13,0,1
15.75,228.838055,13,0,0
15.9,225.819631,13,0,0
16.05,222.316381,13,1,0
16.2,909.284861,13,2,1
16.35,234.555781,13,0,2
16.5,182.228291,13,0,0
16.65,173.166305,13,1,0
16.8,191.310886,13,2,1
16.95,220.777012,13,1,2
17.1,203.498926,13,0,1
17.25,151.370423,13,1,0
17.4,158.133727,13,0,0
17.55,162.738633,13,0,0
17.7,174.43456,13,0,0
17.85,168.913827,13,1,0
18.0,228.000597,13,1,2
18.15,223.707684,13,1,1
18.3,233.821341,13,1,1
18.45,224.087006,13,0,0
18.6,241.633333,13,0,0
18.75,244.506372,13,1,0
18.9,286.866202,13,0,1
19.05,263.59249,13,1,0
19.2,300.969936,13,0,1
19.35,272.151452,13,1,0
19.5,314.169925,13,0,1
19.65,290.164276,13,0,0
19.8,298.194783,13,0,0
19.95,313.256828,13,0,0
20.1,326.247431,13,0,0
20.25,329.96775,13,0,0
20.4,316.027073,13,2,0
20.55,376.200629,13,0,2
20.7,333.649549,13,0,0
20.85,325.165943,13,1,0
21.0,361.985337,13,0,1
21.15,333.938276,13,1,0
21.3,373.210926,13,1,1
21.45,379.492113,13,0,1
21.6,343.474044,13,2,0
21.75,1176.739518,13,0,1
21.9,357.338818,13,1,0
22.05,368.912232,13,0,0
22.2,366.447034,13,0,0
22.35,375.543939,13,0,0
22.5,384.444903,13,0,0
22.65,391.904397,13,0,0
22.8,396.545631,13,0,0
22.95,376.919786,13,1,0
23.1,410.855928,13,0,1
23.25,396.727271,13,0,0
23.4,401.800755,13,0,0
23.55,434.073717,13,0,1
23.7,416.322637,13,0,0
23.85,411.873292,13,1,0
24.0,434.799839,13,0,1
24.15,402.964247,13,0,0
24.3,382.850718,13,0,0
24.45,351.459169,13,1,0
24.6,335.239927,13,2,1
24.75,319.797982,13,2,1
24.9,813.248187,13,0,1
25.05,279.89806,13,1,0
25.2,265.898259,13,1,0
25.35,286.760069,13,1,1
25.5,283.901082,13,1,1
25.65,290.358296,13,0,1
25.8,277.743261,13,0,0
25.95,293.96833,13,0,0
26.1,305.133725,13,0,0
26.25,306.454186,13,1,0
26.4,1068.062894,13,0,0
26.55,311.088004,13,0,0
26.7,395.166602,13,1,1
26.85,330.936344,13,1,1
27.0,335.359812,13,0,1
27.15,306.61205,13,2,0
27.3,360.115111,13,0,1
27.45,352.674116,13,0,0
27.6,368.479892,13,0,0
27.75,380.423141,13,0,0
27.9,397.684285,13,0,0
28.05,413.073813,13,0,0
28.2,448.934336,13,0,1
28.35,436.028212,13,0,0
28.5,445.651002,13,0,0
28.65,454.954723,13,0,0
28.8,463.565645,13,0,0
28.95,462.617736,13,0,0
29.1,455.584276,13,0,0
29.25,430.171389,13,1,0
29.4,460.598987,13,0,1
29.55,437.537081,13,1,0
29.7,465.747098,13,0,1
29.85,411.576971,13,2,0
30.0,447.077096,13,1,1
30.15,457.750206,13,0,1
30.3,439.006975,13,0,0
30.45,449.8441,13,0,0
30.6,452.853034,13,0,0
30.75,445.835829,13,0,0
30.9,395.35813,13,1,0
31.05,353.178385,13,1,0
31.2,359.145471,13,0,0
31.35,330.14795,13,2,0
31.5,371.294433,13,1,2
31.65,325.86822,13,0,0
31.8,317.901798,13,1,0
31.95,356.685255,13,0,1
32.1,343.61888,13,0,0
32.25,349.366698,13,1,0
32.4,367.301306,13,0,0
32.55,379.747567,13,0,0
32.7,388.215771,13,0,0
32.85,396.683974,13,0,0
33.0,411.058603,13,0,0
33.15,428.864533,13,0,0
33.3,450.780094,13,0,0
33.45,461.356243,13,0,0
33.6,471.932391,13,0,0
33.75,479.773984,13,1,0
33.9,497.549755,13,0,0
34.05,512.099468,13,0,0
34.2,510.229137,13,0,0
34.35,508.825798,13,0,0
34.5,515.982673,13,0,0
34.65,510.001177,13,1,0
34.8,526.823888,13,0,1
34.95,490.508775,13,0,0
35.1,477.352335,13,0,0
35.25,453.126022,13,1,0
35.4,457.064376,13,1,0
35.55,1396.32107,13,2,0
35.7,434.30536,13,0,1
35.85,394.070421,13,0,0
36.0,388.132973,13,1,0
36.15,418.406389,13,1,1
36.3,384.174577,13,1,0
36.45,396.556097,13,1,1
36.6,375.279832,13,1,1
36.75,323.437583,13,1,0
36.9,337.510357,13,0,0
37.05,347.682168,13,0,0
37.2,357.904184,13,0,0
37.35,387.223571,13,0,1
37.5,334.138736,13,1,0
37.65,303.57952,13,1,0
37.8,306.916731,13,0,0
37.95,319.255489,13,0,0
38.1,310.359219,13,1,0
38.25,349.995659,13,0,1
38.4,344.6109,13,0,0
38.55,363.676653,13,0,0
38.7,370.424644,13,1,0
38.85,415.637459,13,0,1
39.0,405.180138,13,0,0
39.15,422.618818,13,0,0
39.3,446.818125,13,0,0
39.45,430.746779,13,1,0
39.6,448.272737,13,0,0
39.75,455.250736,13,1,0
39.9,459.651869,13,0,0
40.05,417.067315,13,1,0
40.2,419.300762,13,0,0
40.35,389.614346,13,2,0
40.5,422.480387,13,1,2
40.65,394.617324,13,0,1
40.8,366.571524,13,0,0
40.95,373.002051,13,0,0
41.1,370.336156,13,0,0
41.25,378.34731,13,0,0
41.4,380.610884,13,0,0
41.55,360.308453,13,2,0
41.7,386.316771,13,1,1
41.85,349.551879,13,1,0
42.0,336.30397,13,1,0
42.15,334.526619,13,0,0
42.3,290.948941,13,3,0
42.45,334.478098,13,0,1
42.6,309.492574,13,1,0
42.75,324.638229,13,0,0
42.9,328.24625,13,1,0
43.05,333.591415,13,1,0
43.2,381.620485,13,0,1
43.35,370.525526,13,1,0
43.5,1202.515311,13,0,0
43.65,401.548938,13,0,0
43.8,397.972664,13,0,0
43.95,386.861659,13,0,0
44.1,373.615747,13,0,0
44.25,323.602727,13,3,0
44.4,387.404474,13,0,2
44.55,343.119691,13,0,0
44.7,309.742387,13,2,0
44.85,343.111043,13,1,2
45.0,332.030681,13,0,1
45.15,325.109066,13,0,0
45.3,379.955055,13,2,1
45.45,300.189908,13,0,0
45.6,288.760103,13,1,0
45.75,305.719227,13,0,0
45.9,313.449942,13,0,0
46.05,323.226026,13,0,0
46.2,309.75965,13,1,0
46.35,316.941772,13,1,0
46.5,357.300787,13,0,1
46.65,365.528591,13,0,0
46.8,394.275163,13,0,0
46.95,402.609924,13,0,0
47.1,413.766374,13,0,0
47.25,434.26187,13,0,0
47.4,442.502035,13,1,0
47.55,488.117911,13,0,1
47.7,457.476712,13,1,0
47.85,498.407427,13,0,1
48.0,468.091093,13,1,0
48.15,487.044449,13,0,1
48.3,455.674516,13,0,0
48.45,450.593511,13,0,0
48.6,450.266389,13,1,0
48.75,457.347602,13,0,0
48.9,418.273741,13,2,0
49.05,430.491933,13,0,0
49.2,440.941341,13,0,0
49.35,456.290987,13,0,0
49.5,454.039199,13,0,0
49.65,461.857523,13,0,0
49.8,456.339538,13,1,0
49.95,445.833202,13,1,0
50.1,449.147933,13,1,1
50.25,430.531333,13,0,0
50.4,444.034003,13,0,0
50.55,444.130194,13,1,0
50.7,486.236156,13,0,1
50.85,469.37881,13,0,0
51.0,474.936825,13,0,0
51.15,461.015991,13,0,0
51.3,434.532106,13,1,0
51.45,465.063751,13,0,1
51.6,418.862513,13,0,0
51.75,371.609439,13,1,0
51.9,372.994776,13,1,0
52.05,907.479198,13,1,0
52.2,365.344568,13,1,1
52.35,344.877061,13,0,0
52.5,332.438655,13,2,0
52.65,386.22683,13,0,2
52.8,316.233185,13,1,0
52.95,320.336622,13,2,1
53.1,289.379671,13,1,1
53.25,269.782815,13,0,0
53.4,275.636162,13,0,0
53.55,278.949582,13,0,0
53.7,294.591087,13,0,0
53.85,334.362296,13,0,1
54.0,269.213003,13,2,0
54.15,265.757939,13,1,0
54.3,302.945275,13,0,1
54.45,287.706761,13,0,0
54.6,293.124273,13,0,0
54.75,289.063613,13,1,0
54.9,304.442608,13,0,0
55.05,293.349497,13,1,0
55.2,307.660564,13,1,1
