pod_id,item_id,qty,order_id,processed_time,task_type,trigger,opp_score
112,306,10,-14,54,1,,
172,28,5,-19,82,1,,
172,6,6,-19,82,1,,
172,1170,11,-14,82,1,,
229,103,2,-54,97,1,,
229,103,4,-67,97,1,,
229,103,4,-23,97,1,,
229,103,9,-42,97,1,,
229,390,6,-66,97,1,,
229,7,1,-47,97,1,,
229,642,8,-42,97,1,,
325,417,4,-82,105,1,,
325,54,8,-80,105,1,,
325,54,5,-19,105,1,,
43,88,2,-68,108,1,,
43,1,7,-53,108,1,,
43,1,10,-49,108,1,,
43,1,7,-68,108,1,,
43,19,8,-68,108,1,,
43,35,11,-18,108,1,,
244,654,12,-19,122,1,,
98,448,10,-66,131,1,,
98,243,5,-65,131,1,,
98,38,11,-23,131,1,,
263,396,10,-14,138,1,,
300,51,12,-49,143,1,,
300,704,8,-18,143,1,,
300,108,7,-18,143,1,,
69,20,1,-80,156,1,,
69,782,10,-14,156,1,,
157,5,2,-47,160,1,,
157,5,10,-67,160,1,,
157,840,2,-66,160,1,,
157,27,6,-34,160,1,,
154,124,4,-88,178,1,,
154,99,11,-19,178,1,,
131,40,12,-68,200,1,,
131,67,6,-58,200,1,,
131,4,7,-49,200,1,,
131,4,8,-53,200,1,,
131,123,11,-53,200,1,,
289,8,2,-66,204,1,,
289,8,3,-34,204,1,,
289,8,10,-67,204,1,,
289,8,10,-65,204,1,,
289,948,4,-66,204,1,,
289,132,4,-65,204,1,,
136,97,9,-19,204,1,,
288,403,10,-92,224,1,,
17,17,11,-66,238,1,,
17,118,8,-66,238,1,,
17,57,6,-65,238,1,,
185,125,4,-91,239,1,,
185,857,8,-53,239,1,,
185,46,5,-2,239,1,,
185,46,6,-53,239,1,,
185,7,6,-53,239,1,,
140,823,12,-42,266,1,,
140,4,8,-42,266,1,,
275,680,8,-80,275,1,,
222,265,9,-14,289,1,,
200,210,10,-66,293,1,,
200,46,9,-65,293,1,,
64,1,2,-18,301,1,,
64,1,5,-91,301,1,,
64,1,6,-2,301,1,,
64,1,8,-30,301,1,,
64,1,3,-53,301,1,,
64,302,8,-91,301,1,,
64,150,6,-18,301,1,,
64,190,10,-18,301,1,,
22,524,8,-19,312,1,,
53,89,5,-65,314,1,,
53,35,9,-42,314,1,,
0,0,9,-79,325,1,,
75,191,8,-47,334,1,,
75,152,5,-42,334,1,,
195,74,2,-19,337,1,,
195,496,6,-19,337,1,,
29,87,3,-68,339,1,,
29,1,5,-68,339,1,,
29,1,12,-58,339,1,,
29,58,8,-49,339,1,,
6,57,1,-65,352,1,,
6,116,10,-42,352,1,,
21,1034,9,-68,365,1,,
21,119,1,-49,365,1,,
21,119,5,-53,365,1,,
21,146,3,-53,365,1,,
256,332,7,-67,371,1,,
256,48,6,-67,371,1,,
333,281,8,-19,383,1,,
235,78,7,-91,390,1,,
235,217,3,-68,390,1,,
235,168,8,-18,390,1,,
84,153,4,-66,397,1,,
84,359,6,-42,397,1,,
84,2,8,3,397,1,,
87,241,8,-98,398,1,,
101,122,10,-42,414,1,,
206,164,10,-91,414,1,,
206,102,6,-18,414,1,,
102,94,8,-68,436,1,,
102,2,3,-68,436,1,,
102,196,4,-68,436,1,,
1,15,8,7,440,1,,
310,177,10,-66,443,1,,
281,106,7,-19,451,1,,
203,1201,8,-23,457,1,,
347,30,5,-53,458,1,,
347,421,10,-18,458,1,,
371,1010,8,-89,462,1,,
