tick,energy,job_queue_len,stop_and_go,turning
0.15,0.0,2,0,0
0.3,26.096857,1,0,1
0.45,1.16775,0,0,0
0.6,87.861112,0,0,1
0.75,2.72475,0,0,0
0.9,3.50325,0,0,0
1.05,4.28175,0,0,0
1.2,4.28175,2,0,0
1.35,4.671,1,0,0
1.5,91.364362,0,0,1
1.65,7.39575,0,0,0
1.8,5.4495,0,1,0
1.95,33.103357,0,0,1
2.1,9.73125,0,0,0
2.25,12.06675,2,0,0
2.4,39.720607,1,0,1
2.55,40.499107,0,0,1
2.7,42.056107,0,0,1
2.85,15.95925,0,0,0
3.0,11.6775,0,1,0
3.15,37.774357,0,0,1
3.3,11.6775,2,0,0
3.45,34.271107,1,1,1
3.6,1032.821963,0,0,2
3.75,9.342,0,0,0
3.9,11.28825,0,0,0
4.05,12.84525,0,0,0
4.2,15.57,2,0,0
4.35,45.170107,1,0,1
4.5,49.451857,0,0,1
4.65,112.383862,0,0,1
4.8,29.19375,0,0,0
4.95,33.4755,0,0,0
5.1,36.5895,0,0,0
5.25,34.254,2,1,0
5.4,177.033575,1,0,3
5.55,127.953862,0,0,1
5.7,66.189607,0,1,1
5.85,67.746607,0,0,1
6.0,38.925,0,1,0
6.15,732.96846,2,1,0
6.3,93.843463,1,0,2
6.45,125.618362,1,1,1
6.6,63.854107,1,1,1
6.75,66.189607,1,0,1
6.9,37.368,1,1,0
7.05,64.243357,1,0,1
7.2,47.054292,4,0,0
7.35,52.473819,4,0,0
7.5,56.336347,4,1,0
7.65,89.798981,4,0,1
7.8,69.900153,4,0,0
7.95,97.943259,4,0,1
8.1,71.097875,4,0,0
8.25,70.708625,7,1,0
8.4,518.824155,7,0,0
8.55,58.3875,7,1,0
8.7,88.766107,7,0,1
8.85,63.837,7,1,0
9.0,95.383357,7,0,1
9.15,70.45425,10,1,0
9.3,93.437107,10,2,1
9.45,778.746337,10,0,1
9.6,72.4005,10,0,0
9.75,74.593935,10,1,0
9.9,105.786082,10,0,1
10.05,82.449016,10,0,0
10.2,161.781668,13,2,1
10.35,130.04181,13,0,2
10.5,85.588138,13,0,0
10.65,84.355376,13,0,0
10.8,79.654403,13,2,0
10.95,797.198638,13,0,1
11.1,68.343153,13,3,0
11.25,178.539357,13,0,4
11.4,80.349958,13,0,0
11.55,82.266236,13,1,0
11.7,725.124044,13,1,0
11.85,117.645148,13,0,1
12.0,92.326791,13,0,0
12.15,96.219291,13,0,0
12.3,96.608541,13,1,0
12.45,117.67512,13,1,1
12.6,119.23212,13,0,1
12.75,181.774875,13,0,1
12.9,92.775986,13,0,0
13.05,101.003143,13,0,0
13.2,101.437655,13,1,0
13.35,137.670301,13,0,1
13.5,148.11955,13,1,1
13.65,667.874578,13,0,0
13.8,131.114413,13,0,0
13.95,128.683399,13,1,0
14.1,147.733422,13,1,1
14.25,153.217962,13,0,1
14.4,112.828425,13,1,0
14.55,134.643532,13,1,1
14.7,135.422032,13,0,1
14.85,98.653548,13,1,0
15.0,116.151864,13,1,1
15.15,115.762614,13,0,1
15.3,96.197583,13,0,0
15.45,122.851199,13,0,1
15.6,93.029353,13,1,0
15.75,118.125969,13,0,1
15.9,92.231663,13,1,0
16.05,128.605809,13,1,1
16.2,727.990239,13,0,0
16.35,110.914374,13,1,0
16.5,927.27376,13,0,0
16.65,106.057394,13,2,0
16.8,166.689094,13,1,2
16.95,148.920988,13,0,1
17.1,135.050132,13,0,0
17.25,150.098077,13,0,0
17.4,144.78638,13,1,0
17.55,180.219756,13,0,1
17.7,163.070168,13,0,0
17.85,163.473688,13,2,0
18.0,1370.176938,13,0,1
18.15,165.643337,13,0,0
18.3,189.793943,13,1,1
18.45,187.069193,13,1,1
18.6,184.993117,13,1,1
18.75,191.069457,13,1,1
18.9,890.052561,13,0,0
19.05,181.017781,13,0,0
19.2,188.651122,13,0,0
19.35,198.821711,13,1,0
19.5,236.059906,13,0,1
19.65,217.009339,13,0,0
19.8,340.958584,13,0,2
19.95,235.71569,13,0,0
20.1,242.375259,13,0,0
20.25,250.97334,13,0,0
20.4,258.014421,13,0,0
20.55,267.119632,13,0,0
20.7,298.379727,13,0,1
20.85,260.277692,13,1,0
21.0,285.315788,13,0,1
21.15,246.261726,13,1,0
21.3,268.037043,13,0,1
21.45,205.197326,13,2,0
21.6,258.354121,13,0,2
21.75,204.838297,13,0,0
21.9,190.379349,13,1,0
22.05,207.388845,13,1,1
22.2,895.887947,13,1,0
22.35,699.444788,13,0,0
22.5,170.026584,13,1,0
22.65,791.486057,13,1,0
22.8,191.231642,13,0,1
22.95,142.975157,13,2,0
23.1,211.909422,13,0,2
23.25,167.229386,13,0,0
23.4,165.938275,13,1,0
23.55,208.622157,13,0,1
23.7,197.166075,13,1,0
23.85,960.739744,13,1,0
24.0,258.045423,13,0,2
24.15,241.363286,13,1,1
24.3,1018.260549,13,0,0
24.45,243.415536,13,1,1
24.6,244.214651,13,1,1
24.75,954.706512,13,0,0
24.9,227.370602,13,0,0
25.05,224.254181,13,1,0
25.2,1074.955035,13,0,0
25.35,234.516948,13,0,0
25.5,238.673959,13,0,0
25.65,251.026569,13,1,1
25.8,246.328882,13,2,1
25.95,294.712932,13,0,2
26.1,288.693124,13,0,1
26.25,284.307651,13,0,0
26.4,302.822631,13,0,0
26.55,342.165759,13,0,1
26.7,314.66701,13,1,0
26.85,345.096492,13,0,1
27.0,411.811361,13,0,1
27.15,308.778724,13,1,0
27.3,318.67312,13,1,1
27.45,324.698632,13,0,1
27.6,293.224357,13,1,0
27.75,331.263111,13,0,1
27.9,317.574412,13,0,0
28.05,328.679886,13,0,0
