tick,energy,job_queue_len,stop_and_go,turning
0.15,0.0,2,0,0
0.3,26.096857,1,0,1
0.45,85.914862,0,0,1
0.6,26.096857,0,0,1
0.75,0.0,0,0,0
0.9,0.0,0,0,0
1.05,0.0,0,0,0
1.2,0.0,2,0,0
1.35,26.096857,1,0,1
1.5,26.096857,0,0,1
1.65,26.096857,0,0,1
1.8,0.0,0,0,0
1.95,0.0,0,0,0
2.1,1.16775,0,0,0
2.25,1.94625,2,0,0
2.4,5.06025,1,0,0
2.55,33.492607,0,0,1
2.7,35.828107,0,0,1
2.85,12.06675,0,0,0
3.0,14.40225,0,0,0
3.15,17.127,0,0,0
3.3,20.63025,2,0,0
3.45,51.008857,1,0,1
3.6,54.122857,0,0,1
3.75,32.697,0,0,0
3.9,35.0325,0,0,0
4.05,38.925,0,0,0
4.2,42.8175,2,0,0
4.35,129.510862,1,1,1
4.5,98.514463,0,0,2
4.65,72.417607,0,0,1
4.8,47.09925,0,0,0
4.95,46.32075,0,0,0
5.1,38.53575,0,2,0
5.25,86.058463,2,1,2
5.4,85.669213,1,0,2
5.55,35.42175,0,0,0
5.7,56.069107,0,2,1
5.85,80.219713,0,1,2
6.0,54.901357,0,0,1
6.15,26.07975,2,1,0
6.3,787.181287,1,0,1
6.45,56.458357,1,0,1
6.6,33.4755,1,0,0
6.75,30.75075,1,1,0
6.9,53.344357,1,1,1
7.05,54.901357,1,0,1
7.2,31.9185,4,0,0
7.35,35.0325,4,0,0
7.5,32.30775,4,2,0
7.65,85.669213,4,2,2
7.8,767.436827,4,0,1
7.95,45.54225,4,0,0
8.1,78.256357,4,0,1
8.25,56.052,7,1,0
8.4,83.316607,7,1,1
8.55,85.652107,7,0,1
8.7,63.0585,7,0,0
8.85,63.837,7,1,0
9.0,84.484357,7,2,1
9.15,902.941157,10,0,1
9.3,58.3875,10,0,0
9.45,57.99825,10,1,0
9.6,88.657685,10,1,1
9.75,94.553904,10,0,1
9.9,79.89083,10,0,0
10.05,85.197008,10,1,0
10.2,120.492543,13,0,1
10.35,100.812146,13,0,0
10.5,101.721636,13,0,0
10.65,101.721636,13,0,0
10.8,93.748177,13,2,0
10.95,867.232949,13,1,1
11.1,115.841449,13,0,1
11.25,76.382761,13,1,0
11.4,105.730478,13,1,1
11.55,108.981338,13,1,1
11.7,102.753338,13,2,1
11.85,1450.215461,13,0,0
12.0,73.794871,13,0,0
12.15,67.566871,13,2,0
12.3,797.794327,13,1,1
12.45,75.142357,13,1,1
12.6,852.5628,13,0,0
12.75,53.550866,13,0,0
12.9,62.674022,13,0,0
13.05,70.795319,13,0,0
13.2,77.447679,13,2,0
13.35,1637.542295,13,0,0
13.5,96.513113,13,0,0
13.65,211.216682,13,0,2
13.8,104.511142,13,1,0
13.95,133.189426,13,2,1
14.1,843.995274,13,2,1
14.25,834.270962,13,0,1
14.4,135.489704,13,0,0
14.55,147.911777,13,0,0
14.7,153.138891,13,1,0
14.85,878.894975,13,1,0
15.0,850.75209,13,0,0
15.15,275.905859,13,0,2
15.3,160.258678,13,0,0
15.45,153.342683,13,1,0
15.6,138.948259,13,2,1
15.75,96.074825,13,1,0
15.9,129.490208,13,0,1
16.05,106.540975,13,1,0
16.2,145.121134,13,0,1
16.35,127.881186,13,0,0
16.5,140.364488,13,0,0
16.65,154.683022,13,0,0
16.8,148.980463,13,1,0
16.95,196.093561,13,0,1
17.1,195.003106,13,0,0
17.25,194.286298,13,2,0
17.4,229.360096,13,1,1
17.55,241.422448,13,0,1
17.7,224.669222,13,0,0
17.85,217.569423,13,1,0
18.0,213.618064,13,1,0
18.15,230.483235,13,1,1
18.3,202.060896,13,3,1
18.45,270.614413,13,0,3
18.6,203.255019,13,1,0
18.75,219.099674,13,0,0
18.9,226.239173,13,0,0
19.05,238.186532,13,0,0
19.2,254.971587,13,0,0
19.35,262.92314,13,0,0
19.5,270.832147,13,0,0
19.65,278.878015,13,1,0
19.8,294.523594,13,2,1
19.95,333.988763,13,0,2
20.1,290.94951,13,0,0
20.25,312.885168,13,0,0
20.4,340.901043,13,0,0
20.55,353.500132,13,0,0
20.7,358.757397,13,0,0
20.85,362.563561,13,0,0
21.0,359.426739,13,1,0
21.15,395.658062,13,1,1
21.3,1269.904219,13,0,0
21.45,375.893501,13,1,0
21.6,1055.177119,13,2,0
21.75,398.865189,13,0,2
21.9,341.099121,13,0,0
22.05,323.079006,13,1,0
22.2,343.202035,13,0,1
22.35,301.676157,13,1,0
22.5,249.326645,13,3,0
22.65,279.238633,13,1,2
22.8,228.697395,13,0,0
22.95,239.319518,13,0,0
23.1,253.834522,13,0,0
23.25,262.077654,13,0,0
23.4,348.602813,13,0,1
23.55,262.563453,13,0,0
23.7,262.730776,13,1,0
23.85,292.915638,13,0,1
24.0,230.418702,13,2,0
24.15,270.217734,13,0,1
24.3,239.077467,13,1,0
24.45,235.104454,13,1,0
24.6,285.815336,13,0,1
24.75,278.168237,13,0,0
24.9,286.206872,13,0,0
25.05,260.506142,13,1,0
25.2,262.909349,13,1,0
25.35,295.708475,13,0,1
25.5,261.555451,13,0,0
25.65,272.914093,13,0,0
25.8,264.789547,13,2,0
25.95,1021.043105,13,1,1
26.1,281.777934,13,0,1
26.25,263.302748,13,0,0
26.4,261.244904,13,1,0
26.55,294.552609,13,0,1
26.7,281.016694,13,0,0
26.85,276.259868,13,1,0
27.0,316.102341,13,1,1
27.15,273.668063,13,1,0
27.3,284.511712,13,0,0
27.45,274.045071,13,1,0
27.6,300.37979,13,0,1
27.75,305.7374,13,1,1
27.9,314.00646,13,0,1
28.05,282.182046,13,1,0
