order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time
-88,0,1,106,picker-3,105
-38,0,1,120,picker-2,119
-43,0,1,120,picker-2,119
-34,0,1,225,picker-1,224
-48,0,1,313,picker-2,312
-92,0,1,335,picker-3,334
-54,0,1,347,picker-1,346
-67,0,1,347,picker-1,346
-9,0,121,381,picker-2,260
-79,0,121,381,picker-2,260
-46,0,1,414,picker-1,413
-98,0,1,422,picker-3,421
3,60,107,422,picker-3,315
-23,0,1,439,picker-1,438
-73,0,1,443,picker-2,442
-58,0,1,463,picker-2,462
-82,0,226,495,picker-1,269
-53,0,1,500,picker-2,499
12,300,314,513,picker-2,199
-80,0,1,549,picker-3,548
-59,0,382,560,picker-2,178
-86,0,1,566,picker-3,565
-68,0,1,566,picker-3,565
-36,0,415,578,picker-1,163
-12,0,336,585,picker-3,249
-33,0,423,585,picker-3,162
-26,0,1,592,picker-1,591
-30,0,348,592,picker-1,244
-27,0,444,598,picker-2,154
-57,0,1,606,picker-1,605
-4,0,348,606,picker-1,258
-21,0,1,610,picker-2,609
7,120,382,610,picker-2,228
-20,0,1,614,picker-1,613
-22,0,464,625,picker-2,161
-49,0,1,629,picker-2,628
-19,0,1,649,picker-3,648
8,240,423,661,picker-3,238
-52,0,514,670,picker-2,156
5,120,496,674,picker-1,178
-69,0,501,686,picker-2,185
26,540,561,699,picker-2,138
-7,0,550,720,picker-3,170
-95,0,567,737,picker-3,170
-94,0,1,740,picker-3,739
-1,0,586,754,picker-3,168
-72,0,579,758,picker-1,179
-61,0,593,776,picker-1,183
13,300,593,800,picker-1,207
-93,0,567,811,picker-3,244
24,480,615,814,picker-1,199
25,540,650,854,picker-3,204
-96,0,586,864,picker-3,278
-64,0,662,873,picker-3,211
-56,0,721,899,picker-3,178
-83,0,440,916,picker-1,476
-70,0,607,952,picker-1,345
2,60,675,962,picker-1,287
-63,0,599,976,picker-2,377
27,600,759,984,picker-1,225
-47,0,626,1005,picker-2,379
29,780,812,1023,picker-3,211
30,780,801,1073,picker-1,272
-5,0,755,1097,picker-3,342
-76,0,815,1112,picker-1,297
-15,0,865,1114,picker-3,249
-87,0,700,1126,picker-2,426
-11,0,855,1130,picker-3,275
33,900,900,1130,picker-3,230
-62,0,917,1142,picker-1,225
-44,0,953,1152,picker-1,199
4,120,607,1195,picker-1,588
0,60,777,1208,picker-1,431
-91,0,671,1208,picker-2,537
-8,0,1006,1208,picker-2,202
35,960,963,1220,picker-1,257
-65,0,611,1222,picker-2,611
28,720,977,1222,picker-2,245
-16,0,630,1237,picker-2,607
-90,0,687,1257,picker-2,570
36,960,1024,1258,picker-3,234
-81,0,611,1264,picker-2,653
40,1080,1113,1275,picker-1,162
-25,0,1074,1320,picker-1,246
17,360,1143,1380,picker-1,237
-55,0,1153,1380,picker-1,227
48,1320,1321,1525,picker-1,204
34,960,1196,1543,picker-1,347
-78,0,985,1552,picker-1,567
-85,0,1131,1605,picker-3,474
43,1200,1381,1613,picker-1,232
41,1140,1221,1621,picker-1,400
-18,0,741,1674,picker-3,933
-31,0,1223,1711,picker-2,488
32,900,1258,1771,picker-2,513
-41,0,1115,1786,picker-3,671
51,1440,1606,1802,picker-3,196
49,1380,1553,1802,picker-1,249
-40,0,738,1809,picker-3,1071
10,240,1259,1828,picker-3,569
31,840,1265,1829,picker-2,564
-50,0,1381,1829,picker-1,448
63,1620,1675,1885,picker-3,210
15,360,1131,1892,picker-3,761
-3,0,1098,1899,picker-3,801
