order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time
-7,0,1,153,picker-2,152
-34,0,1,157,picker-3,156
-92,0,1,187,picker-2,186
-54,0,1,228,picker-3,227
-31,0,1,350,picker-2,349
-78,0,1,377,picker-2,376
-67,0,1,380,picker-3,379
-1,0,1,437,picker-1,436
-14,0,1,440,picker-2,439
-9,0,154,450,picker-2,296
7,120,188,478,picker-2,290
-76,0,1,486,picker-2,485
-43,0,158,486,picker-3,328
-94,0,1,514,picker-2,513
3,60,229,526,picker-3,297
-86,0,1,550,picker-2,549
-93,0,1,560,picker-3,559
-4,0,378,626,picker-2,248
-69,0,351,644,picker-2,293
-66,0,1,651,picker-3,650
-79,0,381,667,picker-3,286
-38,0,438,668,picker-1,230
12,300,441,673,picker-2,232
-33,0,479,680,picker-2,201
-95,0,451,709,picker-2,258
-36,0,487,729,picker-2,242
-20,0,1,736,picker-3,735
-12,0,527,744,picker-3,217
-30,0,515,762,picker-2,247
-35,0,1,775,picker-1,774
-65,0,1,786,picker-3,785
-52,0,561,795,picker-3,234
18,360,488,817,picker-3,329
-24,0,1,824,picker-1,823
-58,0,627,839,picker-2,212
-8,0,674,867,picker-2,193
27,600,652,884,picker-3,232
-77,0,551,895,picker-2,344
-21,0,1,896,picker-3,895
-27,0,668,896,picker-3,228
28,720,730,906,picker-2,176
0,60,645,928,picker-2,283
-70,0,1,931,picker-1,930
-100,0,669,931,picker-1,262
-59,0,737,932,picker-3,195
-40,0,1,959,picker-1,958
-19,0,1,965,picker-1,964
5,120,776,975,picker-1,199
-61,0,745,1005,picker-3,260
-28,0,1,1015,picker-1,1014
-48,0,787,1020,picker-3,233
-5,0,825,1042,picker-1,217
-87,0,763,1056,picker-2,293
-49,0,1,1068,picker-1,1067
-98,0,932,1091,picker-1,159
-75,0,681,1094,picker-2,413
-72,0,896,1094,picker-2,198
33,900,907,1108,picker-2,201
17,360,840,1118,picker-2,278
-25,0,710,1163,picker-2,453
-57,0,929,1173,picker-2,244
8,240,868,1196,picker-2,328
26,540,976,1198,picker-1,222
35,960,960,1205,picker-1,245
-22,0,966,1227,picker-1,261
30,780,1057,1248,picker-2,191
-83,0,932,1261,picker-1,329
36,960,1021,1284,picker-3,263
29,780,1006,1284,picker-3,278
-96,0,1095,1324,picker-2,229
-73,0,1095,1347,picker-2,252
-85,0,818,1366,picker-3,548
2,60,1109,1376,picker-2,267
-91,0,933,1419,picker-3,486
-53,0,897,1464,picker-3,567
-29,0,796,1474,picker-3,678
41,1140,1206,1481,picker-1,275
24,480,1285,1492,picker-3,207
-44,0,1199,1498,picker-1,299
34,960,1119,1507,picker-2,388
-47,0,885,1528,picker-3,643
-56,0,1197,1574,picker-2,377
48,1320,1367,1615,picker-3,248
-90,0,897,1625,picker-3,728
-88,0,1420,1625,picker-3,205
6,120,1249,1697,picker-2,448
43,1200,1508,1711,picker-2,203
-3,0,1325,1722,picker-2,397
25,540,1475,1723,picker-3,248
-64,0,1493,1755,picker-3,262
-16,0,1348,1756,picker-2,408
-26,0,1016,1761,picker-1,745
51,1440,1482,1779,picker-1,297
13,300,1575,1808,picker-2,233
-15,0,1164,1814,picker-2,650
-32,0,1174,1820,picker-2,646
37,960,1262,1841,picker-1,579
-68,0,1092,1862,picker-1,770
-99,0,1499,1874,picker-1,375
-62,0,1043,1883,picker-1,840
58,1500,1529,1892,picker-3,363
63,1620,1626,1892,picker-3,266
-81,0,1285,1900,picker-3,615
49,1380,1616,1917,picker-3,301
-46,0,1377,1921,picker-2,544
-63,0,1465,1923,picker-3,458
40,1080,1724,1946,picker-3,222
-97,0,1228,1948,picker-1,720
-55,0,1626,1960,picker-3,334
-82,0,1762,1982,picker-1,220
47,1260,1756,1998,picker-3,242
62,1620,1842,2036,picker-1,194
61,1560,1757,2182,picker-2,425
-80,0,1780,2195,picker-1,415
70,1920,1922,2261,picker-2,339
16,360,1712,2271,picker-2,559
-17,0,1983,2317,picker-1,334
64,1680,1698,2347,picker-2,649
56,1500,1809,2387,picker-2,578
67,1740,1949,2433,picker-1,484
71,1980,1999,2440,picker-3,441
32,900,1884,2474,picker-1,590
74,2040,2262,2475,picker-2,213
-23,0,1069,2522,picker-1,1453
-18,0,1863,2522,picker-1,659
-71,0,1875,2525,picker-1,650
-37,0,2037,2539,picker-1,502
52,1500,1893,2548,picker-3,655
9,240,2196,2565,picker-1,369
78,2220,2388,2587,picker-2,199
42,1200,1815,2645,picker-2,830
76,2160,2272,2651,picker-2,379
68,1800,2318,2682,picker-1,364
-41,0,1821,2682,picker-2,861
77,2160,2434,2690,picker-1,256
87,2460,2523,2754,picker-1,231
54,1500,1723,2789,picker-2,1066
90,2520,2588,2789,picker-2,201
88,2520,2549,2818,picker-3,269
95,2640,2646,2845,picker-2,199
85,2460,2476,2938,picker-2,462
55,1500,1893,2948,picker-3,1055
46,1260,1901,2994,picker-3,1093
94,2640,2652,3066,picker-2,414
69,1800,2790,3083,picker-2,293
38,1020,2183,3093,picker-2,910
79,2280,2348,3126,picker-2,778
-42,0,1961,3160,picker-3,1199
23,480,2475,3168,picker-1,693
59,1560,2684,3192,picker-2,508
50,1380,2949,3201,picker-3,252
