pod_id,item_id,qty,order_id,processed_time,task_type,trigger
113,3,11,-94,73,1,
113,95,5,-76,73,1,
113,306,10,-14,73,1,
192,46,9,-65,84,1,
192,493,5,-34,84,1,
192,493,8,-20,84,1,
192,-1,-1,-999,84,2,global
244,28,4,-70,91,1,
244,28,5,-40,91,1,
244,28,3,-19,91,1,
244,80,6,-35,91,1,
244,217,10,-35,91,1,
244,654,12,-19,91,1,
244,-1,-1,-999,91,2,global
172,1170,11,-14,94,1,
172,-1,-1,-999,94,2,global
222,265,9,-14,114,1,
222,47,4,-7,114,1,
289,8,2,-66,126,1,
289,8,3,-34,126,1,
289,8,10,-67,126,1,
289,8,10,-65,126,1,
289,948,4,-66,126,1,
289,132,4,-65,126,1,
263,396,10,-14,130,1,
38,1,10,-49,134,1,
38,88,8,-40,134,1,
38,185,9,-28,134,1,
38,34,7,-28,134,1,
35,755,6,-94,153,1,
35,184,9,-7,153,1,
35,-1,-1,-999,153,2,global
157,5,10,-67,157,1,
157,840,2,-66,157,1,
157,27,4,-20,157,1,
157,27,6,-34,157,1,
320,84,6,-40,163,1,
320,136,6,-28,163,1,
320,54,8,-19,163,1,
67,1071,12,-94,171,1,
67,-1,-1,-999,171,2,global
288,403,10,-92,187,1,
153,200,8,-35,190,1,
153,99,11,-19,190,1,
367,141,6,-93,203,1,
367,181,1,-21,203,1,
367,1349,12,-21,203,1,
367,230,11,-20,203,1,
367,14,5,-20,203,1,
146,4,1,-24,224,1,
146,4,7,-49,224,1,
146,253,8,-49,224,1,
146,97,9,-19,224,1,
233,103,2,-54,228,1,
233,103,4,-67,228,1,
233,390,6,-66,228,1,
233,269,5,-65,228,1,
69,782,10,-14,252,1,
268,170,2,-49,263,1,
268,675,9,-35,263,1,
268,81,9,-35,263,1,
268,335,7,-24,263,1,
268,28,2,-19,263,1,
17,17,8,-93,273,1,
17,17,11,-66,273,1,
17,118,8,-66,273,1,
17,57,6,-65,273,1,
17,181,1,-21,273,1,
195,102,6,-40,289,1,
195,74,2,-19,289,1,
195,74,4,-35,289,1,
195,496,6,-19,289,1,
195,-1,-1,-999,289,2,global
231,644,8,-94,290,1,
94,153,4,-66,296,1,
94,243,5,-65,296,1,
94,92,7,-20,296,1,
22,58,8,-49,314,1,
22,119,1,-49,314,1,
22,524,8,-19,314,1,
139,372,6,-66,320,1,
139,822,10,-20,320,1,
139,-1,-1,-999,320,2,global
298,51,2,-19,337,1,
298,51,8,-24,337,1,
298,51,2,-1,337,1,
298,337,4,-49,337,1,
57,770,9,-65,341,1,
57,89,5,-65,341,1,
355,999,7,-31,350,1,
355,-1,-1,-999,350,2,global
87,63,9,-40,357,1,
87,361,4,-28,357,1,
330,181,1,-21,361,1,
330,55,12,-20,361,1,
370,114,7,-94,365,1,
210,127,7,-35,376,1,
210,76,3,-35,376,1,
210,385,2,-28,376,1,
277,682,6,-78,377,1,
256,332,7,-67,380,1,
256,48,6,-67,380,1,
196,318,6,-94,399,1,
106,39,5,-20,404,1,
106,245,7,-20,404,1,
98,448,10,-66,429,1,
257,395,3,-94,432,1,
299,51,8,-1,437,1,
299,51,4,-49,437,1,
358,140,3,-14,440,1,
0,56,5,-9,450,1,
348,225,3,-49,466,1,
348,992,8,-40,466,1,
1,15,8,7,478,1,
65,61,10,-40,482,1,
128,95,1,-76,486,1,
136,372,6,-21,486,1,
136,26,12,-43,486,1,
166,203,3,-49,497,1,
166,6,6,-19,497,1,
200,210,10,-66,509,1,
261,333,1,-40,513,1,
261,669,8,-28,513,1,
261,-1,-1,-999,513,2,global
36,755,1,-94,514,1,
104,39,3,-20,526,1,
104,2,8,3,526,1,
369,113,2,-28,529,1,
369,142,8,-28,529,1,
281,50,2,-40,544,1,
281,106,7,-19,544,1,
21,235,2,-66,546,1,
21,57,1,-65,546,1,
21,181,1,-21,546,1,
21,433,4,-20,546,1,
25,87,1,-86,550,1,
37,88,7,-93,560,1,
37,34,1,-93,560,1,
2,85,4,-69,563,1,
18,432,8,-28,572,1,
310,177,10,-66,576,1,
3,1019,8,-28,586,1,
306,176,8,-65,590,1,
61,190,6,-21,626,1,
5,32,8,-4,626,1,
148,69,8,-70,626,1,
4,85,4,-69,635,1,
190,862,6,-20,640,1,
197,627,4,-69,644,1,
269,676,8,-49,646,1,
236,649,6,-66,651,1,
6,181,1,-21,667,1,
6,0,9,-79,667,1,
137,41,7,-35,668,1,
137,26,7,-38,668,1,
7,0,8,12,673,1,
167,258,4,-65,680,1,
32,58,2,-33,680,1,
300,51,8,-49,690,1,
33,59,4,-95,709,1,
343,138,4,-40,713,1,
343,138,4,-35,713,1,
335,281,8,-19,729,1,
29,120,10,-36,729,1,
86,552,2,-20,736,1,
22,181,1,-21,744,1,
22,86,2,-12,744,1,
99,22,3,-77,746,1,
350,994,8,-24,761,1,
54,1,8,-30,762,1,
54,538,2,-30,762,1,
168,125,3,-52,765,1,
356,227,8,-35,775,1,
348,13,1,-65,786,1,
348,181,1,-21,786,1,
194,74,6,-28,786,1,
166,125,4,-52,795,1,
365,229,3,-40,799,1,
365,141,4,-19,799,1,
0,181,1,-21,801,1,
10,145,6,-40,810,1,
128,67,6,-58,812,1,
310,412,10,18,817,1,
1,181,1,-21,823,1,
223,322,6,-24,824,1,
58,540,5,-58,839,1,
58,1,12,-58,839,1,
171,204,4,0,848,1,
109,24,6,-28,856,1,
170,157,12,-8,867,1,
85,193,9,27,884,1,
129,25,6,0,885,1,
188,101,4,-100,894,1,
5,294,4,-77,895,1,
349,181,1,-21,896,1,
349,31,2,-27,896,1,
110,24,6,-28,906,1,
2,15,6,28,906,1,
132,250,4,-25,922,1,
132,40,6,-25,922,1,
172,204,1,0,928,1,
224,129,5,-70,931,1,
224,77,4,-100,931,1,
347,286,12,-59,932,1,
261,669,3,-28,938,1,
138,585,6,-61,944,1,
173,609,4,-87,949,1,
173,157,10,-87,949,1,
6,85,4,-61,953,1,
66,61,2,-40,959,1,
180,73,5,-25,959,1,
3,85,4,-61,962,1,
96,93,2,-19,965,1,
105,39,4,5,975,1,
139,585,2,-61,1005,1,
139,4,6,-48,1005,1,
195,74,2,-28,1015,1,
345,12,4,-48,1020,1,
345,111,5,-29,1020,1,
64,37,4,-87,1021,1,
64,447,5,-87,1021,1,
90,1093,2,-49,1026,1,
137,68,8,-29,1034,1,
65,150,10,-5,1042,1,
230,7,8,-87,1045,1,
230,268,10,17,1045,1,
307,176,8,-85,1049,1,
367,1007,7,-87,1056,1,
75,38,10,-85,1065,1,
276,936,1,-49,1068,1,
131,4,9,17,1069,1,
364,113,9,-72,1082,1,
87,241,8,-98,1091,1,
170,1168,1,-75,1094,1,
170,100,7,-72,1094,1,
67,37,12,-90,1105,1,
67,1,10,-53,1105,1,
0,56,8,33,1108,1,
177,45,5,17,1118,1,
70,191,8,-47,1119,1,
359,14,9,-57,1133,1,
132,123,11,-53,1147,1,
132,4,8,-53,1147,1,
128,25,1,35,1155,1,
39,19,2,-25,1163,1,
29,1,6,35,1167,1,
13,346,4,-57,1173,1,
185,7,1,-47,1181,1,
185,7,6,-53,1181,1,
185,46,6,-53,1181,1,
185,857,8,-53,1181,1,
185,125,4,-91,1181,1,
185,-1,-1,-999,1181,2,global
274,105,8,-22,1184,1,
228,324,1,8,1196,1,
269,275,8,26,1198,1,
181,7,2,35,1205,1,
334,55,12,-90,1216,1,
334,29,6,-53,1216,1,
334,136,8,-91,1216,1,
27,148,4,-26,1221,1,
27,33,6,-26,1221,1,
275,105,1,-22,1227,1,
19,0,6,-90,1237,1,
19,146,3,-53,1237,1,
19,119,5,-53,1237,1,
179,160,8,-26,1241,1,
225,77,5,30,1248,1,
66,1,5,-91,1257,1,
66,302,8,-91,1257,1,
105,368,12,-83,1261,1,
105,39,1,-26,1261,1,
129,96,6,-26,1283,1,
129,40,9,-62,1283,1,
337,30,5,-53,1284,1,
337,84,6,36,1284,1,
337,84,8,29,1284,1,
204,28,8,-73,1289,1,
204,75,12,-73,1289,1,
285,689,4,-29,1303,1,
285,172,8,-90,1303,1,
130,67,11,-73,1305,1,
102,38,11,-23,1319,1,
102,94,8,-68,1319,1,
102,196,4,-68,1319,1,
102,2,3,-68,1319,1,
206,164,10,-91,1319,1,
11,117,7,-73,1324,1,
11,117,7,-96,1324,1,
196,627,3,-85,1332,1,
196,125,4,-91,1332,1,
203,47,10,2,1338,1,
230,78,7,-91,1345,1,
224,129,6,-73,1347,1,
153,836,4,-29,1356,1,
153,5,2,-47,1356,1,
43,1,2,34,1364,1,
43,762,3,34,1364,1,
43,59,5,34,1364,1,
202,211,5,-85,1366,1,
40,148,2,-26,1367,1,
40,19,8,-68,1367,1,
40,1,12,-68,1367,1,
40,88,2,-68,1367,1,
135,818,7,2,1376,1,
277,221,2,-26,1388,1,
277,49,9,-62,1388,1,
277,171,5,-68,1388,1,
44,35,10,-15,1393,1,
253,272,7,-23,1413,1,
253,217,3,-68,1413,1,
253,331,9,-68,1413,1,
86,360,10,-32,1414,1,
353,111,1,-29,1419,1,
353,226,4,-91,1419,1,
47,60,2,-32,1431,1,
47,19,10,-32,1431,1,
274,934,7,-53,1432,1,
112,39,3,-26,1442,1,
112,457,8,-68,1442,1,
112,2,11,41,1442,1,
256,664,3,-53,1464,1,
132,580,6,-26,1465,1,
132,40,12,-68,1465,1,
10,519,4,-29,1474,1,
147,200,6,-68,1481,1,
147,4,5,41,1481,1,
207,506,10,24,1492,1,
238,79,9,6,1496,1,
278,49,4,-97,1498,1,
278,49,6,-44,1498,1,
167,72,8,-81,1506,1,
323,10,5,34,1507,1,
323,969,3,-56,1507,1,
159,374,6,37,1519,1,
159,5,8,37,1519,1,
162,44,2,-47,1528,1,
162,5,12,-81,1528,1,
21,1034,9,-68,1534,1,
272,171,4,-81,1537,1,
336,137,6,-32,1538,1,
336,29,8,6,1538,1,
336,224,10,6,1538,1,
190,162,4,6,1550,1,
190,264,4,-3,1550,1,
184,489,7,-81,1556,1,
235,168,8,-3,1561,1,
25,87,3,-68,1562,1,
25,0,9,37,1562,1,
25,33,8,37,1562,1,
286,50,4,-81,1566,1,
11,520,7,-32,1574,1,
11,117,2,-56,1574,1,
143,154,2,37,1580,1,
143,826,9,37,1580,1,
273,678,4,6,1586,1,
273,104,4,-16,1586,1,
261,218,9,37,1595,1,
318,221,6,-46,1607,1,
318,178,9,-46,1607,1,
303,954,3,-81,1615,1,
303,8,8,48,1615,1,
94,153,5,37,1619,1,
94,243,4,37,1619,1,
82,38,2,6,1623,1,
82,63,10,-46,1623,1,
154,837,1,-90,1625,1,
154,124,4,-88,1625,1,
360,14,8,-46,1635,1,
203,1201,8,-23,1637,1,
203,-1,-1,-999,1637,2,global
301,279,5,-26,1650,1,
301,705,4,-97,1650,1,
204,630,3,-81,1650,1,
370,114,8,-68,1662,1,
287,336,7,-63,1663,1,
128,3,8,37,1673,1,
158,156,11,-63,1680,1,
22,86,7,6,1684,1,
197,498,6,-68,1688,1,
197,74,3,-99,1688,1,
86,360,8,6,1697,1,
296,108,7,25,1699,1,
247,328,8,37,1706,1,
155,124,6,58,1710,1,
314,53,10,43,1711,1,
254,662,2,-3,1722,1,
254,104,4,-16,1722,1,
297,108,3,25,1723,1,
297,108,4,-64,1723,1,
26,147,12,-99,1734,1,
26,58,10,-99,1734,1,
47,60,3,-63,1742,1,
93,65,4,-32,1748,1,
298,108,6,-64,1755,1,
256,104,3,-16,1756,1,
61,36,3,-26,1761,1,
61,190,4,37,1761,1,
148,69,6,13,1766,1,
78,192,7,-99,1772,1,
358,228,6,13,1776,1,
257,274,4,51,1779,1,
367,230,3,-81,1782,1,
277,49,4,37,1792,1,
21,235,5,13,1808,1,
54,36,8,49,1812,1,
54,121,8,49,1812,1,
184,161,3,-15,1814,1,
136,97,3,-32,1820,1,
305,9,4,37,1833,1,
53,537,4,37,1841,1,
0,115,11,49,1843,1,
70,151,4,-97,1849,1,
326,1674,4,-68,1862,1,
222,215,4,-99,1874,1,
173,260,10,-55,1874,1,
95,154,8,64,1876,1,
348,31,4,-62,1883,1,
154,124,1,58,1892,1,
154,5,8,63,1892,1,
25,147,3,-81,1900,1,
33,33,10,54,1909,1,
33,59,8,54,1909,1,
228,103,4,-23,1910,1,
195,102,11,49,1917,1,
301,1286,8,-46,1921,1,
318,110,1,-63,1923,1,
3,15,6,47,1934,1,
161,124,3,64,1936,1,
161,597,8,16,1936,1,
170,157,6,40,1946,1,
38,534,2,-97,1948,1,
137,97,4,16,1952,1,
137,97,8,54,1952,1,
155,838,8,-55,1960,1,
131,4,9,61,1965,1,
275,680,8,-80,1975,1,
196,867,4,64,1980,1,
196,7,4,16,1980,1,
196,28,3,54,1980,1,
325,417,4,-82,1982,1,
299,338,8,16,1992,1,
321,54,8,-80,1994,1,
284,400,2,47,1998,1,
306,52,7,-80,2004,1,
113,39,5,54,2013,1,
113,3,11,42,2013,1,
198,499,10,62,2019,1,
128,25,11,56,2029,1,
66,20,1,-80,2036,1,
66,61,8,62,2036,1,
34,59,6,61,2048,1,
34,18,8,-41,2048,1,
162,44,10,55,2049,1,
63,190,10,-18,2059,1,
63,150,6,-18,2059,1,
63,1,2,-18,2059,1,
336,84,7,64,2065,1,
336,137,6,-41,2065,1,
319,110,12,52,2078,1,
319,53,10,52,2078,1,
85,1442,2,56,2082,1,
85,92,10,-41,2082,1,
347,421,10,-18,2083,1,
347,139,8,-71,2083,1,
129,3,10,52,2101,1,
129,249,8,52,2101,1,
247,1237,8,-71,2103,1,
247,81,7,32,2103,1,
231,78,9,52,2114,1,
300,108,7,-18,2123,1,
300,704,8,-18,2123,1,
153,99,4,-41,2134,1,
153,27,11,70,2134,1,
124,66,12,-41,2151,1,
75,38,6,46,2159,1,
75,152,7,15,2159,1,
75,1,12,15,2159,1,
75,62,9,15,2159,1,
