tick,energy,job_queue_len,stop_and_go,turning
0.15,0.0,2,0,0
0.3,1.16775,1,0,0
0.45,28.043107,0,0,1
0.6,28.821607,0,0,1
0.75,3.50325,0,0,0
0.9,4.28175,0,0,0
1.05,4.28175,0,0,0
1.2,3.50325,2,0,0
1.35,29.600107,1,0,1
1.5,29.600107,0,0,1
1.65,85.914862,0,1,1
1.8,26.096857,0,0,1
1.95,0.0,0,0,0
2.1,0.0,0,0,0
2.25,1.16775,2,0,0
2.4,89.028862,1,0,1
2.55,30.767857,0,0,1
2.7,92.142862,0,0,1
2.85,7.785,0,0,0
3.0,9.342,0,0,0
3.15,12.06675,0,0,0
3.3,15.57,2,0,0
3.45,19.85175,1,0,0
3.6,51.008857,0,0,1
3.75,54.122857,0,0,1
3.9,30.3615,0,0,0
4.05,33.4755,0,0,0
4.2,36.5895,2,0,0
4.35,64.632607,1,0,1
4.5,65.411107,0,0,1
4.65,126.786112,0,0,1
4.8,41.64975,0,0,0
4.95,38.53575,0,1,0
5.1,64.632607,0,0,1
5.25,36.5895,2,1,0
5.4,66.578857,1,0,1
5.55,127.175362,0,1,1
5.7,96.957463,0,0,2
5.85,47.09925,0,0,0
6.0,51.381,0,0,0
6.15,53.32725,2,0,0
6.3,52.1595,1,1,0
6.45,108.245713,1,0,2
6.6,58.3875,1,0,0
6.75,51.381,1,2,0
6.9,105.520963,1,0,2
7.05,50.6025,1,1,0
7.2,77.867107,4,0,1
7.35,49.824,4,1,0
7.5,74.753107,4,1,1
7.65,73.585357,4,1,1
7.8,70.860607,4,1,1
7.95,69.303607,4,1,1
8.1,69.303607,4,0,1
8.25,41.2605,7,1,0
8.4,66.968107,7,1,1
8.55,66.578857,7,1,1
8.7,933.84956,7,0,0
8.85,42.039,7,1,0
9.0,70.860607,7,0,1
9.15,46.71,10,1,0
9.3,75.142357,10,1,1
9.45,72.806857,10,1,1
9.6,50.99175,10,0,0
9.75,53.7165,10,0,0
9.9,55.2735,10,1,0
10.05,85.262857,10,0,1
10.2,59.166,13,1,0
10.35,75.142357,13,3,1
10.5,859.775636,13,0,1
10.65,68.784582,13,0,0
10.8,77.380864,13,0,0
10.95,82.084647,13,1,0
11.1,115.220786,13,0,1
11.25,87.566929,13,1,0
11.4,110.127753,13,0,1
11.55,87.923397,13,0,0
11.7,88.701897,13,0,0
11.85,64.6155,13,2,0
12.0,117.976963,13,0,2
12.15,66.951,13,0,0
12.3,73.505635,13,1,0
12.45,105.010249,13,0,1
12.6,74.979149,13,2,0
12.75,1743.394426,13,0,0
12.9,74.506413,13,2,0
