order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time,oct
-16,0,1,58,picker-2,57,58
-24,0,1,71,picker-2,70,71
-42,0,1,112,picker-2,111,112
-68,0,1,129,picker-3,128,129
-72,0,1,147,picker-3,146,147
-43,0,1,147,picker-3,146,147
-100,0,1,168,picker-2,167,168
-13,0,2,173,picker-3,171,173
-9,0,1,196,picker-3,195,196
-93,0,1,203,picker-2,202,203
-92,0,1,225,picker-3,224,225
-63,0,72,295,picker-2,223,295
-82,0,1,301,picker-2,300,301
-96,0,113,306,picker-2,193,306
0,60,148,327,picker-3,179,267
-53,0,130,332,picker-3,202,332
-12,0,148,344,picker-3,196,344
-27,0,169,408,picker-2,239,408
-85,0,204,425,picker-2,221,425
-89,0,59,497,picker-2,438,497
-86,0,296,511,picker-2,215,511
-48,0,226,537,picker-3,311,537
-84,0,328,561,picker-3,233,561
-1,0,307,586,picker-2,279,586
-87,0,197,609,picker-3,412,609
-47,0,333,628,picker-3,295,628
-66,0,345,685,picker-3,340,685
-6,0,426,691,picker-2,265,691
1,60,302,695,picker-2,393,635
-38,0,174,697,picker-3,523,697
-64,0,409,700,picker-2,291,700
-23,0,498,711,picker-2,213,711
-71,0,562,733,picker-3,171,733
3,120,512,755,picker-2,243,635
-29,0,538,766,picker-3,228,766
8,300,587,790,picker-2,203,490
14,540,610,792,picker-3,182,252
-81,0,629,836,picker-3,207,836
-73,0,1,851,picker-1,850,851
11,420,686,854,picker-3,168,434
15,540,692,912,picker-2,220,372
-88,0,696,926,picker-2,230,926
-14,0,701,940,picker-2,239,940
-50,0,712,962,picker-2,250,962
-58,0,852,1072,picker-1,220,1072
-8,0,1,1224,picker-1,1223,1224
-69,0,1,1254,picker-1,1253,1254
-54,0,1,1292,picker-1,1291,1292
-62,0,1,1297,picker-1,1296,1297
-56,0,1073,1312,picker-1,239,1312
-33,0,767,1375,picker-3,608,1375
2,120,734,1437,picker-3,703,1317
-55,0,756,1464,picker-2,708,1464
-36,0,1255,1486,picker-1,231,1486
-19,0,793,1567,picker-3,774,1567
-28,0,791,1599,picker-2,808,1599
-77,0,941,1635,picker-2,694,1635
-80,0,1376,1684,picker-3,308,1684
-25,0,1438,1691,picker-3,253,1691
19,780,1465,1694,picker-2,229,914
-30,0,698,1699,picker-3,1001,1699
-90,0,927,1740,picker-2,813,1740
22,960,963,1747,picker-2,784,787
10,420,855,1748,picker-3,893,1328
-41,0,837,1752,picker-3,915,1752
29,1200,1225,1774,picker-1,549,574
-40,0,1313,1801,picker-1,488,1801
21,900,1568,1804,picker-3,236,904
-97,0,1293,1820,picker-1,527,1820
30,1200,1487,1826,picker-1,339,626
31,1380,1685,1870,picker-3,185,490
-95,0,1600,1870,picker-2,270,1870
-10,0,1298,1913,picker-1,615,1913
-51,0,1,1931,picker-1,1930,1931
-70,0,1802,2002,picker-1,200,2002
-94,0,1741,2005,picker-2,264,2005
23,1080,1636,2031,picker-2,395,951
-37,0,1748,2110,picker-2,362,2110
-20,0,1695,2131,picker-2,436,2131
35,1620,1753,2137,picker-3,384,517
37,1620,1871,2142,picker-2,271,522
-83,0,2006,2195,picker-2,189,2195
-60,0,1914,2203,picker-1,289,2203
-49,0,2032,2244,picker-2,212,2244
-11,0,1749,2256,picker-3,507,2256
-26,0,1872,2261,picker-3,389,2261
-18,0,2003,2265,picker-1,262,2265
-91,0,1700,2266,picker-3,566,2266
33,1500,1692,2290,picker-3,598,790
27,1140,2143,2324,picker-2,181,1184
46,1920,2132,2329,picker-2,197,409
-17,0,1775,2334,picker-1,559,2334
-15,0,1821,2350,picker-1,529,2350
-31,0,1827,2365,picker-1,538,2365
51,2100,2111,2370,picker-2,259,270
44,1800,2138,2435,picker-3,297,635
-22,0,1805,2441,picker-3,636,2441
-74,0,1932,2444,picker-1,512,2444
-44,0,2257,2450,picker-3,193,2450
-7,0,2266,2472,picker-1,206,2472
52,2100,2204,2482,picker-1,278,382
-79,0,2196,2517,picker-2,321,2517
59,2280,2291,2615,picker-3,324,335
47,1980,2436,2653,picker-3,217,673
39,1740,2335,2713,picker-1,378,973
45,1860,2325,2746,picker-2,421,886
6,240,2473,2748,picker-1,275,2508
-75,0,2442,2764,picker-3,322,2764
7,300,2371,2771,picker-2,400,2471
54,2160,2351,2857,picker-1,506,697
50,2040,2245,2878,picker-2,633,838
57,2220,2330,2890,picker-2,560,670
74,2580,2654,2894,picker-3,240,314
55,2220,2518,2905,picker-2,387,685
43,1800,2366,2907,picker-1,541,1107
80,2700,2747,2921,picker-2,174,221
71,2520,2616,2950,picker-3,334,430
70,2520,2765,3033,picker-3,268,513
-35,0,2483,3055,picker-1,572,3055
-59,0,2262,3073,picker-3,811,3073
-52,0,2451,3087,picker-3,636,3087
60,2280,2895,3108,picker-3,213,828
65,2460,2749,3121,picker-1,372,661
56,2220,2714,3133,picker-1,419,913
58,2220,2772,3152,picker-2,380,932
