pod_id,item_id,qty,order_id,processed_time,task_type,trigger,opp_score
282,1190,8,-82,40,1,,
0,0,5,-16,58,1,,
0,0,7,-42,58,1,,
447,28,8,-9,65,1,,
350,392,8,-93,71,1,,
350,56,1,-24,71,1,,
137,39,8,-69,74,1,,
137,560,2,-69,74,1,,
137,712,11,-51,74,1,,
137,5,6,-51,74,1,,
137,128,4,-8,74,1,,
137,79,8,-8,74,1,,
128,4,7,-82,87,1,,
170,460,2,-92,108,1,,
170,460,10,-43,108,1,,
170,7,3,-9,108,1,,
170,7,4,-72,108,1,,
170,7,5,-68,108,1,,
170,7,6,-92,108,1,,
170,566,4,-68,108,1,,
1,0,1,-42,112,1,,
1,0,10,-93,112,1,,
1,29,8,-82,112,1,,
63,71,10,-54,118,1,,
63,1,6,-54,118,1,,
63,332,8,-51,118,1,,
63,439,6,-51,118,1,,
394,159,6,-82,121,1,,
171,566,3,-68,129,1,,
171,190,12,-13,129,1,,
66,1633,8,-82,133,1,,
133,184,5,-72,147,1,,
133,184,6,-43,147,1,,
430,407,8,-69,151,1,,
430,633,7,-54,151,1,,
430,26,9,-54,151,1,,
313,386,6,-82,161,1,,
38,33,9,-9,162,1,,
151,456,4,-100,168,1,,
129,38,6,-13,173,1,,
118,556,6,-92,185,1,,
230,46,7,-62,186,1,,
230,581,6,-51,186,1,,
230,473,3,-51,186,1,,
230,1962,9,-8,186,1,,
464,318,6,-9,196,1,,
337,392,4,-93,203,1,,
322,18,4,-92,209,1,,
277,13,12,-62,219,1,,
277,144,5,-51,219,1,,
277,975,7,-8,219,1,,
348,20,4,-92,225,1,,
68,2,7,-96,244,1,,
316,150,6,-62,250,1,,
316,992,6,-62,250,1,,
316,387,2,-54,250,1,,
316,387,4,-8,250,1,,
316,53,4,-51,250,1,,
395,159,2,-82,272,1,,
384,500,4,-96,278,1,,
14,233,7,-54,283,1,,
14,233,10,-51,283,1,,
14,322,7,-51,283,1,,
385,500,4,-96,285,1,,
67,2,6,-63,295,1,,
373,1017,4,-82,301,1,,
352,290,8,-53,304,1,,
386,500,2,-96,306,1,,
149,1781,8,-69,312,1,,
149,80,10,-69,312,1,,
149,6,3,-8,312,1,,
265,13,7,0,327,1,,
273,2067,3,-53,332,1,,
176,360,2,-12,337,1,,
115,37,3,-73,340,1,,
115,37,4,-51,340,1,,
115,903,2,-69,340,1,,
115,445,11,-62,340,1,,
119,345,4,-12,344,1,,
186,42,8,-62,367,1,,
186,83,6,-62,367,1,,
186,1868,5,-51,367,1,,
318,211,10,-38,379,1,,
98,178,8,-27,386,1,,
331,54,8,-54,393,1,,
331,212,10,-51,393,1,,
294,96,5,-27,394,1,,
409,25,6,-38,397,1,,
372,103,10,-27,408,1,,
114,77,10,-38,416,1,,
448,111,7,-69,420,1,,
448,64,6,-54,420,1,,
448,28,6,-51,420,1,,
96,36,4,-85,425,1,,
410,25,2,-38,432,1,,
410,160,10,-87,432,1,,
407,403,6,-48,443,1,,
364,20,6,-62,446,1,,
364,156,12,-8,446,1,,
164,41,5,-38,451,1,,
443,412,6,-86,463,1,,
281,1189,4,-86,470,1,,
120,181,8,-54,471,1,,
120,557,5,-54,471,1,,
120,38,4,-54,471,1,,
449,412,1,-86,482,1,,
165,41,5,-38,483,1,,
240,476,8,-62,496,1,,
240,47,4,-54,496,1,,
240,90,5,-51,496,1,,
304,16,9,-84,496,1,,
395,1474,5,-89,497,1,,
376,293,4,-86,506,1,,
376,104,2,-86,506,1,,
132,5,2,-86,511,1,,
196,1893,8,-54,519,1,,
196,43,8,-8,519,1,,
408,403,3,-48,537,1,,
408,61,6,-47,537,1,,
287,146,4,-51,542,1,,
287,146,6,-69,542,1,,
287,50,6,-62,542,1,,
445,63,5,1,544,1,,
445,111,10,-1,544,1,,
138,452,9,-47,550,1,,
360,1450,7,-84,561,1,,
360,-1,-1,-999,561,2,global,
225,9,10,-51,563,1,,
225,88,4,-51,563,1,,
133,5,7,-66,579,1,,
0,65,2,-62,582,1,,
0,65,4,-51,582,1,,
0,231,6,-8,582,1,,
337,288,7,-1,586,1,,
411,61,2,-47,591,1,,
411,61,4,-66,591,1,,
339,55,5,-38,601,1,,
301,147,10,-69,601,1,,
301,988,2,-8,601,1,,
387,218,4,-87,609,1,,
310,281,11,-51,619,1,,
229,473,6,-64,619,1,,
229,370,9,-64,619,1,,
112,253,4,1,626,1,,
302,279,4,-47,628,1,,
375,103,8,-69,637,1,,
375,1236,4,-51,637,1,,
409,61,2,-66,648,1,,
49,663,10,-69,654,1,,
444,312,6,-64,660,1,,
444,27,12,-64,660,1,,
23,168,9,-6,678,1,,
59,668,10,-51,679,1,,
331,54,2,-66,685,1,,
274,95,9,-6,691,1,,
70,1639,10,-69,694,1,,
294,96,2,1,695,1,,
166,41,1,-38,697,1,,
232,473,2,-64,700,1,,
22,325,8,-23,711,1,,
251,93,10,-51,724,1,,
329,492,6,-71,733,1,,
394,298,2,-69,738,1,,
394,220,8,-54,738,1,,
165,131,6,-29,742,1,,
422,62,6,3,746,1,,
99,76,3,-69,751,1,,
99,178,6,-54,751,1,,
20,1,6,3,755,1,,
167,1822,9,-54,764,1,,
134,681,5,-29,766,1,,
6,421,6,-69,775,1,,
6,231,2,-8,775,1,,
333,18,9,-81,782,1,,
347,1223,9,-62,788,1,,
15,115,8,8,790,1,,
132,5,6,14,792,1,,
76,73,4,-81,807,1,,
21,426,7,-69,814,1,,
21,68,1,-62,814,1,,
189,135,5,-81,819,1,,
137,5,1,-81,826,1,,
137,1131,2,-81,826,1,,
3,1060,2,-81,836,1,,
80,246,7,-54,839,1,,
80,125,1,-51,839,1,,
246,139,4,15,849,1,,
246,11,9,15,849,1,,
153,355,8,-73,851,1,,
2,0,4,11,854,1,,
306,486,5,15,857,1,,
178,1145,2,-54,863,1,,
178,82,6,-8,863,1,,
133,5,10,-30,868,1,,
49,239,8,-50,874,1,,
260,12,8,-62,875,1,,
1,65,10,2,882,1,,
51,1,12,-14,900,1,,
51,1610,8,-14,900,1,,
4,0,8,15,912,1,,
358,291,8,-51,923,1,,
5,529,10,-88,926,1,,
362,1452,8,-62,935,1,,
56,241,8,-14,940,1,,
91,250,6,-51,946,1,,
91,125,1,-51,946,1,,
180,193,6,-50,952,1,,
135,5,10,2,955,1,,
405,24,2,-62,957,1,,
405,625,6,-54,957,1,,
144,80,5,-50,962,1,,
140,185,7,-69,968,1,,
258,273,4,-55,976,1,,
258,375,4,-55,976,1,,
22,427,6,-54,977,1,,
143,186,7,-28,989,1,,
92,250,8,-30,991,1,,
92,2,7,-33,991,1,,
184,1863,10,-33,1005,1,,
42,118,6,-69,1012,1,,
71,334,10,-19,1020,1,,
298,381,6,2,1038,1,,
298,2134,7,-19,1038,1,,
298,-1,-1,-999,1039,2,global,
171,1359,7,-28,1047,1,,
134,681,6,-54,1054,1,,
63,1,6,2,1062,1,,
63,71,10,-19,1062,1,,
177,82,3,-8,1072,1,,
177,361,8,-58,1072,1,,
226,472,11,-41,1079,1,,
13,67,6,-55,1084,1,,
194,732,6,-62,1089,1,,
183,1367,8,-19,1093,1,,
124,907,6,-55,1094,1,,
411,25,5,-62,1099,1,,
411,829,1,-51,1099,1,,
156,918,6,-62,1108,1,,
136,1130,3,-28,1109,1,,
136,128,8,-46,1109,1,,
96,251,6,-55,1118,1,,
243,585,11,-41,1121,1,,
243,91,8,10,1121,1,,
210,741,6,-8,1126,1,,
120,38,6,-90,1143,1,,
120,447,6,-77,1143,1,,
120,4,3,-77,1143,1,,
62,120,8,-41,1149,1,,
62,1088,12,10,1149,1,,
460,1269,6,-8,1156,1,,
95,251,7,-90,1172,1,,
95,341,6,-90,1172,1,,
95,2,10,-90,1172,1,,
89,75,9,-41,1177,1,,
89,2,11,10,1177,1,,
33,1075,5,-62,1182,1,,
204,8,10,-90,1193,1,,
433,27,5,-51,1194,1,,
117,181,7,-41,1200,1,,
117,37,8,10,1200,1,,
384,295,4,-8,1201,1,,
163,922,8,-77,1211,1,,
163,358,4,-77,1211,1,,
269,597,4,-8,1224,1,,
142,1765,6,-19,1228,1,,
142,5,4,10,1228,1,,
142,79,4,10,1228,1,,
55,435,7,-46,1228,1,,
55,1,4,-90,1228,1,,
259,375,4,-55,1244,1,,
